중앙에너비스(000440),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,194.0,194.0,194.0,194.0,0.0,1285.0,146000.0
1999-01-05,217.0,217.0,217.0,217.0,100.0,1438.0,146000.0
1999-01-06,217.0,217.0,217.0,217.0,0.0,1438.0,146000.0
1999-01-07,217.0,217.0,217.0,217.0,0.0,,
1999-01-08,217.0,217.0,217.0,217.0,0.0,,
1999-01-11,217.0,217.0,217.0,217.0,0.0,,
1999-01-12,217.0,217.0,217.0,217.0,0.0,,
1999-01-13,217.0,217.0,217.0,217.0,0.0,,
1999-01-14,217.0,217.0,217.0,217.0,0.0,,
1999-01-15,217.0,217.0,217.0,217.0,0.0,,
1999-01-18,217.0,217.0,217.0,217.0,0.0,,
1999-01-19,217.0,217.0,217.0,217.0,0.0,,
1999-01-20,217.0,217.0,217.0,217.0,0.0,,
1999-01-21,217.0,217.0,217.0,217.0,0.0,,
1999-01-22,218.0,218.0,218.0,219.0,950.0,1445.0,146000.0
1999-01-25,218.0,218.0,218.0,219.0,0.0,1445.0,146000.0
1999-01-26,218.0,218.0,218.0,219.0,0.0,,
1999-01-27,244.0,244.0,244.0,244.0,0.0,1613.0,146000.0
1999-01-28,244.0,244.0,244.0,244.0,0.0,1613.0,146000.0
1999-01-29,244.0,244.0,244.0,244.0,0.0,,
1999-02-01,244.0,244.0,244.0,244.0,0.0,,
1999-02-02,244.0,244.0,244.0,244.0,0.0,,
1999-02-03,244.0,244.0,244.0,244.0,0.0,,
1999-02-04,244.0,244.0,244.0,244.0,0.0,,
1999-02-05,244.0,244.0,244.0,244.0,0.0,,
1999-02-08,244.0,244.0,244.0,244.0,0.0,,
1999-02-09,244.0,244.0,244.0,244.0,0.0,,
1999-02-10,244.0,244.0,244.0,244.0,0.0,,
1999-02-11,244.0,244.0,244.0,244.0,0.0,,
1999-02-12,244.0,244.0,244.0,244.0,0.0,,
1999-02-18,244.0,244.0,244.0,244.0,0.0,,
1999-02-19,244.0,244.0,244.0,244.0,0.0,,
1999-02-22,244.0,244.0,244.0,244.0,0.0,,
1999-02-23,245.0,245.0,245.0,245.0,1070.0,1621.0,146000.0
