신라섬유(001000),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,44.0,44.0,44.0,44.0,0.0,660.0,300000.0
1999-01-05,44.0,44.0,44.0,44.0,0.0,,
1999-01-06,44.0,44.0,44.0,44.0,0.0,,
1999-01-07,44.0,44.0,44.0,44.0,0.0,,
1999-01-08,44.0,44.0,44.0,44.0,0.0,,
1999-01-11,44.0,44.0,44.0,44.0,0.0,,
1999-01-12,44.0,44.0,44.0,44.0,0.0,,
1999-01-13,44.0,44.0,44.0,44.0,0.0,,
1999-01-14,44.0,44.0,44.0,45.0,4000.0,669.0,300000.0
1999-01-15,44.0,44.0,44.0,45.0,0.0,669.0,300000.0
1999-01-18,44.0,44.0,44.0,45.0,0.0,,
1999-01-19,44.0,44.0,44.0,45.0,0.0,,
1999-01-20,45.0,45.0,45.0,45.0,2000.0,675.0,300000.0
1999-01-21,50.0,50.0,50.0,50.0,0.0,756.0,300000.0
1999-01-22,50.0,50.0,50.0,50.0,0.0,756.0,300000.0
1999-01-25,50.0,50.0,50.0,50.0,0.0,,
1999-01-26,50.0,50.0,50.0,50.0,0.0,,
1999-01-27,45.0,45.0,45.0,45.0,4500.0,678.0,300000.0
1999-01-28,45.0,45.0,45.0,45.0,0.0,678.0,300000.0
1999-01-29,45.0,45.0,45.0,45.0,0.0,,
1999-02-01,45.0,45.0,45.0,45.0,0.0,,
1999-02-02,45.0,45.0,45.0,45.0,0.0,,
1999-02-03,45.0,45.0,45.0,45.0,0.0,,
1999-02-04,45.0,45.0,45.0,45.0,0.0,,
1999-02-05,50.0,50.0,50.0,51.0,0.0,759.0,300000.0
1999-02-08,50.0,50.0,50.0,51.0,0.0,759.0,300000.0
1999-02-09,50.0,50.0,50.0,51.0,0.0,,
1999-02-10,50.0,50.0,50.0,51.0,0.0,,
1999-02-11,50.0,50.0,50.0,51.0,0.0,,
1999-02-12,50.0,50.0,50.0,51.0,0.0,,
1999-02-18,50.0,50.0,50.0,51.0,0.0,,
1999-02-19,50.0,50.0,50.0,51.0,0.0,,
1999-02-22,50.0,50.0,50.0,51.0,6000.0,762.0,300000.0
1999-02-23,50.0,50.0,50.0,51.0,0.0,762.0,300000.0
1999-02-24,50.0,50.0,50.0,51.0,0.0,,
1999-02-25,50.0,50.0,50.0,50.0,4000.0,750.0,300000.0
1999-02-26,50.0,50.0,50.0,50.0,0.0,750.0,300000.0
1999-03-02,50.0,50.0,50.0,50.0,0.0,,
1999-03-03,50.0,50.0,50.0,50.0,0.0,,
1999-03-04,50.0,50.0,50.0,50.0,0.0,,
1999-03-05,50.0,50.0,50.0,50.0,0.0,,
1999-03-08,50.0,50.0,50.0,50.0,0.0,,
1999-03-09,50.0,50.0,50.0,50.0,0.0,,
1999-03-10,50.0,50.0,50.0,50.0,0.0,,
1999-03-11,50.0,50.0,50.0,50.0,0.0,,
1999-03-12,50.0,50.0,50.0,50.0,0.0,,
1999-03-15,50.0,50.0,50.0,50.0,0.0,,
1999-03-16,50.0,50.0,50.0,50.0,0.0,,
1999-03-17,49.0,49.0,49.0,50.0,3000.0,747.0,300000.0
1999-03-18,49.0,49.0,49.0,50.0,0.0,747.0,300000.0
1999-03-19,49.0,49.0,49.0,50.0,0.0,,
1999-03-22,55.0,55.0,55.0,56.0,0.0,834.0,300000.0
1999-03-23,62.0,62.0,62.0,62.0,0.0,933.0,300000.0
1999-03-24,62.0,62.0,62.0,62.0,3000.0,933.0,300000.0
1999-03-25,64.0,64.0,64.0,64.0,2500.0,960.0,300000.0
1999-03-26,64.0,64.0,64.0,64.0,0.0,960.0,300000.0
1999-03-29,63.0,63.0,63.0,63.0,2500.0,945.0,300000.0
1999-03-30,63.0,63.0,63.0,63.0,0.0,945.0,300000.0
1999-03-31,63.0,63.0,63.0,63.0,0.0,,
1999-04-01,63.0,63.0,63.0,63.0,0.0,,
1999-04-02,63.0,63.0,63.0,63.0,0.0,,
1999-04-06,63.0,63.0,63.0,63.0,0.0,,
1999-04-07,63.0,63.0,63.0,63.0,0.0,,
1999-04-08,63.0,63.0,63.0,63.0,0.0,,
1999-04-09,63.0,63.0,63.0,63.0,0.0,,
1999-04-12,63.0,63.0,63.0,63.0,0.0,,
1999-04-13,62.0,62.0,62.0,62.0,2000.0,930.0,300000.0
1999-04-14,62.0,62.0,62.0,62.0,0.0,930.0,300000.0
1999-04-15,64.0,64.0,64.0,64.0,3000.0,960.0,300000.0
1999-04-16,63.0,63.0,63.0,63.0,3000.0,951.0,300000.0
1999-04-19,63.0,63.0,63.0,63.0,0.0,951.0,300000.0
1999-04-20,62.0,62.0,62.0,62.0,2000.0,930.0,300000.0
1999-04-21,62.0,62.0,62.0,62.0,0.0,,
1999-04-22,62.0,62.0,62.0,62.0,0.0,,
1999-04-23,62.0,62.0,62.0,62.0,0.0,,
1999-04-26,62.0,62.0,62.0,62.0,0.0,,
1999-04-27,62.0,62.0,62.0,62.0,0.0,,
1999-04-28,62.0,62.0,62.0,62.0,0.0,,
1999-04-29,62.0,62.0,62.0,62.0,0.0,,
1999-04-30,62.0,62.0,62.0,62.0,0.0,,
1999-05-03,62.0,62.0,62.0,62.0,0.0,,
1999-05-04,64.0,64.0,64.0,64.0,0.0,960.0,300000.0
1999-05-06,64.0,64.0,64.0,64.0,0.0,,
1999-05-07,64.0,64.0,64.0,64.0,0.0,,
1999-05-10,64.0,64.0,64.0,64.0,0.0,,
1999-05-11,71.0,71.0,71.0,72.0,0.0,1074.0,300000.0
1999-05-12,71.0,71.0,71.0,72.0,0.0,1074.0,300000.0
1999-05-13,73.0,73.0,73.0,74.0,0.0,1104.0,300000.0
1999-05-14,74.0,74.0,74.0,74.0,0.0,1110.0,300000.0
1999-05-17,74.0,74.0,74.0,74.0,0.0,1110.0,300000.0
1999-05-18,65.0,65.0,65.0,65.0,2600.0,978.0,300000.0
1999-05-19,73.0,73.0,60.0,60.0,1150.0,900.0,300000.0
1999-05-20,62.0,62.0,62.0,62.0,0.0,933.0,300000.0
1999-05-21,62.0,62.0,62.0,62.0,0.0,933.0,300000.0
1999-05-24,62.0,62.0,62.0,62.0,0.0,,
1999-05-25,54.0,54.0,54.0,55.0,10.0,822.0,300000.0
