에이스침대(003800),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,960,960,960,960,0,9408.0,1960000.0
1999-01-05,944,944,942,944,220551,9251.0,1960000.0
1999-01-06,944,944,944,944,0,9251.0,1960000.0
1999-01-07,944,944,944,944,0,,
1999-01-08,944,944,944,944,0,,
1999-01-11,960,960,960,960,0,9408.0,1960000.0
1999-01-12,960,960,960,960,0,,
1999-01-13,1074,1074,1074,1074,0,10525.0,1960000.0
1999-01-14,1200,1200,1200,1200,0,11760.0,1960000.0
1999-01-15,1344,1344,1344,1344,0,13171.0,1960000.0
1999-01-18,1344,1344,1344,1344,0,13171.0,1960000.0
1999-01-19,1344,1344,1344,1344,0,,
1999-01-20,1348,1348,1348,1348,0,13210.0,1960000.0
1999-01-21,1348,1348,1348,1348,50,13210.0,1960000.0
1999-01-22,1500,1500,1500,1500,0,14700.0,1960000.0
1999-01-25,1500,1500,1500,1500,0,14700.0,1960000.0
1999-01-26,1500,1500,1500,1500,0,,
1999-01-27,1500,1500,1500,1500,0,,
1999-01-28,1500,1500,1500,1500,0,,
1999-01-29,1680,1680,1680,1680,71,16464.0,1960000.0
1999-02-01,1880,1880,1880,1880,429,18424.0,1960000.0
1999-02-02,1880,1880,1880,1880,0,18424.0,1960000.0
1999-02-03,1880,1880,1880,1880,0,,
1999-02-04,1880,1880,1880,1880,0,,
1999-02-05,1700,2100,1700,2100,73,20580.0,1960000.0
1999-02-08,1850,2350,1850,1850,11,18130.0,1960000.0
1999-02-09,1800,1800,1800,1800,77,17640.0,1960000.0
1999-02-10,1590,1590,1590,1590,4490,15582.0,1960000.0
1999-02-11,1590,1590,1590,1590,0,15582.0,1960000.0
1999-02-12,1590,1590,1590,1590,0,,
1999-02-18,1590,1590,1590,1590,0,,
1999-02-19,1590,1590,1590,1590,0,,
1999-02-22,1590,1590,1590,1590,0,,
1999-02-23,1590,1590,1590,1590,0,,
1999-02-24,1590,1590,1590,1590,0,,
1999-02-25,1590,1590,1590,1590,0,,
1999-02-26,1590,1590,1590,1590,0,,
1999-03-02,1590,1590,1590,1590,0,,
1999-03-03,1590,1590,1590,1590,0,,
1999-03-04,1590,1590,1590,1590,0,,
1999-03-05,1590,1590,1590,1590,0,,
1999-03-08,1590,1590,1590,1590,0,,
1999-03-09,1590,1590,1590,1590,0,,
1999-03-10,1590,1590,1590,1590,0,,
1999-03-11,1590,1590,1590,1590,0,,
1999-03-12,1590,1590,1590,1590,0,,
1999-03-15,1590,1590,1590,1590,0,,
1999-03-16,1590,1590,1590,1590,0,,
1999-03-17,1590,1590,1590,1590,0,,
1999-03-18,1590,1590,1590,1590,0,,
1999-03-19,1590,1590,1590,1590,0,,
1999-03-22,1590,1590,1590,1590,0,,
1999-03-23,1590,1590,1590,1590,0,,
1999-03-24,1590,1590,1590,1590,0,,
1999-03-25,1590,1590,1590,1590,0,,
1999-03-26,1590,1590,1590,1590,0,,
1999-03-29,1590,1590,1590,1590,0,,
1999-03-30,1780,1780,1780,1780,0,17444.0,1960000.0
1999-03-31,1600,1600,1600,1600,1000,15680.0,1960000.0
1999-04-01,1600,1600,1600,1600,0,15680.0,1960000.0
1999-04-02,1600,1600,1600,1600,0,,
1999-04-06,1600,1600,1600,1600,0,,
1999-04-07,1600,1600,1600,1600,0,,
1999-04-08,1600,1600,1600,1600,0,,
1999-04-09,1600,1600,1600,1600,0,,
1999-04-12,1600,1600,1600,1600,0,,
1999-04-13,1600,1600,1600,1600,0,,
1999-04-14,1600,1600,1600,1600,0,,
1999-04-15,1600,1600,1600,1600,0,,
