한국가구(004590),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,255,255,255,255,0,3825.0,150000.0
1999-01-05,255,255,255,255,0,,
1999-01-06,260,260,260,260,0,3900.0,150000.0
1999-01-07,260,260,260,260,1000,3900.0,150000.0
1999-01-08,257,257,257,257,900,3855.0,150000.0
1999-01-11,257,257,257,257,0,3855.0,150000.0
1999-01-12,257,257,257,257,0,,
1999-01-13,258,258,258,258,900,3870.0,150000.0
1999-01-14,258,258,258,258,0,3870.0,150000.0
1999-01-15,258,258,258,258,0,,
1999-01-18,260,260,260,260,1750,3900.0,150000.0
1999-01-19,260,260,260,260,0,3900.0,150000.0
1999-01-20,260,260,260,260,0,,
1999-01-21,263,263,263,264,1000,3952.0,150000.0
1999-01-22,263,263,263,264,0,3952.0,150000.0
1999-01-25,263,263,263,264,0,,
1999-01-26,263,263,263,264,0,,
1999-01-27,263,263,263,264,0,,
1999-01-28,263,263,263,264,0,,
1999-01-29,265,265,265,265,0,3975.0,150000.0
1999-02-01,270,270,270,270,2250,4050.0,150000.0
1999-02-02,273,273,270,270,1750,4050.0,150000.0
1999-02-03,270,270,270,270,0,4050.0,150000.0
1999-02-04,265,265,265,265,1000,3975.0,150000.0
1999-02-05,296,296,296,297,750,4448.0,150000.0
1999-02-08,296,296,296,297,0,4448.0,150000.0
1999-02-09,296,296,296,297,0,,
1999-02-10,296,296,296,297,0,,
1999-02-11,290,290,290,290,100,4350.0,150000.0
1999-02-12,290,290,290,290,0,4350.0,150000.0
1999-02-18,290,290,290,290,0,,
1999-02-19,290,290,290,290,0,,
1999-02-22,290,290,290,290,0,,
1999-02-23,290,290,290,290,0,,
1999-02-24,290,290,290,290,0,,
1999-02-25,290,290,290,290,0,,
1999-02-26,290,290,290,290,0,,
1999-03-02,295,295,290,290,3050,4350.0,150000.0
1999-03-03,290,290,290,290,0,,
1999-03-04,290,300,290,300,2765,4500.0,150000.0
1999-03-05,300,300,300,300,0,4500.0,150000.0
1999-03-08,300,300,300,300,0,,
1999-03-09,300,300,300,300,0,,
1999-03-10,310,310,310,310,250,4650.0,150000.0
1999-03-11,310,310,310,310,0,4650.0,150000.0
1999-03-12,310,310,310,310,0,,
1999-03-15,310,310,310,310,0,,
1999-03-16,310,310,310,310,0,,
1999-03-17,310,310,310,310,0,,
1999-03-18,310,310,310,310,0,,
1999-03-19,310,310,310,310,0,,
1999-03-22,310,310,310,310,0,,
1999-03-23,310,310,310,310,0,,
1999-03-24,310,310,310,310,0,,
1999-03-25,310,310,310,310,0,,
1999-03-26,310,310,310,310,0,,
1999-03-29,310,310,310,310,0,,
1999-03-30,320,320,320,320,310,4800.0,150000.0
1999-03-31,320,320,320,320,0,4800.0,150000.0
1999-04-01,320,320,320,320,0,,
1999-04-02,320,320,320,320,0,,
1999-04-06,320,320,320,320,3125,4800.0,150000.0
1999-04-07,320,320,320,320,0,,
