스튜디오썸머(008800),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,495,495,495,507,0,346.0,909451.0
1999-01-05,495,495,495,507,0,,
1999-01-06,520,520,520,520,0,355.0,909451.0
1999-01-07,546,546,546,547,0,373.0,909451.0
1999-01-08,549,549,549,560,0,382.0,909451.0
1999-01-11,549,549,549,560,0,382.0,909451.0
1999-01-12,549,549,549,560,0,,
1999-01-13,549,549,549,560,0,,
1999-01-14,549,549,549,560,0,,
1999-01-15,549,549,549,560,0,,
1999-01-18,600,600,600,600,0,409.0,909451.0
1999-01-19,600,600,600,600,0,409.0,909451.0
1999-01-20,600,600,600,600,0,,
1999-01-21,600,600,600,600,0,,
1999-01-22,615,615,615,627,0,427.0,909451.0
1999-01-25,682,682,682,694,0,473.0,909451.0
1999-01-26,682,682,682,694,0,473.0,909451.0
1999-01-27,695,695,695,707,0,482.0,909451.0
1999-01-28,733,733,733,734,0,500.0,909451.0
1999-01-29,749,749,749,760,0,518.0,909451.0
1999-02-01,840,840,840,840,0,3805.0,6038978.0
1999-02-02,933,933,933,934,0,4227.0,6038978.0
1999-02-03,1040,1040,1040,1040,0,4710.0,6038978.0
1999-02-04,1149,1149,1149,1160,0,5254.0,6038978.0
1999-02-05,1293,1293,1293,1294,0,5858.0,6038978.0
1999-02-08,1440,1440,1440,1441,0,6522.0,6038978.0
1999-02-09,1589,1589,1589,1601,0,7247.0,6038978.0
1999-02-10,1776,1776,1776,1787,0,8092.0,6038978.0
1999-02-11,2000,2000,2000,2001,0,9058.0,6038978.0
1999-02-12,2229,2229,2229,2241,0,10145.0,6038978.0
1999-02-18,2496,2496,2496,2508,0,11353.0,6038978.0
1999-02-19,2801,2801,2801,2801,0,12682.0,6038978.0
1999-02-22,3123,3123,3123,3135,0,14192.0,6038978.0
1999-02-23,3508,3508,3508,3508,0,15883.0,6038978.0
1999-02-24,3910,3910,3910,3922,0,17755.0,6038978.0
1999-02-25,3910,3910,3910,3922,0,17755.0,6038978.0
1999-02-26,3910,3910,3910,3922,0,,
1999-03-02,3910,3910,3910,3922,0,,
1999-03-03,3910,3910,3910,3922,0,,
1999-03-04,3910,3910,3910,3922,0,,
1999-03-05,3910,3910,3910,3922,0,,
1999-03-08,3910,3910,3910,3922,0,,
1999-03-09,3910,3910,3910,3922,0,,
1999-03-10,3910,3910,3910,3922,0,,
1999-03-11,3910,3910,3910,3922,0,,
1999-03-12,3910,3910,3910,3922,0,,
1999-03-15,3910,3910,3910,3922,0,,
1999-03-16,3910,3910,3910,3922,0,,
1999-03-17,3910,3910,3910,3922,0,,
1999-03-18,3910,3910,3910,3922,0,,
1999-03-19,3910,3910,3910,3922,0,,
1999-03-22,3910,3910,3910,3922,0,,
1999-03-23,3910,3910,3910,3922,0,,
1999-03-24,3910,3910,3910,3922,0,,
1999-03-25,3910,3910,3910,3922,0,,
1999-03-26,3910,3910,3910,3922,0,,
1999-03-29,3910,3910,3910,3922,0,,
1999-03-30,3910,3910,3910,3922,0,,
1999-03-31,3910,3910,3910,3922,0,,
1999-04-01,3910,3910,3910,3922,0,,
1999-04-02,3910,3910,3910,3922,0,,
1999-04-06,3910,3910,3910,3922,0,,
1999-04-07,3910,3910,3910,3922,0,,
1999-04-08,3910,3910,3910,3922,0,,
1999-04-09,3910,3910,3910,3922,0,,
1999-04-12,3910,3910,3910,3922,0,,
1999-04-13,3910,3910,3910,3922,0,,
1999-04-14,3910,3910,3910,3922,0,,
1999-04-15,3910,3910,3910,3922,0,,
1999-04-16,3910,3910,3910,3922,0,,
1999-04-19,3910,3910,3910,3922,0,,
1999-04-20,3910,3910,3910,3922,0,,
1999-04-21,3910,3910,3910,3922,0,,
1999-04-22,3910,3910,3910,3922,0,,
1999-04-23,3910,3910,3910,3922,0,,
1999-04-26,3910,3910,3910,3922,0,,
1999-04-27,3910,3910,3910,3922,0,,
1999-04-28,3910,3910,3910,3922,0,,
1999-04-29,3910,3910,3910,3922,0,,
1999-04-30,3910,3910,3910,3922,0,,
1999-05-03,3910,3910,3910,3922,0,,
1999-05-04,3910,3910,3910,3922,0,,
1999-05-06,3910,3910,3910,3922,0,,
1999-05-07,3934,3934,3934,3935,0,17815.0,6038978.0
