세보엠이씨(011560),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,293,293,293,293,0,2285.0,240000.0
1999-01-05,293,293,293,293,0,,
1999-01-06,278,278,278,277,10,2160.0,240000.0
1999-01-07,278,278,278,277,0,2160.0,240000.0
1999-01-08,278,278,278,277,0,,
1999-01-11,278,278,278,277,0,,
1999-01-12,278,278,278,277,0,,
1999-01-13,252,252,252,252,60,1968.0,240000.0
1999-01-14,278,278,278,277,0,2160.0,240000.0
1999-01-15,278,278,278,277,0,,
1999-01-18,278,278,278,277,0,,
1999-01-19,278,278,278,277,0,,
1999-01-20,278,278,278,277,0,,
1999-01-21,278,278,278,277,0,,
1999-01-22,278,278,278,277,0,,
1999-01-25,249,249,249,249,0,1944.0,240000.0
1999-01-26,249,249,249,249,0,1944.0,240000.0
1999-01-27,249,249,249,249,0,,
1999-01-28,249,249,249,249,0,,
1999-01-29,249,249,249,249,0,,
1999-02-01,275,275,275,274,50,2136.0,240000.0
1999-02-02,275,275,275,274,0,2136.0,240000.0
1999-02-03,275,275,275,274,0,,
1999-02-04,275,275,275,274,0,,
1999-02-05,246,246,246,246,0,1920.0,240000.0
1999-02-08,246,246,246,246,0,1920.0,240000.0
1999-02-09,246,246,246,246,0,,
1999-02-10,246,246,246,246,0,,
1999-02-11,243,243,243,243,360,1896.0,240000.0
1999-02-12,243,243,243,243,0,1896.0,240000.0
1999-02-18,243,243,243,243,0,,
1999-02-19,243,243,243,243,0,,
1999-02-22,243,243,243,243,0,,
1999-02-23,243,243,243,243,0,,
1999-02-24,243,243,243,243,0,,
1999-02-25,243,243,243,243,0,,
1999-02-26,243,243,243,243,0,,
1999-03-02,272,272,272,272,0,2122.0,240000.0
1999-03-03,272,272,272,272,0,2122.0,240000.0
1999-03-04,272,272,272,272,0,,
1999-03-05,272,272,272,272,0,,
1999-03-08,272,272,272,272,0,,
1999-03-09,272,272,272,272,0,,
1999-03-10,272,272,272,272,0,,
1999-03-11,272,272,272,272,0,,
1999-03-12,272,272,272,272,0,,
1999-03-15,272,272,272,272,0,,
1999-03-16,272,272,272,272,0,,
1999-03-17,272,272,272,272,0,,
1999-03-18,272,272,272,272,0,,
1999-03-19,272,272,272,272,0,,
1999-03-22,272,272,272,272,0,,
1999-03-23,272,272,272,272,0,,
1999-03-24,272,272,272,272,0,,
1999-03-25,272,272,272,272,0,,
1999-03-26,272,272,272,272,0,,
1999-03-29,272,272,272,272,0,,
1999-03-30,272,272,272,272,0,,
1999-03-31,272,272,272,272,0,,
1999-04-01,272,272,272,272,0,,
1999-04-02,272,272,272,272,0,,
1999-04-06,272,272,272,272,0,,
1999-04-07,272,272,272,272,0,,
1999-04-08,278,278,278,277,4500,2160.0,240000.0
1999-04-09,278,278,278,277,0,,
1999-04-12,310,310,310,310,0,2412.0,240000.0
1999-04-13,347,347,347,346,0,2700.0,240000.0
1999-04-14,388,388,388,388,0,3024.0,240000.0
1999-04-15,342,342,342,342,0,2664.0,240000.0
1999-04-16,382,382,382,382,0,2976.0,240000.0
1999-04-19,338,338,338,337,3640,2628.0,240000.0
1999-04-20,298,298,298,297,8600,2316.0,240000.0
1999-04-21,308,333,308,333,6000,2592.0,240000.0
1999-04-22,295,333,295,323,16000,2520.0,240000.0
1999-04-23,324,324,324,323,0,2520.0,240000.0
1999-04-26,324,324,324,323,0,,
1999-04-27,324,324,324,323,0,,
1999-04-28,324,324,324,323,0,,
1999-04-29,324,324,324,323,0,,
1999-04-30,324,324,324,323,0,,
1999-05-03,324,324,324,323,0,,
1999-05-04,361,361,361,360,100,2808.0,240000.0
1999-05-06,361,361,361,360,0,2808.0,240000.0
1999-05-07,355,355,355,354,1000,2760.0,240000.0
1999-05-10,355,355,355,354,0,2760.0,240000.0
1999-05-11,355,355,355,354,0,,
1999-05-12,313,313,313,313,0,2436.0,240000.0
1999-05-13,313,313,313,313,0,2436.0,240000.0
1999-05-14,308,308,308,308,0,2400.0,240000.0
1999-05-17,271,271,271,270,180,2112.0,240000.0
