리드코프(012700),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,3725,3725,3725,3725,0,7420.0,700000.0
1999-01-05,3725,3725,3725,3725,0,,
1999-01-06,3725,3725,3725,3725,0,,
1999-01-07,3725,3725,3725,3725,0,,
1999-01-08,3725,3725,3725,3725,0,,
1999-01-11,3725,3725,3725,3725,0,,
1999-01-12,3725,3725,3725,3725,0,,
1999-01-13,3725,3725,3725,3725,0,,
1999-01-14,3725,3725,3725,3725,0,,
1999-01-15,3725,3725,3725,3725,0,,
1999-01-18,3725,3725,3725,3725,0,,
1999-01-19,3725,3725,3725,3725,0,,
1999-01-20,3725,3725,3725,3725,0,,
1999-01-21,3725,3725,3725,3725,0,,
1999-01-22,3725,3725,3725,3725,0,,
1999-01-25,3725,3725,3725,3725,0,,
1999-01-26,3725,3725,3725,3725,1000,7420.0,700000.0
1999-01-27,3725,3725,3725,3725,0,,
1999-01-28,3725,3725,3725,3725,0,,
1999-01-29,3725,3725,3725,3725,0,,
1999-02-01,3725,3725,3725,3725,0,,
1999-02-02,3725,3725,3725,3725,0,,
1999-02-03,3725,3725,3725,3725,0,,
1999-02-04,3725,3725,3725,3725,0,,
1999-02-05,3725,3725,3725,3725,0,,
1999-02-08,3725,3725,3725,3725,0,,
1999-02-09,3725,3725,3725,3725,0,,
1999-02-10,3725,3725,3725,3725,0,,
1999-02-11,3725,3725,3725,3725,0,,
1999-02-12,3725,3725,3725,3725,0,,
1999-02-18,3725,3725,3725,3725,0,,
1999-02-19,3725,3725,3725,3725,0,,
1999-02-22,3725,3725,3725,3725,1000,,
1999-02-23,3725,3725,3725,3725,0,,
1999-02-24,3725,3725,3725,3725,0,,
1999-02-25,3725,3725,3725,3725,0,,
1999-02-26,3725,3725,3725,3725,0,,
1999-03-02,3725,3725,3725,3725,0,,
1999-03-03,3725,3725,3725,3725,0,,
1999-03-04,3725,3725,3725,3725,0,,
1999-03-05,3725,3725,3725,3725,0,,
1999-03-08,3725,3725,3725,3725,0,,
1999-03-09,3725,3725,3725,3725,0,,
1999-03-10,3725,3725,3725,3725,0,,
1999-03-11,3725,3725,3725,3725,0,,
1999-03-12,3725,3725,3725,3725,0,,
1999-03-15,3725,3725,3725,3725,0,,
1999-03-16,3725,3725,3725,3725,0,,
1999-03-17,3725,3725,3725,3725,0,,
1999-03-18,3725,3725,3725,3725,1000,,
1999-03-19,3725,3725,3725,3725,0,,
1999-03-22,3725,3725,3725,3725,0,,
1999-03-23,3725,3725,3725,3725,0,,
1999-03-24,3725,3725,3725,3725,0,,
1999-03-25,3725,3725,3725,3725,0,,
1999-03-26,3725,3725,3725,3725,0,,
1999-03-29,3725,3725,3725,3725,0,,
1999-03-30,3725,3725,3725,3725,0,,
1999-03-31,3725,3725,3725,3725,0,,
1999-04-01,3725,3725,3725,3725,0,,
1999-04-02,3725,3725,3725,3725,0,,
1999-04-06,3725,3725,3725,3725,0,,
1999-04-07,3725,3725,3725,3725,0,,
1999-04-08,3725,3725,3725,3725,0,,
1999-04-09,3725,3725,3725,3725,0,,
1999-04-12,3725,3725,3725,3725,0,,
1999-04-13,3725,3725,3725,3725,0,,
1999-04-14,3725,3725,3725,3725,0,,
1999-04-15,3725,3725,3725,3725,0,,
1999-04-16,3725,3725,3725,3725,0,,
1999-04-19,3725,3725,3725,3725,0,,
1999-04-20,3725,3725,3725,3725,0,,
1999-04-21,3725,3725,3725,3725,0,,
1999-04-22,3725,3725,3725,3725,0,,
1999-04-23,3725,3725,3725,3725,0,,
1999-04-26,3725,3725,3725,3725,1000,,
1999-04-27,3725,3725,3725,3725,0,,
1999-04-28,3725,3725,3725,3725,0,,
1999-04-29,3725,3725,3725,3725,0,,
1999-04-30,3725,3725,3725,3725,0,,
1999-05-03,3725,3725,3725,3725,0,,
1999-05-04,3725,3725,3725,3725,0,,
1999-05-06,3725,3725,3725,3725,0,,
1999-05-07,3725,3725,3725,3725,0,,
1999-05-10,3725,3725,3725,3725,0,,
1999-05-11,3725,3725,3725,3725,0,,
1999-05-12,3725,3725,3725,3725,0,,
1999-05-13,3725,3725,3725,3725,0,,
1999-05-14,3725,3725,3725,3725,0,,
1999-05-17,3725,3725,3725,3725,0,,
1999-05-18,3725,3725,3725,3725,0,,
1999-05-19,3725,3725,3725,3725,0,,
1999-05-20,3725,3725,3725,3725,0,,
1999-05-21,3725,3725,3725,3725,0,,
1999-05-24,3725,3725,3725,3725,0,,
1999-05-25,3725,3725,3725,3725,1000,,
1999-05-26,3725,3725,3725,3725,0,,
1999-05-27,3725,3725,3725,3725,0,,
1999-05-28,3725,3725,3725,3725,0,,
1999-05-31,3725,3725,3725,3725,0,,
1999-06-01,3725,3725,3725,3725,0,,
1999-06-02,3725,3725,3725,3725,0,,
1999-06-03,3725,3725,3725,3725,0,,
1999-06-04,3725,3725,3725,3725,0,,
1999-06-07,3725,3725,3725,3725,0,,
1999-06-08,3725,3725,3725,3725,0,,
1999-06-09,3725,3725,3725,3725,0,,
1999-06-10,3760,3760,3760,3760,0,7490.0,700000.0
1999-06-11,3831,3831,3831,3830,0,7630.0,700000.0
1999-06-14,4288,4288,4288,4287,0,8540.0,700000.0
1999-06-15,4797,4797,4797,4797,0,9555.0,700000.0
1999-06-16,5359,5359,5359,5359,0,10675.0,700000.0
1999-06-17,5992,5992,5992,5992,0,11935.0,700000.0
1999-06-18,6695,6695,6695,6694,0,13335.0,700000.0
1999-06-21,7486,7486,7486,7485,0,14910.0,700000.0
1999-06-22,8382,8382,8382,8381,0,16695.0,700000.0
1999-06-23,9383,9383,9383,9383,0,18690.0,700000.0
1999-06-24,10508,10508,10508,10507,0,20930.0,700000.0
1999-06-25,10508,10508,10508,10507,1000,20930.0,700000.0
1999-06-28,10508,10508,10508,10507,0,20930.0,700000.0
1999-06-29,10508,10508,10508,10507,0,,
1999-06-30,10543,10543,10543,10543,0,21000.0,700000.0
1999-07-01,10543,10543,10543,10543,0,21000.0,700000.0
1999-07-02,10543,10543,10543,10543,0,,
1999-07-05,10543,10543,10543,10543,0,,
1999-07-06,10543,10543,10543,10543,0,,
1999-07-07,10543,10543,10543,10543,0,,
1999-07-08,9278,9278,9278,9277,50,18480.0,700000.0
1999-07-09,8171,8171,8171,8170,70,16275.0,700000.0
1999-07-12,8171,8171,7240,7239,31,14420.0,700000.0
1999-07-13,6431,6431,6431,6431,50,12810.0,700000.0
1999-07-14,6431,6431,6431,6431,0,12810.0,700000.0
1999-07-15,5693,5693,5693,5693,1,11340.0,700000.0
1999-07-16,5096,5096,5096,5095,0,10150.0,700000.0
1999-07-19,4569,4569,4569,4568,1,9100.0,700000.0
1999-07-20,4569,4569,4569,4568,0,9100.0,700000.0
1999-07-21,4604,4604,4604,4603,0,9170.0,700000.0
1999-07-22,4604,4604,4604,4603,0,9170.0,700000.0
1999-07-23,4077,4077,4077,4076,1,8120.0,700000.0
1999-07-26,4498,4498,4498,4498,0,8960.0,700000.0
1999-07-27,4920,4920,4920,4920,0,9800.0,700000.0
1999-07-28,5447,5447,5447,5447,0,10850.0,700000.0
1999-07-29,5623,5623,5623,5623,0,11200.0,700000.0
1999-07-30,5728,5728,5728,5728,900,11410.0,700000.0
1999-08-02,6326,6326,6326,6325,54000,12600.0,700000.0
1999-08-03,6326,6326,6326,6325,0,12600.0,700000.0
1999-08-04,6326,6326,6326,6325,0,,
1999-08-05,6326,6326,6326,6325,0,,
1999-08-06,6326,6326,6326,6325,0,,
1999-08-09,6326,6326,6326,6325,0,,
1999-08-10,6326,6326,6326,6325,0,,
1999-08-11,6326,6326,6326,6325,0,,
1999-08-12,6326,6326,6326,6325,0,,
1999-08-13,6326,6326,6326,6325,0,,
1999-08-16,6326,6326,6326,6325,0,,
1999-08-17,6326,6326,6326,6325,0,,
1999-08-18,6326,6326,6326,6325,0,,
1999-08-19,6326,6326,6326,6325,0,,
1999-08-20,6326,6326,6326,6325,0,,
1999-08-23,6326,6326,6326,6325,0,,
1999-08-24,6326,6326,6326,6325,0,,
1999-08-25,6326,6326,6326,6325,0,,
1999-08-26,6326,6326,6326,6325,0,,
1999-08-27,6326,6326,6326,6325,0,,
1999-08-30,6326,6326,6326,6325,0,,
1999-08-31,6326,6326,6326,6325,0,,
1999-09-01,6326,6326,6326,6325,0,,
1999-09-02,6326,6326,6326,6325,0,,
1999-09-03,6326,6326,6326,6325,0,,
1999-09-06,6326,6326,6326,6325,0,,
1999-09-07,6326,6326,6326,6325,0,,
1999-09-08,6326,6326,6326,6325,0,,
1999-09-09,6326,6326,6326,6325,0,,
1999-09-10,6326,6326,6326,6325,0,,
1999-09-13,6326,6326,6326,6325,0,,
1999-09-14,6326,6326,6326,6325,0,,
1999-09-15,6150,6150,6150,6150,432,12250.0,700000.0
1999-09-16,6150,6150,6150,6150,0,12250.0,700000.0
1999-09-17,6150,6150,6150,6150,0,,
1999-09-20,6150,6150,6150,6150,0,,
1999-09-21,6150,6150,6150,6150,0,,
1999-09-22,6361,6361,6361,6361,688,12670.0,700000.0
1999-09-27,6361,6361,6361,6361,0,12670.0,700000.0
1999-09-28,6361,6361,6361,6361,0,,
1999-09-29,6361,6361,6361,6361,0,,
1999-09-30,6361,6361,6361,6361,0,,
1999-10-01,6361,6361,6361,6361,0,,
1999-10-04,6361,6361,6361,6361,0,,
1999-10-05,6361,6361,6361,6361,0,,
1999-10-06,6361,6361,6361,6361,0,,
1999-10-07,6361,6361,6361,6361,0,,
1999-10-08,6361,6361,6361,6361,0,,
1999-10-11,6361,6361,6361,6361,0,,
1999-10-12,6361,6361,6361,6361,0,,
1999-10-13,6361,6361,6361,6361,0,,
1999-10-14,6361,6361,6361,6361,0,,
1999-10-15,6396,6396,6396,6396,510,12740.0,700000.0
1999-10-18,6396,6396,6396,6396,0,12740.0,700000.0
1999-10-19,6396,6396,6396,6396,0,,
1999-10-20,6361,6361,6361,6361,455,12670.0,700000.0
1999-10-21,6361,6361,6361,6361,0,,
1999-10-22,6361,6361,6361,6361,0,,
1999-10-25,6326,6326,6326,6325,530,12600.0,700000.0
1999-10-26,6326,6326,6326,6325,0,,
1999-10-27,6326,6326,6326,6325,0,,
1999-10-28,6326,6326,6326,6325,0,,
1999-10-29,6326,6326,6326,6325,0,,
1999-11-01,6326,6326,6326,6325,0,,
1999-11-02,6326,6326,6326,6325,0,,
1999-11-03,6326,6326,6326,6325,0,,
1999-11-04,6326,6326,6326,6325,0,,
1999-11-05,6677,6677,6677,6677,0,13300.0,700000.0
1999-11-08,7468,7468,7468,7468,0,14875.0,700000.0
