이테크건설(016250),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-12-28,7580,8500,7480,7480,110874,20944.0,2800000.0
2000-01-04,6590,6590,6590,6590,262,18452.0,2800000.0
2000-01-05,5800,7000,5800,6800,15440,19040.0,2800000.0
2000-01-06,6030,6780,5990,6670,5798,18676.0,2800000.0
2000-01-07,5870,5880,5870,5870,15189,16436.0,2800000.0
2000-01-10,5300,5980,5170,5980,32592,16744.0,2800000.0
2000-01-11,5330,6000,5300,6000,1832,16800.0,2800000.0
2000-01-12,6000,6000,5430,6000,714,16800.0,2800000.0
2000-01-13,5400,5400,5280,5280,12316,14784.0,2800000.0
2000-01-14,5500,5500,4650,4650,16284,13020.0,2800000.0
2000-01-17,4650,5200,4650,5200,40286,14560.0,2800000.0
2000-01-18,5790,5820,4770,5820,1726,16296.0,2800000.0
2000-01-19,5800,6000,5130,6000,1200,16800.0,2800000.0
2000-01-20,5500,5500,5280,5500,1100,15400.0,2800000.0
2000-01-21,4860,6000,4860,6000,636,16800.0,2800000.0
2000-01-24,6720,6720,5280,6210,5487,17388.0,2800000.0
2000-01-25,5470,6000,5470,5940,456,16632.0,2800000.0
2000-01-26,5800,5900,5800,5900,120,16520.0,2800000.0
2000-01-27,6600,6600,5320,6370,30440,17836.0,2800000.0
2000-01-28,5660,6200,5610,6000,3119,16800.0,2800000.0
2000-01-31,5880,6280,5280,5500,3213,15400.0,2800000.0
2000-02-01,5430,5880,4840,5500,5500,15400.0,2800000.0
2000-02-02,5660,5660,5300,5600,21600,15680.0,2800000.0
2000-02-03,5890,5890,5200,5600,8711,15680.0,2800000.0
2000-02-07,5800,5860,5300,5600,15248,15680.0,2800000.0
2000-02-08,5590,5590,5200,5550,7937,15540.0,2800000.0
2000-02-09,5520,5980,5300,5980,29251,16744.0,2800000.0
2000-02-10,6480,6690,5330,6690,5587,18732.0,2800000.0
2000-02-11,6400,7490,6150,7400,38437,20720.0,2800000.0
2000-02-14,7500,8270,7500,8100,22932,22680.0,2800000.0
2000-02-15,8500,8580,7500,7900,10900,22120.0,2800000.0
2000-02-16,6960,7990,6960,7990,5713,22372.0,2800000.0
2000-02-17,7890,7890,7310,7850,2298,21980.0,2800000.0
2000-02-18,7400,8000,7400,8000,9025,22400.0,2800000.0
2000-02-21,7700,7700,7300,7700,3032,21560.0,2800000.0
2000-02-22,6830,8620,6830,7400,8242,20720.0,2800000.0
2000-02-23,7400,7950,7210,7850,13972,21980.0,2800000.0
2000-02-24,7900,7950,7450,7900,16202,22120.0,2800000.0
2000-02-25,8000,8840,7950,8840,44600,24752.0,2800000.0
2000-02-28,9200,9900,9000,9900,71420,27720.0,2800000.0
2000-02-29,11050,11050,11000,11050,115853,30940.0,2800000.0
2000-03-02,12350,12350,12000,12350,70296,34580.0,2800000.0
2000-03-03,13800,13800,13500,13800,28930,38640.0,2800000.0
2000-03-06,15450,15450,15450,15450,8037,43260.0,2800000.0
2000-03-07,17300,17300,15600,17300,165343,48440.0,2800000.0
2000-03-08,17500,19300,15250,17900,101212,50120.0,2800000.0
2000-03-09,17900,19900,16500,18500,99279,51800.0,2800000.0
2000-03-10,18000,18800,16500,17000,76127,47600.0,2800000.0
2000-03-13,17500,18500,17000,18000,71309,50400.0,2800000.0
2000-03-14,19600,20150,19100,20150,65661,56420.0,2800000.0
2000-03-15,22550,22550,19000,22550,251033,63140.0,2800000.0
2000-03-16,20000,22000,19850,19850,99002,55580.0,2800000.0
2000-03-17,17500,17500,17500,17500,6763,49000.0,2800000.0
2000-03-20,15400,15400,15400,15400,502,43120.0,2800000.0
2000-03-21,13600,13600,13600,13600,4487,38080.0,2800000.0
2000-03-22,12000,15200,12000,15200,268738,42560.0,2800000.0
2000-03-23,15900,15900,13400,13400,88591,37520.0,2800000.0
2000-03-24,12500,14000,11800,11800,83534,33040.0,2800000.0
2000-03-27,13200,13200,12150,13200,74628,36960.0,2800000.0
2000-03-28,13000,14750,12300,14650,101213,41020.0,2800000.0
2000-03-29,15200,15700,13000,14000,95365,39200.0,2800000.0
2000-03-30,13500,14200,12800,13200,37746,36960.0,2800000.0
2000-03-31,13000,14750,12000,14400,68945,40320.0,2800000.0
2000-04-03,15000,16100,14000,15500,118655,43400.0,2800000.0
2000-04-04,14700,14900,13650,14400,41725,40320.0,2800000.0
2000-04-06,13900,15300,13500,14800,32897,41440.0,2800000.0
2000-04-07,15100,15700,14600,14800,57816,41440.0,2800000.0
2000-04-10,14700,16250,14700,15650,106009,43820.0,2800000.0
2000-04-11,14000,14800,13800,13800,28949,38640.0,2800000.0
2000-04-12,12600,13700,12300,13500,32613,37800.0,2800000.0
2000-04-14,13000,13950,11900,12450,26266,34860.0,2800000.0
2000-04-17,11000,11400,11000,11000,10815,30800.0,2800000.0
2000-04-18,11900,11900,9700,10900,43440,30520.0,2800000.0
2000-04-19,11500,12200,10500,12200,51799,34160.0,2800000.0
2000-04-20,12900,13650,11700,13650,56994,38220.0,2800000.0
2000-04-21,15000,15250,13100,14300,111989,40040.0,2800000.0
2000-04-24,14000,14800,13200,13800,51184,38640.0,2800000.0
2000-04-25,13700,14450,13350,13350,37381,37380.0,2800000.0
2000-04-26,13000,14000,12000,12850,39939,35980.0,2800000.0
2000-04-27,12500,13300,11400,11700,66510,32760.0,2800000.0
2000-04-28,11500,12200,10800,11700,27555,32760.0,2800000.0
2000-05-02,11600,11900,10600,11300,28899,31640.0,2800000.0
2000-05-03,11000,11450,10700,11000,31602,30800.0,2800000.0
2000-05-04,11700,12300,11300,12300,39503,34440.0,2800000.0
2000-05-08,13750,13750,13300,13750,42632,38500.0,2800000.0
2000-05-09,14500,15400,13200,15400,164069,43120.0,2800000.0
2000-05-10,17200,17200,17200,17200,30748,48160.0,2800000.0
2000-05-12,19250,19250,19250,19250,14729,53900.0,2800000.0
2000-05-15,21550,21550,16950,18000,312083,50400.0,2800000.0
2000-05-16,18000,18000,15850,15850,144460,44380.0,2800000.0
2000-05-17,16000,17750,15600,17750,213069,49700.0,2800000.0
2000-05-18,17200,19400,15900,16800,287413,47040.0,2800000.0
2000-05-19,16900,16900,14800,14800,82307,41440.0,2800000.0
2000-05-22,13050,13100,13050,13050,9825,36540.0,2800000.0
2000-05-23,11500,11500,11500,11500,1933,32200.0,2800000.0
2000-05-24,10150,12400,10150,10700,110122,29960.0,2800000.0
2000-05-25,10800,11950,10800,11950,56959,33460.0,2800000.0
2000-05-26,11950,12550,10550,10600,80854,29680.0,2800000.0
2000-05-29,10150,11400,9350,10500,60792,29400.0,2800000.0
2000-05-30,11700,11750,11000,11750,59515,32900.0,2800000.0
2000-05-31,12500,13000,12000,12750,81726,35700.0,2800000.0
2000-06-01,12000,12250,11250,11250,84399,31500.0,2800000.0
2000-06-02,11350,11900,10400,11250,105987,31500.0,2800000.0
2000-06-05,11500,12600,11400,12600,157904,35280.0,2800000.0
2000-06-07,13200,14100,13050,14100,110754,39480.0,2800000.0
2000-06-08,14100,14500,12450,12450,109146,34860.0,2800000.0
2000-06-09,11500,12000,11350,12000,69636,33600.0,2800000.0
2000-06-12,11800,12700,11500,12500,55459,35000.0,2800000.0
2000-06-13,12300,12500,11000,11000,50885,30800.0,2800000.0
2000-06-14,10700,11800,10700,11350,47943,31780.0,2800000.0
2000-06-15,11050,11650,10200,11200,26955,31360.0,2800000.0
2000-06-16,10500,11150,10100,10700,29366,29960.0,2800000.0
2000-06-19,10000,10800,10000,10300,19345,28840.0,2800000.0
2000-06-20,10000,11100,10000,10500,42229,29400.0,2800000.0
2000-06-21,10500,10750,10200,10350,41590,28980.0,2800000.0
2000-06-22,10450,10700,9900,10200,48011,28560.0,2800000.0
2000-06-23,10200,10250,9800,10100,32896,28280.0,2800000.0
2000-06-26,10000,11100,10000,10650,41086,29820.0,2800000.0
2000-06-27,10900,10900,10250,10500,34758,29400.0,2800000.0
2000-06-28,10500,10900,10100,10650,47719,29820.0,2800000.0
2000-06-29,10700,10750,10200,10600,20843,29680.0,2800000.0
2000-06-30,10450,10600,10100,10600,18795,29680.0,2800000.0
2000-07-03,10500,11850,10300,11850,55543,33180.0,2800000.0
2000-07-04,11850,12200,10750,11000,53370,30800.0,2800000.0
2000-07-05,10950,10950,9700,10250,37629,28700.0,2800000.0
2000-07-06,9900,10200,9800,10000,19667,28000.0,2800000.0
2000-07-07,9700,10400,9700,10200,30912,28560.0,2800000.0
2000-07-10,10500,10500,10050,10250,20003,28700.0,2800000.0
2000-07-11,10350,10350,9560,9980,22538,27944.0,2800000.0
2000-07-12,10100,10100,9200,10000,15387,28000.0,2800000.0
2000-07-13,9800,10200,9500,10000,12776,28000.0,2800000.0
2000-07-14,9500,10100,9500,10100,8298,28280.0,2800000.0
2000-07-18,10000,10500,9850,10150,19189,28420.0,2800000.0
2000-07-19,9850,10050,9500,9880,11561,27664.0,2800000.0
2000-07-20,9800,11050,9300,10600,82912,29680.0,2800000.0
2000-07-21,10500,11200,10100,10650,36156,29820.0,2800000.0
2000-07-24,10500,11900,10250,11350,171276,31780.0,2800000.0
2000-07-25,11300,12700,10550,12300,178655,34440.0,2800000.0
2000-07-26,12400,13100,11500,11750,121701,32900.0,2800000.0
2000-07-27,11850,12500,11700,12100,129583,33880.0,2800000.0
2000-07-28,11950,12300,10650,10800,81343,30240.0,2800000.0
