데코앤이(017680),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,4208,4208,4208,4216,0,3300.0,600000.0
1999-01-05,4208,4208,4208,4216,0,,
1999-01-06,4208,4208,4208,4216,90,3300.0,600000.0
1999-01-07,4292,4292,4292,4293,0,3360.0,600000.0
1999-01-08,4292,4292,4292,4293,0,3360.0,600000.0
1999-01-11,4292,4292,4292,4293,0,,
1999-01-12,4806,4806,4806,4807,0,3762.0,600000.0
1999-01-13,5373,5373,5373,5382,0,4212.0,600000.0
1999-01-14,5373,5373,5373,5382,0,4212.0,600000.0
1999-01-15,5373,5373,5373,5382,0,,
1999-01-18,5373,5373,5373,5382,0,,
1999-01-19,5519,5519,5519,5520,100,4320.0,600000.0
1999-01-20,5741,5741,5741,5750,0,4500.0,600000.0
1999-01-21,5741,5741,5741,5750,0,4500.0,600000.0
1999-01-22,6431,6431,6431,6439,150,5040.0,600000.0
1999-01-25,7206,7206,7206,7206,90,5640.0,600000.0
1999-01-26,7206,7206,7206,7206,0,5640.0,600000.0
1999-01-27,7206,7206,7206,7206,0,,
1999-01-28,7964,7964,7964,7973,700,6240.0,600000.0
1999-01-29,8884,8884,8884,8893,0,6960.0,600000.0
1999-02-01,9919,9919,9919,9927,52,7770.0,600000.0
1999-02-02,9919,9919,9919,9927,0,7770.0,600000.0
1999-02-03,11107,11107,11107,11116,0,8700.0,600000.0
1999-02-04,9812,9812,9812,9812,63,7680.0,600000.0
1999-02-05,8654,8654,8654,8663,0,6780.0,600000.0
1999-02-08,7620,9689,7620,9698,51,7590.0,600000.0
1999-02-09,9689,9689,9689,9698,0,7590.0,600000.0
1999-02-10,8585,8585,8585,8586,0,6720.0,600000.0
1999-02-11,7742,7742,7742,7743,0,6060.0,600000.0
1999-02-12,8654,8654,8654,8663,1,6780.0,600000.0
1999-02-18,8654,8654,8654,8663,0,6780.0,600000.0
1999-02-19,8654,8654,8654,8663,0,,
1999-02-22,8432,8432,8432,8433,0,6600.0,600000.0
1999-02-23,8432,8432,8432,8433,5800,6600.0,600000.0
1999-02-24,7964,7964,7964,7973,5400,6240.0,600000.0
1999-02-25,7964,7964,7964,7973,0,6240.0,600000.0
1999-02-26,7964,7964,7964,7973,1400,6240.0,600000.0
1999-03-02,7964,7964,7964,7973,0,,
1999-03-03,7120,8884,7120,8893,101,6960.0,600000.0
1999-03-04,9881,9881,9881,9889,50,7740.0,600000.0
1999-03-05,11039,11039,11039,11039,10,8640.0,600000.0
