에이티넘인베스트(021080),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,485,485,485,484,0,18980.0,2600000.0
1999-01-05,485,485,485,484,0,,
1999-01-06,485,485,485,484,0,,
1999-01-07,485,485,485,484,0,,
1999-01-08,485,485,485,484,0,,
1999-01-11,485,485,485,484,0,,
1999-01-12,485,485,485,484,0,,
1999-01-13,485,485,485,484,0,,
1999-01-14,485,485,485,484,0,,
1999-01-15,485,485,485,484,0,,
1999-01-18,485,485,485,484,0,,
1999-01-19,485,485,485,484,0,,
1999-01-20,485,485,485,484,0,,
1999-01-21,485,485,485,484,0,,
1999-01-22,485,485,485,484,0,,
1999-01-25,485,485,485,484,0,,
1999-01-26,485,485,485,484,0,,
1999-01-27,485,485,485,484,0,,
1999-01-28,485,485,485,484,0,,
1999-01-29,542,542,542,542,200,21242.0,2600000.0
1999-02-01,543,543,543,544,0,21320.0,2600000.0
1999-02-02,543,543,543,544,0,21320.0,2600000.0
1999-02-03,609,609,609,609,200,23868.0,2600000.0
1999-02-04,609,609,609,609,0,23868.0,2600000.0
1999-02-05,609,609,609,609,0,,
1999-02-08,609,609,609,609,0,,
1999-02-09,609,609,609,609,0,,
1999-02-10,609,609,609,609,0,,
1999-02-11,609,609,609,609,0,,
1999-02-12,609,609,609,609,0,,
1999-02-18,609,609,609,609,0,,
1999-02-19,609,609,609,609,0,,
1999-02-22,609,609,609,609,0,,
1999-02-23,609,609,609,609,0,,
1999-02-24,609,609,609,609,0,,
1999-02-25,609,609,609,609,0,,
1999-02-26,609,609,609,609,0,,
1999-03-02,609,609,609,609,0,,
1999-03-03,609,609,609,609,0,,
1999-03-04,609,609,609,609,0,,
1999-03-05,609,609,609,609,0,,
1999-03-08,609,609,609,609,0,,
1999-03-09,609,609,609,609,0,,
1999-03-10,609,609,609,609,0,,
1999-03-11,651,651,651,650,0,25480.0,2600000.0
1999-03-12,651,651,651,650,0,25480.0,2600000.0
1999-03-15,651,651,651,650,0,,
1999-03-16,651,651,651,650,0,,
1999-03-17,651,651,651,650,0,,
1999-03-18,651,651,651,650,0,,
1999-03-19,651,651,651,650,0,,
1999-03-22,651,651,651,650,0,,
1999-03-23,651,651,651,650,0,,
1999-03-24,651,651,651,650,0,,
1999-03-25,651,651,651,650,0,,
1999-03-26,651,651,651,650,0,,
1999-03-29,651,651,651,650,0,,
1999-03-30,651,651,651,650,0,,
1999-03-31,651,651,651,650,0,,
1999-04-01,651,651,651,650,0,,
1999-04-02,651,651,651,650,0,,
1999-04-06,651,651,651,650,0,,
1999-04-07,664,664,664,664,200,26000.0,2600000.0
1999-04-08,664,664,664,664,0,26000.0,2600000.0
1999-04-09,664,664,664,664,0,,
1999-04-12,664,664,664,664,0,,
1999-04-13,664,664,664,664,0,,
1999-04-14,664,664,664,664,0,,
1999-04-15,664,664,664,664,0,,
1999-04-16,664,664,664,664,0,,
1999-04-19,664,664,664,664,0,,
1999-04-20,664,664,664,664,0,,
1999-04-21,664,664,664,664,0,,
1999-04-22,664,664,664,664,0,,
1999-04-23,664,664,664,664,0,,
1999-04-26,664,664,664,664,200,26000.0,2600000.0
1999-04-27,664,664,664,664,0,,
1999-04-28,664,664,664,664,0,,
1999-04-29,664,664,664,664,0,,
1999-04-30,664,664,664,664,0,,
1999-05-03,664,664,664,664,0,,
1999-05-04,742,742,742,742,1000,29120.0,2600000.0
1999-05-06,742,742,742,742,0,29120.0,2600000.0
1999-05-07,762,762,762,762,0,29900.0,2600000.0
1999-05-10,769,769,769,769,0,30160.0,2600000.0
1999-05-11,858,858,858,858,10,33670.0,2600000.0
1999-05-12,896,896,896,896,0,35100.0,2600000.0
1999-05-13,896,896,896,896,0,35100.0,2600000.0
1999-05-14,896,896,896,896,0,,
1999-05-17,896,896,896,896,0,,
1999-05-18,896,896,896,896,0,,
1999-05-19,994,994,994,995,0,39000.0,2600000.0
1999-05-20,994,994,994,995,0,39000.0,2600000.0
1999-05-21,875,935,875,935,2000850,36660.0,2600000.0
1999-05-24,994,1044,921,1044,1761100,40950.0,2600000.0
1999-05-25,1167,1167,1048,1167,272850,45760.0,2600000.0
1999-05-26,1306,1306,1306,1306,85150,51220.0,2600000.0
1999-05-27,1462,1462,1299,1459,624300,57200.0,2600000.0
1999-05-28,1413,1632,1386,1585,467950,62140.0,2600000.0
1999-05-31,1525,1775,1525,1774,512820,69550.0,2600000.0
1999-06-01,1986,1986,1983,1986,107270,77870.0,2600000.0
1999-06-02,1983,2115,1856,1923,78830,75400.0,2600000.0
1999-06-03,1964,2057,1891,2056,87750,80600.0,2600000.0
1999-06-04,2022,2022,1849,1950,32820,76440.0,2600000.0
1999-06-07,1910,2035,1910,2023,201460,79300.0,2600000.0
1999-06-08,2265,2265,1990,2122,288240,83200.0,2600000.0
1999-06-09,2116,2116,1891,1963,127270,76960.0,2600000.0
1999-06-10,1964,2155,1923,2063,549520,80860.0,2600000.0
1999-06-11,2116,2189,1818,1990,1886540,78000.0,2600000.0
1999-06-14,2057,2228,1977,1990,2066660,78000.0,2600000.0
1999-06-15,2056,2227,1763,2228,1129350,87360.0,2600000.0
1999-06-16,2493,2493,2386,2493,3534980,97760.0,2600000.0
1999-06-17,2791,2791,2718,2792,2055560,109460.0,2600000.0
1999-06-18,2792,2792,2521,2693,742890,105560.0,2600000.0
1999-06-21,2645,2652,2454,2646,926650,103740.0,2600000.0
1999-06-22,2652,2845,2454,2553,882270,100100.0,2600000.0
1999-06-23,2254,2327,2247,2248,446600,88140.0,2600000.0
1999-06-24,2341,2388,2123,2195,651580,86060.0,2600000.0
1999-06-25,2196,2315,2030,2188,713650,85800.0,2600000.0
1999-06-28,2189,2269,1927,2086,1035090,81770.0,2600000.0
1999-06-29,2073,2073,1837,1897,798710,74360.0,2600000.0
1999-06-30,1897,2123,1897,2122,1039990,83200.0,2600000.0
1999-07-01,2355,2375,2265,2375,553930,93080.0,2600000.0
1999-07-02,2387,2521,2159,2421,655710,94900.0,2600000.0
1999-07-05,2320,2509,2320,2321,479020,91000.0,2600000.0
1999-07-06,2222,2320,2215,2241,434400,87880.0,2600000.0
1999-07-07,2321,2441,2262,2288,463480,89700.0,2600000.0
1999-07-08,2254,2288,2122,2248,604850,88140.0,2600000.0
1999-07-09,2122,2380,2122,2261,576540,88660.0,2600000.0
