제일제강(023440),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,1006,1006,1006,1008,0,11800.0,1000000.0
1999-01-05,1006,1006,1006,1008,0,,
1999-01-06,1006,1006,1006,1008,0,,
1999-01-07,1006,1006,1006,1008,0,,
1999-01-08,1006,1006,1006,1008,0,,
1999-01-11,1006,1006,1006,1008,0,,
1999-01-12,1006,1006,1006,1008,0,,
1999-01-13,1006,1006,1006,1008,0,,
1999-01-14,1006,1006,1006,1008,0,,
1999-01-15,1006,1006,1006,1008,0,,
1999-01-18,1006,1006,1006,1008,0,,
1999-01-19,1006,1006,1006,1008,0,,
1999-01-20,1006,1006,1006,1008,0,,
1999-01-21,1006,1006,1006,1008,0,,
1999-01-22,1006,1006,1006,1008,0,,
1999-01-25,1006,1006,1006,1008,0,,
1999-01-26,1006,1006,1006,1008,12000,11800.0,1000000.0
1999-01-27,1006,1006,1006,1008,0,,
1999-01-28,1006,1006,1006,1008,0,,
1999-01-29,1006,1006,1006,1008,0,,
1999-02-01,1006,1006,1006,1008,0,,
1999-02-02,1006,1006,1006,1008,0,,
1999-02-03,1006,1006,1006,1008,0,,
1999-02-04,1126,1126,1126,1126,1000,13200.0,1000000.0
1999-02-05,1256,1256,1256,1259,50,14750.0,1000000.0
1999-02-08,1407,1407,1407,1409,10,16500.0,1000000.0
1999-02-09,1574,1574,1574,1575,10,18450.0,1000000.0
1999-02-10,1762,1762,1762,1762,10,20650.0,1000000.0
1999-02-11,1972,1972,1972,1972,10,23100.0,1000000.0
1999-02-12,1972,1972,1972,1972,0,23100.0,1000000.0
1999-02-18,2205,2205,2205,2206,10,25850.0,1000000.0
1999-02-19,2205,2205,2205,2206,0,25850.0,1000000.0
1999-02-22,2200,2200,2200,2202,0,25800.0,1000000.0
1999-02-23,1941,1941,1941,1942,0,22750.0,1000000.0
1999-02-24,1710,1710,1710,1711,0,20050.0,1000000.0
1999-02-25,1710,1710,1710,1711,0,20050.0,1000000.0
1999-02-26,1711,1915,1535,1917,10010,22450.0,1000000.0
1999-03-02,1705,1705,1705,1707,14600,20000.0,1000000.0
1999-03-03,1705,1705,1705,1707,0,20000.0,1000000.0
1999-03-04,1705,1705,1705,1707,0,,
1999-03-05,1534,1534,1534,1537,0,18000.0,1000000.0
1999-03-08,1352,1352,1352,1353,0,15850.0,1000000.0
1999-03-09,1280,1280,1280,1281,0,15000.0,1000000.0
1999-03-10,1280,1280,1280,1281,0,15000.0,1000000.0
1999-03-11,1280,1280,1280,1281,0,,
1999-03-12,1280,1280,1280,1281,0,,
1999-03-15,1280,1280,1280,1281,0,,
1999-03-16,1280,1280,1280,1281,0,,
1999-03-17,1280,1280,1280,1281,0,,
1999-03-18,1280,1280,1280,1281,0,,
1999-03-19,1280,1280,1280,1281,0,,
1999-03-22,1280,1280,1280,1281,0,,
1999-03-23,1280,1280,1280,1281,0,,
1999-03-24,1280,1280,1280,1281,0,,
1999-03-25,1280,1280,1280,1281,0,,
1999-03-26,1280,1280,1280,1281,0,,
1999-03-29,1280,1280,1280,1281,0,,
1999-03-30,1280,1280,1280,1281,0,,
1999-03-31,1280,1280,1280,1281,0,,
1999-04-01,1280,1280,1280,1281,0,,
1999-04-02,1280,1280,1280,1281,0,,
1999-04-06,1280,1280,1280,1281,0,,
1999-04-07,1280,1280,1280,1281,0,,
1999-04-08,1280,1280,1280,1281,0,,
1999-04-09,1280,1280,1280,1281,0,,
1999-04-12,1280,1280,1280,1281,0,,
1999-04-13,1280,1280,1280,1281,0,,
1999-04-14,1280,1280,1280,1281,0,,
1999-04-15,1280,1280,1280,1281,0,,
1999-04-16,1280,1280,1280,1281,0,,
1999-04-19,1280,1280,1280,1281,0,,
1999-04-20,1280,1280,1280,1281,0,,
1999-04-21,1280,1280,1280,1281,0,,
1999-04-22,1280,1280,1280,1281,0,,
1999-04-23,1280,1280,1280,1281,0,,
1999-04-26,1280,1280,1280,1281,0,,
1999-04-27,1280,1280,1280,1281,0,,
1999-04-28,1280,1280,1280,1281,0,,
1999-04-29,1151,1151,1151,1152,11000,13500.0,1000000.0
1999-04-30,1014,1014,1014,1016,10,11900.0,1000000.0
1999-05-03,1014,1014,1014,1016,0,11900.0,1000000.0
1999-05-04,1014,1014,1014,1016,0,,
1999-05-06,896,896,896,896,10,10500.0,1000000.0
1999-05-07,790,790,790,790,10,9250.0,1000000.0
1999-05-10,692,692,692,695,0,8140.0,1000000.0
1999-05-11,610,610,610,612,0,7170.0,1000000.0
1999-05-12,539,539,539,540,10,6330.0,1000000.0
1999-05-13,477,477,477,478,10,5590.0,1000000.0
1999-05-14,477,477,477,478,0,5590.0,1000000.0
1999-05-17,421,421,421,421,10,4930.0,1000000.0
1999-05-18,370,370,370,372,20,4350.0,1000000.0
1999-05-19,414,414,414,416,0,4870.0,1000000.0
1999-05-20,464,464,464,466,0,5450.0,1000000.0
1999-05-21,519,519,519,521,10,6100.0,1000000.0
1999-05-24,581,581,581,582,0,6830.0,1000000.0
1999-05-25,650,650,650,652,0,7640.0,1000000.0
1999-05-26,728,728,728,730,20,8550.0,1000000.0
1999-05-27,728,728,728,730,0,8550.0,1000000.0
1999-05-28,728,728,728,730,0,,
1999-05-31,817,817,681,683,9300,8000.0,1000000.0
1999-06-01,763,763,763,765,10,8960.0,1000000.0
1999-06-02,769,769,769,769,0,9010.0,1000000.0
1999-06-03,852,852,852,854,0,10000.0,1000000.0
1999-06-04,956,956,956,956,620,11200.0,1000000.0
1999-06-07,1066,1066,1066,1067,0,12500.0,1000000.0
1999-06-08,1066,1066,1066,1067,0,12500.0,1000000.0
1999-06-09,1066,1066,1066,1067,0,,
1999-06-10,1194,1194,1194,1194,340,14000.0,1000000.0
1999-06-11,1336,1336,1336,1336,10,15650.0,1000000.0
1999-06-14,1493,1493,1493,1494,10,17500.0,1000000.0
1999-06-15,1671,1671,1671,1673,10,19600.0,1000000.0
1999-06-16,1873,1873,1873,1874,10,21950.0,1000000.0
1999-06-17,2094,2094,2094,2095,20,24550.0,1000000.0
1999-06-18,2095,2304,2095,2305,2620,27000.0,1000000.0
1999-06-21,2560,2577,2560,2578,5120,30200.0,1000000.0
1999-06-22,2884,2884,2884,2885,1010,33800.0,1000000.0
1999-06-23,2645,2645,2645,2646,10,31000.0,1000000.0
1999-06-24,2329,2329,2329,2331,2320,27300.0,1000000.0
1999-06-25,2051,2051,2051,2053,1000,24050.0,1000000.0
1999-06-28,1963,1963,1810,1810,2010,21200.0,1000000.0
1999-06-29,1662,1662,1620,1621,1550,19000.0,1000000.0
