한국캐피탈(023760),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,182,182,182,183,13135,2170.0,7000000.0
1999-01-05,165,200,165,165,21886,1960.0,7000000.0
1999-01-06,147,182,147,183,13270,2170.0,7000000.0
1999-01-07,199,199,199,201,500,2380.0,7000000.0
1999-01-08,224,224,224,224,14100,2660.0,7000000.0
1999-01-11,247,247,247,248,2655,2940.0,7000000.0
1999-01-12,278,278,278,277,3600,3290.0,7000000.0
1999-01-13,305,305,305,307,5797,3640.0,7000000.0
1999-01-14,341,341,341,343,11030,4060.0,7000000.0
1999-01-15,377,377,354,377,48361,4480.0,7000000.0
1999-01-18,420,420,420,419,4709,4970.0,7000000.0
1999-01-19,465,465,465,467,8459,5530.0,7000000.0
1999-01-20,519,519,472,519,173387,6160.0,7000000.0
1999-01-21,578,578,531,578,115197,6860.0,7000000.0
1999-01-22,619,636,512,513,59237,6090.0,7000000.0
1999-01-25,454,454,454,454,16470,5390.0,7000000.0
1999-01-26,402,402,402,401,13030,4760.0,7000000.0
1999-01-27,354,447,354,449,139876,5320.0,7000000.0
1999-01-28,501,501,501,501,32862,5950.0,7000000.0
1999-01-29,561,561,531,560,211080,6650.0,7000000.0
1999-02-01,589,625,589,625,105852,7420.0,7000000.0
1999-02-02,695,695,695,697,60388,8260.0,7000000.0
1999-02-03,778,778,773,779,150405,9240.0,7000000.0
1999-02-04,867,867,836,867,119722,10290.0,7000000.0
1999-02-05,943,943,766,944,394887,11200.0,7000000.0
1999-02-08,960,973,831,885,150537,10500.0,7000000.0
1999-02-09,884,884,778,779,23026,9240.0,7000000.0
1999-02-10,689,689,689,690,5967,8190.0,7000000.0
1999-02-11,614,774,614,773,124856,9170.0,7000000.0
1999-02-12,795,818,684,708,114956,8400.0,7000000.0
1999-02-18,708,708,625,625,77124,7420.0,7000000.0
1999-02-19,636,636,553,555,42720,6580.0,7000000.0
1999-02-22,490,501,490,490,24730,5810.0,7000000.0
1999-02-23,437,512,437,478,262184,5670.0,7000000.0
1999-02-24,477,530,465,531,162767,6300.0,7000000.0
1999-02-25,530,589,530,590,77657,7000.0,7000000.0
1999-02-26,660,660,519,519,157611,6160.0,7000000.0
1999-03-02,519,578,478,578,104685,6860.0,7000000.0
1999-03-03,589,619,530,590,59169,7000.0,7000000.0
1999-03-04,578,589,530,555,53632,6580.0,7000000.0
1999-03-05,554,554,513,525,47568,6230.0,7000000.0
1999-03-08,530,566,512,537,65186,6370.0,7000000.0
1999-03-09,543,543,490,519,59439,6160.0,7000000.0
1999-03-10,501,519,472,519,37090,6160.0,7000000.0
1999-03-11,482,512,465,513,52102,6090.0,7000000.0
1999-03-12,519,530,472,519,65410,6160.0,7000000.0
1999-03-15,526,549,501,525,67889,6230.0,7000000.0
1999-03-16,526,526,490,490,52039,5810.0,7000000.0
1999-03-17,483,501,478,483,43426,5740.0,7000000.0
1999-03-18,482,482,454,460,38117,5460.0,7000000.0
1999-03-19,407,478,407,454,39921,5390.0,7000000.0
1999-03-22,459,465,424,425,47510,5040.0,7000000.0
1999-03-23,419,419,376,390,152231,4620.0,7000000.0
1999-03-24,389,429,359,431,84120,5110.0,7000000.0
1999-03-25,437,437,383,395,46750,4690.0,7000000.0
1999-03-26,371,412,371,401,32448,4760.0,7000000.0
1999-03-29,394,412,371,372,27285,4410.0,7000000.0
1999-03-30,354,384,354,359,31701,4270.0,7000000.0
1999-03-31,365,365,336,354,58443,4200.0,7000000.0
1999-04-01,354,371,341,343,55749,4060.0,7000000.0
1999-04-02,366,366,348,359,32695,4270.0,7000000.0
1999-04-06,358,365,318,318,85134,3780.0,7000000.0
1999-04-07,289,295,283,289,92597,3430.0,7000000.0
1999-04-08,295,318,295,318,80263,3780.0,7000000.0
1999-04-09,353,353,353,354,117470,4200.0,7000000.0
1999-04-12,395,395,395,395,36017,4690.0,7000000.0
1999-04-13,442,442,442,442,3771,5250.0,7000000.0
1999-04-14,495,495,495,496,25995,5880.0,7000000.0
1999-04-15,553,553,553,555,27274,6580.0,7000000.0
1999-04-16,578,578,490,490,224475,5810.0,7000000.0
1999-04-19,472,531,437,490,261950,5810.0,7000000.0
1999-04-20,495,501,447,449,121431,5320.0,7000000.0
1999-04-21,471,482,454,478,91533,5670.0,7000000.0
1999-04-22,471,495,437,442,64883,5250.0,7000000.0
1999-04-23,388,482,388,442,81750,5250.0,7000000.0
1999-04-26,442,490,395,467,98131,5530.0,7000000.0
1999-04-27,472,478,442,467,73367,5530.0,7000000.0
1999-04-28,412,461,412,436,84250,5180.0,7000000.0
1999-04-29,388,424,388,407,156812,4830.0,7000000.0
