세원물산(024830),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,251,251,251,250,0,1661.0,232000.0
1999-01-05,281,281,281,280,0,1858.0,232000.0
1999-01-06,281,281,281,280,0,1858.0,232000.0
1999-01-07,281,281,281,280,0,,
1999-01-08,281,281,281,280,0,,
1999-01-11,281,281,281,280,0,,
1999-01-12,281,281,281,280,0,,
1999-01-13,281,281,281,280,0,,
1999-01-14,281,281,281,280,0,,
1999-01-15,281,281,281,280,0,,
1999-01-18,281,281,281,280,0,,
1999-01-19,281,281,281,280,0,,
1999-01-20,281,281,281,280,0,,
1999-01-21,281,281,281,280,0,,
1999-01-22,281,281,281,280,0,,
1999-01-25,281,281,281,280,0,,
1999-01-26,281,281,281,280,0,,
1999-01-27,281,281,281,280,0,,
1999-01-28,281,281,281,280,0,,
1999-01-29,280,280,280,280,10000,1856.0,232000.0
1999-02-01,280,280,280,280,0,1856.0,232000.0
1999-02-02,280,280,280,280,0,,
1999-02-03,280,280,280,280,0,,
1999-02-04,280,280,280,280,0,,
1999-02-05,280,280,280,280,0,,
1999-02-08,280,280,280,280,0,,
1999-02-09,280,280,280,280,0,,
1999-02-10,280,280,280,280,0,,
1999-02-11,280,280,280,280,0,,
1999-02-12,280,280,280,280,0,,
1999-02-18,280,280,280,280,0,,
1999-02-19,280,280,280,280,0,,
1999-02-22,280,280,280,280,0,,
1999-02-23,280,280,280,280,0,,
1999-02-24,280,280,280,280,0,,
1999-02-25,280,280,280,280,0,,
1999-02-26,280,280,280,280,10000,1856.0,232000.0
1999-03-02,280,280,280,280,0,,
1999-03-03,280,280,280,280,0,,
1999-03-04,280,280,280,280,0,,
1999-03-05,280,280,280,280,0,,
1999-03-08,280,280,280,280,0,,
1999-03-09,280,280,280,280,0,,
1999-03-10,312,312,312,311,0,2065.0,232000.0
1999-03-11,312,312,312,311,0,2065.0,232000.0
1999-03-12,312,312,312,311,0,,
1999-03-15,312,312,312,311,0,,
1999-03-16,347,347,347,346,0,2297.0,232000.0
1999-03-17,382,382,382,382,0,2529.0,232000.0
1999-03-18,382,382,382,382,0,2529.0,232000.0
1999-03-19,382,382,382,382,0,,
1999-03-22,382,382,382,382,0,,
1999-03-23,428,428,428,427,0,2830.0,232000.0
1999-03-24,428,428,428,427,0,2830.0,232000.0
1999-03-25,478,478,478,478,0,3167.0,232000.0
1999-03-26,478,478,478,478,0,3167.0,232000.0
1999-03-29,478,478,478,478,0,,
1999-03-30,478,478,478,478,0,,
1999-03-31,422,424,422,424,11000,2807.0,232000.0
1999-04-01,424,424,424,424,0,2807.0,232000.0
1999-04-02,424,424,424,424,0,,
1999-04-06,424,424,424,424,0,,
1999-04-07,424,424,424,424,0,,
1999-04-08,424,424,424,424,0,,
1999-04-09,424,424,424,424,0,,
1999-04-12,424,424,424,424,0,,
1999-04-13,424,424,424,424,0,,
1999-04-14,424,424,424,424,0,,
