신라에스지(025870),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,703,703,703,702,0,1872.0,160000.0
1999-01-05,787,787,787,786,0,2096.0,160000.0
1999-01-06,787,787,787,786,0,2096.0,160000.0
1999-01-07,787,787,787,786,0,,
1999-01-08,787,787,787,786,0,,
1999-01-11,787,787,787,786,0,,
1999-01-12,787,787,787,786,0,,
1999-01-13,787,787,787,786,0,,
1999-01-14,715,715,715,714,0,1904.0,160000.0
1999-01-15,751,781,661,780,5000,2080.0,160000.0
1999-01-18,751,751,751,750,1030,2000.0,160000.0
1999-01-19,757,811,757,810,6150,2160.0,160000.0
1999-01-20,811,871,769,871,7400,2320.0,160000.0
1999-01-21,904,904,901,901,11900,2400.0,160000.0
1999-01-22,901,901,901,901,0,2400.0,160000.0
1999-01-25,901,901,901,901,0,,
1999-01-26,793,793,793,792,30,3168.0,240000.0
1999-01-27,781,781,781,780,1500,3120.0,240000.0
1999-01-28,841,841,703,702,2510,2808.0,240000.0
1999-01-29,739,739,739,738,0,2952.0,240000.0
1999-02-01,826,826,769,825,40,3300.0,240000.0
1999-02-02,925,925,925,925,12890,3696.0,240000.0
1999-02-03,1033,1033,931,1033,17870,4128.0,240000.0
1999-02-04,1150,1150,961,1150,1480,4596.0,240000.0
1999-02-05,1015,1195,1015,1195,4280,4776.0,240000.0
1999-02-08,1331,1331,1054,1201,12840,4800.0,240000.0
1999-02-09,1262,1262,1081,1201,1530,4800.0,240000.0
1999-02-10,1141,1141,1141,1141,0,4560.0,240000.0
1999-02-11,1006,1006,1006,1006,2560,4020.0,240000.0
1999-02-12,961,961,961,961,4200,3840.0,240000.0
1999-02-18,961,961,961,961,0,3840.0,240000.0
1999-02-19,961,961,961,961,0,,
1999-02-22,901,991,901,991,2200,3960.0,240000.0
1999-02-23,991,991,991,991,0,3960.0,240000.0
1999-02-24,907,907,907,907,1000,3624.0,240000.0
1999-02-25,907,907,907,907,0,3624.0,240000.0
1999-02-26,931,931,931,931,400,3720.0,240000.0
1999-03-02,931,931,931,931,0,3720.0,240000.0
1999-03-03,1042,1042,1042,1042,100,4164.0,240000.0
1999-03-04,1039,1042,1021,1021,1100,4080.0,240000.0
1999-03-05,991,1051,991,1051,4780,4200.0,240000.0
1999-03-08,1045,1045,1045,1045,0,4176.0,240000.0
1999-03-09,1045,1045,1039,1039,590,4152.0,240000.0
1999-03-10,1051,1051,1051,1051,700,4200.0,240000.0
1999-03-11,1051,1051,1051,1051,0,4200.0,240000.0
1999-03-12,1051,1051,1051,1051,0,,
1999-03-15,1051,1051,1051,1051,0,,
1999-03-16,1111,1111,991,1051,3660,4200.0,240000.0
1999-03-17,1051,1051,1051,1051,0,,
1999-03-18,1051,1051,1051,1051,0,,
1999-03-19,1051,1051,1051,1051,0,,
1999-03-22,1051,1051,1051,1051,0,,
1999-03-23,1051,1051,1051,1051,0,,
1999-03-24,961,961,961,961,0,3840.0,240000.0
1999-03-25,961,961,961,961,0,,
1999-03-26,1021,1021,901,901,2000,3600.0,240000.0
1999-03-29,931,931,847,931,3910,3720.0,240000.0
1999-03-30,961,1021,961,1021,20,4080.0,240000.0
1999-03-31,1021,1021,1021,1021,0,4080.0,240000.0
1999-04-01,1021,1021,1021,1021,970,4080.0,240000.0
1999-04-02,931,991,931,991,1010,3960.0,240000.0
1999-04-06,931,931,931,931,0,3720.0,240000.0
1999-04-07,1042,1042,1042,1042,10,4164.0,240000.0
1999-04-08,931,931,931,931,0,3720.0,240000.0
1999-04-09,931,931,931,931,5100,3720.0,240000.0
1999-04-12,931,931,931,931,0,,
1999-04-13,931,931,931,931,0,,
1999-04-14,931,931,931,931,700,3720.0,240000.0
1999-04-15,931,931,931,931,0,,
1999-04-16,931,931,931,931,0,,
1999-04-19,931,931,931,931,0,,
1999-04-20,937,937,931,931,2000,3720.0,240000.0
1999-04-21,961,961,961,961,1500,3840.0,240000.0
1999-04-22,973,973,973,973,1200,3888.0,240000.0
1999-04-23,973,973,973,973,0,3888.0,240000.0
1999-04-26,949,949,949,949,0,3792.0,240000.0
1999-04-27,949,949,949,949,0,3792.0,240000.0
1999-04-28,919,919,919,919,0,3672.0,240000.0
1999-04-29,919,919,919,919,0,3672.0,240000.0
1999-04-30,901,901,901,901,400,3600.0,240000.0
1999-05-03,931,931,931,931,10000,3720.0,240000.0
1999-05-04,1042,1042,1042,1042,100,,
1999-05-06,1042,1042,1042,1042,0,4164.0,240000.0
1999-05-07,1042,1042,1042,1042,0,,
1999-05-10,1042,1042,1042,1042,0,,
1999-05-11,1021,1027,1021,1027,1460,4104.0,240000.0
1999-05-12,1021,1021,1015,1015,12000,4056.0,240000.0
1999-05-13,1135,1135,1111,1135,8100,4536.0,240000.0
1999-05-14,1271,1271,1271,1270,10,5076.0,240000.0
1999-05-17,1271,1271,1271,1270,0,5076.0,240000.0
1999-05-18,1382,1382,1382,1381,0,5520.0,240000.0
1999-05-19,1382,1382,1382,1381,0,5520.0,240000.0
1999-05-20,1219,1219,1219,1219,10,4872.0,240000.0
1999-05-21,1249,1249,1249,1249,2900,4992.0,240000.0
1999-05-24,1322,1322,1322,1321,0,5280.0,240000.0
1999-05-25,1478,1478,1478,1477,1000,5904.0,240000.0
1999-05-26,1655,1655,1655,1654,2210,6612.0,240000.0
1999-05-27,1853,1853,1853,1853,10040,7404.0,240000.0
1999-05-28,2075,2075,2075,2075,13000,8292.0,240000.0
1999-05-31,2322,2322,2322,2321,10000,9276.0,240000.0
1999-06-01,2598,2598,2598,2598,35800,10380.0,240000.0
1999-06-02,2907,2907,2643,2907,46810,11616.0,240000.0
1999-06-03,2781,2823,2559,2559,12800,10224.0,240000.0
1999-06-04,2283,2403,2253,2252,10210,9000.0,240000.0
1999-06-07,2163,2523,2048,2523,36270,10080.0,240000.0
1999-06-08,2523,2817,2403,2523,18370,10080.0,240000.0
1999-06-09,2223,2523,2223,2523,11560,10080.0,240000.0
1999-06-10,2517,2823,2223,2823,117400,11280.0,240000.0
1999-06-11,2823,3160,2823,3159,56310,12624.0,240000.0
1999-06-14,3160,3538,3154,3538,44840,14136.0,240000.0
1999-06-15,3634,3845,3124,3604,37090,14400.0,240000.0
1999-06-16,3664,4025,3598,3904,37260,15600.0,240000.0
1999-06-17,3484,4115,3484,3844,18600,15360.0,240000.0
1999-06-18,3544,3664,3400,3418,18290,13656.0,240000.0
1999-06-21,3538,3538,3094,3243,18740,12960.0,240000.0
1999-06-22,3298,3298,3004,3003,6720,12000.0,240000.0
1999-06-23,2643,3118,2643,3003,11000,12000.0,240000.0
1999-06-24,3004,3004,2703,2823,9780,11280.0,240000.0
1999-06-25,2829,2829,2487,2577,21130,10296.0,240000.0
1999-06-28,2577,2829,2295,2402,17410,9600.0,240000.0
1999-06-29,2175,2403,2115,2174,26420,8688.0,240000.0
1999-06-30,2235,2433,2235,2432,14340,9720.0,240000.0
1999-07-01,2724,2724,2700,2724,9540,10884.0,240000.0
1999-07-02,2703,2703,2523,2673,1380,10680.0,240000.0
1999-07-05,2631,2631,2415,2523,4660,10080.0,240000.0
1999-07-06,2523,2673,2517,2523,9160,10080.0,240000.0
1999-07-07,2583,2583,2343,2438,13790,9744.0,240000.0
1999-07-08,2328,2691,2328,2459,7610,9828.0,240000.0
1999-07-09,2442,2442,2223,2360,8130,9432.0,240000.0
1999-07-12,2343,2343,2139,2219,15970,8868.0,240000.0
1999-07-13,2310,2343,2124,2309,15720,9228.0,240000.0
1999-07-14,2337,2343,2313,2336,9360,9336.0,240000.0
1999-07-15,2295,2331,2253,2282,6420,9120.0,240000.0
1999-07-16,2379,2379,2223,2348,18520,9384.0,240000.0
1999-07-19,2463,2463,2313,2396,6340,9576.0,240000.0
1999-07-20,2373,2373,2259,2366,11200,9456.0,240000.0
1999-07-21,2343,2343,2139,2138,12830,8544.0,240000.0
1999-07-22,2103,2280,2103,2102,2840,8400.0,240000.0
1999-07-23,2151,2265,1991,2222,23990,8880.0,240000.0
1999-07-26,2223,2223,1958,1958,3000,7824.0,240000.0
1999-07-27,2072,2072,1748,1802,2810,7200.0,240000.0
1999-07-28,1802,1928,1772,1904,7320,7608.0,240000.0
1999-07-29,1952,1976,1862,1952,4650,7800.0,240000.0
1999-07-30,2187,2187,2187,2186,6600,8736.0,240000.0
1999-08-02,2448,2448,1952,2186,14560,8736.0,240000.0
1999-08-03,2223,2283,1934,2192,2630,8760.0,240000.0
1999-08-04,1994,2187,1994,2012,350,8040.0,240000.0
1999-08-05,2042,2193,1958,2126,6650,8496.0,240000.0
1999-08-06,2163,2163,1982,2102,7620,8400.0,240000.0
1999-08-09,1982,2127,1982,2126,3590,8496.0,240000.0
1999-08-10,2103,2121,1988,2120,4600,8472.0,240000.0
1999-08-11,2103,2103,1982,2096,8900,8376.0,240000.0
1999-08-12,1940,2072,1916,2072,770,8280.0,240000.0
1999-08-13,1952,1952,1826,1940,6140,7752.0,240000.0
1999-08-16,1943,2048,1838,1982,7210,7920.0,240000.0
1999-08-17,1874,1892,1748,1754,7530,7008.0,240000.0
1999-08-18,1796,1796,1682,1778,1010,7104.0,240000.0
1999-08-19,1778,1778,1700,1772,6170,7080.0,240000.0
1999-08-20,1688,1742,1652,1742,5240,6960.0,240000.0
1999-08-23,1742,1742,1592,1712,5540,6840.0,240000.0
