아난티(025980),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,34,34,34,34,0,1680.0,600000.0
1999-01-05,30,30,30,31,0,1500.0,600000.0
1999-01-06,30,30,30,31,0,1500.0,600000.0
1999-01-07,30,30,30,31,0,,
1999-01-08,30,30,30,31,0,,
1999-01-11,30,30,30,31,0,,
1999-01-12,30,30,30,31,0,1995.0,798000.0
1999-01-13,30,30,30,31,0,,
1999-01-14,30,30,30,31,0,,
1999-01-15,30,30,30,31,0,,
1999-01-18,30,30,30,31,0,,
1999-01-19,30,30,30,31,0,,
1999-01-20,30,30,30,31,0,,
1999-01-21,30,30,30,31,0,,
1999-01-22,30,30,30,31,0,,
1999-01-25,30,30,30,31,0,,
1999-01-26,30,30,30,31,0,,
1999-01-27,30,30,30,31,0,,
1999-01-28,30,30,30,31,0,,
1999-01-29,30,30,30,31,0,,
1999-02-01,30,30,30,31,0,,
1999-02-02,30,30,30,31,0,,
1999-02-03,30,30,30,31,0,,
1999-02-04,30,30,30,31,0,,
1999-02-05,34,34,34,34,0,2234.0,798000.0
1999-02-08,34,34,34,34,0,2234.0,798000.0
1999-02-09,34,34,34,34,0,,
1999-02-10,34,34,34,34,0,,
1999-02-11,34,34,34,34,0,,
1999-02-12,34,34,34,34,0,,
1999-02-18,34,34,34,34,0,,
1999-02-19,34,34,34,34,0,,
1999-02-22,34,34,34,34,0,,
1999-02-23,34,34,34,34,0,,
1999-02-24,34,34,34,34,0,,
1999-02-25,34,34,34,34,0,,
1999-02-26,34,34,34,34,0,,
1999-03-02,34,34,34,34,0,,
1999-03-03,34,34,34,34,0,,
1999-03-04,34,34,34,34,0,,
1999-03-05,34,34,34,34,0,,
1999-03-08,34,34,34,34,0,,
1999-03-09,34,34,34,34,0,,
1999-03-10,38,38,38,38,0,2474.0,798000.0
1999-03-11,38,38,38,38,0,2474.0,798000.0
1999-03-12,41,41,41,42,0,2713.0,798000.0
1999-03-15,41,41,41,42,0,2713.0,798000.0
1999-03-16,41,41,41,42,0,,
1999-03-17,41,41,41,42,0,,
1999-03-18,45,45,45,45,0,2953.0,798000.0
1999-03-19,45,45,45,45,0,2953.0,798000.0
1999-03-22,45,45,45,45,0,,
1999-03-23,50,50,50,50,100,3272.0,798000.0
1999-03-24,50,50,50,50,0,3272.0,798000.0
1999-03-25,50,50,50,50,0,,
1999-03-26,50,50,50,50,0,,
1999-03-29,50,50,50,50,0,,
1999-03-30,50,50,50,50,0,,
1999-03-31,50,50,50,50,0,,
1999-04-01,50,50,50,50,0,,
1999-04-02,50,50,50,50,0,,
1999-04-06,50,50,50,50,0,,
1999-04-07,50,50,50,50,0,,
1999-04-08,50,50,50,50,0,,
1999-04-09,50,50,50,50,0,,
1999-04-12,50,50,50,50,0,,
1999-04-13,50,50,50,50,0,,
1999-04-14,50,50,50,50,0,,
1999-04-15,50,50,50,50,0,,
1999-04-16,50,50,50,50,0,,
1999-04-19,50,50,50,50,0,,
1999-04-20,50,50,50,50,0,,
1999-04-21,50,50,50,50,0,,
1999-04-22,50,50,50,50,0,,
1999-04-23,50,50,50,50,0,,
1999-04-26,50,50,50,50,0,,
1999-04-27,50,50,50,50,0,,
1999-04-28,50,50,50,50,0,,
1999-04-29,50,50,50,50,0,,
1999-04-30,49,49,49,49,0,3192.0,798000.0
1999-05-03,49,49,49,49,0,3192.0,798000.0
1999-05-04,49,49,49,49,0,,
1999-05-06,49,49,49,49,0,,
1999-05-07,49,49,49,49,2000,3192.0,798000.0
1999-05-10,44,44,44,44,1000,2873.0,798000.0
1999-05-11,41,41,41,42,950,2713.0,798000.0
1999-05-12,41,46,41,47,1100,3032.0,798000.0
1999-05-13,41,41,41,41,20,2673.0,798000.0
1999-05-14,46,46,46,46,0,2992.0,798000.0
1999-05-17,51,51,51,51,0,3352.0,798000.0
1999-05-18,57,57,57,58,10,3751.0,798000.0
1999-05-19,64,64,64,64,3380,4197.0,798000.0
1999-05-20,65,65,56,61,2400,3990.0,798000.0
1999-05-21,61,61,61,61,680,3990.0,798000.0
1999-05-24,61,65,54,54,8790,3511.0,798000.0
1999-05-25,60,60,54,60,25160,3926.0,798000.0
1999-05-26,67,67,53,54,73060,3511.0,798000.0
1999-05-27,60,60,53,53,19480,3455.0,798000.0
1999-05-28,59,59,46,59,410410,3862.0,798000.0
1999-05-31,66,66,66,66,338390,4325.0,798000.0
1999-06-01,74,74,74,74,316090,4844.0,798000.0
1999-06-02,83,83,83,83,215130,5418.0,798000.0
1999-06-03,93,93,93,93,37380,6065.0,798000.0
1999-06-04,104,104,85,98,414990,6384.0,798000.0
1999-06-07,93,109,86,110,416690,7150.0,798000.0
1999-06-08,103,115,103,104,89070,6783.0,798000.0
1999-06-09,95,110,95,110,153440,7182.0,798000.0
1999-06-10,123,123,123,123,38110,8020.0,798000.0
1999-06-11,138,138,138,138,3440,8978.0,798000.0
1999-06-14,154,154,154,154,54470,10055.0,798000.0
1999-06-15,172,172,159,173,204330,11252.0,798000.0
1999-06-16,193,193,193,193,238160,12568.0,798000.0
1999-06-17,216,216,216,216,377940,14045.0,798000.0
1999-06-18,241,241,241,241,59510,15721.0,798000.0
1999-06-21,270,270,245,264,358240,17157.0,798000.0
1999-06-22,272,282,232,245,48520,15960.0,798000.0
1999-06-23,216,216,216,216,15410,14045.0,798000.0
1999-06-24,190,214,190,197,316360,12848.0,798000.0
1999-06-25,190,204,174,174,137280,11332.0,798000.0
1999-06-28,183,190,153,153,218770,9975.0,798000.0
1999-06-29,146,146,134,135,219150,8818.0,798000.0
1999-06-30,145,151,143,151,105290,9855.0,798000.0
1999-07-01,169,169,169,169,26710,11012.0,798000.0
1999-07-02,189,189,149,186,335950,12130.0,798000.0
1999-07-05,171,198,170,189,142840,12289.0,798000.0
1999-07-06,190,196,167,173,101640,11252.0,798000.0
1999-07-07,174,174,160,163,107220,10613.0,798000.0
1999-07-08,155,180,148,156,133970,10135.0,798000.0
1999-07-09,165,170,147,153,123370,9975.0,798000.0
1999-07-12,165,169,141,169,250130,11012.0,798000.0
1999-07-13,182,189,174,189,377740,12329.0,798000.0
1999-07-14,212,212,189,212,502780,13805.0,798000.0
1999-07-15,223,236,199,212,984700,13805.0,798000.0
1999-07-16,212,212,187,197,253350,12848.0,798000.0
1999-07-19,193,205,180,181,202550,11770.0,798000.0
1999-07-20,183,202,171,202,201880,13167.0,798000.0
1999-07-21,226,226,226,226,338050,14723.0,798000.0
1999-07-22,253,253,253,253,375200,16479.0,798000.0
1999-07-23,269,269,234,260,1128330,16918.0,798000.0
1999-07-26,245,245,229,229,249960,14923.0,798000.0
1999-07-27,214,256,202,256,359740,16678.0,798000.0
1999-07-28,256,286,240,287,368810,18673.0,798000.0
1999-07-29,321,321,321,321,32850,20908.0,798000.0
1999-07-30,359,359,359,359,41410,23381.0,798000.0
1999-08-02,402,402,349,402,633510,26174.0,798000.0
1999-08-03,355,402,355,368,197520,23940.0,798000.0
1999-08-04,391,411,384,412,271470,26813.0,798000.0
1999-08-05,416,441,387,392,283310,25536.0,798000.0
1999-08-06,398,439,349,434,189280,28249.0,798000.0
1999-08-09,445,473,410,454,191520,29526.0,798000.0
1999-08-10,441,470,399,400,500010,26015.0,798000.0
1999-08-11,380,386,351,352,341420,22903.0,798000.0
1999-08-12,316,373,310,337,582590,21945.0,798000.0
1999-08-13,325,331,299,300,278770,19551.0,798000.0
1999-08-16,275,335,271,315,563190,20509.0,798000.0
1999-08-17,319,319,277,284,199160,18514.0,798000.0
1999-08-18,257,257,250,251,35760,16319.0,798000.0
1999-08-19,221,268,221,255,348110,16598.0,798000.0
1999-08-20,233,257,233,245,162740,15960.0,798000.0
1999-08-23,256,257,241,246,116980,16040.0,798000.0
1999-08-24,256,275,234,276,354990,17955.0,798000.0
1999-08-25,279,302,274,276,133780,17955.0,798000.0
1999-08-26,288,288,257,282,185700,18354.0,798000.0
1999-08-27,257,289,257,270,80900,17556.0,798000.0
1999-08-30,269,279,251,264,131140,17157.0,798000.0
1999-08-31,256,263,239,243,128270,15800.0,798000.0
1999-09-01,244,251,226,237,141230,15401.0,798000.0
1999-09-02,222,231,214,217,123970,14125.0,798000.0
