에이치엘비(028300),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,19617430,20598302,18881762,20598302,33730,2898.0,690000.0
1999-01-05,23050458,23050458,22805248,23050482,50730,3243.0,690000.0
1999-01-06,24521774,25796916,24521774,25796916,27250,3629.0,690000.0
1999-01-07,24521776,26238312,24031354,26238312,54590,3692.0,690000.0
1999-01-08,25993090,25993090,23295692,24521782,18390,3450.0,690000.0
1999-01-11,24521790,24521790,22069606,23540912,21700,3312.0,690000.0
1999-01-12,23540896,24031352,23540896,24031352,14340,3381.0,690000.0
1999-01-13,24031342,25993092,24031342,25993092,81410,3657.0,690000.0
1999-01-14,27464394,27464394,24521782,24521782,24100,3450.0,690000.0
1999-01-15,23540902,23540902,21579158,22069610,6330,3105.0,690000.0
1999-01-18,23050484,24276572,23050484,24276572,35000,3416.0,690000.0
1999-01-19,25012204,25012204,21628212,22412910,11520,3153.0,690000.0
1999-01-20,23540906,24276544,22412888,22412910,65180,3153.0,690000.0
1999-01-21,23540912,23540912,21579172,21579172,29000,3036.0,690000.0
1999-01-22,19666474,19666474,19028908,19666474,9910,2767.0,690000.0
1999-01-25,18636560,18636560,18636560,18636560,1710,2622.0,690000.0
1999-01-26,16674809,19568386,16674809,19568386,14010,2753.0,690000.0
1999-01-27,19617430,19617430,18146124,19617430,17780,2760.0,690000.0
1999-01-28,19617426,21971522,19568364,21971522,117140,3091.0,690000.0
1999-01-29,24570826,24570826,24521782,24570826,216210,3457.0,690000.0
1999-02-01,27513418,27513418,27513418,27513446,100220,3871.0,690000.0
1999-02-02,30799364,30799364,30799364,30799364,404710,4333.0,690000.0
1999-02-03,30750302,30750302,27121094,27121094,337530,3816.0,690000.0
1999-02-04,27121082,29916570,26973962,28347184,96130,3988.0,690000.0
1999-02-05,28935704,31633084,26483526,31387882,455670,4416.0,690000.0
1999-02-08,35115196,35115196,34330476,35115196,162490,4940.0,690000.0
1999-02-09,36537448,36537448,30946496,30946496,177310,4354.0,690000.0
1999-02-10,27464392,29426150,27268206,28445272,99030,4002.0,690000.0
1999-02-11,30407016,30407016,25502660,28200052,39750,3968.0,690000.0
1999-02-12,27954822,27954822,25502638,26924918,56510,3788.0,690000.0
1999-02-18,27954828,27954828,24031342,25208398,27220,3547.0,690000.0
1999-02-19,25747866,25747866,22216730,23295692,37810,3278.0,690000.0
1999-02-22,23050490,23050490,20500212,20598302,61130,2898.0,690000.0
1999-02-23,21530130,21530130,19617430,19617430,16310,2760.0,690000.0
1999-02-24,17900896,21333948,17900896,20843520,21470,2932.0,690000.0
1999-02-25,20843520,21579172,19176040,20843520,6020,2932.0,690000.0
1999-02-26,20843520,20843520,20843520,20843520,0,2932.0,690000.0
1999-03-02,20843520,20843520,20843520,20843520,0,,
1999-03-03,20843520,20843520,20843520,20843520,0,,
1999-03-04,18342298,18342298,18342298,18342298,0,2581.0,690000.0
1999-03-05,16184380,16184380,16184380,16184381,10,2277.0,690000.0
1999-03-08,14271676,14271676,14271676,14271676,1000,2008.0,690000.0
1999-03-09,12604199,12604199,12604199,12604199,16900,1773.0,690000.0
1999-03-10,11132889,11132889,11132889,11132889,15000,1566.0,690000.0
1999-03-11,9808710,12211844,9808710,10985757,579790,1546.0,690000.0
1999-03-12,11770455,12260891,10789584,12260891,349000,1725.0,690000.0
1999-03-15,13732201,13732201,13241755,13732201,326620,1932.0,690000.0
1999-03-16,14467850,15350634,14222624,15350634,532120,2160.0,690000.0
1999-03-17,16184385,16821950,13977420,13977420,595280,1966.0,690000.0
1999-03-18,12751334,14713079,12309941,13977420,126270,1966.0,690000.0
1999-03-19,14222633,14222633,13241755,13732201,189710,1932.0,690000.0
1999-03-22,12113760,13585068,12113760,12260891,99670,1725.0,690000.0
1999-03-23,11280020,12996545,11280020,12260891,46010,1725.0,690000.0
1999-03-24,12751319,12751319,11329059,12015671,92510,1690.0,690000.0
1999-03-25,12015673,12751327,11329064,12260891,160380,1725.0,690000.0
1999-03-26,12506109,12506109,11525238,12260891,8230,1725.0,690000.0
