코엔텍(029960),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2004-06-18,682,763,663,675,1303362,33750.0,5000000.0
2004-06-21,686,705,594,596,324278,29800.0,5000000.0
2004-06-22,605,605,525,525,266049,26250.0,5000000.0
2004-06-23,527,585,506,548,590708,27400.0,5000000.0
2004-06-24,552,576,521,554,268004,27700.0,5000000.0
2004-06-25,546,580,535,565,154509,28250.0,5000000.0
2004-06-28,543,632,543,632,268456,31600.0,5000000.0
2004-06-29,653,656,607,615,122606,30750.0,5000000.0
2004-06-30,620,645,600,637,129876,31850.0,5000000.0
2004-07-01,650,675,625,629,164875,31450.0,5000000.0
2004-07-02,619,646,607,645,107622,32250.0,5000000.0
2004-07-05,646,677,645,649,187914,32450.0,5000000.0
2004-07-06,641,665,632,634,81867,31700.0,5000000.0
2004-07-07,638,639,565,595,58817,29750.0,5000000.0
2004-07-08,580,600,553,553,65045,27650.0,5000000.0
2004-07-09,546,567,546,555,36564,27750.0,5000000.0
2004-07-12,555,577,547,550,44103,27500.0,5000000.0
2004-07-13,553,564,536,544,20194,27200.0,5000000.0
2004-07-14,560,560,535,536,24457,26800.0,5000000.0
2004-07-15,528,549,500,549,37668,27450.0,5000000.0
2004-07-16,549,560,532,550,29001,27500.0,5000000.0
2004-07-19,552,557,532,545,56104,27250.0,5000000.0
2004-07-20,529,545,512,512,69642,25600.0,5000000.0
2004-07-21,520,534,513,527,50733,26350.0,5000000.0
2004-07-22,520,559,516,552,62042,27600.0,5000000.0
2004-07-23,568,570,550,562,37747,28100.0,5000000.0
2004-07-26,565,565,551,554,15232,27700.0,5000000.0
2004-07-27,590,617,554,554,168764,27700.0,5000000.0
2004-07-28,572,608,562,594,125059,29700.0,5000000.0
2004-07-29,594,628,570,606,140907,30300.0,5000000.0
2004-07-30,605,615,590,605,52380,30250.0,5000000.0
2004-08-02,605,605,550,575,25490,28750.0,5000000.0
2004-08-03,585,594,575,583,28892,29150.0,5000000.0
2004-08-04,568,590,562,590,11573,29500.0,5000000.0
2004-08-05,585,605,585,595,29476,29750.0,5000000.0
2004-08-06,590,604,582,584,19810,29200.0,5000000.0
2004-08-09,566,600,566,587,23323,29350.0,5000000.0
2004-08-10,593,593,581,590,15594,29500.0,5000000.0
2004-08-11,592,599,583,590,37300,29500.0,5000000.0
2004-08-12,590,628,580,616,80191,30800.0,5000000.0
2004-08-13,616,635,606,620,110474,31000.0,5000000.0
2004-08-16,610,620,596,608,97707,30400.0,5000000.0
2004-08-17,615,617,604,615,33522,30750.0,5000000.0
2004-08-18,625,675,625,651,165451,32550.0,5000000.0
2004-08-19,651,686,645,645,186383,32250.0,5000000.0
2004-08-20,647,676,647,655,73677,32750.0,5000000.0
2004-08-23,674,726,666,700,247169,35000.0,5000000.0
2004-08-24,709,756,681,726,396581,36300.0,5000000.0
2004-08-25,737,739,719,723,159251,36150.0,5000000.0
2004-08-26,740,743,718,725,103739,36250.0,5000000.0
2004-08-27,721,742,706,713,149059,35650.0,5000000.0
2004-08-30,704,713,689,696,130316,34800.0,5000000.0
2004-08-31,691,711,685,702,105375,35100.0,5000000.0
2004-09-01,714,723,689,700,128121,35000.0,5000000.0
2004-09-02,697,707,690,700,100684,35000.0,5000000.0
2004-09-03,714,745,701,718,142793,35900.0,5000000.0
2004-09-06,724,800,724,785,367545,39250.0,5000000.0
2004-09-07,785,785,755,765,90657,38250.0,5000000.0
2004-09-08,770,778,735,756,148096,37800.0,5000000.0
2004-09-09,754,763,730,763,91278,38150.0,5000000.0
2004-09-10,761,814,761,800,178965,40000.0,5000000.0
2004-09-13,800,805,781,787,100966,39350.0,5000000.0
2004-09-14,785,802,775,788,79905,39400.0,5000000.0
2004-09-15,793,823,790,805,220920,40250.0,5000000.0
2004-09-16,810,822,799,801,91025,40050.0,5000000.0
2004-09-17,800,821,793,800,144756,40000.0,5000000.0
2004-09-20,806,867,806,860,240879,43000.0,5000000.0
2004-09-21,869,963,850,945,549636,47250.0,5000000.0
2004-09-22,965,969,921,940,132182,47000.0,5000000.0
2004-09-23,917,989,917,979,128502,48950.0,5000000.0
2004-09-24,1040,1095,1010,1095,266138,54750.0,5000000.0
2004-09-30,1160,1215,1110,1135,305340,56750.0,5000000.0
2004-10-01,1110,1140,1060,1100,325430,55000.0,5000000.0
2004-10-04,1130,1225,1090,1170,405428,58500.0,5000000.0
2004-10-05,1205,1210,1160,1160,172088,58000.0,5000000.0
2004-10-06,1160,1170,1025,1070,302429,53500.0,5000000.0
2004-10-07,1085,1155,1060,1155,202296,57750.0,5000000.0
2004-10-08,1130,1200,1090,1095,227651,54750.0,5000000.0
2004-10-11,1070,1140,1065,1100,92474,55000.0,5000000.0
2004-10-12,1125,1130,1040,1050,112385,52500.0,5000000.0
2004-10-13,1060,1075,1030,1050,92753,52500.0,5000000.0
2004-10-14,1050,1095,1025,1090,102262,54500.0,5000000.0
2004-10-15,1090,1140,1060,1135,121590,56750.0,5000000.0
2004-10-18,1145,1270,1125,1270,235379,63500.0,5000000.0
2004-10-19,1370,1385,1275,1320,313165,66000.0,5000000.0
2004-10-20,1320,1375,1285,1375,251514,68750.0,5000000.0
2004-10-21,1390,1450,1270,1345,312629,67250.0,5000000.0
2004-10-22,1360,1505,1350,1505,181966,75250.0,5000000.0
2004-10-25,1530,1615,1485,1520,321220,76000.0,5000000.0
2004-10-26,1510,1700,1510,1670,286981,83500.0,5000000.0
2004-10-27,1700,1870,1670,1870,360560,93500.0,5000000.0
2004-10-28,1950,2040,1650,1650,716492,82500.0,5000000.0
2004-10-29,1630,1715,1550,1630,437983,81500.0,5000000.0
2004-11-01,1635,1665,1565,1570,209554,78500.0,5000000.0
2004-11-02,1550,1570,1400,1480,384446,74000.0,5000000.0
2004-11-03,1520,1655,1510,1655,556040,82750.0,5000000.0
2004-11-04,1705,1720,1600,1680,361845,84000.0,5000000.0
2004-11-05,1720,1750,1650,1705,242495,85250.0,5000000.0
2004-11-08,1725,1870,1690,1730,387306,86500.0,5000000.0
2004-11-09,1780,1785,1700,1700,138509,85000.0,5000000.0
2004-11-10,1680,1700,1580,1610,174286,80500.0,5000000.0
2004-11-11,1620,1800,1620,1800,257874,90000.0,5000000.0
2004-11-12,1800,1840,1735,1770,337451,88500.0,5000000.0
2004-11-15,1800,1820,1745,1800,121952,90000.0,5000000.0
2004-11-16,1830,1950,1765,1790,428376,89500.0,5000000.0
2004-11-17,1820,1835,1735,1795,145904,89750.0,5000000.0
2004-11-18,1780,1790,1700,1700,152864,85000.0,5000000.0
2004-11-19,1700,1740,1635,1655,97054,82750.0,5000000.0
2004-11-22,1620,1685,1590,1620,89367,81000.0,5000000.0
2004-11-23,1625,1765,1625,1670,193274,83500.0,5000000.0
2004-11-24,1675,1695,1500,1620,329357,81000.0,5000000.0
2004-11-25,1660,1715,1635,1640,125228,82000.0,5000000.0
2004-11-26,1625,1655,1575,1600,98991,80000.0,5000000.0
2004-11-29,1605,1635,1575,1580,49932,79000.0,5000000.0
2004-11-30,1565,1585,1535,1550,96953,77500.0,5000000.0
2004-12-01,1550,1600,1520,1570,89553,78500.0,5000000.0
2004-12-02,1600,1730,1600,1650,197210,82500.0,5000000.0
2004-12-03,1680,1700,1620,1660,69985,83000.0,5000000.0
2004-12-06,1665,1670,1600,1600,41313,80000.0,5000000.0
2004-12-07,1580,1615,1575,1580,45150,79000.0,5000000.0
2004-12-08,1560,1625,1540,1625,74414,81250.0,5000000.0
2004-12-09,1660,1795,1635,1780,253320,89000.0,5000000.0
2004-12-10,1800,1845,1740,1810,190330,90500.0,5000000.0
2004-12-13,1850,1900,1780,1850,147726,92500.0,5000000.0
2004-12-14,1860,1890,1800,1800,109313,90000.0,5000000.0
2004-12-15,1810,1845,1800,1835,98679,91750.0,5000000.0
2004-12-16,1870,1965,1855,1865,267596,93250.0,5000000.0
2004-12-17,1890,1900,1775,1780,136386,89000.0,5000000.0
2004-12-20,1755,1830,1740,1760,84136,88000.0,5000000.0
2004-12-21,1765,1770,1710,1745,66977,87250.0,5000000.0
2004-12-22,1735,1800,1710,1750,79779,87500.0,5000000.0
2004-12-23,1760,1770,1685,1720,65985,86000.0,5000000.0
2004-12-24,1730,1775,1670,1690,70314,84500.0,5000000.0
2004-12-27,1690,1745,1665,1690,34806,84500.0,5000000.0
2004-12-28,1675,1705,1660,1660,38379,83000.0,5000000.0
2004-12-29,1660,1770,1635,1725,53366,86250.0,5000000.0
2004-12-30,1730,1760,1705,1745,49142,87250.0,5000000.0
2005-01-03,1745,1930,1745,1870,303865,93500.0,5000000.0
2005-01-04,1880,1925,1835,1890,265243,94500.0,5000000.0
2005-01-05,1885,1915,1825,1825,444696,91250.0,5000000.0
2005-01-06,1860,1955,1840,1885,549330,94250.0,5000000.0
2005-01-07,1860,1875,1750,1795,251915,89750.0,5000000.0
