양지사(030960),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,356,356,356,356,0,5791.0,818000.0
1999-01-05,313,313,313,314,3,5104.0,818000.0
1999-01-06,276,347,276,347,220,5644.0,818000.0
1999-01-07,347,347,347,347,0,5644.0,818000.0
1999-01-08,347,347,347,347,0,,
1999-01-11,347,347,347,347,654,5644.0,818000.0
1999-01-12,347,347,347,347,0,,
1999-01-13,347,347,347,347,0,,
1999-01-14,347,347,347,347,0,,
1999-01-15,347,347,347,347,0,,
1999-01-18,347,347,347,347,0,,
1999-01-19,347,347,347,347,0,,
1999-01-20,347,347,347,347,0,,
1999-01-21,306,306,305,306,60,4973.0,818000.0
1999-01-22,305,305,305,306,0,4973.0,818000.0
1999-01-25,305,305,305,306,0,,
1999-01-26,305,305,305,306,0,,
1999-01-27,305,305,305,306,0,,
1999-01-28,305,305,305,306,0,,
1999-01-29,341,341,341,342,100,5562.0,818000.0
1999-02-01,341,341,341,342,0,5562.0,818000.0
1999-02-02,341,341,341,342,0,,
1999-02-03,341,341,341,342,0,,
1999-02-04,301,301,301,301,85,4900.0,818000.0
1999-02-05,301,336,301,337,1130,5481.0,818000.0
1999-02-08,377,377,377,377,1592,6135.0,818000.0
1999-02-09,377,377,377,377,0,6135.0,818000.0
1999-02-10,352,352,352,352,0,5726.0,818000.0
1999-02-11,352,352,352,352,0,5726.0,818000.0
1999-02-12,352,352,352,352,0,,
1999-02-18,352,352,352,352,0,,
1999-02-19,352,352,352,352,0,,
1999-02-22,352,352,352,352,0,,
1999-02-23,352,352,352,352,0,,
1999-02-24,352,352,352,352,0,,
1999-02-25,352,352,352,352,0,,
1999-02-26,352,352,352,352,0,,
1999-03-02,352,352,352,352,0,,
1999-03-03,347,347,347,347,7000,5644.0,818000.0
1999-03-04,341,341,341,342,0,5562.0,818000.0
1999-03-05,341,341,341,342,0,,
1999-03-08,301,301,301,301,103,4900.0,818000.0
1999-03-09,306,306,306,307,8,4990.0,818000.0
1999-03-10,306,306,306,307,0,4990.0,818000.0
1999-03-11,270,343,270,343,54,5587.0,818000.0
1999-03-12,343,343,343,343,0,5587.0,818000.0
1999-03-15,326,341,326,342,6540,5562.0,818000.0
1999-03-16,341,341,341,342,0,,
1999-03-17,341,341,341,342,0,,
1999-03-18,341,341,341,342,0,,
1999-03-19,301,352,301,352,5200,5726.0,818000.0
1999-03-22,309,309,309,310,0,5039.0,818000.0
1999-03-23,277,277,277,277,119,4507.0,818000.0
1999-03-24,310,310,301,310,6200,5047.0,818000.0
1999-03-25,310,341,310,342,140,5562.0,818000.0
1999-03-26,341,341,341,342,0,,
1999-03-29,301,301,301,301,0,4900.0,818000.0
1999-03-30,266,266,266,267,0,4335.0,818000.0
1999-03-31,266,266,266,267,0,4335.0,818000.0
1999-04-01,266,266,266,267,0,,
1999-04-02,266,266,266,267,0,,
1999-04-06,266,266,266,267,0,,
1999-04-07,266,266,266,267,0,,
1999-04-08,266,266,266,267,0,,
1999-04-09,266,266,266,267,21,4335.0,818000.0
1999-04-12,242,242,242,242,0,3943.0,818000.0
1999-04-13,242,242,242,242,0,3943.0,818000.0
1999-04-14,266,266,266,267,214,4335.0,818000.0
1999-04-15,297,297,297,298,0,4843.0,818000.0
1999-04-16,297,297,297,298,200,4843.0,818000.0
1999-04-19,297,297,297,298,0,4843.0,818000.0
1999-04-20,296,315,296,315,200,5129.0,818000.0
1999-04-21,352,352,316,352,885,5726.0,818000.0
1999-04-22,309,309,309,310,0,,
1999-04-23,273,273,273,273,0,4442.0,818000.0
1999-04-26,273,273,273,273,0,4442.0,818000.0
1999-04-27,273,273,273,273,33,4442.0,818000.0
1999-04-28,273,273,271,272,82,4417.0,818000.0
1999-04-29,267,267,267,267,43,4344.0,818000.0
1999-04-30,267,267,267,267,0,4344.0,818000.0
1999-05-03,267,267,267,267,0,,
1999-05-04,266,266,266,267,290,4335.0,818000.0
1999-05-06,296,296,296,297,49,4826.0,818000.0
1999-05-07,276,276,276,277,65,4499.0,818000.0
1999-05-10,301,301,266,302,784,4908.0,818000.0
1999-05-11,301,336,301,322,98,5235.0,818000.0
1999-05-12,354,354,354,354,10,5767.0,818000.0
1999-05-13,341,341,341,342,40,5562.0,818000.0
1999-05-14,301,301,301,301,0,,
1999-05-17,265,301,265,301,11,4900.0,818000.0
1999-05-18,326,326,311,327,633,5317.0,818000.0
1999-05-19,366,366,352,352,601,5726.0,818000.0
1999-05-20,326,352,326,352,8000,5726.0,818000.0
1999-05-21,393,394,377,394,131,6413.0,818000.0
1999-05-24,394,394,362,362,367,5890.0,818000.0
1999-05-25,372,405,372,405,392,6593.0,818000.0
1999-05-26,453,453,452,454,1242,7378.0,818000.0
1999-05-27,507,507,453,478,1756,7771.0,818000.0
1999-05-28,477,502,477,503,1063,8180.0,818000.0
1999-05-31,563,563,528,563,2069,9162.0,818000.0
1999-06-01,628,628,628,629,803,10225.0,818000.0
1999-06-02,704,704,704,704,285,11452.0,818000.0
1999-06-03,787,787,623,654,650,10634.0,818000.0
1999-06-04,653,653,575,576,252,9366.0,818000.0
1999-06-07,575,643,575,644,1010,10470.0,818000.0
1999-06-08,704,704,578,644,167,10470.0,818000.0
1999-06-09,628,628,568,629,1062,10225.0,818000.0
1999-06-10,553,704,553,704,2129,11452.0,818000.0
1999-06-11,754,786,704,787,2317,12802.0,818000.0
1999-06-14,880,880,880,880,1717,14315.0,818000.0
1999-06-15,985,985,935,986,4964,16033.0,818000.0
1999-06-16,1103,1103,1103,1104,1986,17955.0,818000.0
1999-06-17,1234,1234,1234,1234,2030,20082.0,818000.0
1999-06-18,1380,1380,1234,1234,6885,20082.0,818000.0
1999-06-21,1380,1380,1307,1380,3189,22454.0,818000.0
1999-06-22,1543,1543,1216,1380,2696,22454.0,818000.0
1999-06-23,1380,1380,1216,1217,2041,19796.0,818000.0
1999-06-24,1071,1206,1071,1071,341,17423.0,818000.0
1999-06-25,942,1071,942,943,2704,15338.0,818000.0
1999-06-28,905,1056,829,830,1633,13497.0,818000.0
