녹십자셀(031390),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,812242,812242,812242,812223,1090,84927.0,8088331.0
1999-01-05,789032,812242,781285,812223,37360,84927.0,8088331.0
1999-01-06,785148,812242,785148,812223,18210,84927.0,8088331.0
1999-01-07,796785,812227,796785,796754,24130,83310.0,8088331.0
1999-01-08,796733,796733,788986,788997,5300,82501.0,8088331.0
1999-01-11,773544,781280,773544,781270,23240,81692.0,8088331.0
1999-01-12,812242,812242,804495,812223,15410,84927.0,8088331.0
1999-01-13,819955,908910,819955,908912,51220,95038.0,8088331.0
1999-01-14,1017190,1017190,966908,1017191,28590,106362.0,8088331.0
1999-01-15,1137104,1137104,1044275,1121622,44240,117281.0,8088331.0
1999-01-18,1229931,1253141,1229931,1237658,103040,129413.0,8088331.0
1999-01-19,1237679,1237679,1090694,1090685,14510,114045.0,8088331.0
1999-01-20,1117791,1117791,997889,1009479,16760,105553.0,8088331.0
1999-01-21,932131,1129378,932131,1129379,32160,118090.0,8088331.0
1999-01-22,1160355,1160355,1005622,1079095,25520,112832.0,8088331.0
1999-01-25,1082965,1160330,955347,974664,27040,101913.0,8088331.0
1999-01-26,1082944,1082944,935959,935970,27590,97869.0,8088331.0
1999-01-27,1048167,1048167,1005610,1005601,13680,105148.0,8088331.0
1999-01-28,1044267,1052004,889557,1021069,9150,106766.0,8088331.0
1999-01-29,1044290,1067499,1044290,1067490,19430,111619.0,8088331.0
1999-02-01,1082984,1121656,1067500,1113910,136200,116472.0,8088331.0
1999-02-02,1160356,1237700,1075253,1106169,89630,115663.0,8088331.0
1999-02-03,1005596,1067499,1005596,1067490,50530,111619.0,8088331.0
1999-02-04,1195162,1195162,1144868,1195131,338410,124965.0,8088331.0
1999-02-05,1237667,1330474,1160322,1229931,396000,128604.0,8088331.0
1999-02-08,1315028,1315028,1106180,1198979,237210,125369.0,8088331.0
1999-02-09,1168029,1168029,1090685,1121622,93740,117281.0,8088331.0
1999-02-10,1082991,1160347,1005624,1160316,59470,121325.0,8088331.0
1999-02-11,1152599,1168071,1121652,1152589,31950,120516.0,8088331.0
1999-02-12,1028813,1206756,1028813,1206736,44400,126178.0,8088331.0
1999-02-18,1168042,1206713,1160315,1168042,24560,122134.0,8088331.0
1999-02-19,1121646,1121646,1059743,1082943,67500,113237.0,8088331.0
1999-02-22,1106164,1183551,1013335,1144847,30590,119707.0,8088331.0
1999-02-23,1082943,1137100,1082943,1133227,2360,118494.0,8088331.0
1999-02-24,1137114,1137114,1075232,1090685,31330,114045.0,8088331.0
1999-02-25,1044306,1121651,1044306,1090685,27190,114045.0,8088331.0
1999-02-26,1121631,1121631,1110032,1121622,10990,117281.0,8088331.0
1999-03-02,1121662,1121662,1090715,1106169,16370,115663.0,8088331.0
1999-03-03,1121637,1148720,1106163,1148711,51720,120112.0,8088331.0
1999-03-04,1160319,1160319,1113889,1125500,229250,117685.0,8088331.0
1999-03-05,1106168,1121631,1098411,1117759,49060,116876.0,8088331.0
1999-03-08,1106147,1129378,1102283,1129379,22720,118090.0,8088331.0
1999-03-09,1125515,1125515,1098411,1098412,25590,114854.0,8088331.0
1999-03-10,1117793,1117793,1094595,1113910,12540,116472.0,8088331.0
1999-03-11,1102321,1121656,1102321,1113910,102330,116472.0,8088331.0
1999-03-12,1129388,1129388,1106189,1110032,135920,116068.0,8088331.0
1999-03-15,1113905,1113905,1094558,1094548,69430,114450.0,8088331.0
1999-03-16,1113894,1121631,1086822,1117759,68320,116876.0,8088331.0
1999-03-17,1113895,1160304,1086811,1121622,133860,117281.0,8088331.0
1999-03-18,1152588,1152588,1094548,1121622,88450,117281.0,8088331.0
1999-03-19,1113926,1113926,1090715,1106169,40760,115663.0,8088331.0
1999-03-22,1106178,1106178,1082989,1106169,23170,115663.0,8088331.0
1999-03-23,1110036,1110036,1082952,1082943,35070,113237.0,8088331.0
1999-03-24,1086825,1106172,1067499,1067490,111660,111619.0,8088331.0
1999-03-25,1082948,1121631,1067485,1121622,111390,117281.0,8088331.0
1999-03-26,1198976,1206703,1082948,1121622,1700610,117281.0,8088331.0
1999-03-29,1106173,1106173,1044301,1082943,110710,113237.0,8088331.0
