엔에스엔(031860),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,6973,7108,6973,7109,9990,4253.0,787606.0
1999-01-05,7361,7942,7361,7953,28730,4757.0,787606.0
1999-01-06,8905,8905,8905,8900,17530,5324.0,787606.0
1999-01-07,9974,9974,9974,9969,20880,5962.0,787606.0
1999-01-08,11140,11150,11140,11151,12010,6671.0,787606.0
1999-01-11,12477,12477,12477,12483,12880,7467.0,787606.0
1999-01-12,13944,13944,13944,13955,8700,8349.0,787606.0
1999-01-13,15603,15603,12308,15142,81570,9057.0,787606.0
1999-01-14,15788,15788,14475,15010,24900,8979.0,787606.0
1999-01-15,14212,14212,13226,14218,15630,8506.0,787606.0
1999-01-18,13165,15863,13165,15864,49940,9491.0,787606.0
1999-01-19,17716,17716,17648,17711,41250,10593.0,787606.0
1999-01-20,17624,17624,15917,17116,47400,10239.0,787606.0
1999-01-21,15132,15132,15065,15076,33920,9018.0,787606.0
1999-01-22,13435,16595,13435,16591,10190,9924.0,787606.0
1999-01-25,14618,16595,14618,16591,1100,9924.0,787606.0
1999-01-26,15128,16446,15128,15798,5800,9451.0,787606.0
1999-01-27,15782,15782,15782,15798,2000,9451.0,787606.0
1999-01-28,15792,15792,14479,14485,4800,8664.0,787606.0
1999-01-29,14858,16176,14858,16192,31630,9688.0,787606.0
1999-02-01,18115,18115,18115,18105,20700,10830.0,787606.0
1999-02-02,20265,20265,20265,20276,69320,12129.0,787606.0
1999-02-03,21737,21737,17918,17908,39250,10711.0,787606.0
1999-02-04,15783,17625,15783,17641,33390,10554.0,787606.0
1999-02-05,15787,18816,15787,18827,30,11263.0,787606.0
1999-02-08,19096,19096,16595,16591,180,9924.0,787606.0
1999-02-09,14599,17499,14599,17510,8010,10475.0,787606.0
1999-02-10,15469,15469,15469,15470,1200,9254.0,787606.0
1999-02-11,16447,17101,15129,16323,1220,9766.0,787606.0
1999-02-12,15782,16446,15782,15798,22300,9451.0,787606.0
1999-02-18,17119,17119,14612,16984,190,10160.0,787606.0
1999-02-19,16970,16970,15782,15798,15000,9451.0,787606.0
1999-02-22,15141,15141,15141,15142,0,9057.0,787606.0
1999-02-23,14211,15134,13682,13693,14120,8191.0,787606.0
1999-02-24,15012,15012,14488,14748,1060,8821.0,787606.0
1999-02-25,14808,14808,14808,14813,50,8861.0,787606.0
1999-02-26,14747,15141,13169,15142,2100,9057.0,787606.0
1999-03-02,13823,13823,13823,13824,400,8270.0,787606.0
1999-03-03,15141,15141,15141,15142,10,9057.0,787606.0
1999-03-04,13823,13823,13823,13824,1000,8270.0,787606.0
1999-03-05,14479,14479,14479,14485,10,8664.0,787606.0
1999-03-08,13823,13823,13164,13824,2820,8270.0,787606.0
1999-03-09,13159,14477,13159,14218,9110,8506.0,787606.0
1999-03-10,13169,15141,13169,15142,3230,9057.0,787606.0
1999-03-11,14479,14479,14479,14485,0,8664.0,787606.0
1999-03-12,13829,13829,13435,13430,5180,8034.0,787606.0
1999-03-15,13298,14486,13298,13299,2010,7955.0,787606.0
1999-03-16,13236,13298,13236,13299,610,7955.0,787606.0
1999-03-17,13299,13823,11846,13824,5030,8270.0,787606.0
1999-03-18,12506,12506,12506,12506,880,7482.0,787606.0
1999-03-19,13563,13563,12115,13102,10020,7837.0,787606.0
1999-03-22,13041,13041,13041,13036,1000,7797.0,787606.0
1999-03-23,13041,13041,13041,13036,0,7797.0,787606.0
1999-03-24,12512,13171,11723,11718,11230,7010.0,787606.0
1999-03-25,11193,12506,11193,12506,8020,7482.0,787606.0
1999-03-26,13041,13041,13041,13036,1100,7797.0,787606.0
1999-03-29,13162,13162,13162,13167,2900,7876.0,787606.0
1999-03-30,11714,13162,11574,13167,3210,7876.0,787606.0
1999-03-31,11901,11969,11834,11850,18050,7088.0,787606.0
1999-04-01,11847,12506,11847,12506,2070,7482.0,787606.0
1999-04-02,13695,13959,13041,13036,310,7797.0,787606.0
1999-04-06,11470,11834,11470,11850,7710,7088.0,787606.0
1999-04-07,11834,11834,11834,11850,0,7088.0,787606.0
1999-04-08,11834,11834,11834,11850,10800,7088.0,787606.0
1999-04-09,11843,11843,11319,11325,2510,6773.0,787606.0
1999-04-12,11348,12506,10939,12506,8610,7482.0,787606.0
1999-04-13,12108,13162,12108,13167,8990,7876.0,787606.0
1999-04-14,13168,13827,12655,13299,33100,7955.0,787606.0
1999-04-15,14868,14868,14209,14879,35660,8900.0,787606.0
1999-04-16,16656,16656,13169,16459,19160,9845.0,787606.0
1999-04-19,15141,16397,15141,15142,7670,9057.0,787606.0
1999-04-20,15799,16853,15146,16853,59470,10081.0,787606.0
1999-04-21,15929,18036,15799,16853,26550,10081.0,787606.0
1999-04-22,15676,16464,15676,16065,24820,9609.0,787606.0
1999-04-23,14808,14808,14808,14813,0,8861.0,787606.0
1999-04-26,14469,15782,14469,15798,4120,9451.0,787606.0
1999-04-27,15792,15792,13950,14485,4720,8664.0,787606.0
1999-04-28,14611,15794,14611,14616,19810,8742.0,787606.0
1999-04-29,15801,15801,14617,14748,8500,8821.0,787606.0
1999-04-30,15535,16459,15535,16459,21230,9845.0,787606.0
1999-05-03,17769,18428,17769,18433,14740,11026.0,787606.0
1999-05-04,20604,20604,20604,20604,50520,12326.0,787606.0
1999-05-06,23037,23037,23037,23043,4010,13783.0,787606.0
1999-05-07,25816,25816,25027,25017,79720,14965.0,787606.0
1999-05-10,23554,23683,22366,23699,41580,14177.0,787606.0
1999-05-11,22366,22635,22236,22382,44650,13389.0,787606.0
1999-05-12,19735,23948,19735,22382,29550,13389.0,787606.0
1999-05-13,23709,25027,23709,25017,28220,14965.0,787606.0
1999-05-14,26327,27971,26192,26991,64300,16146.0,787606.0
1999-05-17,27773,30207,27773,30217,39450,18076.0,787606.0
1999-05-18,32924,33842,30942,33838,139220,20241.0,787606.0
1999-05-19,34231,37791,34231,34231,134300,20478.0,787606.0
1999-05-20,34625,34890,30936,34231,97890,20478.0,787606.0
1999-05-21,32915,35546,30409,34893,99550,20872.0,787606.0
1999-05-24,38965,38965,33699,34893,48610,20872.0,787606.0
1999-05-25,32264,38195,32264,36867,79320,22053.0,787606.0
1999-05-26,40807,41268,38176,41279,114410,24691.0,787606.0
1999-05-27,44904,46222,43456,46217,62610,27645.0,787606.0
1999-05-28,51725,51725,51725,51741,94270,30953.0,787606.0
1999-05-31,57785,57915,46791,52665,114560,31504.0,787606.0
1999-06-01,52659,55295,50028,50034,53580,29929.0,787606.0
1999-06-02,52523,52652,48839,52533,54110,31425.0,787606.0
1999-06-03,52666,52666,50036,52402,81660,31347.0,787606.0
1999-06-04,47521,50022,46136,46147,22820,27606.0,787606.0
1999-06-07,42132,50688,42132,47399,104130,28354.0,787606.0
1999-06-08,47849,53043,47849,53059,200190,31741.0,787606.0
1999-06-09,52671,59386,48723,57274,219860,34261.0,787606.0
1999-06-10,55554,64110,55554,64121,118390,38356.0,787606.0
1999-06-11,71754,71754,64510,71759,175790,42925.0,787606.0
1999-06-14,80327,80327,75055,80317,449570,48044.0,787606.0
1999-06-15,80976,80976,70708,77682,78670,46469.0,787606.0
1999-06-16,79116,81617,73720,79656,373210,47650.0,787606.0
1999-06-17,80322,82953,75050,82554,211460,49383.0,787606.0
1999-06-18,81241,82953,75710,77682,65650,46469.0,787606.0
1999-06-21,86900,86900,82952,86901,514220,51982.0,787606.0
1999-06-22,92172,94803,79009,85583,99200,51194.0,787606.0
1999-06-23,75302,76885,75302,75708,129400,45287.0,787606.0
1999-06-24,72413,76361,69777,71759,121230,42925.0,787606.0
1999-06-25,71742,73718,63181,64514,114460,38593.0,787606.0
1999-06-28,67135,67135,56794,57931,124150,34655.0,787606.0
1999-06-29,52788,57915,51004,57931,221680,34655.0,787606.0
1999-06-30,56603,64827,56603,64843,199310,38790.0,787606.0
1999-07-01,72536,72536,72536,72547,9220,43397.0,787606.0
1999-07-02,81239,81239,75049,77944,404900,46626.0,787606.0
1999-07-05,82805,82805,73725,76102,153880,45524.0,787606.0
1999-07-06,76099,81630,72415,76364,187210,45681.0,787606.0
1999-07-07,80314,80314,75043,77025,195660,46075.0,787606.0
1999-07-08,77007,77666,73194,75047,195460,44894.0,787606.0
1999-07-09,75056,75056,70448,73734,162330,44106.0,787606.0
1999-07-12,73731,78333,70695,71759,241450,42925.0,787606.0
1999-07-13,69907,77020,69907,71759,85410,42925.0,787606.0
1999-07-14,71881,75041,71751,72416,153130,43318.0,787606.0
1999-07-15,71092,72281,68462,68468,77420,40956.0,787606.0
1999-07-16,69788,71106,67811,69124,62530,41349.0,787606.0
1999-07-19,68323,72406,65822,68993,171400,41271.0,787606.0
1999-07-20,68986,70299,66480,67150,92400,40168.0,787606.0
1999-07-21,67264,68452,63315,64514,106540,38593.0,787606.0
1999-07-22,65836,65836,58597,64383,112470,38514.0,787606.0
1999-07-23,65826,72011,64508,68468,254780,40956.0,787606.0
1999-07-26,68466,71096,60298,60299,78640,36072.0,787606.0
1999-07-27,59113,61878,53322,61884,72460,37017.0,787606.0
1999-07-28,61878,65827,57924,61884,144100,37017.0,787606.0
1999-07-29,63199,64911,59250,62343,101110,37293.0,787606.0
1999-07-30,63321,63321,59906,61884,79440,37017.0,787606.0
1999-08-02,59243,59907,55424,56618,102970,33867.0,787606.0
1999-08-03,56612,56742,52659,55300,132380,33079.0,787606.0
1999-08-04,55294,61878,55294,61884,134920,37017.0,787606.0
1999-08-05,56737,61868,56737,57931,73770,34655.0,787606.0
1999-08-06,60561,60561,55294,56618,43190,33867.0,787606.0
1999-08-09,57927,57927,55296,55431,65560,33158.0,787606.0
1999-08-10,55291,55950,53319,54508,91430,32607.0,787606.0
1999-08-11,54764,55818,52922,53457,52760,31977.0,787606.0
1999-08-12,53990,54649,53196,53326,27220,31898.0,787606.0
1999-08-13,52646,52646,47385,49373,81840,29535.0,787606.0
1999-08-16,48049,48049,45019,45425,94250,27172.0,787606.0
1999-08-17,45427,48717,40685,42133,157340,25203.0,787606.0
1999-08-18,37118,37253,37118,37129,39790,22210.0,787606.0
1999-08-19,32713,40148,32713,38447,275730,22998.0,787606.0
1999-08-20,39497,39497,35549,35549,59100,21265.0,787606.0
1999-08-23,37518,39754,33040,39765,127210,23786.0,787606.0
1999-08-24,44225,44490,42124,44501,89680,26621.0,787606.0
1999-08-25,46075,49826,46075,49837,37170,29811.0,787606.0
1999-08-26,50028,52135,44762,50034,169530,29929.0,787606.0
1999-08-27,47399,49505,46081,46081,45310,27566.0,787606.0
1999-08-30,46745,46745,42132,42133,38130,25203.0,787606.0
1999-08-31,39619,44615,39619,42789,68490,25597.0,787606.0
1999-09-01,43450,45297,41478,42133,66700,25203.0,787606.0
1999-09-02,39497,41474,39362,39497,43540,23628.0,787606.0
1999-09-03,39631,44239,37125,43057,103230,25755.0,787606.0
1999-09-06,44763,47394,44104,45687,87240,27330.0,787606.0
1999-09-07,44760,45549,42653,45425,69380,27172.0,787606.0
1999-09-08,44097,47386,43568,47267,146290,28275.0,787606.0
1999-09-09,46068,48045,45285,47267,56690,28275.0,787606.0
1999-09-10,47126,52128,46991,51614,337700,30874.0,787606.0
1999-09-13,52654,55025,50023,53982,177450,32292.0,787606.0
1999-09-14,53313,53967,49359,51347,72540,30717.0,787606.0
1999-09-15,52413,53990,50960,52008,43750,31110.0,787606.0
1999-09-16,51340,51340,46868,46874,45290,28039.0,787606.0
1999-09-17,46210,50028,44497,50034,40590,29929.0,787606.0
1999-09-20,50029,50029,46475,47399,45170,28354.0,787606.0
1999-09-21,49894,49894,47263,48716,27130,29141.0,787606.0
1999-09-22,47393,50687,47393,50034,28920,29929.0,787606.0
1999-09-27,50018,56011,50018,51347,45250,30717.0,787606.0
1999-09-28,50694,51348,46216,49242,16230,29456.0,787606.0
1999-09-29,49505,49505,46739,47399,29850,28354.0,787606.0
1999-09-30,46068,48704,45544,48585,29950,29063.0,787606.0
1999-10-01,42864,48063,42796,43450,36630,25991.0,787606.0
1999-10-04,43451,48655,42662,48651,42000,29102.0,787606.0
1999-10-05,50030,52401,47394,50559,74520,30244.0,787606.0
1999-10-06,50681,50681,46068,48585,19310,29063.0,787606.0
1999-10-07,46203,48574,46203,48585,11940,29063.0,787606.0
1999-10-08,46072,46737,45419,46742,23420,27960.0,787606.0
1999-10-11,47400,50694,46082,48848,41430,29220.0,787606.0
1999-10-12,50688,54704,49370,54705,330640,32725.0,787606.0
1999-10-13,55431,61222,52007,61223,580640,36624.0,787606.0
1999-10-14,61088,67673,53980,61748,263950,36939.0,787606.0
1999-10-15,61608,68457,60555,66226,334510,39617.0,787606.0
1999-10-18,63330,65571,62017,63066,152560,37726.0,787606.0
1999-10-19,63181,64499,56602,59248,130040,35442.0,787606.0
1999-10-20,56625,61694,56625,59910,37720,35836.0,787606.0
1999-10-21,61220,62403,59243,61490,37490,36781.0,787606.0
1999-10-22,59257,61493,57939,61359,37750,36702.0,787606.0
1999-10-25,61868,67793,61209,64514,188060,38593.0,787606.0
1999-10-26,64781,66099,61886,66095,111680,39538.0,787606.0
1999-10-27,67134,73718,64498,64514,384600,38593.0,787606.0
1999-10-28,64504,66217,60815,63727,79100,38120.0,787606.0
1999-10-29,64641,69508,63717,66489,236750,39774.0,787606.0
1999-11-01,68583,74374,67400,74390,479600,44500.0,787606.0
1999-11-02,74386,82289,71096,81630,472960,48832.0,787606.0
1999-11-03,82957,88224,79138,85583,673630,51194.0,787606.0
1999-11-04,83600,88867,80311,88608,527710,53006.0,787606.0
1999-11-05,89531,92032,86900,90849,329960,54345.0,787606.0
1999-11-08,92155,101630,92155,101381,791870,60646.0,787606.0
1999-11-09,98757,107972,97569,105991,477980,63402.0,787606.0
1999-11-10,101375,118622,101375,118633,715940,70963.0,787606.0
1999-11-11,121777,132305,121118,132321,542460,79154.0,787606.0
1999-11-12,148133,148133,117317,148124,975160,88606.0,787606.0
1999-11-15,148132,165244,141548,159973,862940,95694.0,787606.0
1999-11-16,145496,161300,140888,140883,1076840,84274.0,787606.0
1999-11-17,133634,140877,124418,124424,802970,74429.0,787606.0
1999-11-18,111911,121132,109545,110464,865390,66080.0,787606.0
1999-11-19,114541,123626,114541,123632,684990,73956.0,787606.0
1999-11-22,125084,135618,125084,131664,873710,78761.0,787606.0
1999-11-23,125342,147462,118763,147462,1485400,88212.0,787606.0
1999-11-24,143514,163267,138248,138248,878270,82699.0,787606.0
