GMR 머티리얼즈(032860),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,156832.0,156832.0,156832.0,156838.0,180.0,416.0,260000.0
1999-01-05,156832.0,156832.0,156832.0,156838.0,0.0,416.0,260000.0
1999-01-06,156832.0,156832.0,156832.0,156838.0,0.0,,
1999-01-07,156832.0,156832.0,156832.0,156838.0,0.0,,
1999-01-08,156832.0,156832.0,156832.0,156838.0,0.0,,
1999-01-11,156832.0,156832.0,156832.0,156838.0,0.0,,
1999-01-12,156832.0,156832.0,156832.0,156838.0,0.0,,
1999-01-13,163642.0,163642.0,163642.0,161830.0,2000.0,429.0,260000.0
1999-01-14,165662.0,165662.0,165662.0,163827.0,0.0,434.0,260000.0
1999-01-15,165662.0,165662.0,165662.0,163827.0,0.0,434.0,260000.0
1999-01-18,184042.0,184042.0,184042.0,181817.0,20.0,481.0,260000.0
1999-01-19,197629.0,197629.0,197629.0,195794.0,2500.0,520.0,260000.0
1999-01-20,221585.0,221585.0,221585.0,219773.0,1420.0,582.0,260000.0
1999-01-21,244307.0,244307.0,244307.0,244752.0,1200.0,650.0,260000.0
1999-01-22,244307.0,244307.0,244307.0,244752.0,0.0,650.0,260000.0
1999-01-25,244307.0,244307.0,244307.0,244752.0,0.0,,
1999-01-26,276533.0,276533.0,276533.0,274721.0,5.0,728.0,260000.0
1999-01-27,305925.0,305925.0,305925.0,303693.0,1525.0,806.0,260000.0
1999-01-28,335354.0,335354.0,315488.0,313677.0,1865.0,832.0,260000.0
1999-01-29,315488.0,315488.0,315488.0,313677.0,120.0,832.0,260000.0
1999-02-01,296112.0,344877.0,278481.0,342648.0,220.0,910.0,260000.0
1999-02-02,354588.0,372195.0,345762.0,372618.0,1195.0,988.0,260000.0
1999-02-03,413409.0,413409.0,335946.0,411573.0,540.0,1092.0,260000.0
1999-02-04,403611.0,403611.0,403611.0,401590.0,500.0,1066.0,260000.0
1999-02-05,413225.0,444176.0,355676.0,353630.0,355.0,939.0,260000.0
1999-02-08,313914.0,397711.0,313914.0,311680.0,15.0,827.0,260000.0
1999-02-09,276350.0,340466.0,276350.0,338655.0,10.0,897.0,260000.0
1999-02-10,297252.0,304008.0,297252.0,297703.0,1110.0,790.0,260000.0
1999-02-11,264950.0,335444.0,264950.0,262722.0,30.0,697.0,260000.0
1999-02-12,296865.0,296865.0,234798.0,232752.0,100.0,616.0,260000.0
1999-02-18,208031.0,208031.0,208031.0,205796.0,1100.0,546.0,260000.0
1999-02-19,208031.0,208031.0,208031.0,205796.0,0.0,546.0,260000.0
1999-02-22,232984.0,232984.0,232984.0,230755.0,0.0,611.0,260000.0
1999-02-23,257304.0,257304.0,257304.0,257730.0,5.0,684.0,260000.0
1999-02-24,286701.0,286701.0,286701.0,286702.0,1000.0,762.0,260000.0
1999-02-25,321237.0,321237.0,321237.0,321664.0,5.0,853.0,260000.0
1999-02-26,352628.0,352628.0,352628.0,352632.0,5.0,936.0,260000.0
1999-03-02,384836.0,384836.0,384836.0,382602.0,310.0,1014.0,260000.0
1999-03-03,384836.0,384836.0,384836.0,382602.0,0.0,1014.0,260000.0
1999-03-04,384836.0,384836.0,384836.0,382602.0,0.0,,
1999-03-05,339675.0,339675.0,339675.0,337656.0,0.0,894.0,260000.0
1999-03-08,339675.0,339675.0,339675.0,337656.0,0.0,894.0,260000.0
1999-03-09,339675.0,339675.0,339675.0,337656.0,0.0,,
1999-03-10,339675.0,339675.0,339675.0,337656.0,0.0,,
1999-03-11,338103.0,344877.0,338103.0,342648.0,1100.0,910.0,260000.0
1999-03-12,303931.0,303931.0,303931.0,301696.0,0.0,801.0,260000.0
1999-03-15,266287.0,323650.0,266287.0,266735.0,20.0,707.0,260000.0
1999-03-16,236579.0,236579.0,236579.0,234768.0,975.0,624.0,260000.0
1999-03-17,227246.0,264950.0,227246.0,262722.0,10.0,697.0,260000.0
1999-03-18,295922.0,295922.0,295922.0,293690.0,5.0,780.0,260000.0
1999-03-19,328882.0,328882.0,328882.0,326675.0,5.0,866.0,260000.0
1999-03-22,364449.0,364449.0,364449.0,362635.0,0.0,962.0,260000.0
1999-03-23,364449.0,364449.0,364449.0,362635.0,5.0,962.0,260000.0
1999-03-24,364449.0,364449.0,364449.0,362635.0,0.0,962.0,260000.0
1999-03-25,384836.0,384836.0,384836.0,382602.0,5.0,1014.0,260000.0
1999-03-26,427122.0,427122.0,391884.0,427566.0,2570.0,1134.0,260000.0
1999-03-29,378630.0,378630.0,378630.0,376612.0,0.0,998.0,260000.0
1999-03-30,335895.0,335895.0,335895.0,333663.0,1000.0,884.0,260000.0
1999-03-31,295152.0,372195.0,295152.0,372618.0,355.0,988.0,260000.0
1999-04-01,417795.0,417795.0,417795.0,415567.0,5.0,1102.0,260000.0
1999-04-02,372001.0,464599.0,372001.0,460531.0,1260.0,1222.0,260000.0
1999-04-06,405256.0,449506.0,405256.0,449530.0,30.0,1193.0,260000.0
1999-04-07,396477.0,440539.0,396477.0,440545.0,2710.0,1167.0,260000.0
1999-04-08,494304.0,494304.0,494304.0,492498.0,5.0,1305.0,260000.0
1999-04-09,474516.0,474516.0,443565.0,441543.0,2360.0,1170.0,260000.0
1999-04-12,391566.0,433791.0,391566.0,431560.0,30.0,1144.0,260000.0
1999-04-13,382764.0,433791.0,382764.0,431560.0,125.0,1144.0,260000.0
1999-04-14,433791.0,433791.0,433791.0,431560.0,5.0,1144.0,260000.0
1999-04-15,384679.0,384679.0,382444.0,380605.0,570.0,1009.0,260000.0
1999-04-16,414541.0,414541.0,414541.0,414569.0,5.0,1100.0,260000.0
1999-04-19,392789.0,465755.0,392789.0,463526.0,2325.0,1230.0,260000.0
1999-04-20,480471.0,480471.0,480471.0,480499.0,5.0,1274.0,260000.0
1999-04-21,511282.0,511282.0,491413.0,509470.0,1350.0,1352.0,260000.0
1999-04-22,512176.0,512176.0,492310.0,490501.0,200.0,1300.0,260000.0
1999-04-23,532069.0,532069.0,492310.0,490501.0,105.0,1300.0,260000.0
1999-04-26,492310.0,492310.0,492310.0,490501.0,0.0,1300.0,260000.0
1999-04-27,432688.0,492310.0,432688.0,490501.0,15.0,1300.0,260000.0
1999-04-28,433791.0,433791.0,433791.0,431560.0,0.0,1144.0,260000.0
1999-04-29,382444.0,382444.0,382444.0,380605.0,50.0,1009.0,260000.0
1999-04-30,413409.0,413409.0,413409.0,411573.0,1000.0,1092.0,260000.0
1999-05-03,413409.0,413409.0,413409.0,411573.0,5.0,1092.0,260000.0
1999-05-04,403982.0,461345.0,403982.0,459533.0,975.0,1219.0,260000.0
1999-05-06,461345.0,461345.0,461345.0,459533.0,0.0,1219.0,260000.0
1999-05-07,456798.0,463344.0,456798.0,461530.0,2475.0,1225.0,260000.0
1999-05-10,518292.0,518292.0,518292.0,516478.0,260.0,1370.0,260000.0
1999-05-11,511282.0,511282.0,511282.0,509470.0,210.0,1352.0,260000.0
1999-05-12,492310.0,492310.0,492310.0,490501.0,605.0,1300.0,260000.0
1999-05-13,490844.0,547997.0,490844.0,548445.0,1170.0,1456.0,260000.0
1999-05-14,616186.0,616186.0,616186.0,614375.0,1590.0,1630.0,260000.0
1999-05-17,690526.0,690526.0,690526.0,688292.0,100.0,1825.0,260000.0
1999-05-18,772236.0,772236.0,772236.0,770215.0,555.0,2044.0,260000.0
1999-05-19,863906.0,863906.0,863906.0,862121.0,3995.0,2288.0,260000.0
1999-05-20,964589.0,964589.0,964589.0,965010.0,35.0,2561.0,260000.0
1999-05-21,1081404.0,1081404.0,982029.0,980004.0,1450.0,2600.0,260000.0
1999-05-24,1101273.0,1101273.0,982029.0,980004.0,2030.0,2600.0,260000.0
1999-05-25,982029.0,1081404.0,982029.0,980004.0,240.0,2600.0,260000.0
1999-05-26,1030205.0,1080998.0,933065.0,931046.0,875.0,2470.0,260000.0
1999-05-27,982029.0,1030587.0,982029.0,980004.0,275.0,2600.0,260000.0
1999-05-28,1031673.0,1100100.0,1031673.0,1097868.0,1330.0,2912.0,260000.0
1999-05-31,1224310.0,1224310.0,1224310.0,1224737.0,675.0,3250.0,260000.0
1999-06-01,1372580.0,1372580.0,1372580.0,1372590.0,835.0,3640.0,260000.0
1999-06-02,1276922.0,1276922.0,1212971.0,1274693.0,1550.0,3380.0,260000.0
1999-06-03,1177606.0,1177606.0,1177606.0,1175798.0,580.0,3120.0,260000.0
1999-06-04,1040762.0,1040762.0,1040762.0,1038927.0,10.0,2756.0,260000.0
1999-06-07,1039489.0,1162804.0,1039489.0,1136843.0,1830.0,3016.0,260000.0
1999-06-08,1256539.0,1272118.0,1256539.0,1254707.0,1355.0,3328.0,260000.0
1999-06-09,1109658.0,1217650.0,1109658.0,1195765.0,2295.0,3172.0,260000.0
1999-06-10,1277297.0,1325880.0,1257429.0,1323651.0,1525.0,3510.0,260000.0
