제이엠아이(033050),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,1597,1597,1597,1596,100,16324.0,741994.0
1999-01-05,1561,1561,1561,1560,0,15953.0,741994.0
1999-01-06,1561,1561,1561,1560,0,15953.0,741994.0
1999-01-07,1597,1597,1597,1596,1000,16324.0,741994.0
1999-01-08,1582,1582,1582,1582,500,16175.0,741994.0
1999-01-11,1582,1582,1582,1582,150,16175.0,741994.0
1999-01-12,1524,1524,1524,1524,250,15582.0,741994.0
1999-01-13,1597,1597,1597,1596,500,16324.0,741994.0
1999-01-14,1452,1452,1452,1451,0,14840.0,741994.0
1999-01-15,1452,1452,1452,1451,750,14840.0,741994.0
1999-01-18,1452,1626,1452,1625,5250,16621.0,741994.0
1999-01-19,1434,1434,1434,1433,1550,14654.0,741994.0
1999-01-20,1597,1597,1597,1596,50,16324.0,741994.0
1999-01-21,1524,1524,1524,1524,0,15582.0,741994.0
1999-01-22,1524,1524,1524,1524,250,15582.0,741994.0
1999-01-25,1524,1524,1524,1524,0,15582.0,741994.0
1999-01-26,1706,1706,1706,1705,250,17437.0,741994.0
1999-01-27,1706,1815,1706,1814,3950,18550.0,741994.0
1999-01-28,1706,1706,1706,1705,0,17437.0,741994.0
1999-01-29,1670,1670,1670,1669,0,17066.0,741994.0
1999-02-01,1633,1633,1633,1633,0,16695.0,741994.0
1999-02-02,1437,1437,1437,1437,3815,14691.0,741994.0
1999-02-03,1270,1415,1267,1266,9560,12948.0,741994.0
1999-02-04,1270,1270,1270,1270,500,12985.0,741994.0
1999-02-05,1263,1263,1263,1263,750,12911.0,741994.0
1999-02-08,1249,1249,1249,1248,0,12762.0,741994.0
1999-02-09,1307,1307,1307,1306,5,13356.0,741994.0
1999-02-10,1307,1307,1241,1241,155,12688.0,741994.0
1999-02-11,1234,1234,1234,1233,50,12614.0,741994.0
1999-02-12,1198,1198,1198,1197,0,12243.0,741994.0
1999-02-18,1336,1336,1089,1335,183475,13653.0,741994.0
1999-02-19,1452,1452,1452,1451,2050,14840.0,741994.0
1999-02-22,1452,1626,1343,1625,8015,16621.0,741994.0
1999-02-23,1815,1815,1815,1814,250,18550.0,741994.0
1999-02-24,1815,2032,1815,2032,6220,20776.0,741994.0
1999-02-25,1960,1960,1960,1959,500,20034.0,741994.0
1999-02-26,1728,2192,1728,2192,2550,22408.0,741994.0
1999-03-02,1960,1960,1931,1930,2150,19737.0,741994.0
1999-03-03,1960,2159,1960,2159,500,22074.0,741994.0
1999-03-04,2105,2105,2105,2105,150,21518.0,741994.0
1999-03-05,1996,1996,1989,1988,122550,20331.0,741994.0
1999-03-08,1753,1753,1753,1753,0,17919.0,741994.0
1999-03-09,1742,1742,1742,1742,100,17808.0,741994.0
1999-03-10,1887,1887,1887,1887,50,19292.0,741994.0
1999-03-11,1887,1887,1887,1887,0,19292.0,741994.0
1999-03-12,1662,1662,1662,1662,0,16992.0,741994.0
1999-03-15,1466,1670,1466,1669,455,17066.0,741994.0
1999-03-16,1670,1670,1670,1669,0,17066.0,741994.0
1999-03-17,1470,1470,1470,1469,355,15025.0,741994.0
1999-03-18,1470,1470,1470,1469,0,15025.0,741994.0
1999-03-19,1597,1597,1597,1596,25,16324.0,741994.0
1999-03-22,1517,1517,1517,1517,0,15508.0,741994.0
1999-03-23,1517,1517,1517,1517,0,15508.0,741994.0
1999-03-24,1699,1699,1699,1698,10,17363.0,741994.0
1999-03-25,1778,1778,1495,1495,1560,15285.0,741994.0
1999-03-26,1670,1670,1670,1669,10,17066.0,741994.0
1999-03-29,1474,1474,1474,1473,1500,15062.0,741994.0
1999-03-30,1299,1299,1299,1299,4075,13282.0,741994.0
1999-03-31,1452,1452,1452,1451,5,14840.0,741994.0
1999-04-01,1626,1626,1626,1625,5,16621.0,741994.0
1999-04-02,1626,1626,1626,1625,0,16621.0,741994.0
1999-04-06,1626,1626,1626,1625,0,24621.0,1099137.0
1999-04-07,1626,1626,1626,1625,0,,
1999-04-08,1626,1626,1626,1625,0,,
1999-04-09,1524,1524,1524,1524,0,23082.0,1099137.0
1999-04-12,1452,1452,1452,1451,0,21983.0,1099137.0
1999-04-13,1452,1452,1452,1451,0,21983.0,1099137.0
1999-04-14,1452,1452,1452,1451,100,21983.0,1099137.0
1999-04-15,1452,1452,1452,1451,0,,
1999-04-16,1299,1299,1299,1299,0,19675.0,1099137.0
1999-04-19,1299,1299,1299,1299,0,19675.0,1099137.0
1999-04-20,1299,1299,1299,1299,0,,
1999-04-21,1299,1299,1299,1299,0,,
1999-04-22,1299,1299,1299,1299,0,,
1999-04-23,1299,1299,1299,1299,0,,
1999-04-26,1147,1147,1147,1146,500,17366.0,1099137.0
1999-04-27,1053,1053,1013,1012,990,15333.0,1099137.0
1999-04-28,907,907,907,907,25,13739.0,1099137.0
1999-04-29,944,1016,944,1016,140,15388.0,1099137.0
1999-04-30,1089,1136,1089,1136,1010,17201.0,1099137.0
1999-05-03,1270,1270,1270,1270,50,19235.0,1099137.0
1999-05-04,1278,1423,1278,1379,150,20884.0,1099137.0
1999-05-06,1307,1542,1307,1542,200,23357.0,1099137.0
1999-05-07,1597,1597,1597,1596,535,24181.0,1099137.0
1999-05-10,1786,1786,1670,1785,2485,27039.0,1099137.0
1999-05-11,1996,1996,1822,1996,1860,30226.0,1099137.0
1999-05-12,2032,2032,1960,1959,6050,29677.0,1099137.0
1999-05-13,1960,1960,1960,1959,1350,29677.0,1099137.0
1999-05-14,1960,1960,1960,1959,0,29677.0,1099137.0
1999-05-17,1960,1960,1960,1959,0,,
1999-05-18,1953,1953,1953,1952,0,29567.0,1099137.0
1999-05-19,1953,1953,1953,1952,0,29567.0,1099137.0
1999-05-20,1953,1953,1953,1952,350,29567.0,1099137.0
1999-05-21,1953,1953,1953,1952,0,,
1999-05-24,1953,1953,1953,1952,500,29567.0,1099137.0
1999-05-25,1953,1953,1953,1952,0,,
1999-05-26,1953,1953,1916,1938,12375,29347.0,1099137.0
1999-05-27,1960,2040,1938,2039,38360,30886.0,1099137.0
1999-05-28,2283,2283,2250,2282,61335,34568.0,1099137.0
1999-05-31,2555,2555,2541,2555,152780,38690.0,1099137.0
1999-06-01,2860,2860,2555,2816,124865,42647.0,1099137.0
1999-06-02,2816,2954,2479,2685,104655,40668.0,1099137.0
1999-06-03,2940,2940,2620,2845,116650,43086.0,1099137.0
1999-06-04,2700,2700,2512,2533,26880,38360.0,1099137.0
1999-06-07,2613,2835,2613,2834,82650,42921.0,1099137.0
1999-06-08,3158,3158,2867,3012,52310,45614.0,1099137.0
1999-06-09,2940,3372,2686,3371,115385,51055.0,1099137.0
1999-06-10,3775,3775,3775,3774,71395,57155.0,1099137.0
1999-06-11,4225,4225,4225,4224,23480,63970.0,1099137.0
1999-06-14,4602,4725,4319,4725,262875,71554.0,1099137.0
1999-06-15,4718,4718,4283,4645,150715,70345.0,1099137.0
1999-06-16,5190,5197,4573,5197,205625,78698.0,1099137.0
1999-06-17,5807,5814,5444,5814,270830,88041.0,1099137.0
1999-06-18,6025,6380,5843,6097,113495,92328.0,1099137.0
1999-06-21,6097,6301,5372,5661,35725,85733.0,1099137.0
1999-06-22,4987,5372,4987,5044,69615,76390.0,1099137.0
1999-06-23,4573,5009,4442,4935,142255,74741.0,1099137.0
1999-06-24,5154,5154,4573,4645,49030,70345.0,1099137.0
1999-06-25,4921,4921,4573,4718,49945,71444.0,1099137.0
1999-06-28,4718,4718,4152,4152,65440,62871.0,1099137.0
1999-06-29,4152,4152,3658,4152,80060,62871.0,1099137.0
1999-06-30,4210,4646,4138,4645,64815,70345.0,1099137.0
1999-07-01,4791,5154,4791,5153,58485,78039.0,1099137.0
1999-07-02,4863,4972,4580,4580,35055,69356.0,1099137.0
1999-07-05,4580,4863,4363,4652,42420,70455.0,1099137.0
1999-07-06,4646,4646,4464,4522,39485,68476.0,1099137.0
1999-07-07,4588,4755,4392,4427,35880,67047.0,1099137.0
1999-07-08,4500,4624,4283,4282,59105,64849.0,1099137.0
1999-07-09,4428,4646,4428,4464,51515,67597.0,1099137.0
1999-07-12,4573,4936,4464,4754,120895,71993.0,1099137.0
1999-07-13,4573,4972,4508,4827,46645,73093.0,1099137.0
1999-07-14,4820,4827,4428,4645,54075,70345.0,1099137.0
1999-07-15,4500,5074,4500,5073,78960,76830.0,1099137.0
1999-07-16,5676,5676,5676,5676,17840,85953.0,1099137.0
1999-07-19,6351,6351,6351,6351,11865,96174.0,1099137.0
1999-07-20,7114,7114,7114,7113,23620,107715.0,1099137.0
1999-07-21,7912,7912,7135,7331,377495,111013.0,1099137.0
1999-07-22,7150,8202,6533,7984,166170,120905.0,1099137.0
1999-07-23,7331,8638,7331,7984,103410,120905.0,1099137.0
1999-07-26,7767,8202,7259,7476,166370,113211.0,1099137.0
1999-07-27,7622,7985,7404,7549,107140,114310.0,1099137.0
1999-07-28,7549,7549,7114,7258,127490,109914.0,1099137.0
1999-07-29,7186,7295,6968,6975,107505,105627.0,1099137.0
1999-07-30,7186,7259,7041,7113,109895,107715.0,1099137.0
1999-08-02,7186,7368,6606,6605,149275,100021.0,1099137.0
1999-08-03,6555,6555,5833,6381,84195,69026.0,1099137.0
1999-08-04,6402,7144,6351,7012,74645,75840.0,1099137.0
1999-08-05,7012,7520,6860,6930,42465,74961.0,1099137.0
1999-08-06,6941,6941,6504,6757,33535,73093.0,1099137.0
1999-08-09,6758,6758,6331,6483,40620,70125.0,1099137.0
1999-08-10,6484,6484,6138,6351,44790,68696.0,1099137.0
1999-08-11,6453,6484,6148,6219,22625,67267.0,1099137.0
1999-08-12,6169,6606,6169,6453,35670,69795.0,1099137.0
1999-08-13,6402,6504,6097,6371,57080,68916.0,1099137.0
1999-08-16,6290,6301,6169,6249,29400,67597.0,1099137.0
1999-08-17,6250,6453,5508,5589,35305,60453.0,1099137.0
1999-08-18,5589,5894,4919,5436,60285,58804.0,1099137.0
1999-08-19,5437,5914,5437,5914,21910,63970.0,1099137.0
1999-08-20,5945,6402,5701,6249,42900,67597.0,1099137.0
1999-08-23,6250,6788,6097,6453,106350,97713.0,1538791.0
1999-08-24,6606,7063,6402,7022,118660,106330.0,1538791.0
1999-08-25,7114,7734,7114,7520,112475,113871.0,1538791.0
1999-08-26,7520,7520,7520,7520,0,113871.0,1538791.0
1999-08-27,7520,7520,7520,7520,0,,
1999-08-30,8028,8333,7317,8068,216349,122180.0,15387910.0
1999-08-31,8333,8333,7103,7113,122275,107715.0,15387910.0
1999-09-01,7419,7520,6260,6260,96264,94790.0,15387910.0
1999-09-02,5691,6687,5538,6331,81320,95867.0,15387910.0
1999-09-03,6331,6504,5793,6300,42202,95405.0,15387910.0
1999-09-06,6402,7053,6402,7052,81100,106792.0,15387910.0
1999-09-07,7622,7825,7114,7144,163455,108177.0,15387910.0
1999-09-08,7215,7419,6707,6961,74709,105407.0,15387910.0
1999-09-09,7012,7103,6707,6910,43043,104638.0,15387910.0
1999-09-10,7114,7164,6351,6503,104871,98483.0,15387910.0
1999-09-13,6504,6504,5843,6087,130908,92174.0,15387910.0
1999-09-14,6148,6555,5996,6351,158445,96174.0,15387910.0
1999-09-15,6085,6656,5781,6275,116043,76170.0,15387910.0
1999-09-16,6098,6592,5844,6072,84825,73708.0,15387910.0
1999-09-17,5832,5832,5350,5400,68117,65552.0,15387910.0
1999-09-20,5325,5401,5084,5134,64408,62321.0,15387910.0
1999-09-21,4944,5109,4754,4855,92382,58936.0,15387910.0
1999-09-22,4729,5325,4691,5159,94409,62629.0,15387910.0
1999-09-27,5198,5274,4817,4817,38549,58474.0,15387910.0
1999-09-28,4564,4691,4374,4424,47400,53704.0,15387910.0
1999-09-29,4564,4564,3930,3993,58723,48472.0,15387910.0
1999-09-30,3689,4247,3600,3993,95706,48472.0,15387910.0
1999-10-01,3993,4374,3689,4373,70057,53088.0,15387910.0
1999-10-04,4310,4894,4057,4893,83344,59397.0,15387910.0
1999-10-05,5198,5477,5198,5476,158569,66476.0,15387910.0
1999-10-06,5578,6085,5223,5704,166213,69246.0,15387910.0
1999-10-07,5958,6085,5578,5882,149040,71400.0,15387910.0
1999-10-08,5756,5882,5325,5349,152530,64937.0,15387910.0
1999-10-11,5350,5984,5350,5983,212391,72631.0,15387910.0
1999-10-12,6694,6694,6694,6693,35029,81248.0,15387910.0
1999-10-13,7492,7492,6529,7492,699888,90943.0,15387910.0
1999-10-14,7353,8240,6605,7226,430219,87711.0,15387910.0
1999-10-15,7480,8050,7163,7796,438028,94636.0,15387910.0
1999-10-18,7480,8038,6909,7276,379414,88327.0,15387910.0
1999-10-19,7353,7607,6428,6643,276483,80633.0,15387910.0
1999-10-20,6973,7099,6542,6592,163414,80017.0,15387910.0
1999-10-21,6973,7378,6542,7378,394225,89558.0,15387910.0
1999-10-22,7416,8177,7099,7961,603208,96636.0,15387910.0
1999-10-25,7962,8557,7733,8113,693018,98483.0,15387910.0
1999-10-26,8367,9052,8114,8848,898515,107408.0,15387910.0
