제룡전기(033100),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,1327,1327,1327,1328,0,13106.0,430400.0
1999-01-05,1327,1327,1327,1328,0,13106.0,430400.0
1999-01-06,1327,1327,1327,1328,0,,
1999-01-07,1327,1327,1327,1328,0,,
1999-01-08,1327,1327,1327,1328,0,,
1999-01-11,1327,1327,1327,1328,0,,
1999-01-12,1327,1327,1327,1328,0,,
1999-01-13,1327,1327,1327,1328,0,,
1999-01-14,1327,1327,1327,1328,0,,
1999-01-15,1327,1327,1327,1328,0,,
1999-01-18,1327,1327,1327,1328,0,,
1999-01-19,1327,1327,1327,1328,0,,
1999-01-20,1327,1327,1327,1328,0,,
1999-01-21,1327,1327,1327,1328,0,,
1999-01-22,1327,1327,1327,1328,0,,
1999-01-25,1327,1327,1327,1328,0,,
1999-01-26,1327,1327,1327,1328,0,,
1999-01-27,1327,1327,1327,1328,0,,
1999-01-28,1327,1327,1327,1328,0,,
1999-01-29,1327,1327,1327,1328,0,,
1999-02-01,1327,1327,1327,1328,0,,
1999-02-02,1327,1327,1327,1328,0,,
1999-02-03,1327,1327,1327,1328,0,,
1999-02-04,1327,1327,1327,1328,0,,
1999-02-05,1327,1327,1327,1328,0,,
1999-02-08,1327,1327,1327,1328,0,,
1999-02-09,1327,1327,1327,1328,0,,
1999-02-10,1327,1327,1327,1328,0,,
1999-02-11,1327,1327,1327,1328,0,,
1999-02-12,1327,1327,1327,1328,0,,
1999-02-18,1327,1327,1327,1328,0,,
1999-02-19,1327,1327,1327,1328,0,,
1999-02-22,1327,1327,1327,1328,0,,
1999-02-23,1327,1327,1327,1328,0,,
1999-02-24,1327,1327,1327,1328,0,,
1999-02-25,1327,1327,1327,1328,0,,
1999-02-26,1327,1327,1327,1328,0,,
1999-03-02,1327,1327,1327,1328,0,,
1999-03-03,1327,1327,1327,1328,0,,
1999-03-04,1327,1327,1327,1328,0,,
1999-03-05,1327,1327,1327,1328,0,,
1999-03-08,1327,1327,1327,1328,0,,
1999-03-09,1286,1286,1286,1286,1000,12697.0,430400.0
1999-03-10,1286,1286,1286,1286,0,12697.0,430400.0
1999-03-11,1286,1286,1286,1286,0,,
1999-03-12,1286,1286,1286,1286,0,,
1999-03-15,1286,1286,1286,1286,0,,
1999-03-16,1286,1286,1286,1286,0,,
1999-03-17,1286,1286,1286,1286,0,,
1999-03-18,1286,1286,1286,1286,0,,
1999-03-19,1286,1286,1286,1286,0,,
1999-03-22,1286,1286,1286,1286,0,,
1999-03-23,1286,1286,1286,1286,0,,
1999-03-24,1286,1286,1286,1286,0,,
1999-03-25,1286,1286,1286,1286,0,,
1999-03-26,1286,1286,1286,1286,0,,
1999-03-29,1286,1286,1286,1286,0,,
1999-03-30,1286,1286,1286,1286,0,,
1999-03-31,1165,1165,1165,1164,9000,11492.0,430400.0
1999-04-01,1165,1165,1165,1164,0,11492.0,430400.0
1999-04-02,1165,1165,1165,1164,0,,
1999-04-06,1165,1165,1165,1164,0,,
1999-04-07,1165,1165,1165,1164,0,,
1999-04-08,1165,1165,1165,1164,0,,
1999-04-09,1165,1165,1165,1164,0,,
1999-04-12,1165,1165,1165,1164,0,,
1999-04-13,1165,1165,1165,1164,0,,
1999-04-14,1165,1165,1165,1164,0,,
1999-04-15,1165,1165,1165,1164,0,,
1999-04-16,1165,1165,1165,1164,0,,
1999-04-19,1177,1177,1177,1177,10100,11621.0,430400.0
1999-04-20,1177,1177,1177,1177,1800,11621.0,430400.0
1999-04-21,1177,1177,1177,1177,0,11621.0,430400.0
1999-04-22,1177,1177,1177,1177,0,,
1999-04-23,1177,1177,1177,1177,0,,
1999-04-26,1177,1177,1177,1177,0,,
1999-04-27,1177,1177,1177,1177,0,,
1999-04-28,1177,1177,1177,1177,0,,
1999-04-29,1177,1177,1177,1177,0,,
1999-04-30,1177,1177,1177,1177,0,,
1999-05-03,1177,1177,1177,1177,10100,11621.0,430400.0
1999-05-04,1177,1177,1177,1177,0,,
1999-05-06,1177,1177,1177,1177,0,,
1999-05-07,1177,1177,1177,1177,0,,
1999-05-10,1177,1177,1177,1177,0,,
1999-05-11,1177,1177,1177,1177,0,,
1999-05-12,1177,1177,1177,1177,0,,
1999-05-13,1177,1177,1177,1177,0,,
1999-05-14,1177,1177,1177,1177,0,,
1999-05-17,1177,1177,1177,1177,0,,
1999-05-18,1177,1177,1177,1177,0,,
1999-05-19,1177,1177,1177,1177,0,,
1999-05-20,1177,1177,1177,1177,0,,
1999-05-21,1177,1177,1177,1177,0,,
1999-05-24,1177,1177,1177,1177,0,,
1999-05-25,1177,1177,1177,1177,0,,
1999-05-26,1177,1177,1177,1177,0,,
1999-05-27,1177,1177,1177,1177,0,,
1999-05-28,1177,1177,1177,1177,0,,
1999-05-31,1177,1177,1177,1177,0,,
1999-06-01,1177,1177,1177,1177,0,,
1999-06-02,1177,1177,1177,1177,0,,
1999-06-03,1177,1177,1177,1177,0,,
1999-06-04,1177,1177,1177,1177,0,,
1999-06-07,1045,1045,1045,1046,100,10330.0,430400.0
1999-06-08,1169,1169,1169,1169,100,11535.0,430400.0
1999-06-09,1308,1308,1308,1308,2000,12912.0,430400.0
1999-06-10,1466,1466,1352,1466,1610,14461.0,430400.0
1999-06-11,1526,1640,1526,1641,33600,16183.0,430400.0
1999-06-14,1836,1836,1766,1836,72610,18120.0,430400.0
1999-06-15,2041,2049,1657,1832,38920,18077.0,430400.0
1999-06-16,2049,2049,1822,2050,152480,20229.0,430400.0
1999-06-17,2294,2294,2290,2294,204270,22639.0,430400.0
1999-06-18,2568,2568,2398,2569,223690,25351.0,430400.0
1999-06-21,2311,2399,2290,2312,57080,22811.0,430400.0
1999-06-22,2311,2311,2036,2036,9790,20100.0,430400.0
1999-06-23,1792,1792,1792,1792,5300,17689.0,430400.0
1999-06-24,1699,1982,1656,1857,33700,18335.0,430400.0
1999-06-25,1832,1832,1636,1635,20450,16140.0,430400.0
1999-06-28,1613,1613,1451,1482,46120,14634.0,430400.0
1999-06-29,1439,1527,1306,1487,33780,14677.0,430400.0
1999-06-30,1663,1663,1614,1664,28910,16420.0,430400.0
1999-07-01,1862,1862,1862,1863,42600,18378.0,430400.0
1999-07-02,2073,2085,1964,2007,45350,19798.0,430400.0
1999-07-05,1764,1940,1764,1765,4380,17431.0,430400.0
1999-07-06,1895,1895,1656,1765,4070,17431.0,430400.0
1999-07-07,1787,1787,1618,1744,8950,17216.0,430400.0
1999-07-08,1657,1913,1657,1657,11130,16355.0,430400.0
1999-07-09,1700,1764,1460,1765,38330,17431.0,430400.0
1999-07-12,1613,1809,1594,1788,29670,17646.0,430400.0
1999-07-13,1875,1962,1788,1898,34130,18722.0,430400.0
1999-07-14,1897,1918,1743,1876,18990,18507.0,430400.0
1999-07-15,1650,1963,1650,1962,15220,19368.0,430400.0
1999-07-16,1875,1963,1832,1962,15630,19368.0,430400.0
1999-07-19,2029,2029,1985,1985,3600,19583.0,430400.0
1999-07-20,1832,1919,1788,1919,21280,18938.0,430400.0
1999-07-21,1874,1874,1743,1788,13510,17646.0,430400.0
1999-07-22,1787,1941,1787,1941,21530,19153.0,430400.0
1999-07-23,1792,1918,1743,1832,13790,18077.0,430400.0
1999-07-26,1614,1871,1614,1635,1210,16140.0,430400.0
1999-07-27,1613,1743,1437,1482,25600,14634.0,430400.0
1999-07-28,1570,1570,1530,1569,28210,15494.0,430400.0
1999-07-29,1743,1743,1483,1723,36780,17001.0,430400.0
1999-07-30,1732,1732,1571,1592,17780,15710.0,430400.0
1999-08-02,1612,1764,1525,1765,25500,17431.0,430400.0
1999-08-03,1786,1786,1568,1788,56950,17646.0,430400.0
1999-08-04,1679,1831,1679,1744,11270,17216.0,430400.0
1999-08-05,1753,1764,1656,1687,28820,16656.0,430400.0
1999-08-06,1700,1765,1657,1761,25140,17388.0,430400.0
1999-08-09,1787,1970,1787,1971,171520,19454.0,430400.0
1999-08-10,2048,2048,1764,1900,55390,18765.0,430400.0
1999-08-11,1880,1902,1700,1854,21270,18292.0,430400.0
1999-08-12,1700,1941,1666,1898,18990,18722.0,430400.0
1999-08-13,1743,1895,1700,1788,9560,17646.0,430400.0
1999-08-16,1722,1853,1614,1827,7770,18034.0,430400.0
1999-08-17,1700,1700,1613,1683,18600,16613.0,430400.0
1999-08-18,1561,1656,1526,1631,14650,16097.0,430400.0
1999-08-19,1679,1700,1570,1701,6840,16786.0,430400.0
1999-08-20,1512,1722,1512,1657,240,16355.0,430400.0
1999-08-23,1652,1652,1512,1635,21590,16140.0,430400.0
1999-08-24,1547,1677,1525,1674,51490,16527.0,430400.0
1999-08-25,1619,1701,1593,1614,4510,15925.0,430400.0
1999-08-26,1592,1657,1535,1657,21940,16355.0,430400.0
1999-08-27,1548,1592,1548,1592,1800,15710.0,430400.0
1999-08-30,1618,1657,1548,1592,14700,15710.0,430400.0
1999-08-31,1631,1657,1539,1657,29650,16355.0,430400.0
1999-09-01,1658,1658,1553,1627,5000,16054.0,430400.0
1999-09-02,1635,1635,1466,1527,9700,15064.0,430400.0
1999-09-03,1470,1527,1470,1527,5970,15064.0,430400.0
1999-09-06,1540,1636,1505,1514,7460,14935.0,430400.0
1999-09-07,1530,1614,1469,1536,17510,15150.0,430400.0
1999-09-08,1526,1570,1438,1470,16800,14504.0,430400.0
1999-09-09,1539,1539,1391,1504,1060,14849.0,430400.0
1999-09-10,1526,1526,1394,1495,9670,14763.0,430400.0
1999-09-13,1495,1495,1351,1435,14870,14160.0,430400.0
1999-09-14,1413,1413,1268,1330,19210,13127.0,430400.0
1999-09-15,1339,1487,1296,1487,29290,14677.0,430400.0
1999-09-16,1538,1538,1481,1482,1600,14634.0,430400.0
1999-09-17,1373,1517,1373,1479,7820,14591.0,430400.0
1999-09-20,1475,1475,1400,1409,4400,13902.0,430400.0
1999-09-21,1478,1486,1395,1479,19340,14591.0,430400.0
1999-09-22,1453,1483,1417,1462,10860,14418.0,430400.0
1999-09-27,1526,1526,1408,1498,4400,14784.0,430400.0
1999-09-28,1352,1492,1352,1466,10030,14461.0,430400.0
1999-09-29,1386,1457,1307,1395,5600,13773.0,430400.0
1999-09-30,1233,1350,1229,1325,8260,13084.0,430400.0
1999-10-01,1428,1428,1426,1429,2510,12890.0,430400.0
1999-10-04,1425,1428,1406,1408,2400,12697.0,430400.0
1999-10-05,1480,1480,1265,1265,4010,11406.0,430400.0
1999-10-06,1403,1403,1382,1387,5890,12525.0,430400.0
1999-10-07,1512,1512,1249,1471,3640,13278.0,430400.0
1999-10-08,1478,1495,1382,1479,1120,13342.0,430400.0
1999-10-11,1527,1540,1383,1493,1200,13472.0,430400.0
1999-10-12,1606,1606,1382,1502,45280,13558.0,430400.0
1999-10-13,1589,1589,1456,1520,24050,13708.0,430400.0
1999-10-14,1621,1621,1406,1502,4040,13558.0,430400.0
