디케이디앤아이(033310),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,3554,3554,3554,3553,0,10200.0,600000.0
1999-01-05,3554,3554,3554,3553,0,,
1999-01-06,3554,3554,3554,3553,0,,
1999-01-07,3554,3554,3554,3553,0,,
1999-01-08,3554,3554,3554,3553,0,,
1999-01-11,3554,3554,3554,3553,0,,
1999-01-12,3554,3554,3554,3553,0,,
1999-01-13,3554,3554,3554,3553,0,,
1999-01-14,3554,3554,3554,3553,0,,
1999-01-15,3554,3554,3554,3553,0,,
1999-01-18,3554,3554,3554,3553,0,,
1999-01-19,3554,3554,3554,3553,0,,
1999-01-20,3554,3554,3554,3553,0,,
1999-01-21,3554,3554,3554,3553,0,,
1999-01-22,3554,3554,3554,3553,0,,
1999-01-25,3554,3554,3554,3553,0,,
1999-01-26,3554,3554,3554,3553,0,,
1999-01-27,3554,3554,3554,3553,0,,
1999-01-28,3554,3554,3554,3553,0,,
1999-01-29,3554,3554,3554,3553,0,,
1999-02-01,3554,3554,3554,3553,0,,
1999-02-02,3554,3554,3554,3553,0,,
1999-02-03,3554,3554,3554,3553,0,,
1999-02-04,3554,3554,3554,3553,0,,
1999-02-05,3554,3554,3554,3553,0,,
1999-02-08,3554,3554,3554,3553,0,,
1999-02-09,3554,3554,3554,3553,0,,
1999-02-10,3554,3554,3554,3553,0,,
1999-02-11,3554,3554,3554,3553,0,,
1999-02-12,3554,3554,3554,3553,0,,
1999-02-18,3554,3554,3554,3553,0,,
1999-02-19,3554,3554,3554,3553,0,,
1999-02-22,3554,3554,3554,3553,0,,
1999-02-23,3554,3554,3554,3553,0,,
1999-02-24,3554,3554,3554,3553,0,,
1999-02-25,3554,3554,3554,3553,0,,
1999-02-26,3554,3554,3554,3553,0,,
1999-03-02,3554,3554,3554,3553,0,,
1999-03-03,3554,3554,3554,3553,0,,
1999-03-04,3554,3554,3554,3553,0,,
1999-03-05,3554,3554,3554,3553,0,,
1999-03-08,3554,3554,3554,3553,0,,
1999-03-09,3554,3554,3554,3553,0,,
1999-03-10,3554,3554,3554,3553,0,,
1999-03-11,3554,3554,3554,3553,0,,
1999-03-12,3554,3554,3554,3553,0,,
1999-03-15,3554,3554,3554,3553,0,,
1999-03-16,3554,3554,3554,3553,0,,
1999-03-17,3554,3554,3554,3553,0,,
1999-03-18,3554,3554,3554,3553,0,,
1999-03-19,3554,3554,3554,3553,0,,
1999-03-22,3554,3554,3554,3553,0,,
1999-03-23,3554,3554,3554,3553,0,,
1999-03-24,3554,3554,3554,3553,0,,
1999-03-25,3554,3554,3554,3553,0,,
1999-03-26,3554,3554,3554,3553,0,,
1999-03-29,3554,3554,3554,3553,0,,
1999-03-30,3554,3554,3554,3553,0,,
1999-03-31,3554,3554,3554,3553,0,,
1999-04-01,3554,3554,3554,3553,0,,
1999-04-02,3554,3554,3554,3553,0,,
1999-04-06,3554,3554,3554,3553,0,,
1999-04-07,3554,3554,3554,3553,0,,
1999-04-08,3554,3554,3554,3553,0,,
1999-04-09,3554,3554,3554,3553,0,,
1999-04-12,3554,3554,3554,3553,0,,
1999-04-13,3554,3554,3554,3553,0,,
1999-04-14,3554,3554,3554,3553,0,,
1999-04-15,3554,3554,3554,3553,0,,
1999-04-16,3554,3554,3554,3553,0,,
1999-04-19,3554,3554,3554,3553,0,,
1999-04-20,3554,3554,3554,3553,0,,
1999-04-21,3554,3554,3554,3553,0,,
1999-04-22,3554,3554,3554,3553,0,,
1999-04-23,3554,3554,3554,3553,0,,
1999-04-26,3554,3554,3554,3553,0,,
1999-04-27,3554,3554,3554,3553,0,,
1999-04-28,3554,3554,3554,3553,0,,
1999-04-29,3554,3554,3554,3553,0,,
1999-04-30,3554,3554,3554,3553,0,,
1999-05-03,3554,3554,3554,3553,0,,
1999-05-04,3554,3554,3554,3553,0,,
1999-05-06,3554,3554,3554,3553,0,,
1999-05-07,3554,3554,3554,3553,0,,
1999-05-10,3554,3554,3554,3553,0,,
1999-05-11,3554,3554,3554,3553,10,10200.0,600000.0
1999-05-12,3554,3554,3554,3553,0,,
1999-05-13,3554,3554,3554,3553,0,,
1999-05-14,3554,3554,3554,3553,0,,
1999-05-17,3554,3554,3554,3553,0,,
1999-05-18,3554,3554,3554,3553,0,,
1999-05-19,3554,3554,3554,3553,0,,
1999-05-20,3136,3136,3136,3135,0,9000.0,600000.0
1999-05-21,3136,3136,3136,3135,0,9000.0,600000.0
1999-05-24,3136,3136,3136,3135,0,,
1999-05-25,2759,2759,2759,2759,0,7920.0,600000.0
1999-05-26,2759,2759,2759,2759,0,7920.0,600000.0
1999-05-27,2759,2759,2759,2759,0,,
1999-05-28,2759,2759,2759,2759,0,,
1999-05-31,2759,2759,2759,2759,0,,
1999-06-01,2759,2759,2759,2759,0,,
1999-06-02,2759,2759,2759,2759,0,,
1999-06-03,3073,3073,3073,3072,0,8820.0,600000.0
1999-06-04,3073,3073,3073,3072,0,8820.0,600000.0
1999-06-07,3073,3073,3073,3072,0,,
1999-06-08,3428,3428,3428,3428,10,9840.0,600000.0
1999-06-09,3428,3428,3428,3428,0,9840.0,600000.0
1999-06-10,3428,3428,3428,3428,0,,
1999-06-11,3428,3428,3428,3428,0,,
1999-06-14,3836,3836,3836,3835,10,11010.0,600000.0
1999-06-15,4296,4296,4296,4295,10,12330.0,600000.0
1999-06-16,3784,4808,3784,4807,2300,13800.0,600000.0
1999-06-17,5383,5383,5383,5382,10,15450.0,600000.0
1999-06-18,6020,6020,6020,6020,1630,17280.0,600000.0
1999-06-21,6742,6742,6167,6584,2610,18900.0,600000.0
1999-06-22,6564,6585,6564,6584,620,18900.0,600000.0
1999-06-23,5801,5801,5801,5800,10,16650.0,600000.0
1999-06-24,5111,5111,5111,5111,500,14670.0,600000.0
1999-06-25,4505,5644,4505,5644,110,16200.0,600000.0
1999-06-28,5644,5644,5644,5644,0,16200.0,600000.0
1999-06-29,5393,5393,5393,5393,0,15480.0,600000.0
1999-06-30,5372,6020,4756,6020,2010,17280.0,600000.0
1999-07-01,6721,6721,6721,6720,10,19290.0,600000.0
1999-07-02,5916,6689,5916,6689,500,19200.0,600000.0
1999-07-05,7463,7463,7463,7462,10,21420.0,600000.0
1999-07-06,8257,8257,6574,6574,190,18870.0,600000.0
1999-07-07,5790,5790,5790,5790,10,16620.0,600000.0
1999-07-08,5101,5101,5101,5100,30,14640.0,600000.0
1999-07-09,4494,4494,4494,4494,1200,12900.0,600000.0
1999-07-12,4076,4076,4076,4076,300,11700.0,600000.0
1999-07-13,3595,3595,3595,3595,0,10320.0,600000.0
1999-07-14,3167,3167,3167,3166,500,9090.0,600000.0
1999-07-15,2791,3136,2791,2947,3640,8460.0,600000.0
1999-07-16,2822,3136,2822,2926,1770,8400.0,600000.0
1999-07-19,3271,3271,3271,3271,300,9390.0,600000.0
1999-07-20,3658,3658,3637,3658,1620,10500.0,600000.0
1999-07-21,3261,4097,3240,4097,2120,11760.0,600000.0
1999-07-22,4588,4588,4588,4588,1000,13170.0,600000.0
1999-07-23,4808,4808,4808,4807,10,13800.0,600000.0
1999-07-26,5017,5017,5017,5016,130,14400.0,600000.0
1999-07-27,5017,5017,5017,5016,100,14400.0,600000.0
1999-07-28,5017,5017,5017,5016,0,14400.0,600000.0
