럭슬(033600),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2000-11-21,4600,4600,4600,4600,138140,52900.0,1150000.0
2000-11-22,5150,5150,4835,5150,3843350,59225.0,1150000.0
2000-11-23,4900,5600,4600,5400,2408150,62100.0,1150000.0
2000-11-24,5390,5750,4760,4760,2326870,54740.0,1150000.0
2000-11-27,4910,5330,4900,5330,1297510,61295.0,1150000.0
2000-11-28,5960,5960,5360,5560,3763950,63940.0,1150000.0
2000-11-29,5000,5200,4900,4900,1037920,56350.0,1150000.0
2000-11-30,4780,4850,4315,4315,340800,49622.0,1150000.0
2000-12-01,3800,4380,3800,3910,2073360,44965.0,1150000.0
2000-12-04,4000,4140,3445,3465,1177850,39848.0,1150000.0
2000-12-05,3465,3880,3215,3880,1832660,44620.0,1150000.0
2000-12-06,4000,4100,3415,3415,1383470,39272.0,1150000.0
2000-12-07,3320,3470,3020,3030,1195070,34845.0,1150000.0
2000-12-08,3030,3170,2870,2950,1324900,33925.0,1150000.0
2000-12-11,2920,3035,2800,2950,878950,33925.0,1150000.0
2000-12-12,3005,3275,2930,3085,1336520,35478.0,1150000.0
2000-12-13,3090,3090,2900,2980,739520,34270.0,1150000.0
2000-12-14,2870,3060,2850,3030,468170,34845.0,1150000.0
2000-12-15,3000,3345,2970,3040,1722660,34960.0,1150000.0
2000-12-18,3200,3400,3065,3400,1581460,39100.0,1150000.0
2000-12-19,3450,3760,3160,3160,2705260,36340.0,1150000.0
2000-12-20,3000,3150,2785,2785,841110,32028.0,1150000.0
2000-12-21,2480,2500,2455,2455,91600,28232.0,1150000.0
2000-12-22,2165,2450,2165,2165,742940,24898.0,1150000.0
2000-12-26,1920,2100,1910,1930,775470,22195.0,1150000.0
2001-01-02,1860,2090,1860,2000,751360,23000.0,1150000.0
2001-01-03,1930,2215,1900,2040,1359870,23460.0,1150000.0
2001-01-04,2215,2270,2120,2150,1030500,24725.0,1150000.0
2001-01-05,2150,2160,1910,1980,803350,22770.0,1150000.0
2001-01-08,2000,2215,2000,2215,1158190,25472.0,1150000.0
2001-01-09,2340,2480,2315,2480,2185360,28520.0,1150000.0
2001-01-10,2550,2650,2185,2185,3600740,25128.0,1150000.0
2001-01-11,2220,2295,2030,2210,2578010,25415.0,1150000.0
2001-01-12,2270,2385,2150,2150,2140470,24725.0,1150000.0
2001-01-15,2200,2375,2150,2330,2221680,26795.0,1150000.0
2001-01-16,2320,2330,2155,2260,1223420,25990.0,1150000.0
2001-01-17,2250,2530,2230,2530,2239950,29095.0,1150000.0
2001-01-18,2745,2830,2680,2740,849220,31510.0,1150000.0
2001-01-19,2790,2850,2540,2630,1831050,30245.0,1150000.0
2001-01-22,2670,2945,2650,2895,2754460,33292.0,1150000.0
2001-01-26,2895,2930,2550,2550,1727630,29325.0,1150000.0
2001-01-29,2585,2750,2490,2670,1722730,30705.0,1150000.0
2001-01-30,2750,2990,2720,2900,2553430,33350.0,1150000.0
2001-01-31,2910,3080,2650,2730,1737850,31395.0,1150000.0
2001-02-01,2730,2950,2660,2710,1505390,31165.0,1150000.0
2001-02-02,2710,2870,2650,2700,975780,31050.0,1150000.0
2001-02-05,2800,3020,2740,3020,4167130,34730.0,1150000.0
2001-02-06,3150,3190,2775,2890,2806550,33235.0,1150000.0
2001-02-07,2910,2975,2600,2720,1493680,31280.0,1150000.0
2001-02-08,2760,2810,2680,2725,947410,31338.0,1150000.0
2001-02-09,2755,2940,2755,2820,1506060,32430.0,1150000.0
2001-02-12,2750,3135,2720,3030,2463820,34845.0,1150000.0
2001-02-13,3300,3350,2950,2990,3493480,34385.0,1150000.0
2001-02-14,3050,3320,3030,3195,2655510,36742.0,1150000.0
2001-02-15,3220,3445,3130,3170,2417580,36455.0,1150000.0
2001-02-16,3200,3230,3000,3060,984720,35190.0,1150000.0
2001-02-19,3020,3220,3020,3150,903450,36225.0,1150000.0
2001-02-20,3150,3200,3030,3030,771110,34845.0,1150000.0
2001-02-21,2995,3030,2855,2940,715850,33810.0,1150000.0
2001-02-22,2900,2900,2590,2610,980320,30015.0,1150000.0
2001-02-23,2660,2730,2550,2675,648450,30762.0,1150000.0
2001-02-26,2700,2835,2640,2760,658260,31740.0,1150000.0
2001-02-27,2760,2825,2560,2560,671320,29440.0,1150000.0
2001-02-28,2410,2545,2410,2475,444400,28462.0,1150000.0
2001-03-02,2475,2480,2200,2200,601230,25300.0,1150000.0
2001-03-05,2110,2240,2050,2240,424180,25760.0,1150000.0
2001-03-06,2240,2460,2220,2350,750260,27025.0,1150000.0
2001-03-07,2380,2630,2380,2630,2302880,30245.0,1150000.0
2001-03-08,2750,2945,2720,2945,754900,33868.0,1150000.0
2001-03-09,3090,3295,3005,3295,1701750,37892.0,1150000.0
2001-03-12,3250,3560,3170,3350,1396080,38525.0,1150000.0
2001-03-13,3010,3500,3010,3330,1256810,38295.0,1150000.0
2001-03-14,3460,3725,3460,3725,258190,42838.0,1150000.0
2001-03-15,4170,4170,3800,3855,2105120,44332.0,1150000.0
2001-03-16,3855,3940,3700,3840,935620,44160.0,1150000.0
2001-03-19,4000,4100,3380,3430,1376170,39445.0,1150000.0
2001-03-20,3450,3840,3450,3840,1739900,44160.0,1150000.0
2001-03-21,3840,3930,3450,3550,991570,40825.0,1150000.0
2001-03-22,3500,3970,3400,3550,747030,40825.0,1150000.0
2001-03-23,3590,3790,3460,3650,631960,41975.0,1150000.0
2001-03-26,3700,3740,3360,3500,1452250,40250.0,1150000.0
2001-03-27,3500,3800,3455,3600,1465100,41400.0,1150000.0
2001-03-28,3710,4030,3600,4030,1843340,46345.0,1150000.0
2001-03-29,4200,4510,3680,4030,3252490,46345.0,1150000.0
2001-03-30,4050,4130,3710,4035,940900,46402.0,1150000.0
2001-04-02,4035,4515,3950,4515,1972910,51922.0,1150000.0
2001-04-03,4520,4720,4240,4450,2015570,51175.0,1150000.0
2001-04-04,4400,4550,4245,4320,683600,49680.0,1150000.0
2001-04-06,4450,4545,4025,4100,1086920,47150.0,1150000.0
2001-04-09,4000,4200,3900,4050,659500,46575.0,1150000.0
2001-04-10,4050,4195,3950,3960,427780,45540.0,1150000.0
2001-04-11,4040,4150,3940,4000,394380,46000.0,1150000.0
2001-04-12,4030,4140,3940,4000,398650,46000.0,1150000.0
2001-04-13,4060,4445,4030,4250,1591180,48875.0,1150000.0
2001-04-16,4280,4350,4070,4070,683430,46805.0,1150000.0
2001-04-17,4100,4120,3585,3585,1196930,41228.0,1150000.0
2001-04-18,3585,3665,3390,3550,1562340,40825.0,1150000.0
2001-04-19,3645,3700,3420,3490,906420,40135.0,1150000.0
2001-04-20,3550,3780,3450,3450,1511280,39675.0,1150000.0
2001-04-23,3415,3560,3380,3465,836570,39848.0,1150000.0
2001-04-24,3480,3640,3405,3530,982550,40595.0,1150000.0
2001-04-25,3500,3560,3420,3500,511100,40250.0,1150000.0
2001-04-26,3520,3725,3520,3630,1540620,41745.0,1150000.0
2001-04-27,3650,3690,3410,3465,709510,39848.0,1150000.0
2001-04-30,3540,3540,3400,3400,984050,39100.0,1150000.0
2001-05-02,3400,3590,3365,3460,1018730,39790.0,1150000.0
2001-05-03,3470,3500,3380,3460,728570,39790.0,1150000.0
2001-05-04,3410,3550,3400,3500,607780,40250.0,1150000.0
2001-05-07,3555,3830,3510,3650,959260,41975.0,1150000.0
2001-05-08,3610,4085,3600,4085,1178780,46978.0,1150000.0
2001-05-09,4430,4530,4170,4300,1201290,49450.0,1150000.0
2001-05-10,4300,4340,4050,4150,382540,47725.0,1150000.0
2001-05-11,4270,4645,4220,4480,1166270,51520.0,1150000.0
2001-05-14,4480,5010,4480,5010,747660,57615.0,1150000.0
2001-05-15,5110,5250,4650,4700,525280,54050.0,1150000.0
2001-05-16,4800,5000,4600,4750,252250,54625.0,1150000.0
2001-05-17,4810,5190,4800,4950,284060,56925.0,1150000.0
2001-05-18,4800,5040,4750,4950,210090,56925.0,1150000.0
2001-05-21,4860,5040,4810,4850,170380,55775.0,1150000.0
2001-05-22,4900,5130,4850,4900,265460,56350.0,1150000.0
2001-05-23,4950,5230,4900,4920,602030,56580.0,1150000.0
2001-05-24,4960,4960,4580,4700,217790,54050.0,1150000.0
2001-05-25,4580,4690,4400,4520,119450,51980.0,1150000.0
2001-05-28,4530,4550,4370,4405,119690,50658.0,1150000.0
2001-05-29,4450,4570,3900,3900,328640,44850.0,1150000.0
2001-05-30,4200,4365,4060,4365,361670,50198.0,1150000.0
2001-05-31,4500,4885,4420,4885,592130,56178.0,1150000.0
2001-06-01,5130,5460,4900,5090,563490,58535.0,1150000.0
2001-06-04,5090,5300,4960,5050,210180,58075.0,1150000.0
2001-06-05,5110,5110,4810,5000,89830,57500.0,1150000.0
2001-06-07,5200,5600,5070,5600,327850,64400.0,1150000.0
2001-06-08,5650,6240,5610,5900,430770,67850.0,1150000.0
2001-06-11,5600,5800,5520,5520,109940,63480.0,1150000.0
2001-06-12,5570,5800,5400,5520,81040,63480.0,1150000.0
2001-06-13,5520,6180,5520,6180,234450,71070.0,1150000.0
2001-06-14,6200,6480,5930,6150,280480,70725.0,1150000.0
2001-06-15,6200,6300,5950,6150,132660,70725.0,1150000.0
2001-06-18,6150,6390,6040,6270,110320,72105.0,1150000.0
2001-06-19,6270,6270,5920,6080,91930,69920.0,1150000.0
2001-06-20,5900,6110,5500,5700,75140,65550.0,1150000.0
2001-06-21,5750,6000,5560,5560,135690,63940.0,1150000.0
2001-06-22,5640,5650,5400,5500,93530,63250.0,1150000.0
2001-06-25,5410,5440,4840,4900,223640,56350.0,1150000.0
2001-06-26,4910,5000,4600,4700,103670,54050.0,1150000.0
2001-06-27,4760,5260,4750,5260,333200,60490.0,1150000.0
2001-06-28,5310,5360,4920,4920,372680,56580.0,1150000.0
2001-06-29,4945,5510,4800,5510,572510,63365.0,1150000.0
2001-07-02,5300,6170,5300,5600,232950,64400.0,1150000.0
2001-07-03,5500,5990,5500,5800,132570,66700.0,1150000.0
2001-07-04,5800,5950,5600,5690,74690,65435.0,1150000.0
2001-07-05,5760,5760,5450,5500,120610,63250.0,1150000.0
2001-07-06,5380,5550,5160,5400,105620,62100.0,1150000.0
2001-07-09,4950,5290,4760,4760,210220,54740.0,1150000.0
2001-07-10,4850,5060,4520,4680,344920,53820.0,1150000.0
2001-07-11,4600,4600,4175,4320,750950,49680.0,1150000.0
2001-07-12,4400,4600,4340,4470,180270,51405.0,1150000.0
2001-07-13,4550,4550,4100,4150,144340,47725.0,1150000.0
2001-07-16,4010,4490,4010,4300,219950,49450.0,1150000.0
2001-07-18,4310,4530,4050,4200,363000,48300.0,1150000.0
2001-07-19,4200,4345,4140,4240,461610,48760.0,1150000.0
2001-07-20,4200,4335,4110,4135,64510,47552.0,1150000.0
2001-07-23,4030,4195,3670,3730,145500,42895.0,1150000.0
2001-07-24,3710,3890,3400,3830,97210,44045.0,1150000.0
2001-07-25,3640,4020,3640,3750,104420,43125.0,1150000.0
2001-07-26,3800,3900,3775,3865,58090,44448.0,1150000.0
2001-07-27,4020,4325,3900,4325,664190,49738.0,1150000.0
