한국기업평가(034950),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2002-02-07,14000,14000,14000,14000,156613,66050.0,4717880.0
2002-02-08,14900,15650,13700,15650,623142,73835.0,4717880.0
2002-02-14,15200,15550,13800,14200,395776,66994.0,4717880.0
2002-02-15,14300,14450,13450,13900,108231,65579.0,4717880.0
2002-02-18,13600,14400,13000,13000,135132,61332.0,4717880.0
2002-02-19,12600,13250,12300,12400,147875,58502.0,4717880.0
2002-02-20,12600,12650,12100,12400,133623,58502.0,4717880.0
2002-02-21,12500,12800,12350,12700,101850,59917.0,4717880.0
2002-02-22,13000,13100,12350,12500,67770,58974.0,4717880.0
2002-02-25,12650,12700,12400,12500,51670,58974.0,4717880.0
2002-02-26,12600,12800,12400,12650,66369,59681.0,4717880.0
2002-02-27,12600,12600,12400,12550,51287,59209.0,4717880.0
2002-02-28,12400,12900,12400,12700,57841,59917.0,4717880.0
2002-03-04,13000,13350,12700,12900,70021,60861.0,4717880.0
2002-03-05,13000,13000,12500,12600,44507,59445.0,4717880.0
2002-03-06,12700,12900,12500,12700,54692,59917.0,4717880.0
2002-03-07,12600,13650,12600,13000,96925,61332.0,4717880.0
2002-03-08,13200,13200,12900,13000,36121,61332.0,4717880.0
2002-03-11,13000,14000,13000,13900,127901,65579.0,4717880.0
2002-03-12,13900,14700,13600,14200,186350,66994.0,4717880.0
2002-03-13,14400,15450,14400,14450,318653,68173.0,4717880.0
2002-03-14,14500,15600,14450,15400,188465,72655.0,4717880.0
2002-03-15,15500,17100,15400,16500,205930,77845.0,4717880.0
2002-03-18,17000,17000,15600,16150,186646,76194.0,4717880.0
2002-03-19,15400,16000,14300,14700,197372,69353.0,4717880.0
2002-03-20,15200,15500,14900,15150,150174,71476.0,4717880.0
2002-03-21,14900,15100,14200,14450,111039,68173.0,4717880.0
2002-03-22,14200,14750,14100,14450,97158,68173.0,4717880.0
2002-03-25,14500,14900,14300,14300,84185,67466.0,4717880.0
2002-03-26,14000,14700,14000,14700,66825,69353.0,4717880.0
2002-03-27,14600,15650,14600,14900,229072,70296.0,4717880.0
2002-03-28,14650,15250,14650,14650,81633,69117.0,4717880.0
2002-03-29,14900,15000,14400,14700,69495,69353.0,4717880.0
2002-04-01,15300,15350,13850,14350,101492,67702.0,4717880.0
2002-04-02,14400,14500,13800,13950,80020,65814.0,4717880.0
2002-04-03,13950,14050,13550,13600,60215,64163.0,4717880.0
2002-04-04,13500,13800,13450,13650,38450,64399.0,4717880.0
2002-04-08,13700,14400,13650,14000,44043,66050.0,4717880.0
2002-04-09,13900,14300,13300,13750,44615,64871.0,4717880.0
2002-04-10,13700,13750,12900,13150,59647,62040.0,4717880.0
2002-04-11,13150,13500,13000,13300,38321,62748.0,4717880.0
2002-04-12,13200,13450,12600,13300,45572,64204.0,4827355.0
2002-04-15,13500,13650,13300,13450,27588,64928.0,4827355.0
2002-04-16,13450,14350,13450,13850,54412,66859.0,4827355.0
2002-04-17,14000,14000,13650,13800,27128,66617.0,4827355.0
2002-04-18,13950,13950,13350,13600,36296,65652.0,4827355.0
