이지바이오(035810),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-11-23,1346,1346,1346,1346,98,21493.0,7676000.0
1999-11-24,1504,1504,1504,1504,21,24026.0,7676000.0
1999-11-25,1682,1682,1682,1682,32,26866.0,7676000.0
1999-11-26,1884,1884,1884,1884,1220,30090.0,7676000.0
1999-11-29,2110,2110,2110,2110,730,33698.0,7676000.0
1999-11-30,2361,2361,2361,2361,1721,37689.0,7676000.0
1999-12-01,2639,2639,2639,2639,1603,42141.0,7676000.0
1999-12-02,2951,2951,2951,2951,2084,47131.0,7676000.0
1999-12-03,3303,3303,3303,3302,8759,52734.0,7676000.0
1999-12-06,3697,3697,3697,3697,10576,59028.0,7676000.0
1999-12-07,4139,4139,4139,4139,505174,66090.0,7676000.0
1999-12-08,4635,4635,4635,4634,29498,73997.0,7676000.0
1999-12-09,5168,5168,5168,5168,10135,82517.0,7676000.0
1999-12-10,5769,5769,5769,5769,6156,92112.0,7676000.0
1999-12-13,6442,6442,6442,6442,3508,102858.0,7676000.0
1999-12-14,7212,7212,7212,7211,312488,115140.0,7676000.0
1999-12-15,8076,8076,8076,8076,10281,128957.0,7676000.0
1999-12-16,9038,9038,7499,9037,1670592,144309.0,7676000.0
1999-12-17,8654,8654,7957,7956,200013,127038.0,7676000.0
1999-12-20,7019,7019,7019,7019,30032,112070.0,7676000.0
1999-12-21,6995,7860,6562,7860,1942763,125503.0,7676000.0
1999-12-22,8173,8798,7981,8797,611186,140471.0,7676000.0
1999-12-23,9471,9831,8004,8172,601342,130492.0,7676000.0
1999-12-24,7837,8414,7212,7211,734563,115140.0,7676000.0
1999-12-27,6707,7597,6347,6346,566304,101323.0,7676000.0
1999-12-28,5601,6346,5601,6153,556499,98253.0,7676000.0
2000-01-04,5769,6730,5432,5432,286767,86739.0,7676000.0
2000-01-05,5096,6082,4856,6081,640210,97101.0,7676000.0
2000-01-06,6082,6443,5361,5360,213577,85587.0,7676000.0
2000-01-07,4807,4999,4735,4831,306948,77144.0,7676000.0
2000-01-10,5241,5289,4423,4807,322670,76760.0,7676000.0
2000-01-11,4808,5145,4664,4928,389208,78679.0,7676000.0
2000-01-12,4568,4712,4351,4351,209599,69468.0,7676000.0
2000-01-13,3894,4014,3832,3831,84514,61178.0,7676000.0
2000-01-14,3832,4038,3375,3374,288276,53886.0,7676000.0
2000-01-17,3461,3600,3028,3384,361361,54039.0,7676000.0
2000-01-18,3385,3740,3255,3624,324313,57877.0,7676000.0
2000-01-19,3625,3702,3192,3192,211605,50969.0,7676000.0
2000-01-20,2933,3558,2813,3510,224710,56035.0,7676000.0
2000-01-21,3318,3654,3174,3505,216990,55958.0,7676000.0
2000-01-24,3221,3658,3221,3629,305180,57954.0,7676000.0
2000-01-25,3462,4039,3365,3697,450420,59028.0,7676000.0
2000-01-26,3847,3919,3606,3654,185091,58338.0,7676000.0
2000-01-27,3601,4038,3586,3629,375204,57954.0,7676000.0
2000-01-28,3794,3818,3491,3654,207996,58338.0,7676000.0
2000-01-31,3510,3894,3413,3749,264862,59873.0,7676000.0
2000-02-01,3942,4197,3774,4182,617280,66781.0,7676000.0
2000-02-02,4293,4682,4206,4681,451701,74764.0,7676000.0
2000-02-03,4903,5144,4471,4778,988611,76299.0,7676000.0
2000-02-07,5048,5336,4951,5335,530637,85204.0,7676000.0
2000-02-08,5962,5962,4856,5649,1331454,90193.0,7676000.0
2000-02-09,5673,6322,5649,6321,1008392,100939.0,7676000.0
2000-02-10,6226,7067,5841,7019,1138509,112070.0,7676000.0
2000-02-11,7307,7860,7307,7860,1103550,125503.0,7676000.0
2000-02-14,7692,8365,6923,6922,1401748,110534.0,7676000.0
2000-02-15,6394,6923,6106,6105,688790,97485.0,7676000.0
2000-02-16,5577,6153,5384,5889,918605,94031.0,7676000.0
2000-02-17,6587,6587,6490,6586,226108,105161.0,7676000.0
2000-02-18,7355,7355,7355,7355,12325,117443.0,7676000.0
2000-02-21,8221,8221,8221,8220,30781,131260.0,7676000.0
2000-02-22,9206,9206,9206,9206,88397,146995.0,7676000.0
2000-02-23,10288,10288,9856,10288,2351443,164266.0,7676000.0
2000-02-24,11514,11514,11514,11513,122242,183840.0,7676000.0
2000-02-25,12884,12884,12884,12884,22247,205717.0,7676000.0
2000-02-28,14423,14423,14423,14422,16536,230280.0,7676000.0
2000-02-29,16153,16153,16153,16153,16289,257914.0,7676000.0
2000-03-02,18076,18076,18076,18076,14164,288618.0,7676000.0
2000-03-03,20239,20239,16874,20238,1242110,323160.0,7676000.0
2000-03-06,18028,19710,17812,17811,307773,284396.0,7676000.0
2000-03-07,15697,17259,15697,16297,1926971,260216.0,7676000.0
2000-03-08,16297,18244,15840,18244,1499629,291304.0,7676000.0
2000-03-09,20431,20431,19782,20431,281583,326230.0,7676000.0
2000-03-10,21586,22547,17980,17980,2970070,287082.0,7676000.0
2000-03-13,17980,19182,16129,17787,1939962,284012.0,7676000.0
2000-03-14,16466,17211,15673,15672,855431,250238.0,7676000.0
2000-03-15,13798,17260,13798,14567,2332910,232583.0,7676000.0
2000-03-16,15865,16130,13894,14999,999189,239491.0,7676000.0
2000-03-17,14999,15384,13220,13220,530051,211090.0,7676000.0
2000-03-20,12091,12500,11634,11634,107305,185759.0,7676000.0
2000-03-21,10239,13028,10239,13027,2312998,208020.0,7676000.0
2000-03-22,13509,14591,12860,13340,1699921,213009.0,7676000.0
2000-03-23,14135,14327,11755,11754,1183082,187678.0,7676000.0
2000-03-24,12067,12476,11057,11634,786811,185759.0,7676000.0
2000-03-27,11634,13028,11393,13027,1341699,208020.0,7676000.0
2000-03-28,13124,13605,12331,12595,1056412,201111.0,7676000.0
2000-03-29,12066,12259,11105,11297,533301,180386.0,7676000.0
2000-03-30,10336,10913,10096,10456,586074,166953.0,7676000.0
2000-03-31,10169,11202,9856,10529,751869,168104.0,7676000.0
2000-04-03,10625,11009,9279,9278,414424,148147.0,7676000.0
2000-04-04,8173,8173,8173,8172,46980,130492.0,7676000.0
2000-04-06,8172,9086,7307,7595,1219539,121281.0,7676000.0
2000-04-07,8486,8486,8486,8485,54966,135481.0,7676000.0
2000-04-10,9494,9494,9494,9494,10276,151601.0,7676000.0
2000-04-11,10096,10625,9615,10624,1551809,169640.0,7676000.0
2000-04-12,9856,10938,9615,10336,1208436,165034.0,7676000.0
2000-04-14,9616,9664,9111,9110,277819,145460.0,7676000.0
2000-04-17,8028,8028,8028,8028,6990,128189.0,7676000.0
2000-04-18,8269,8894,7067,7451,598971,118978.0,7676000.0
2000-04-19,8125,8341,7644,8268,667145,132027.0,7676000.0
2000-04-20,8317,9110,7836,8653,1798904,138168.0,7676000.0
2000-04-21,8509,9590,8124,9325,1881028,148914.0,7676000.0
2000-04-24,9230,9519,8221,8268,763604,132027.0,7676000.0
2000-04-25,7789,8390,7548,8101,579361,129341.0,7676000.0
2000-04-26,8581,8798,7764,7860,573675,125503.0,7676000.0
2000-04-27,7500,8173,7380,7499,317908,119746.0,7676000.0
2000-04-28,7595,7884,7211,7571,327045,120897.0,7676000.0
2000-05-02,8076,8461,8076,8460,208793,135098.0,7676000.0
2000-05-03,8702,9471,8269,8990,2005803,143541.0,7676000.0
2000-05-04,8749,9759,8653,9061,1790988,144693.0,7676000.0
2000-05-08,9855,10143,9062,9446,1061648,150833.0,7676000.0
2000-05-09,9135,10001,8702,9664,920506,154288.0,7676000.0
2000-05-10,9614,9855,9230,9325,840465,148914.0,7676000.0
2000-05-12,9534,10212,9248,9534,752282,140471.0,7676000.0
2000-05-15,9378,9482,8414,8414,459743,123967.0,7676000.0
2000-05-16,8337,8806,7607,8441,418819,124351.0,7676000.0
2000-05-17,8649,8962,7451,7659,397805,112837.0,7676000.0
2000-05-18,6904,7191,6748,6747,246809,99404.0,7676000.0
2000-05-19,6097,7243,5940,6904,530267,101707.0,7676000.0
2000-05-22,6253,7217,6097,6096,523213,89809.0,7676000.0
2000-05-23,5991,6408,5470,5887,710111,86739.0,7676000.0
2000-05-24,5524,5706,5185,5184,486749,76376.0,7676000.0
2000-05-25,5471,5783,5393,5783,435141,85204.0,7676000.0
2000-05-26,5784,6148,5106,5205,673279,76683.0,7676000.0
2000-05-29,4851,5341,4752,5096,439475,75071.0,7676000.0
2000-05-30,5367,5706,5211,5705,478375,84052.0,7676000.0
2000-05-31,6253,6383,6148,6382,266239,94031.0,7676000.0
2000-06-01,6278,6695,5888,6408,734016,94415.0,7676000.0
2000-06-02,6773,6903,6044,6278,562237,92496.0,7676000.0
2000-06-05,6669,7008,6461,7008,776762,103242.0,7676000.0
2000-06-07,7685,7841,7294,7840,2092330,115524.0,7676000.0
2000-06-08,8336,8414,7085,7241,2469532,106696.0,7676000.0
2000-06-09,6774,7008,6383,6799,837102,100172.0,7676000.0
2000-06-12,7607,7607,7607,7607,191352,112070.0,7676000.0
2000-06-13,7867,8519,7008,7085,2871455,104394.0,7676000.0
2000-06-14,7710,7919,7242,7449,2469228,109767.0,7676000.0
2000-06-15,6930,7086,6565,6565,644418,96718.0,7676000.0
2000-06-16,6097,6827,5784,6175,1748120,90961.0,7676000.0
2000-06-19,6252,6564,5809,5887,832291,86739.0,7676000.0
2000-06-20,6304,6408,5887,6147,851208,90577.0,7676000.0
2000-06-21,6147,6460,5991,6147,768987,90577.0,7676000.0
2000-06-22,6513,6877,6330,6877,1736529,101323.0,7676000.0
2000-06-23,6565,6825,6304,6669,1149569,98253.0,7676000.0
2000-06-26,7137,7450,6981,7449,1463042,109767.0,7676000.0
2000-06-27,7295,7295,6852,7008,1403609,103242.0,7676000.0
2000-06-28,7320,7631,6790,7101,876115,87506.0,7676000.0
2000-06-29,7288,7413,6727,6976,690834,85971.0,7676000.0
2000-06-30,6728,6790,6510,6665,419357,82133.0,7676000.0
2000-07-03,6385,6821,6354,6603,505834,81366.0,7676000.0
2000-07-04,6541,6790,6416,6509,401286,80214.0,7676000.0
2000-07-05,6292,6385,5731,5762,474872,71003.0,7676000.0
2000-07-06,5731,5949,5357,5624,416864,69314.0,7676000.0
2000-07-07,5625,5917,5481,5886,368816,72538.0,7676000.0
2000-07-10,5861,6098,5668,5730,348474,70619.0,7676000.0
2000-07-11,5612,5730,5076,5138,330968,63327.0,7676000.0
2000-07-12,5232,5668,4870,5486,543687,67626.0,7676000.0
2000-07-13,5358,5414,5115,5114,284110,63020.0,7676000.0
2000-07-14,5051,5170,4746,4889,371035,87860.0,11192400.0
2000-07-18,4921,5419,4896,4920,1043654,88420.0,11192400.0
2000-07-19,4921,4977,4335,4353,428486,78235.0,11192400.0
2000-07-20,4049,4509,3862,4235,614291,76108.0,11192400.0
2000-07-21,4367,4417,4006,4005,334694,71967.0,11192400.0
2000-07-24,3843,3943,3526,3525,358805,63349.0,11192400.0
2000-07-25,3277,3788,3152,3600,708036,64692.0,11192400.0
2000-07-26,3650,3718,3488,3581,526113,64356.0,11192400.0
2000-07-27,3620,4012,3613,4012,1129530,72079.0,11192400.0
2000-07-28,4005,4229,3619,3780,1271053,67938.0,11192400.0
2000-07-31,3614,3863,3558,3657,381190,65699.0,11192400.0
2000-08-01,3676,3919,3645,3863,586196,69393.0,11192400.0
2000-08-02,3924,4273,3912,3924,1089164,70512.0,11192400.0
2000-08-03,4161,4391,4049,4328,1192125,77787.0,11192400.0
2000-08-04,4417,4441,4124,4360,860025,78347.0,11192400.0
2000-08-07,4179,4472,4179,4328,597594,77787.0,11192400.0
