JYP Ent.(035900),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-08-30,14907392,14907392,14907392,14907392,5473275,54000.0,12000000.0
2001-08-31,13118598,13118598,13118598,13118506,564485,47520.0,12000000.0
2001-09-03,11561544,11561544,11561544,11561510,275360,41880.0,12000000.0
2001-09-04,10468368,12555403,10468368,11594636,15565210,42000.0,12000000.0
2001-09-05,11594713,12986032,11263414,12985993,9717885,47040.0,12000000.0
2001-09-06,13217960,14509911,13118588,14244842,8528560,51600.0,12000000.0
2001-09-07,13913605,15073091,13582395,14642371,5891155,53040.0,12000000.0
2001-09-10,14708686,15238740,14443659,14642371,4009715,53040.0,12000000.0
2001-09-11,14642473,14907398,13748010,14244842,2432865,51600.0,12000000.0
2001-09-12,12555375,12555375,12555375,12555338,56435,45480.0,12000000.0
2001-09-13,11925991,14046218,11925991,14046077,7325765,50880.0,12000000.0
2001-09-14,14079270,14642516,12389840,13383527,3445610,48480.0,12000000.0
2001-09-17,13582442,13748104,11793536,11793406,1879555,42720.0,12000000.0
2001-09-18,12124798,12886690,12124798,12687846,2625285,45960.0,12000000.0
2001-09-19,12290310,14178590,12290310,13913564,2605395,50400.0,12000000.0
2001-09-20,13648673,15570036,13582393,15569942,5665815,56400.0,12000000.0
2001-09-21,16199446,17226368,15702482,16696278,6315970,60480.0,12000000.0
2001-09-24,15569993,18518384,15536808,18054510,5457880,65400.0,12000000.0
2001-09-25,19048348,20207824,18717144,19876522,6323090,72000.0,12000000.0
2001-09-26,20572162,21400420,19545246,20539072,5678360,74400.0,12000000.0
2001-09-27,20704786,21301052,20406674,20870350,3508120,75600.0,12000000.0
2001-09-28,20704830,21367346,20704830,21069114,3141990,76320.0,12000000.0
2001-10-04,21267958,21532972,19876622,19876522,4549525,72000.0,12000000.0
2001-10-05,19876632,21367322,19578404,20207798,3768875,73200.0,12000000.0
2001-10-08,20572292,20605480,19180984,19545248,3811415,70800.0,12000000.0
