위지트(036090),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-12-10,19292,19292,19292,19289,1380,7275.0,500000.0
1999-12-13,21569,21569,21569,21566,610,8125.0,500000.0
1999-12-14,24140,24140,24140,24137,540,9100.0,500000.0
1999-12-15,26999,26999,26999,27001,3640,10175.0,500000.0
1999-12-16,30181,30181,30181,30183,4740,11375.0,500000.0
1999-12-17,33764,33764,26930,33758,495600,12725.0,500000.0
1999-12-20,34216,37797,33818,37794,214610,14250.0,500000.0
1999-12-21,42326,42326,42326,42323,21470,15950.0,500000.0
1999-12-22,47344,47344,47344,47341,32800,17850.0,500000.0
1999-12-23,52993,52993,49082,52996,408260,19975.0,500000.0
1999-12-24,59287,59287,56633,59287,492800,22350.0,500000.0
1999-12-27,64858,66317,58360,66315,765040,25000.0,500000.0
1999-12-28,66317,71621,58355,58357,1050360,22000.0,500000.0
2000-01-04,51404,51404,51404,51406,12160,19375.0,500000.0
2000-01-05,45241,45241,45241,45238,2080,17050.0,500000.0
2000-01-06,39855,39855,39855,39852,800,15025.0,500000.0
2000-01-07,35075,35075,35075,35077,15810,13225.0,500000.0
2000-01-10,30918,34503,30918,30916,977630,11650.0,500000.0
2000-01-11,28733,34573,28666,34566,945150,13025.0,500000.0
2000-01-12,30449,33036,30449,30451,259760,11475.0,500000.0
2000-01-13,26801,26801,26801,26803,95530,10100.0,500000.0
2000-01-14,26922,27852,23605,23867,245750,9000.0,500000.0
2000-01-17,22212,24535,21017,22277,293710,8400.0,500000.0
2000-01-18,23753,24948,22290,24946,293600,9400.0,500000.0
2000-01-19,27187,27916,21945,23204,435370,8750.0,500000.0
2000-01-20,22554,23153,20432,22815,114480,8600.0,500000.0
2000-01-21,21228,23883,21228,22152,118010,8350.0,500000.0
2000-01-24,21486,23741,21486,22545,113270,8500.0,500000.0
2000-01-25,22279,22413,21021,21882,114000,8250.0,500000.0
2000-01-26,21219,22279,20292,21882,137060,8250.0,500000.0
2000-01-27,21492,21757,20566,21223,47890,8000.0,500000.0
2000-01-28,21228,21891,20566,21223,48100,8000.0,500000.0
2000-01-31,20954,23738,20556,22742,205440,8575.0,500000.0
2000-02-01,22745,24535,22745,23474,251690,8850.0,500000.0
2000-02-02,24152,25212,22956,24946,295320,9400.0,500000.0
2000-02-03,26274,27733,24681,27465,298030,10350.0,500000.0
2000-02-07,29106,30699,27848,30697,185910,11575.0,500000.0
2000-02-08,31974,34363,27198,29450,317870,11100.0,500000.0
2000-02-09,29460,30521,27468,27465,268890,10350.0,500000.0
2000-02-10,26936,30520,25476,28396,493550,10700.0,500000.0
2000-02-11,29173,31496,28511,30232,648720,11400.0,500000.0
2000-02-14,30235,33019,27187,29767,451280,11225.0,500000.0
2000-02-15,30503,33288,29842,33290,821570,12550.0,500000.0
2000-02-16,33436,37016,29850,33168,737570,12500.0,500000.0
2000-02-17,33827,37143,33298,35813,840190,13500.0,500000.0
2000-02-18,35805,40052,35143,40047,1211830,15100.0,500000.0
2000-02-21,41377,44824,40049,44822,1115110,16900.0,500000.0
2000-02-22,50204,50204,39459,42178,1257700,15900.0,500000.0
2000-02-23,39786,41116,37137,37135,693190,14000.0,500000.0
2000-02-24,36484,41591,36484,41588,1279630,15675.0,500000.0
2000-02-25,43107,46289,41845,43302,1233760,16325.0,500000.0
2000-02-28,43778,47758,41125,44305,1072490,16700.0,500000.0
2000-02-29,43780,49616,41126,49619,2112020,18700.0,500000.0
2000-03-02,55453,55516,53860,55518,1172700,20925.0,500000.0
2000-03-03,62150,62150,58266,62150,679150,19200.0,500000.0
2000-03-06,69597,69597,67169,69594,286660,21500.0,500000.0
2000-03-07,64885,77666,61246,63105,1721130,19500.0,500000.0
2000-03-08,59057,67796,56632,63105,1315600,19500.0,500000.0
2000-03-09,67162,68779,63925,65382,883010,20200.0,500000.0
2000-03-10,64726,67155,60199,61002,872400,18850.0,500000.0
2000-03-13,59071,62309,56158,59068,914750,18250.0,500000.0
2000-03-14,58260,62790,57451,61172,622300,18900.0,500000.0
2000-03-15,60699,68476,58275,68470,982390,21150.0,500000.0
2000-03-16,64907,76075,60290,60290,1221460,18625.0,500000.0
2000-03-17,60296,61511,53092,53092,628270,16400.0,500000.0
2000-03-20,47913,50176,46777,46779,241840,14450.0,500000.0
2000-03-21,41205,44522,41205,41199,489110,12725.0,500000.0
