이매진아시아(036260),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-12-10,22977,23395,20887,23379,151852,14000.0,2500000.0
1999-12-13,26168,26168,26168,26168,12870,15675.0,2500000.0
1999-12-14,29318,29318,29318,29303,588,17550.0,2500000.0
1999-12-15,32805,32805,32805,32802,2441,19650.0,2500000.0
1999-12-16,36741,36741,33827,36737,181482,22000.0,2500000.0
1999-12-17,36739,36739,32357,32345,480144,19375.0,2500000.0
1999-12-20,28474,30468,28474,28471,77944,17050.0,2500000.0
1999-12-21,25465,28378,25083,28339,271152,16975.0,2500000.0
1999-12-22,25542,31728,24957,31717,431618,19000.0,2500000.0
1999-12-23,31303,35435,28008,28004,382892,16775.0,2500000.0
1999-12-24,28336,29637,25454,27254,54578,16325.0,2500000.0
1999-12-27,27140,27140,24011,24211,322256,14500.0,2500000.0
1999-12-28,21334,24080,21334,21330,86234,12775.0,2500000.0
2000-01-04,18816,22029,18816,18805,42794,10825.0,2500000.0
2000-01-05,17821,20209,16603,17415,105474,10025.0,2500000.0
2000-01-06,19117,19117,15327,15336,119796,8825.0,2500000.0
2000-01-07,13508,17162,13508,17111,244052,9850.0,2500000.0
2000-01-10,17814,18638,15462,17811,176048,10250.0,2500000.0
2000-01-11,17888,19930,16121,19931,116882,11475.0,2500000.0
2000-01-12,19963,19963,17671,19363,52422,11150.0,2500000.0
2000-01-13,19412,19412,17847,19241,53714,11075.0,2500000.0
2000-01-14,19238,19763,17590,18582,51734,10700.0,2500000.0
2000-01-17,18602,18602,17038,17811,21444,10250.0,2500000.0
2000-01-18,17819,17819,15861,17111,53176,9850.0,2500000.0
2000-01-19,17211,17820,15344,16208,38364,9325.0,2500000.0
2000-01-20,16089,16089,14310,14991,23518,8625.0,2500000.0
2000-01-21,15081,16267,14998,16208,31512,9325.0,2500000.0
2000-01-24,16294,17607,16294,17293,14632,9950.0,2500000.0
2000-01-25,17298,17298,15467,16502,6780,9500.0,2500000.0
2000-01-26,16513,16943,14913,16462,16470,9475.0,2500000.0
2000-01-27,16501,16501,14770,15721,11300,9050.0,2500000.0
2000-01-28,15747,16272,15448,16249,17456,9350.0,2500000.0
2000-01-31,15945,16518,15945,16502,11496,9500.0,2500000.0
2000-02-01,16597,17377,15857,15853,11232,9125.0,2500000.0
2000-02-02,16517,17735,16075,17719,26948,10200.0,2500000.0
2000-02-03,17856,18680,16932,17892,18412,10300.0,2500000.0
2000-02-07,17386,19563,16729,18632,76330,10725.0,2500000.0
2000-02-08,18084,18550,16425,17162,31224,9875.0,2500000.0
2000-02-09,17380,17547,15254,16938,20750,9750.0,2500000.0
2000-02-10,17034,17810,16293,17162,21144,9875.0,2500000.0
2000-02-11,17247,17247,16065,16675,11090,9600.0,2500000.0
2000-02-14,16672,16672,15287,15630,13048,9000.0,2500000.0
2000-02-15,15720,16245,14980,15681,9466,9025.0,2500000.0
2000-02-16,17294,17294,14162,16725,22314,9625.0,2500000.0
2000-02-17,16775,18161,15044,17811,53838,10250.0,2500000.0
2000-02-18,17816,19930,17375,19931,117518,11475.0,2500000.0
2000-02-21,22280,22328,20023,22324,49076,12850.0,2500000.0
2000-02-22,24730,24993,23465,24982,67934,14375.0,2500000.0
2000-02-23,24999,24999,22001,21990,51636,12650.0,2500000.0
2000-02-24,19420,24559,19372,21371,67852,12300.0,2500000.0
2000-02-25,23666,23941,23463,23937,65964,13775.0,2500000.0
2000-02-28,23979,26797,23023,26797,90840,15425.0,2500000.0
2000-02-29,28675,30012,24802,30013,72570,17275.0,2500000.0
2000-03-02,33433,33576,31916,33573,38192,19325.0,2500000.0
2000-03-03,36487,36929,29669,32579,110188,18750.0,2500000.0
2000-03-06,34327,34757,28889,31270,87534,18000.0,2500000.0
2000-03-07,32596,34984,30502,34972,105930,20125.0,2500000.0
2000-03-08,34761,39096,32635,36971,69378,21275.0,2500000.0
2000-03-09,38228,41392,37356,41393,60396,23825.0,2500000.0
2000-03-10,46243,46243,44511,46251,19230,26625.0,2500000.0
2000-03-13,51709,51709,51709,51698,6276,29750.0,2500000.0
2000-03-14,57765,57765,57765,57773,2660,33250.0,2500000.0
2000-03-15,64500,64500,64500,64508,5744,37125.0,2500000.0
2000-03-16,72117,72117,66039,72105,334068,41500.0,2500000.0
2000-03-17,63876,71487,63662,63646,147392,36625.0,2500000.0
2000-03-20,56028,56028,56028,56029,4604,32250.0,2500000.0
2000-03-21,49531,49531,49531,49527,5128,28500.0,2500000.0
2000-03-22,45611,55180,45611,50826,201208,29250.0,2500000.0
2000-03-23,53003,53003,44751,44740,113130,25750.0,2500000.0
2000-03-24,44971,49975,41281,49963,78266,28750.0,2500000.0
2000-03-27,55807,55807,53216,55816,38148,32125.0,2500000.0
2000-03-28,62331,62331,62331,62328,10580,35875.0,2500000.0
2000-03-29,56468,69070,54940,56465,259264,32500.0,2500000.0
2000-03-30,54295,63203,52564,63200,122380,36375.0,2500000.0
2000-03-31,62118,68853,59073,62764,128474,36125.0,2500000.0
2000-04-03,58659,68654,55614,55603,129216,32000.0,2500000.0
2000-04-04,56464,56464,49073,49081,61966,28250.0,2500000.0
2000-04-06,46041,53433,45611,48645,57694,28000.0,2500000.0
2000-04-07,46904,54080,46904,52560,77094,30250.0,2500000.0
2000-04-10,54322,56483,52148,53868,87474,31000.0,2500000.0
2000-04-11,49959,52133,47571,47560,37610,27375.0,2500000.0
2000-04-12,41926,45412,41926,42965,54302,24725.0,2500000.0
2000-04-14,42599,44330,38467,39101,30208,22500.0,2500000.0
2000-04-17,34780,36917,34386,34394,43946,19800.0,2500000.0
2000-04-18,35620,37316,30892,34749,40550,20000.0,2500000.0
2000-04-19,37367,38944,36113,38928,64666,22400.0,2500000.0
2000-04-20,39395,43431,39395,43431,76870,25000.0,2500000.0
2000-04-21,48668,48668,42574,44740,143612,25750.0,2500000.0
2000-04-24,46265,48665,44749,46910,85764,27000.0,2500000.0
2000-04-25,46910,49084,43436,44304,37856,25500.0,2500000.0
2000-04-26,43888,45620,40401,42133,46202,24250.0,2500000.0
2000-04-27,39144,40780,38439,39527,14314,22750.0,2500000.0
2000-04-28,40846,41264,37359,39445,16150,22700.0,2500000.0
2000-05-02,39536,40396,37411,39963,25968,23000.0,2500000.0
2000-05-03,39093,42341,37792,40308,14666,23200.0,2500000.0
2000-05-04,39111,41284,39111,41058,29712,23625.0,2500000.0
2000-05-08,41479,45168,40870,42478,39716,24450.0,2500000.0
2000-05-09,41276,42136,39147,40612,19582,23375.0,2500000.0
2000-05-10,42141,45401,40839,45389,29812,26125.0,2500000.0
2000-05-12,50817,50817,50817,50826,2152,29250.0,2500000.0
2000-05-15,56927,56927,56927,56911,15026,32750.0,2500000.0
2000-05-16,63662,63662,59745,63646,654892,36625.0,2500000.0
2000-05-17,71224,71224,58627,71233,521632,41000.0,2500000.0
2000-05-18,71245,79712,65824,79712,218436,45875.0,2500000.0
2000-05-19,86877,89277,70147,70148,487834,40375.0,2500000.0
2000-05-22,61917,61917,61917,61902,5096,35625.0,2500000.0
2000-05-23,54521,54521,54521,54518,1780,31375.0,2500000.0
2000-05-24,47995,47995,47995,47996,626,27625.0,2500000.0
2000-05-25,42360,53645,42360,53645,424118,30875.0,2500000.0
2000-05-26,50829,52142,47362,47347,158504,27250.0,2500000.0
2000-05-29,41701,43444,41701,41697,87604,24000.0,2500000.0
2000-05-30,43431,45616,42129,43431,202066,25000.0,2500000.0
2000-05-31,44322,48012,44322,45612,139840,26250.0,2500000.0
2000-06-01,45193,45193,40245,40835,118314,23500.0,2500000.0
2000-06-02,40843,45636,35983,45612,321504,26250.0,2500000.0
2000-06-05,51042,51042,51042,51039,5392,29375.0,2500000.0
2000-06-07,57130,57130,47995,47996,561850,27625.0,2500000.0
2000-06-08,48008,53645,43447,53645,417518,30875.0,2500000.0
2000-06-09,53425,59933,51467,59934,190796,34500.0,2500000.0
2000-06-12,59953,64729,52776,55380,524000,31875.0,2500000.0
2000-06-13,55623,58012,48888,49963,179050,28750.0,2500000.0
2000-06-14,51921,55611,48446,53868,122088,31000.0,2500000.0
2000-06-15,51703,52993,47571,47560,90308,27375.0,2500000.0
2000-06-16,51701,51701,44748,48645,121874,28000.0,2500000.0
2000-06-19,47794,49955,45620,46910,74662,27000.0,2500000.0
2000-06-20,47152,52370,46706,52347,340590,30125.0,2500000.0
2000-06-21,52350,55180,47784,50826,333608,29250.0,2500000.0
2000-06-22,52565,52994,48656,50826,114104,29250.0,2500000.0
2000-06-23,49530,49959,46270,47783,84600,27500.0,2500000.0
2000-06-26,45625,49733,45625,47783,85670,27500.0,2500000.0
2000-06-27,49088,49315,46915,47783,115610,27500.0,2500000.0
2000-06-28,47802,53450,46285,49963,471520,28750.0,2500000.0
2000-06-29,50395,51482,46909,47996,110818,27625.0,2500000.0
