제이콘텐트리(036420),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2000-03-23,38980,38980,38980,38990,247290,6260.0,400000.0
2000-03-24,43580,43580,43580,43590,13220,7000.0,400000.0
2000-03-27,48820,48820,48820,48820,1470,7840.0,400000.0
2000-03-28,54680,54680,54680,54680,2590,8780.0,400000.0
2000-03-29,61160,61160,61160,61150,8360,9820.0,400000.0
2000-03-30,68470,68470,68470,68480,3320,10660.0,400000.0
2000-03-31,76570,76570,76570,76580,5290,11920.0,400000.0
2000-04-03,85690,85690,71940,85700,1457340,13340.0,400000.0
2000-04-04,85680,95950,75410,95970,1565470,14940.0,400000.0
2000-04-06,107400,107400,97630,107410,458350,16720.0,400000.0
2000-04-07,120260,120260,120260,120250,59880,18720.0,400000.0
2000-04-10,134630,134630,134630,134640,44260,20960.0,400000.0
2000-04-11,150570,150570,136180,150570,322060,23440.0,400000.0
2000-04-12,168560,168560,154180,168560,136700,26240.0,400000.0
2000-04-14,188610,188610,188610,188600,26310,29360.0,400000.0
2000-04-17,165990,165990,165990,165990,16050,25840.0,400000.0
2000-04-18,146210,164460,146210,146200,1037580,22760.0,400000.0
2000-04-19,141330,150320,128740,128730,2745550,20040.0,400000.0
2000-04-20,120770,144140,115880,144150,1959270,22440.0,400000.0
2000-04-21,154160,154160,126910,126930,1390300,19760.0,400000.0
2000-04-24,124350,124350,111760,111770,1201810,17400.0,400000.0
2000-04-25,104050,122549,102770,107910,1289800,16800.0,400000.0
2000-04-26,113069,116150,100470,106640,928500,16600.0,400000.0
2000-04-27,102770,119080,102770,107140,1014240,16680.0,400000.0
2000-04-28,110470,119469,107390,111510,1118900,17360.0,400000.0
2000-05-02,115360,124880,113060,124870,931040,19440.0,400000.0
2000-05-03,124120,136180,119490,128480,1161900,20000.0,400000.0
2000-05-04,133860,143900,130530,143890,431990,22400.0,400000.0
2000-05-08,161100,161100,161100,161100,20210,25080.0,400000.0
2000-05-09,180380,180380,142870,180380,2251140,28080.0,400000.0
2000-05-10,174720,201960,169580,201960,1559260,31440.0,400000.0
2000-05-12,210700,226110,208120,226120,499220,35200.0,400000.0
2000-05-15,226110,249240,199130,199130,1590220,31000.0,400000.0
2000-05-16,175220,191160,175220,175230,133340,27280.0,400000.0
2000-05-17,182440,196060,155450,196060,1533160,30520.0,400000.0
2000-05-18,190400,215830,172660,172670,2015280,26880.0,400000.0
2000-05-19,167000,170860,152100,152110,1703610,23680.0,400000.0
2000-05-22,134890,145160,133850,133860,317380,20840.0,400000.0
2000-05-23,117940,117940,117940,117930,51160,18360.0,400000.0
2000-05-24,103800,125890,103800,110480,1505250,17200.0,400000.0
2000-05-25,123720,123720,118709,123720,288710,19260.0,400000.0
2000-05-26,129009,136190,108960,108950,1251420,16960.0,400000.0
2000-05-29,100190,110220,95950,95970,662290,14940.0,400000.0
2000-05-30,101499,107400,92750,107410,712600,16720.0,400000.0
2000-05-31,115110,120260,112539,120250,509280,18720.0,400000.0
2000-06-01,115629,117300,105860,105860,781660,16480.0,400000.0
2000-06-02,110480,114330,99180,104070,693450,16200.0,400000.0
2000-06-05,110490,116540,108180,116520,469840,18140.0,400000.0
2000-06-07,120760,130250,116520,127180,1078710,19800.0,400000.0
2000-06-08,126290,127190,112019,112030,787720,17440.0,400000.0
2000-06-09,112030,120260,105359,113320,653320,17640.0,400000.0
2000-06-12,122300,122300,112789,118190,478460,18400.0,400000.0
2000-06-13,106759,115640,104070,106640,330470,16600.0,400000.0
2000-06-14,107900,113050,107130,107910,268870,16800.0,400000.0
2000-06-15,107910,118200,101500,109980,538640,17120.0,400000.0
2000-06-16,107900,110730,102770,104320,282570,16240.0,400000.0
2000-06-19,99180,106120,99180,100720,301110,15680.0,400000.0
2000-06-20,102780,106640,99180,100720,269620,15680.0,400000.0
2000-06-21,98400,105080,97370,100980,389710,15720.0,400000.0
2000-06-22,100480,104070,95080,98150,307990,15280.0,400000.0
2000-06-23,95320,102520,93780,95840,288300,14920.0,400000.0
2000-06-26,97630,97630,91990,92500,312620,14400.0,400000.0
2000-06-27,92490,97630,92490,96090,313280,14960.0,400000.0
2000-06-28,94170,97380,92890,93780,137880,14600.0,400000.0
2000-06-29,92490,97630,86340,93780,299490,14600.0,400000.0
2000-06-30,91230,95590,89680,89940,173040,14000.0,400000.0
2000-07-03,85040,100730,85040,100720,775940,15680.0,400000.0
2000-07-04,102520,112790,102520,112800,939040,17560.0,400000.0
2000-07-05,117290,124610,99290,99300,787230,15460.0,400000.0
2000-07-06,87490,90450,87490,87490,503010,13620.0,400000.0
2000-07-07,84800,90190,82740,86330,348190,13440.0,400000.0
2000-07-10,90180,95580,86590,91470,486540,14240.0,400000.0
2000-07-11,86070,91220,80540,80540,288600,12540.0,400000.0
2000-07-12,77090,83780,75810,79140,247310,12320.0,400000.0
2000-07-13,73990,78620,71040,72960,251540,11360.0,400000.0
2000-07-14,72210,80680,71940,74510,268180,11600.0,400000.0
