SFA반도체(036540),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-05-02,9347,9347,9347,9350,18671,150000.0,10000000.0
2001-05-03,10468,10468,8786,10004,2442274,160500.0,10000000.0
2001-05-04,9441,9784,8819,8819,1153191,141500.0,10000000.0
2001-05-07,9347,9347,8412,8913,1612056,143000.0,10000000.0
2001-05-08,8849,8974,8288,8414,1135262,135000.0,10000000.0
2001-05-09,8163,8413,7759,8040,1303599,129000.0,10000000.0
2001-05-10,8102,8226,7851,8102,711637,130000.0,10000000.0
2001-05-11,8163,8819,8163,8383,1505442,134500.0,10000000.0
2001-05-14,8506,8598,8038,8165,654772,131000.0,10000000.0
2001-05-15,7914,8163,7540,7635,569948,122500.0,10000000.0
2001-05-16,7696,7945,7104,7106,563418,114000.0,10000000.0
2001-05-17,7352,7540,7166,7199,678363,115500.0,10000000.0
2001-05-18,6854,8038,6604,7667,2845783,123000.0,10000000.0
2001-05-21,7759,8163,7478,7728,1349489,124000.0,10000000.0
2001-05-22,7977,8102,7603,7604,901690,122000.0,10000000.0
2001-05-23,7478,7696,7011,7168,604521,115000.0,10000000.0
2001-05-24,7042,7416,7011,7292,456913,117000.0,10000000.0
2001-05-25,7292,7759,7135,7604,961841,122000.0,10000000.0
2001-05-28,7728,7914,7572,7604,791585,122000.0,10000000.0
2001-05-29,7416,7696,7384,7418,557521,119000.0,10000000.0
2001-05-30,7259,7602,7197,7230,414202,116000.0,10000000.0
2001-05-31,7166,7166,6730,6825,439243,109500.0,10000000.0
2001-06-01,6979,6979,6637,6669,266279,107000.0,10000000.0
2001-06-04,6667,6854,6481,6576,466365,105500.0,10000000.0
2001-06-05,6543,6637,6151,6214,557669,99700.0,10000000.0
2001-06-07,6231,6511,6181,6420,608844,103000.0,10000000.0
2001-06-08,6792,6885,6542,6638,724095,106500.0,10000000.0
2001-06-11,6232,6387,6200,6227,293770,99900.0,10000000.0
2001-06-12,6231,6324,6200,6264,238213,100500.0,10000000.0
2001-06-13,6232,6605,6219,6388,464037,102500.0,10000000.0
2001-06-14,6355,6355,6231,6264,241142,100500.0,10000000.0
2001-06-15,6219,6219,6119,6189,177404,99300.0,10000000.0
2001-06-18,6182,6324,6076,6083,233921,97600.0,10000000.0
2001-06-19,6012,6019,5756,5816,335778,93300.0,10000000.0
2001-06-20,5738,5844,5265,5361,418228,86000.0,10000000.0
2001-06-21,5447,5514,5316,5485,314983,88000.0,10000000.0
2001-06-22,5389,6137,5370,6139,1007909,98500.0,10000000.0
2001-06-25,6044,6232,5888,6089,545494,97700.0,10000000.0
2001-06-26,6137,6200,5545,5858,326779,94000.0,10000000.0
2001-06-27,5638,5825,5545,5642,194677,90500.0,10000000.0
2001-06-28,5427,5820,5427,5592,213777,89700.0,10000000.0
2001-06-29,5795,5851,5483,5610,338777,90000.0,10000000.0
2001-07-02,5720,5720,5495,5541,143998,88900.0,10000000.0
2001-07-03,5608,5795,5577,5610,349438,90000.0,10000000.0
2001-07-04,5638,5638,5451,5548,150993,89000.0,10000000.0
2001-07-05,5614,5638,5447,5447,216249,87400.0,10000000.0
2001-07-06,5328,5358,4928,4961,408089,79600.0,10000000.0
2001-07-09,4735,4798,4367,4370,396390,70100.0,10000000.0
2001-07-10,4362,4455,4286,4363,360421,70000.0,10000000.0
2001-07-11,3862,4086,3862,3971,483201,63700.0,10000000.0
2001-07-12,4081,4349,4081,4320,512761,69300.0,10000000.0
2001-07-13,4423,4448,4130,4238,450978,68000.0,10000000.0
2001-07-16,4367,4392,4237,4363,300365,70000.0,10000000.0
2001-07-18,4423,4473,4242,4295,275375,68900.0,10000000.0
2001-07-19,4211,4229,4061,4146,165889,66500.0,10000000.0
2001-07-20,4211,4211,3862,3958,151506,63500.0,10000000.0
2001-07-23,3756,3950,3481,3485,223436,55900.0,10000000.0
2001-07-24,3427,3727,3240,3727,223438,59800.0,10000000.0
2001-07-25,3538,3757,3520,3584,200405,57500.0,10000000.0
2001-07-26,3712,3726,3531,3541,175120,56800.0,10000000.0
2001-07-27,3862,3894,3744,3802,416324,61000.0,10000000.0
2001-07-30,3805,3974,3750,3827,361537,61400.0,10000000.0
2001-07-31,3924,4043,3924,3983,292754,63900.0,10000000.0
2001-08-01,3956,4261,3925,4182,369689,67100.0,10000000.0
2001-08-02,4361,4379,4161,4238,330143,68000.0,10000000.0
2001-08-03,4268,4580,4268,4363,599459,70000.0,10000000.0
2001-08-06,4361,4541,4224,4401,426831,70600.0,10000000.0
2001-08-07,4292,4317,4099,4139,256914,66400.0,10000000.0
2001-08-08,4175,4175,4018,4052,183991,65000.0,10000000.0
2001-08-09,3925,3925,3738,3740,156552,60000.0,10000000.0
2001-08-10,3756,3831,3700,3802,110642,61000.0,10000000.0
2001-08-13,3750,3844,3706,3802,108834,61000.0,10000000.0
2001-08-14,3925,4037,3863,3920,221260,62900.0,10000000.0
2001-08-16,3744,3800,3674,3678,154594,59000.0,10000000.0
2001-08-17,3707,3727,3564,3615,134761,58000.0,10000000.0
2001-08-20,3520,3520,3427,3434,78111,55100.0,10000000.0
2001-08-21,3501,3601,3427,3428,76297,55000.0,10000000.0
2001-08-22,3426,3563,3364,3522,126992,56500.0,10000000.0
2001-08-23,3675,3707,3601,3602,173286,57800.0,10000000.0
2001-08-24,3613,3613,3458,3552,101550,57000.0,10000000.0
2001-08-27,3620,3706,3488,3497,95637,56100.0,10000000.0
2001-08-28,3445,3706,3445,3653,293548,58600.0,10000000.0
2001-08-29,3588,3632,3427,3459,141272,55500.0,10000000.0
2001-08-30,3376,3414,3240,3285,75882,52700.0,10000000.0
2001-08-31,3133,3158,2889,2930,186122,47000.0,10000000.0
2001-09-03,2935,2959,2822,2842,82674,45600.0,10000000.0
2001-09-04,2840,3133,2759,3111,216518,49900.0,10000000.0
2001-09-05,2926,3021,2883,2930,207724,47000.0,10000000.0
2001-09-06,2990,3064,2965,3030,142574,48600.0,10000000.0
2001-09-07,2977,3207,2895,3179,166340,51000.0,10000000.0
2001-09-10,3128,3165,3040,3111,178511,49900.0,10000000.0
2001-09-11,3140,3171,2896,2961,166814,47500.0,10000000.0
2001-09-12,2603,2603,2603,2606,5670,41800.0,10000000.0
2001-09-13,2292,2492,2292,2368,398905,38000.0,10000000.0
