심텍홀딩스(036710),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2000-01-04,6890,6890,6890,6890,174,395760.0,27200000.0
2000-01-05,7695,7695,7695,7696,29,442000.0,27200000.0
2000-01-06,8619,8619,8619,8619,103,495040.0,27200000.0
2000-01-07,9637,9637,9637,9637,18932,553520.0,27200000.0
2000-01-10,10773,10773,10773,10774,7002,618800.0,27200000.0
2000-01-11,12052,12052,12052,12052,2171,692240.0,27200000.0
2000-01-12,13496,13496,13496,13497,3079,775200.0,27200000.0
2000-01-13,15106,15106,11886,11887,3163156,682720.0,27200000.0
2000-01-14,10465,10465,10465,10466,288400,601120.0,27200000.0
2000-01-17,9210,11105,9210,9377,4448007,538560.0,27200000.0
2000-01-18,9566,10442,9258,10442,2863373,599760.0,27200000.0
2000-01-19,10655,10702,9210,9211,1525715,529040.0,27200000.0
2000-01-20,8311,8524,8121,8122,1007963,466480.0,27200000.0
2000-01-21,8098,8524,7340,7648,2751740,439280.0,27200000.0
2000-01-24,7813,8311,7742,8122,1674378,466480.0,27200000.0
2000-01-25,7364,7719,7150,7151,1064813,410720.0,27200000.0
2000-01-26,7340,7482,6630,7151,1465018,410720.0,27200000.0
2000-01-27,7079,7435,6440,6654,1028672,382160.0,27200000.0
2000-01-28,6701,7435,6535,7435,1451671,427040.0,27200000.0
2000-01-31,6961,7908,6961,7743,2000758,444720.0,27200000.0
2000-02-01,8334,8666,7861,8643,2215226,496400.0,27200000.0
2000-02-02,8500,9329,8287,8572,3125306,492320.0,27200000.0
2000-02-03,8808,9187,8571,8595,2218225,493680.0,27200000.0
2000-02-07,8855,9613,8855,9614,1844703,552160.0,27200000.0
2000-02-08,10229,10229,8571,8572,2070704,492320.0,27200000.0
2000-02-09,8855,9424,8571,9069,2043699,520880.0,27200000.0
2000-02-10,8547,9897,8524,9187,2327370,527680.0,27200000.0
2000-02-11,10276,10276,10134,10277,1033963,590240.0,27200000.0
2000-02-14,11507,11507,10892,11508,2184339,660960.0,27200000.0
2000-02-15,11744,12312,10134,10134,2822653,582080.0,27200000.0
2000-02-16,9566,11342,9045,11342,4048961,651440.0,27200000.0
2000-02-17,12691,12691,12312,12692,820831,728960.0,27200000.0
2000-02-18,14207,14207,14207,14207,94847,816000.0,27200000.0
2000-02-21,14207,15912,14017,15912,1318622,913920.0,27200000.0
2000-02-22,17806,17806,14017,14018,6956978,805120.0,27200000.0
2000-02-23,13260,14443,12336,12408,3571660,712640.0,27200000.0
2000-02-24,13354,13875,12691,13734,3058435,788800.0,27200000.0
2000-02-25,12833,13946,12099,12313,2470210,707200.0,27200000.0
2000-02-28,11602,13780,11200,13781,3171545,791520.0,27200000.0
2000-02-29,13828,14443,12928,13165,3365449,756160.0,27200000.0
2000-03-02,14207,14728,13402,14728,2787481,845920.0,27200000.0
2000-03-03,14538,14728,13260,13686,2630701,786080.0,27200000.0
2000-03-06,14443,14443,12786,12952,1654231,743920.0,27200000.0
2000-03-07,12312,13591,12123,12550,1081225,720800.0,27200000.0
2000-03-08,11886,12904,11839,12550,1525770,720800.0,27200000.0
2000-03-09,12833,13686,12549,12763,1683153,733040.0,27200000.0
2000-03-10,13165,13402,12170,12266,1267182,704480.0,27200000.0
2000-03-13,12312,12597,11460,11508,1077138,660960.0,27200000.0
2000-03-14,11365,12076,10892,11129,792958,639200.0,27200000.0
2000-03-15,10797,11531,10536,11105,815658,637840.0,27200000.0
2000-03-16,10915,11128,10016,10182,580937,584800.0,27200000.0
2000-03-17,9945,10418,8974,8974,957167,515440.0,27200000.0
2000-03-20,9187,9376,8192,8524,1244780,489600.0,27200000.0
2000-03-21,8287,8690,7908,8264,976476,474640.0,27200000.0
2000-03-22,8619,9234,8500,9235,1280938,530400.0,27200000.0
2000-03-23,9945,10276,8997,9661,1925327,554880.0,27200000.0
2000-03-24,9708,10702,9234,10395,1506246,597040.0,27200000.0
2000-03-27,10679,11057,10229,10561,1225035,606560.0,27200000.0
2000-03-28,10655,11034,10181,10277,838738,590240.0,27200000.0
2000-03-29,9992,10181,9258,9614,756421,552160.0,27200000.0
2000-03-30,8997,9684,8784,9235,653082,530400.0,27200000.0
2000-03-31,8903,9092,8524,8572,377423,492320.0,27200000.0
2000-04-03,8855,9139,7553,7577,673417,435200.0,27200000.0
2000-04-04,6914,7340,6748,7293,613452,418880.0,27200000.0
2000-04-06,7435,7766,7103,7317,538426,420240.0,27200000.0
2000-04-07,7482,8192,7482,8193,840781,470560.0,27200000.0
2000-04-10,8997,9163,8690,9164,774580,526320.0,27200000.0
2000-04-11,8287,8476,8074,8074,474456,463760.0,27200000.0
2000-04-12,7624,9021,7245,9022,1169150,518160.0,27200000.0
2000-04-14,8784,9755,8334,8808,5201377,505920.0,27200000.0
2000-04-17,7766,9566,7766,8003,6407304,459680.0,27200000.0
2000-04-18,8950,8950,8382,8951,3158632,514080.0,27200000.0
2000-04-19,9921,9945,8287,8714,2926964,500480.0,27200000.0
2000-04-20,8287,8666,7790,8193,1258471,470560.0,27200000.0
2000-04-21,8287,9092,7884,8761,2522527,503200.0,27200000.0
2000-04-24,8524,8761,8003,8027,1634915,461040.0,27200000.0
2000-04-25,7908,8263,7648,8051,1169117,462400.0,27200000.0
2000-04-26,8524,8619,7813,7885,1265250,452880.0,27200000.0
2000-04-27,7624,8003,7150,7435,664355,427040.0,27200000.0
2000-04-28,7742,7742,7174,7530,615869,432480.0,27200000.0
2000-05-02,7577,8169,7529,8122,1429694,466480.0,27200000.0
2000-05-03,7908,8571,7766,8003,1556013,459680.0,27200000.0
2000-05-04,8334,8429,8050,8240,1001761,473280.0,27200000.0
2000-05-08,8476,8855,8145,8264,1244724,474640.0,27200000.0
2000-05-09,7956,8145,7861,8027,475169,461040.0,27200000.0
2000-05-10,7908,8216,7861,8074,713521,463760.0,27200000.0
2000-05-12,7932,8287,7695,7767,798781,446080.0,27200000.0
2000-05-15,7813,8429,7340,7814,1687096,448800.0,27200000.0
2000-05-16,7908,8050,7435,7506,556427,431120.0,27200000.0
2000-05-17,7742,8405,7340,7767,2715355,446080.0,27200000.0
2000-05-18,7577,7908,6937,7246,1335360,416160.0,27200000.0
2000-05-19,6914,7671,6487,7293,1264998,418880.0,27200000.0
2000-05-22,7056,7198,6440,6441,659842,369920.0,27200000.0
2000-05-23,5824,6440,5730,5778,956687,331840.0,27200000.0
2000-05-24,5493,5540,5090,5351,1298660,307360.0,27200000.0
2000-05-25,5588,5990,5446,5991,1509044,344080.0,27200000.0
2000-05-26,5753,5990,5280,5280,1176593,303280.0,27200000.0
2000-05-29,4783,5280,4735,4996,837010,286960.0,27200000.0
2000-05-30,5209,5588,5114,5588,1369374,320960.0,27200000.0
2000-05-31,6156,6251,5967,6251,1579849,359040.0,27200000.0
2000-06-01,6227,6582,5824,6227,2133349,357680.0,27200000.0
2000-06-02,6630,6961,6322,6417,2880300,368560.0,27200000.0
2000-06-05,6866,7056,6724,6938,1442457,398480.0,27200000.0
2000-06-07,6701,7174,6535,6962,1745695,399840.0,27200000.0
2000-06-08,7245,7245,6298,6441,1453860,369920.0,27200000.0
2000-06-09,6156,6440,6061,6251,678983,359040.0,27200000.0
