우리조명(037400),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-12-16,1413,1413,1413,1413,8900,30555.0,1050000.0
1999-12-17,1580,1580,1580,1580,20360,34178.0,1050000.0
1999-12-20,1769,1769,1390,1390,2048100,30082.0,1050000.0
1999-12-21,1286,1359,1225,1247,1093080,26985.0,1050000.0
1999-12-22,1262,1308,1099,1151,796450,24885.0,1050000.0
1999-12-23,1102,1257,1044,1044,976040,22575.0,1050000.0
1999-12-24,1043,1043,919,920,424590,19898.0,1050000.0
1999-12-27,849,893,811,811,971340,17535.0,1050000.0
1999-12-28,732,851,713,808,619920,17482.0,1050000.0
2000-01-04,801,903,755,903,112880,18952.0,1050000.0
2000-01-05,925,990,835,921,265760,19320.0,1050000.0
2000-01-06,906,968,856,958,190070,20108.0,1050000.0
2000-01-07,975,975,905,926,148180,19425.0,1050000.0
2000-01-10,936,951,876,896,51160,18795.0,1050000.0
2000-01-11,790,896,790,861,63430,18060.0,1050000.0
2000-01-12,860,875,775,801,103760,16800.0,1050000.0
2000-01-13,751,801,728,751,99460,15750.0,1050000.0
2000-01-14,750,750,675,735,102900,15435.0,1050000.0
2000-01-17,676,770,676,768,36290,16118.0,1050000.0
2000-01-18,768,841,753,841,134680,17640.0,1050000.0
2000-01-19,836,851,790,841,104680,17640.0,1050000.0
2000-01-20,820,825,775,801,75680,16800.0,1050000.0
2000-01-21,796,876,776,851,93840,17850.0,1050000.0
2000-01-24,825,870,785,825,64970,17325.0,1050000.0
2000-01-25,780,810,780,790,16620,16590.0,1050000.0
2000-01-26,815,815,770,780,38000,16380.0,1050000.0
2000-01-27,800,800,743,801,17500,16800.0,1050000.0
2000-01-28,800,800,765,793,17840,16642.0,1050000.0
2000-01-31,793,851,793,841,91310,17640.0,1050000.0
2000-02-01,875,940,875,921,234090,19320.0,1050000.0
2000-02-02,876,1031,876,1031,189400,21630.0,1050000.0
2000-02-03,1030,1153,1030,1136,251350,23835.0,1050000.0
2000-02-07,1155,1271,1100,1146,306610,24045.0,1050000.0
2000-02-08,1095,1196,1050,1101,314160,23100.0,1050000.0
2000-02-09,1101,1101,1001,1051,177740,22050.0,1050000.0
2000-02-10,1050,1050,950,1001,227610,21000.0,1050000.0
2000-02-11,905,1040,905,1001,118650,21000.0,1050000.0
2000-02-14,1000,1045,940,1001,128720,21000.0,1050000.0
2000-02-15,1001,1001,961,986,92450,20685.0,1050000.0
2000-02-16,1001,1103,966,1103,350770,23152.0,1050000.0
2000-02-17,1226,1234,1151,1234,422550,25882.0,1050000.0
2000-02-18,1381,1381,1381,1381,326910,28980.0,1050000.0
2000-02-21,1501,1501,1300,1401,454290,29400.0,1050000.0
2000-02-22,1401,1416,1234,1234,251460,25882.0,1050000.0
2000-02-23,1091,1366,1091,1361,276390,28560.0,1050000.0
2000-02-24,1376,1486,1351,1401,365730,29400.0,1050000.0
2000-02-25,1401,1401,1234,1234,794100,25882.0,1050000.0
2000-02-28,1301,1381,1201,1216,371180,25515.0,1050000.0
2000-02-29,1201,1361,1156,1361,489280,28560.0,1050000.0
2000-03-02,1521,1524,1501,1524,549890,31972.0,1050000.0
2000-03-03,1501,1627,1366,1426,390820,29925.0,1050000.0
2000-03-06,1596,1596,1391,1506,583890,31605.0,1050000.0
2000-03-07,1481,1501,1401,1441,257650,30240.0,1050000.0
2000-03-08,1351,1613,1351,1614,825630,33862.0,1050000.0
2000-03-09,1601,1807,1601,1807,538100,37905.0,1050000.0
