에코플라스틱(038110),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2000-03-23,1680,1680,1680,1680,110310,31920.0,1900000.0
2000-03-24,1880,1880,1880,1880,1610,35720.0,1900000.0
2000-03-27,2105,2105,2105,2105,8090,39995.0,1900000.0
2000-03-28,2355,2355,2355,2355,410,44745.0,1900000.0
2000-03-29,2635,2635,2635,2635,580,50065.0,1900000.0
2000-03-30,2950,2950,2950,2950,6080,56050.0,1900000.0
2000-03-31,3300,3300,3300,3300,413520,62700.0,1900000.0
2000-04-03,3695,3695,3450,3695,5155820,70205.0,1900000.0
2000-04-04,3255,4080,3255,3500,8838710,66500.0,1900000.0
2000-04-06,3550,3700,3080,3080,2406160,58520.0,1900000.0
2000-04-07,3100,3445,2950,3300,5665760,62700.0,1900000.0
2000-04-10,3360,3500,3300,3320,4014850,63080.0,1900000.0
2000-04-11,3000,3000,2925,2925,177520,55575.0,1900000.0
2000-04-12,2575,2700,2575,2630,2554270,49970.0,1900000.0
2000-04-14,2400,2945,2375,2945,2828620,55955.0,1900000.0
2000-04-17,2595,2750,2595,2595,1630270,49305.0,1900000.0
2000-04-18,2700,2720,2285,2285,1668260,43415.0,1900000.0
2000-04-19,2310,2450,2020,2200,2159310,41800.0,1900000.0
2000-04-20,2210,2460,2150,2460,2257730,46740.0,1900000.0
2000-04-21,2700,2750,2415,2520,2979750,47880.0,1900000.0
2000-04-24,2400,2490,2220,2220,1318400,42180.0,1900000.0
2000-04-25,2110,2450,2110,2320,1771910,44080.0,1900000.0
2000-04-26,2350,2540,2115,2190,1701890,41610.0,1900000.0
2000-04-27,2190,2300,2070,2090,879220,39710.0,1900000.0
2000-04-28,2090,2320,2090,2220,1900100,42180.0,1900000.0
2000-05-02,2300,2485,2270,2485,2289170,47215.0,1900000.0
2000-05-03,2485,2730,2380,2500,4477360,47500.0,1900000.0
2000-05-04,2550,2800,2470,2800,1667660,53200.0,1900000.0
2000-05-08,3135,3135,3135,3135,85150,59565.0,1900000.0
2000-05-09,3510,3510,3010,3510,7471300,66690.0,1900000.0
2000-05-10,3410,3910,3320,3600,7136540,68400.0,1900000.0
2000-05-12,3790,4030,3620,4030,5553100,76570.0,1900000.0
2000-05-15,4200,4460,3550,3550,4892710,67450.0,1900000.0
2000-05-16,3350,3400,3125,3125,379130,59375.0,1900000.0
2000-05-17,3200,3500,2750,2930,3752820,55670.0,1900000.0
2000-05-18,2630,3280,2580,2800,6295340,53200.0,1900000.0
2000-05-19,2880,2975,2465,2570,3755450,48830.0,1900000.0
2000-05-22,2590,2690,2265,2270,2031380,43130.0,1900000.0
2000-05-23,2210,2390,2000,2250,3144960,42750.0,1900000.0
2000-05-24,2150,2370,1990,2110,4060570,40090.0,1900000.0
2000-05-25,2290,2360,2230,2360,1446520,44840.0,1900000.0
2000-05-26,2500,2520,2080,2085,3848110,39615.0,1900000.0
2000-05-29,1890,2070,1860,1900,1588410,36100.0,1900000.0
2000-05-30,2030,2100,1950,2070,1856160,39330.0,1900000.0
2000-05-31,2180,2315,2180,2315,1692830,43985.0,1900000.0
2000-06-01,2150,2265,2110,2150,1696970,40850.0,1900000.0
2000-06-02,2250,2280,2010,2125,1668510,40375.0,1900000.0
2000-06-05,2310,2380,2250,2380,743340,45220.0,1900000.0
2000-06-07,2665,2665,2500,2665,2463320,50635.0,1900000.0
2000-06-08,2670,2695,2350,2400,1874290,45600.0,1900000.0
2000-06-09,2500,2500,2310,2430,935980,46170.0,1900000.0
2000-06-12,2300,2530,2300,2460,719130,46740.0,1900000.0
2000-06-13,2370,2460,2165,2280,680230,43320.0,1900000.0
2000-06-14,2190,2410,2190,2345,358390,44555.0,1900000.0
2000-06-15,2320,2320,2080,2295,504590,43605.0,1900000.0
2000-06-16,2160,2290,2140,2225,354210,42275.0,1900000.0
2000-06-19,2150,2270,2110,2190,364900,41610.0,1900000.0
2000-06-20,2150,2245,2125,2165,530350,41135.0,1900000.0
2000-06-21,2140,2240,2130,2160,822480,41040.0,1900000.0
2000-06-22,2200,2240,2105,2195,508390,41705.0,1900000.0
2000-06-23,2210,2345,2110,2195,1011870,41705.0,1900000.0
2000-06-26,2275,2275,2195,2220,625450,42180.0,1900000.0
2000-06-27,2200,2290,2165,2195,721770,41705.0,1900000.0
2000-06-28,2150,2190,2100,2165,585880,41135.0,1900000.0
2000-06-29,2145,2185,2080,2140,454820,40660.0,1900000.0
2000-06-30,2080,2265,2050,2150,1274150,40850.0,1900000.0
2000-07-03,2150,2405,2115,2405,2196160,45695.0,1900000.0
2000-07-04,2540,2690,2530,2690,622340,51110.0,1900000.0
2000-07-05,2830,2990,2370,2370,3224800,45030.0,1900000.0
2000-07-06,2110,2200,2090,2090,1213030,39710.0,1900000.0
2000-07-07,2100,2160,2000,2110,1138040,40090.0,1900000.0
2000-07-10,2090,2280,2025,2140,1638610,40660.0,1900000.0
2000-07-11,2105,2150,1885,1990,984740,37810.0,1900000.0
