위즈코프(038620),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2000-05-04,6921,6921,6921,6922,5,92375.0,2500000.0
2000-05-08,7746,7746,7746,7745,3,103375.0,2500000.0
2000-05-09,8671,8671,8671,8673,1,115750.0,2500000.0
2000-05-10,9701,9701,9701,9703,28,129500.0,2500000.0
2000-05-12,10862,10862,10862,10865,105,145000.0,2500000.0
2000-05-15,12156,12156,12156,12157,145,162250.0,2500000.0
2000-05-16,13597,13597,13597,13600,1339,181500.0,2500000.0
2000-05-17,15226,15226,15226,15230,388,203250.0,2500000.0
2000-05-18,17045,17045,15172,16672,925714,222500.0,2500000.0
2000-05-19,15921,15921,14686,14686,203197,196000.0,2500000.0
2000-05-22,12926,12926,12926,12925,15354,172500.0,2500000.0
2000-05-23,11386,11386,11386,11389,2511,152000.0,2500000.0
2000-05-24,10040,12738,10040,12738,1078398,170000.0,2500000.0
2000-05-25,13673,14254,13392,14256,109190,190250.0,2500000.0
2000-05-26,14965,15958,12548,12550,887414,167500.0,2500000.0
2000-05-29,11145,12831,11052,11052,405376,147500.0,2500000.0
2000-05-30,11240,11594,9983,10959,483900,146250.0,2500000.0
2000-05-31,11576,12269,11520,12270,227394,163750.0,2500000.0
2000-06-01,11987,13655,11650,12083,568213,161250.0,2500000.0
2000-06-02,12569,13263,11800,12251,455873,163500.0,2500000.0
2000-06-05,13299,13712,13111,13712,131480,183000.0,2500000.0
2000-06-07,14927,15246,13316,13806,455173,184250.0,2500000.0
2000-06-08,13111,13656,12156,12157,291021,162250.0,2500000.0
2000-06-09,11781,12811,11050,12176,204935,162500.0,2500000.0
2000-06-12,12399,12999,11482,11707,204281,156250.0,2500000.0
2000-06-13,10974,11574,10488,10865,173607,145000.0,2500000.0
2000-06-14,11240,11875,10583,11239,196223,150000.0,2500000.0
2000-06-15,11425,11500,9888,9891,102515,132000.0,2500000.0
2000-06-16,9553,10210,9047,9554,180173,127500.0,2500000.0
2000-06-19,9702,10096,9103,9180,132486,122500.0,2500000.0
2000-06-20,9365,9740,9046,9385,205426,125250.0,2500000.0
2000-06-21,9740,10507,9590,10508,136920,140250.0,2500000.0
2000-06-22,11069,11556,10321,10771,514615,143750.0,2500000.0
2000-06-23,10209,11182,10021,10753,281477,143500.0,2500000.0
2000-06-26,10582,10807,10414,10490,156799,140000.0,2500000.0
2000-06-27,10581,11143,10131,10415,184866,139000.0,2500000.0
2000-06-28,10413,10918,10113,10190,274176,136000.0,2500000.0
2000-06-29,10320,10488,9571,10116,201704,135000.0,2500000.0
2000-06-30,9946,10003,9366,9497,94237,126750.0,2500000.0
2000-07-03,9365,9796,9309,9590,85203,128000.0,2500000.0
2000-07-04,9478,9665,9084,9310,74139,124250.0,2500000.0
2000-07-05,9271,9271,8193,8195,84477,109375.0,2500000.0
2000-07-06,7510,7829,7211,7287,93680,97250.0,2500000.0
2000-07-07,7304,8157,7154,8158,248402,108875.0,2500000.0
2000-07-10,8241,8485,7735,8055,213720,107500.0,2500000.0
2000-07-11,7753,7866,7088,7118,107543,95000.0,2500000.0
2000-07-12,7866,7866,7173,7361,130316,98250.0,2500000.0
2000-07-13,7116,7490,6873,6950,77507,92750.0,2500000.0
2000-07-14,7042,7080,6649,6772,77619,90375.0,2500000.0
2000-07-18,6835,7575,6769,7175,288145,95750.0,2500000.0
2000-07-19,7172,7246,6320,6322,109553,84375.0,2500000.0
2000-07-20,6163,6631,5563,6387,148046,85250.0,2500000.0
2000-07-21,6087,6461,5768,5770,82072,77000.0,2500000.0
2000-07-24,5543,5610,5085,5086,71617,67875.0,2500000.0
2000-07-25,4699,5243,4615,5058,128575,67500.0,2500000.0
2000-07-26,5057,5582,4831,5170,200383,69000.0,2500000.0
2000-07-27,5074,5786,4981,5788,221650,77250.0,2500000.0
2000-07-28,5787,6348,5431,5432,337835,72500.0,2500000.0
2000-07-31,5534,5712,5281,5302,123612,70750.0,2500000.0
2000-08-01,5345,5899,5298,5807,194870,77500.0,2500000.0
2000-08-02,5655,6273,5533,5994,263644,80000.0,2500000.0
2000-08-03,5991,6703,5991,6706,224205,89500.0,2500000.0
2000-08-04,6854,6947,6105,6275,199558,83750.0,2500000.0
2000-08-07,6236,6442,5806,5900,110494,78750.0,2500000.0
2000-08-08,5899,6105,5562,5601,132353,74750.0,2500000.0
2000-08-09,5600,5788,5506,5657,101107,75500.0,2500000.0
2000-08-10,5656,5722,5487,5534,57537,73875.0,2500000.0
2000-08-11,5337,5581,5244,5273,79480,70375.0,2500000.0
2000-08-14,5431,5695,5376,5395,133504,72000.0,2500000.0
2000-08-16,5610,5665,5394,5470,58846,73000.0,2500000.0
2000-08-17,5488,5938,5488,5694,148230,76000.0,2500000.0
2000-08-18,5637,6368,5581,5948,514728,79375.0,2500000.0
2000-08-21,6011,6115,5281,5339,212850,71250.0,2500000.0
2000-08-22,5395,5543,5319,5395,99791,72000.0,2500000.0
2000-08-23,5431,5994,5431,5657,250309,75500.0,2500000.0
2000-08-24,5656,5899,5393,5432,85389,72500.0,2500000.0
2000-08-25,5253,5524,4907,5527,80245,73750.0,2500000.0
2000-08-28,5617,6049,5430,5957,149540,79500.0,2500000.0
2000-08-29,6049,6265,5806,5882,117082,78500.0,2500000.0
2000-08-30,5936,5983,5729,5788,59463,77250.0,2500000.0
2000-08-31,5656,5796,5244,5470,54104,73000.0,2500000.0
2000-09-01,5337,5524,5337,5527,53252,73750.0,2500000.0
2000-09-04,5300,5498,5300,5395,36040,72000.0,2500000.0
2000-09-05,5395,5470,5273,5310,30279,70875.0,2500000.0
2000-09-06,5170,5358,5170,5255,26371,70125.0,2500000.0
2000-09-07,5168,5168,4746,4851,42320,64750.0,2500000.0
2000-09-08,4851,4963,4710,4963,26963,66250.0,2500000.0
2000-09-14,4738,4906,4512,4862,33318,64875.0,2500000.0
2000-09-15,4871,5152,4665,4683,32202,62500.0,2500000.0
2000-09-18,4306,4306,4117,4121,18046,55000.0,2500000.0
2000-09-19,3633,3914,3633,3635,50941,48500.0,2500000.0
2000-09-20,3652,3829,3370,3446,62689,46000.0,2500000.0
2000-09-21,3463,3500,3032,3035,83055,40500.0,2500000.0
2000-09-22,2678,2847,2678,2680,26853,35750.0,2500000.0
2000-09-25,2424,2807,2368,2660,184550,35500.0,2500000.0
2000-09-26,2621,2977,2546,2978,129889,39750.0,2500000.0
2000-09-27,3024,3334,2940,3259,141990,43500.0,2500000.0
2000-09-28,3258,3408,3062,3185,140631,42500.0,2500000.0
2000-09-29,3314,3493,3211,3344,137958,44625.0,2500000.0
2000-10-02,3240,3287,3089,3221,92741,43000.0,2500000.0
2000-10-04,3052,3370,2996,3203,131100,42750.0,2500000.0
2000-10-05,3277,3586,3240,3587,250767,47875.0,2500000.0
2000-10-06,3595,3736,3399,3531,153567,47125.0,2500000.0
2000-10-09,3549,3933,3408,3671,216968,49000.0,2500000.0
2000-10-10,3671,3801,3407,3597,100145,48000.0,2500000.0
2000-10-11,3464,3501,3164,3165,69058,42250.0,2500000.0
2000-10-12,3013,3144,2854,3035,70790,40500.0,2500000.0
2000-10-13,2818,2818,2676,2726,61155,36375.0,2500000.0
2000-10-16,2913,3043,2913,3044,56432,40625.0,2500000.0
2000-10-17,2960,3005,2678,2698,49022,36000.0,2500000.0
2000-10-18,2565,2808,2434,2613,36256,34875.0,2500000.0
2000-10-19,2546,2760,2528,2726,34680,36375.0,2500000.0
2000-10-20,2827,2901,2761,2811,43504,37500.0,2500000.0
2000-10-23,2657,2770,2480,2519,50929,33625.0,2500000.0
2000-10-24,2461,2687,2461,2567,44496,34250.0,2500000.0
2000-10-25,2528,2640,2509,2593,44821,34625.0,2500000.0
2000-10-26,2490,2612,2453,2491,36853,33250.0,2500000.0
2000-10-27,2566,2584,2444,2454,34672,32750.0,2500000.0
2000-10-30,2387,2715,2321,2398,162388,32000.0,2500000.0
2000-10-31,2405,2527,2124,2416,86534,32250.0,2500000.0
2000-11-01,2529,2565,2415,2528,62430,33750.0,2500000.0
2000-11-02,2537,2827,2537,2829,80920,37750.0,2500000.0
2000-11-03,3062,3071,2771,2800,273956,37375.0,2500000.0
2000-11-06,2800,3044,2715,2941,122056,39250.0,2500000.0
2000-11-07,2921,2996,2715,2726,95880,36375.0,2500000.0
2000-11-08,2723,2741,2535,2604,68412,34750.0,2500000.0
2000-11-09,2546,2753,2499,2650,57550,35375.0,2500000.0
2000-11-10,2658,2959,2658,2959,146319,39500.0,2500000.0
2000-11-13,2941,2997,2688,2735,134507,36500.0,2500000.0
2000-11-14,2734,3052,2734,3016,190233,40250.0,2500000.0
2000-11-15,3089,3333,2959,3016,197242,40250.0,2500000.0
2000-11-16,3060,3126,2948,3072,102649,41000.0,2500000.0
2000-11-17,3013,3228,2958,3232,74946,43125.0,2500000.0
