디오(039840),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2000-06-29,4250,4250,4250,4250,307,35275.0,8300000.0
2000-06-30,4760,4760,4250,4760,1279283,39508.0,8300000.0
2000-07-03,5330,5330,5050,5330,590824,44239.0,8300000.0
2000-07-04,5960,5960,5850,5960,231738,49468.0,8300000.0
2000-07-05,6670,6670,5250,5900,4547494,48970.0,8300000.0
2000-07-06,5210,5440,5200,5200,1099507,43160.0,8300000.0
2000-07-07,4800,5240,4580,4670,855229,38761.0,8300000.0
2000-07-10,4700,5070,4700,4900,600498,40670.0,8300000.0
2000-07-11,4320,4800,4320,4320,488081,35856.0,8300000.0
2000-07-12,4020,4400,3810,4270,619344,35441.0,8300000.0
2000-07-13,4360,4360,3760,3760,354333,31208.0,8300000.0
2000-07-14,3520,3700,3340,3420,860354,28386.0,8300000.0
2000-07-18,3460,3730,3460,3540,745578,29382.0,8300000.0
2000-07-19,3500,3500,3120,3200,521332,26560.0,8300000.0
2000-07-20,3000,3200,2910,3200,310417,26560.0,8300000.0
2000-07-21,3350,3580,3210,3580,1618450,29714.0,8300000.0
2000-07-24,3500,3500,3160,3160,563350,26228.0,8300000.0
2000-07-25,3160,3380,3030,3290,286434,27307.0,8300000.0
2000-07-26,3290,3680,3290,3680,543056,30544.0,8300000.0
2000-07-27,4080,4120,3810,4120,647639,34196.0,8300000.0
2000-07-28,4200,4550,3830,4540,1151755,37682.0,8300000.0
2000-07-31,4200,4250,4000,4240,717418,35192.0,8300000.0
2000-08-01,4500,4500,4000,4300,786971,35690.0,8300000.0
2000-08-02,4400,4590,4150,4420,833140,36686.0,8300000.0
2000-08-03,4380,4550,4110,4220,2558793,35026.0,8300000.0
2000-08-04,4290,4290,3760,3850,856886,31955.0,8300000.0
2000-08-07,3940,3980,3590,3660,523252,30378.0,8300000.0
2000-08-08,3230,3750,3230,3400,535660,28220.0,8300000.0
2000-08-09,3350,3640,3350,3490,823402,28967.0,8300000.0
2000-08-10,3550,3810,3470,3800,820448,31540.0,8300000.0
2000-08-11,3760,3760,3480,3530,407690,29299.0,8300000.0
2000-08-14,3540,3610,3350,3480,199369,28884.0,8300000.0
2000-08-16,3500,3540,3320,3420,297183,28386.0,8300000.0
2000-08-17,3510,3520,3350,3420,314165,28386.0,8300000.0
2000-08-18,3410,3420,3150,3200,282161,26560.0,8300000.0
2000-08-21,3110,3280,3010,3130,170209,25979.0,8300000.0
2000-08-22,3150,3270,3080,3100,152700,25730.0,8300000.0
2000-08-23,3040,3150,3000,3060,189154,25398.0,8300000.0
2000-08-24,3060,3090,2800,3010,149025,24983.0,8300000.0
2000-08-25,2900,3100,2900,2990,87033,24817.0,8300000.0
2000-08-28,3000,3250,2900,3230,268676,26809.0,8300000.0
2000-08-29,3220,3380,3100,3300,267347,27390.0,8300000.0
2000-08-30,3300,3380,3160,3310,126790,27473.0,8300000.0
2000-08-31,3310,3340,3100,3290,141481,27307.0,8300000.0
2000-09-01,3280,3290,3120,3190,98149,26477.0,8300000.0
2000-09-04,3100,3210,3100,3190,62531,26477.0,8300000.0
2000-09-05,3200,3570,3200,3550,454681,29465.0,8300000.0
2000-09-06,3570,3850,3400,3810,689060,31623.0,8300000.0
2000-09-07,3800,3950,3710,3810,388273,31623.0,8300000.0
2000-09-08,3900,4000,3730,3890,167825,32287.0,8300000.0
2000-09-14,3770,3900,3630,3790,100357,31457.0,8300000.0
2000-09-15,3700,4240,3700,4030,538507,33449.0,8300000.0
2000-09-18,3900,3970,3600,3880,249751,32204.0,8300000.0
2000-09-19,3800,4070,3800,4020,226810,33366.0,8300000.0
2000-09-20,4070,4140,3930,4110,262003,34113.0,8300000.0
2000-09-21,4030,4100,3620,3730,131959,30959.0,8300000.0
2000-09-22,3600,3750,3290,3400,125732,28220.0,8300000.0
2000-09-25,3300,3600,3300,3600,175183,29880.0,8300000.0
2000-09-26,3300,3710,3300,3710,97301,30793.0,8300000.0
2000-09-27,3550,3680,3270,3300,690447,27390.0,8300000.0
2000-09-28,3300,3370,2920,3280,285107,27224.0,8300000.0
2000-09-29,3140,3370,3100,3220,152947,26726.0,8300000.0
2000-10-02,3180,3200,3010,3060,157165,25398.0,8300000.0
2000-10-04,2910,3240,2910,3210,154120,26643.0,8300000.0
2000-10-05,3250,3470,3250,3320,199656,27556.0,8300000.0
2000-10-06,3180,3390,3170,3260,183058,27058.0,8300000.0
2000-10-09,3320,3650,3290,3500,398324,29050.0,8300000.0
2000-10-10,3510,3540,3330,3450,94838,28635.0,8300000.0
2000-10-11,3400,3440,3100,3150,93569,26145.0,8300000.0
2000-10-12,3100,3270,3090,3250,91704,26975.0,8300000.0
2000-10-13,3020,3270,3020,3270,80222,27141.0,8300000.0
2000-10-16,3300,3580,3300,3480,112530,28884.0,8300000.0
2000-10-17,3500,3520,3340,3350,72326,27805.0,8300000.0
2000-10-18,3230,3500,3200,3370,43268,27971.0,8300000.0
2000-10-19,3490,3770,3400,3770,469888,31291.0,8300000.0
2000-10-20,4220,4220,4000,4220,412752,35026.0,8300000.0
2000-10-23,4210,4250,3720,3740,466152,31042.0,8300000.0
