리노스(039980),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2002-08-13,1842,1842,1842,1843,316735,16968.0,5050000.0
2002-08-14,2022,2061,1984,2061,212332,18988.0,5050000.0
2002-08-16,2308,2308,1875,1875,1102901,17271.0,5050000.0
2002-08-19,1852,1858,1649,1650,270488,15200.0,5050000.0
2002-08-20,1700,1700,1498,1569,324928,14443.0,5050000.0
2002-08-21,1562,1633,1496,1508,227956,13888.0,5050000.0
2002-08-22,1447,1563,1425,1426,257743,13130.0,5050000.0
2002-08-23,1437,1503,1425,1492,145459,13736.0,5050000.0
2002-08-26,1469,1497,1398,1398,113282,12878.0,5050000.0
2002-08-27,1331,1441,1331,1365,201911,12574.0,5050000.0
2002-08-28,1364,1375,1342,1343,92387,12372.0,5050000.0
2002-08-29,1364,1364,1320,1343,65863,12372.0,5050000.0
2002-08-30,1331,1358,1325,1343,46414,12372.0,5050000.0
2002-09-02,1344,1349,1327,1333,97669,12272.0,5050000.0
2002-09-03,1325,1342,1325,1327,38206,12221.0,5050000.0
2002-09-04,1337,1337,1315,1321,70314,12170.0,5050000.0
2002-09-05,1320,1325,1315,1315,51957,12120.0,5050000.0
2002-09-06,1315,1320,1315,1315,71147,12120.0,5050000.0
2002-09-09,1315,1320,1315,1315,103159,12120.0,5050000.0
2002-09-10,1315,1320,1315,1315,113289,12120.0,5050000.0
2002-09-11,1320,1320,1315,1321,88746,12170.0,5050000.0
2002-09-12,1320,1320,1315,1315,349161,12120.0,5050000.0
2002-09-13,1162,1250,1162,1162,135982,10706.0,5050000.0
2002-09-16,1095,1123,1041,1047,622334,9646.0,5050000.0
2002-09-17,1080,1086,1042,1041,142991,9595.0,5050000.0
2002-09-18,1047,1052,948,998,139286,9191.0,5050000.0
2002-09-19,964,1046,964,1047,115604,9646.0,5050000.0
2002-09-23,1047,1047,942,943,55964,8686.0,5050000.0
2002-09-24,865,926,837,893,237675,8232.0,5050000.0
2002-09-25,894,899,845,900,78907,8282.0,5050000.0
2002-09-26,904,959,827,827,282661,7626.0,5050000.0
2002-09-27,794,832,783,817,140872,7524.0,5050000.0
2002-09-30,777,850,777,811,153803,7474.0,5050000.0
2002-10-01,810,881,810,855,118128,7878.0,5050000.0
2002-10-02,860,866,794,801,114494,7373.0,5050000.0
2002-10-04,794,815,767,801,51420,7373.0,5050000.0
2002-10-07,773,790,730,741,46957,6818.0,5050000.0
2002-10-08,761,761,695,757,85147,6969.0,5050000.0
2002-10-09,745,761,739,751,25830,6918.0,5050000.0
2002-10-10,702,740,696,702,44183,6464.0,5050000.0
2002-10-11,718,746,663,663,94316,6110.0,5050000.0
2002-10-14,690,729,685,723,146321,6666.0,5050000.0
2002-10-15,718,773,702,768,63926,7070.0,5050000.0
2002-10-16,849,854,789,855,292844,7878.0,5050000.0
2002-10-17,822,877,806,850,232956,7828.0,5050000.0
2002-10-18,883,905,850,888,365860,8181.0,5050000.0
2002-10-21,892,920,849,893,230787,8232.0,5050000.0
2002-10-22,904,998,904,932,514741,8585.0,5050000.0
2002-10-23,932,954,877,927,179525,8534.0,5050000.0
2002-10-24,920,964,909,921,133930,8484.0,5050000.0
2002-10-25,919,942,876,882,80034,8130.0,5050000.0
2002-10-28,889,894,861,888,54047,8181.0,5050000.0
2002-10-29,892,892,854,855,53361,7878.0,5050000.0
2002-10-30,832,881,832,882,63794,8130.0,5050000.0
2002-10-31,904,986,877,987,407271,9090.0,5050000.0
2002-11-01,1013,1086,948,987,500206,9090.0,5050000.0
2002-11-04,987,1058,948,998,403061,9191.0,5050000.0
2002-11-05,1025,1112,986,1041,1328082,9595.0,5050000.0
2002-11-06,1063,1063,986,1047,287340,9646.0,5050000.0
2002-11-07,1063,1063,952,975,272866,8989.0,5050000.0
2002-11-08,939,1009,939,966,208324,8888.0,5050000.0
2002-11-11,943,970,910,927,117545,8534.0,5050000.0
2002-11-12,865,892,832,893,182848,8232.0,5050000.0
2002-11-13,865,898,837,866,135893,7979.0,5050000.0
2002-11-14,839,877,839,861,118412,7928.0,5050000.0
2002-11-15,871,948,866,921,359706,8484.0,5050000.0
2002-11-18,925,958,892,948,158913,8736.0,5050000.0
2002-11-19,931,997,904,987,326847,9090.0,5050000.0
2002-11-20,1024,1089,986,1019,453866,9393.0,5050000.0
2002-11-21,1043,1053,1004,1032,225298,9494.0,5050000.0
2002-11-22,1058,1150,1052,1091,1120297,10050.0,5050000.0
2002-11-25,1086,1086,969,1014,364692,9342.0,5050000.0
2002-11-26,1029,1035,991,1003,135977,9242.0,5050000.0
2002-11-27,1013,1089,1013,1085,276789,9999.0,5050000.0
2002-11-28,1146,1146,1067,1069,370784,9848.0,5050000.0
2002-11-29,1052,1090,1008,1025,162006,9444.0,5050000.0
2002-12-02,1036,1068,1003,1063,216275,9797.0,5050000.0
2002-12-03,1086,1179,1080,1158,468844,10656.0,5050000.0
2002-12-04,1140,1150,1073,1079,246285,9948.0,5050000.0
2002-12-05,1079,1107,1063,1069,154162,9848.0,5050000.0
2002-12-06,1053,1081,1031,1032,164164,9494.0,5050000.0
2002-12-09,1057,1149,1057,1151,479299,10605.0,5050000.0
2002-12-10,1151,1267,1103,1102,871186,10150.0,5050000.0
2002-12-11,1135,1223,1102,1222,782217,11262.0,5050000.0
2002-12-12,1255,1283,1172,1239,540232,11413.0,5050000.0
2002-12-13,1261,1349,1244,1306,604722,12019.0,5050000.0
2002-12-16,1305,1332,1150,1162,420516,10706.0,5050000.0
2002-12-17,1193,1216,1139,1151,287431,10605.0,5050000.0
2002-12-18,1119,1185,1119,1168,202883,10756.0,5050000.0
2002-12-20,1139,1166,1035,1047,233764,9646.0,5050000.0
2002-12-23,1020,1047,932,981,190578,9040.0,5050000.0
2002-12-24,927,982,887,981,114807,9040.0,5050000.0
2002-12-26,925,958,909,909,64187,8383.0,5050000.0
2002-12-27,899,933,832,928,145966,8332.0,5050000.0
2002-12-30,881,954,842,955,73723,8585.0,5050000.0
2003-01-02,948,1062,948,1061,107123,9544.0,5050000.0
2003-01-03,1084,1100,1038,1056,68734,9494.0,5050000.0
2003-01-06,1061,1061,1032,1034,61745,9292.0,5050000.0
2003-01-07,1062,1157,1039,1158,471818,10403.0,5050000.0
2003-01-08,1163,1212,1118,1158,393791,10403.0,5050000.0
2003-01-09,1162,1268,1162,1224,541564,11009.0,5050000.0
2003-01-10,1235,1246,1088,1123,306740,10100.0,5050000.0
2003-01-13,1094,1235,1094,1230,220094,11060.0,5050000.0
2003-01-14,1230,1235,1147,1146,203398,10302.0,5050000.0
2003-01-15,1168,1196,1117,1123,158405,10100.0,5050000.0
2003-01-16,1124,1128,1066,1118,113603,10050.0,5050000.0
2003-01-17,1084,1140,1055,1056,66162,9494.0,5050000.0
2003-01-20,988,1073,988,1068,83736,9595.0,5050000.0
2003-01-21,1039,1066,1022,1028,38205,9242.0,5050000.0
2003-01-22,1000,1118,961,1012,154179,9090.0,5050000.0
2003-01-23,1016,1039,982,983,42735,8838.0,5050000.0
2003-01-24,994,1011,916,916,63051,8232.0,5050000.0
2003-01-27,894,905,860,900,43412,8080.0,5050000.0
2003-01-28,831,904,831,893,47524,8030.0,5050000.0
2003-01-29,898,921,849,854,42710,7676.0,5050000.0
2003-01-30,848,881,848,870,31582,7828.0,5050000.0
2003-02-03,877,916,859,916,64988,8232.0,5050000.0
2003-02-04,910,928,899,900,16480,8080.0,5050000.0
2003-02-05,876,909,858,888,47648,7979.0,5050000.0
2003-02-06,893,893,843,854,38466,7676.0,5050000.0
2003-02-07,842,848,796,815,29772,7322.0,5050000.0
2003-02-10,797,803,786,786,29912,7070.0,5050000.0
2003-02-11,791,814,757,775,55102,6969.0,5050000.0
2003-02-12,763,786,747,753,26219,6767.0,5050000.0
2003-02-13,752,836,752,798,92801,7171.0,5050000.0
2003-02-14,791,875,786,865,144989,7777.0,5050000.0
2003-02-17,898,938,870,893,88842,8030.0,5050000.0
2003-02-18,893,921,871,877,27673,7878.0,5050000.0
2003-02-19,922,922,877,900,24266,8080.0,5050000.0
2003-02-20,888,955,888,928,54383,8332.0,5050000.0
2003-02-21,927,927,888,905,18484,8130.0,5050000.0
2003-02-24,888,915,888,893,50011,8030.0,5050000.0
2003-02-25,882,888,871,877,22997,7878.0,5050000.0
2003-02-26,875,881,814,837,14137,7524.0,5050000.0
2003-02-27,797,836,797,809,5189,7272.0,5050000.0
2003-02-28,803,893,803,893,5586,8030.0,5050000.0
