네오위즈홀딩스(042420),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2000-06-27,39408,39408,39408,39407,149,294000.0,7500000.0
2000-06-28,44133,44133,44133,44132,49,329250.0,7500000.0
2000-06-29,49411,49411,49411,49410,157,368625.0,7500000.0
2000-06-30,52276,52276,43530,44836,345551,334500.0,7500000.0
2000-07-03,44736,46948,40514,41317,123385,308250.0,7500000.0
2000-07-04,42223,44585,39508,41418,164341,309000.0,7500000.0
2000-07-05,39810,40916,36492,36492,59078,272250.0,7500000.0
2000-07-06,32823,34180,32119,32119,67214,239625.0,7500000.0
2000-07-07,32270,35940,30812,35939,149352,268125.0,7500000.0
2000-07-10,37096,39508,35186,35989,141902,268500.0,7500000.0
2000-07-11,34281,35186,31717,31767,54187,237000.0,7500000.0
2000-07-12,31768,35487,30310,34582,119857,258000.0,7500000.0
2000-07-13,34080,34683,32170,32270,39865,240750.0,7500000.0
2000-07-14,33175,34633,32069,33476,61946,249750.0,7500000.0
2000-07-18,34582,37447,33678,37447,44509,279375.0,7500000.0
2000-07-19,39106,41418,34733,35185,207278,262500.0,7500000.0
2000-07-20,33678,34783,31215,33878,58503,252750.0,7500000.0
2000-07-21,34783,35990,32371,32521,36078,242625.0,7500000.0
2000-07-24,30360,32170,28651,28852,35840,215250.0,7500000.0
2000-07-25,27143,29656,25685,29053,44827,216750.0,7500000.0
2000-07-26,29656,32170,28148,30259,74503,225750.0,7500000.0
2000-07-27,29254,31064,28802,29254,51834,218250.0,7500000.0
2000-07-28,28752,30059,27646,27947,52221,208500.0,7500000.0
2000-07-31,31265,31265,31265,31264,6308,116625.0,7500000.0
2000-08-01,34985,34985,34985,34984,8763,130500.0,7500000.0
2000-08-02,39106,39106,39106,39106,3881,145875.0,7500000.0
2000-08-03,43731,43731,43731,43730,1985,163125.0,7500000.0
2000-08-04,47450,47852,38805,40212,242060,150000.0,7500000.0
2000-08-07,40413,41619,36291,36995,87258,138000.0,7500000.0
2000-08-08,36995,38704,34582,35386,79648,132000.0,7500000.0
2000-08-09,34783,39207,34381,35989,157945,134250.0,7500000.0
2000-08-10,36191,36995,34582,35688,50035,133125.0,7500000.0
2000-08-11,35186,36392,34985,35788,50873,133500.0,7500000.0
2000-08-14,36794,39207,33879,34984,147631,130500.0,7500000.0
2000-08-16,36191,36191,33778,34582,64531,129000.0,7500000.0
2000-08-17,34985,35588,33175,34180,69432,127500.0,7500000.0
2000-08-18,32170,33074,30260,31063,111529,231750.0,15000000.0
2000-08-21,29556,30360,27344,28047,83808,209250.0,15000000.0
2000-08-22,28148,29556,27445,29354,104812,219000.0,15000000.0
2000-08-23,28651,29154,25836,26338,92729,196500.0,15000000.0
2000-08-24,25233,29455,23725,29455,272716,219750.0,15000000.0
2000-08-25,29355,30159,26439,26640,273104,198750.0,15000000.0
2000-08-28,26741,28752,26138,28047,136217,209250.0,15000000.0
2000-08-29,28551,29154,27344,27344,112291,204000.0,15000000.0
2000-08-30,27143,27847,26138,26439,68282,197250.0,15000000.0
2000-08-31,26138,26741,24027,25132,48796,187500.0,15000000.0
2000-09-01,25133,25937,24127,24629,49220,183750.0,15000000.0
2000-09-04,23826,26238,23826,25836,85333,192750.0,15000000.0
2000-09-05,26138,26339,24429,24730,52529,184500.0,15000000.0
2000-09-06,24328,26238,24228,24931,85360,186000.0,15000000.0
2000-09-07,24328,24328,22117,22619,55737,168750.0,15000000.0
2000-09-08,22720,23021,20910,21714,43049,162000.0,15000000.0
2000-09-14,19905,20910,19704,20508,40502,153000.0,15000000.0
2000-09-15,20106,21513,19201,19241,49469,143550.0,15000000.0
2000-09-18,17171,17693,16949,16949,32473,126450.0,15000000.0
2000-09-19,15120,15884,14919,14918,63387,111300.0,15000000.0
2000-09-20,15482,16085,14738,14878,57626,111000.0,15000000.0
2000-09-21,14698,15642,13672,13752,76628,102600.0,15000000.0
2000-09-22,13169,13672,12104,12103,28219,90300.0,15000000.0
2000-09-25,12064,13551,11501,13551,57198,101100.0,15000000.0
2000-09-26,13672,15160,13572,15159,85208,113100.0,15000000.0
2000-09-27,15944,16969,15783,16969,16038,126600.0,15000000.0
2000-09-28,19000,19000,17130,18980,208407,141600.0,15000000.0
2000-09-29,18900,20508,18196,19221,224690,143400.0,15000000.0
2000-10-02,18518,19603,17110,18517,135737,138150.0,15000000.0
2000-10-04,17713,19302,17512,18236,115449,136050.0,15000000.0
2000-10-05,19141,20408,18719,20407,90729,152250.0,15000000.0
2000-10-06,20508,22117,20106,21010,159752,156750.0,15000000.0
2000-10-09,20910,22720,19302,20709,121690,154500.0,15000000.0
2000-10-10,20609,21312,19101,20106,78505,150000.0,15000000.0
2000-10-11,19101,20066,17713,18698,59268,139500.0,15000000.0
2000-10-12,17331,18598,17291,18276,64254,136350.0,15000000.0
2000-10-13,16306,16789,16085,16667,51602,124350.0,15000000.0
2000-10-16,18095,18658,17693,18658,29613,139200.0,15000000.0
2000-10-17,19121,20508,17291,17854,92136,133200.0,15000000.0
