라온시큐어(042510),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-01-03,102426,102426,102426,102416,451278,42900.0,13000000.0
2001-01-04,114506,114506,105810,114507,1509693,47970.0,13000000.0
2001-01-05,127292,128248,107409,115447,1303837,48360.0,13000000.0
2001-01-08,111758,129128,109255,129118,1039021,54080.0,13000000.0
2001-01-09,130353,144319,126334,144320,1217871,60450.0,13000000.0
2001-01-10,154633,161418,127283,139669,883589,58500.0,13000000.0
2001-01-11,142841,153040,133508,150220,546346,62920.0,13000000.0
2001-01-12,155168,161086,141212,144320,941550,60450.0,13000000.0
2001-01-15,146258,156799,142844,150860,784016,63180.0,13000000.0
2001-01-16,147724,161108,135021,143388,1408572,60060.0,13000000.0
2001-01-17,139355,153310,130967,152060,757187,63700.0,13000000.0
2001-01-18,153620,170078,147702,164491,703178,68900.0,13000000.0
2001-01-19,167612,180018,161430,164791,1020173,69030.0,13000000.0
2001-01-22,161749,180677,161749,174750,857304,73190.0,13000000.0
2001-01-26,180303,181258,158268,166031,455522,69550.0,13000000.0
2001-01-29,166135,185976,165795,185932,817394,77870.0,13000000.0
2001-01-30,207914,207914,204840,207903,416889,87100.0,13000000.0
2001-01-31,215772,226619,183151,217254,1227246,91000.0,13000000.0
2001-02-01,207963,220369,198630,204824,468168,85800.0,13000000.0
2001-02-02,209506,214172,189369,191193,348717,80080.0,13000000.0
2001-02-05,172216,180000,168505,175950,481952,73710.0,13000000.0
2001-02-06,173869,180083,171365,176921,461970,74100.0,13000000.0
2001-02-07,177844,178448,161682,166031,315732,69550.0,13000000.0
2001-02-08,166082,170144,165127,170090,271806,71240.0,13000000.0
2001-02-09,170131,179079,166683,172262,190296,72150.0,13000000.0
2001-02-12,169195,183149,169195,182821,302583,76570.0,13000000.0
2001-02-13,186220,204578,184705,204524,729556,85670.0,13000000.0
2001-02-14,200800,203259,187756,195213,479648,81770.0,13000000.0
2001-02-15,198665,207998,190892,201751,721746,84500.0,13000000.0
2001-02-16,204545,204841,187780,192733,518840,80730.0,13000000.0
2001-02-19,186184,207650,186184,202644,677439,84890.0,13000000.0
2001-02-20,204852,223483,202952,211023,614663,88400.0,13000000.0
2001-02-21,217252,225036,203297,204824,458436,85800.0,13000000.0
2001-02-22,198685,198685,183183,187773,354965,78650.0,13000000.0
2001-02-23,186246,191253,176990,177222,233439,74230.0,13000000.0
2001-02-26,186242,198342,184684,198331,543134,83070.0,13000000.0
2001-02-27,203354,205528,178517,180341,431053,75530.0,13000000.0
2001-02-28,176887,180301,170672,174110,219436,72930.0,13000000.0
2001-03-02,173822,173822,153346,153939,269620,64480.0,13000000.0
2001-03-05,144288,170682,140270,164491,333181,68900.0,13000000.0
2001-03-06,161412,167296,159523,159832,199893,66950.0,13000000.0
2001-03-07,162986,175382,161472,168850,355564,70720.0,13000000.0
2001-03-08,171937,183400,170697,175342,471197,73450.0,13000000.0
