케이맥(043290),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-10-25,24750,28450,23000,28450,2345819,176063.0,6188500.0
2011-10-26,28450,28450,24200,24200,2032161,149762.0,6188500.0
2011-10-27,22600,23550,20600,20600,3585746,127483.0,6188500.0
2011-10-28,21200,22500,17950,19000,1655032,117582.0,6188500.0
2011-10-31,19200,20050,18050,18200,768760,112631.0,6188500.0
2011-11-01,17950,18950,17950,18800,677960,116344.0,6188500.0
2011-11-02,18100,19300,17950,18850,463616,116653.0,6188500.0
2011-11-03,19250,19800,18250,18250,421870,112940.0,6188500.0
2011-11-04,18650,19500,18600,19100,333176,118200.0,6188500.0
2011-11-07,19350,19400,18400,18400,258586,113868.0,6188500.0
2011-11-08,18700,18700,17000,17000,473771,105204.0,6188500.0
2011-11-09,17200,17850,16850,17100,330082,105823.0,6188500.0
2011-11-10,16400,16650,15600,15600,258893,96541.0,6188500.0
2011-11-11,16100,16100,15250,15400,255820,95303.0,6188500.0
2011-11-14,15750,17500,15700,16900,502274,104586.0,6188500.0
2011-11-15,16900,17250,16300,16450,190970,101801.0,6188500.0
2011-11-16,16550,17400,16150,16550,415794,102420.0,6188500.0
2011-11-17,16750,18300,16750,18200,663761,112631.0,6188500.0
2011-11-18,17800,18900,17750,18900,324676,116963.0,6188500.0
2011-11-21,18700,19500,18450,18700,474909,115725.0,6188500.0
2011-11-22,18350,20100,18350,20000,592698,123770.0,6188500.0
2011-11-23,20050,21150,19700,20950,661963,129649.0,6188500.0
2011-11-24,21000,21350,20300,20700,365664,128102.0,6188500.0
2011-11-25,20800,20900,19100,19500,379575,120676.0,6188500.0
2011-11-28,19600,19850,18950,19800,328259,122532.0,6188500.0
2011-11-29,20000,20450,19150,19250,590467,119129.0,6188500.0
2011-11-30,19350,19650,18450,18450,220313,114178.0,6188500.0
2011-12-01,19100,19200,18300,18550,269756,114797.0,6188500.0
2011-12-02,18500,19600,18500,19600,235878,121295.0,6188500.0
2011-12-05,19700,20200,19300,19800,278326,122532.0,6188500.0
2011-12-06,19900,20150,19200,19400,177525,120057.0,6188500.0
2011-12-07,19750,20150,19300,20150,233266,124698.0,6188500.0
2011-12-08,20250,20250,19300,19350,176830,119747.0,6188500.0
2011-12-09,18900,19700,18700,19050,182953,117891.0,6188500.0
2011-12-12,19350,19700,19150,19550,196561,120985.0,6188500.0
2011-12-13,19200,19350,18000,18000,217754,111393.0,6188500.0
2011-12-14,17800,18300,16950,17150,339022,106133.0,6188500.0
2011-12-15,16950,17200,16600,16750,124834,103657.0,6188500.0
2011-12-16,17000,17450,16850,17250,73465,106752.0,6188500.0
2011-12-19,16800,17400,14850,15400,238382,95303.0,6188500.0
2011-12-20,15450,16050,15450,15950,102251,98707.0,6188500.0
2011-12-21,16500,18150,16300,17500,194998,108299.0,6188500.0
2011-12-22,17600,17850,17200,17550,63045,108608.0,6188500.0
2011-12-23,17700,18100,17400,17400,59402,107680.0,6188500.0
2011-12-26,17500,17600,17050,17350,51572,107370.0,6188500.0
2011-12-27,17600,17750,16300,16300,120815,100873.0,6188500.0
2011-12-28,16800,17250,16600,16700,99776,103348.0,6188500.0
2011-12-29,16200,17000,16200,16750,38134,103657.0,6188500.0
2012-01-02,16900,18750,16600,18450,284861,114178.0,6188500.0
2012-01-03,18600,19150,18450,18450,168428,114178.0,6188500.0
2012-01-04,18900,19850,18200,19500,443012,120676.0,6188500.0
2012-01-05,19850,20100,19550,19600,377362,121295.0,6188500.0
2012-01-06,20100,20350,19350,19500,481931,120676.0,6188500.0
2012-01-09,19500,20800,19200,20800,430851,128721.0,6188500.0
2012-01-10,20850,21000,20450,20500,300422,126864.0,6188500.0
2012-01-11,20550,21150,20100,20100,230739,124389.0,6188500.0
2012-01-12,20400,20400,19400,19750,183261,122223.0,6188500.0
2012-01-13,20000,20650,19750,20650,204578,127793.0,6188500.0
2012-01-16,20400,21350,20300,21200,316972,131196.0,6188500.0
2012-01-17,21500,21550,20350,20400,242957,126245.0,6188500.0
2012-01-18,20550,20550,19550,19650,165876,121604.0,6188500.0
2012-01-19,19900,19900,19100,19200,143242,118819.0,6188500.0
2012-01-20,19250,19700,19100,19200,111053,118819.0,6188500.0
2012-01-25,19200,19800,18750,18800,109032,116344.0,6188500.0
2012-01-26,19200,19200,18650,18700,92949,115725.0,6188500.0
2012-01-27,18950,19400,18650,19150,95850,118510.0,6188500.0
2012-01-30,19200,19200,18150,18350,130027,113559.0,6188500.0
2012-01-31,18400,18750,18050,18250,91840,112940.0,6188500.0
2012-02-01,18500,20450,18300,20300,247915,125627.0,6188500.0
2012-02-02,20300,21450,20000,21450,429990,132743.0,6188500.0
2012-02-03,21450,21700,20700,20850,246168,129030.0,6188500.0
2012-02-06,21300,22600,21050,22000,421895,136147.0,6188500.0
2012-02-07,22100,22400,21000,21500,230222,133053.0,6188500.0
2012-02-08,21400,22150,20950,21500,168202,133053.0,6188500.0
2012-02-09,21650,21650,20800,21150,107727,130887.0,6188500.0
2012-02-10,21100,21600,20600,21600,151920,133672.0,6188500.0
2012-02-13,21850,22000,21400,21600,116378,133672.0,6188500.0
2012-02-14,21650,23000,20000,20050,831676,124079.0,6188500.0
2012-02-15,20150,20450,19450,20100,194788,124389.0,6188500.0
2012-02-16,19950,20350,19550,19700,98208,121913.0,6188500.0
2012-02-17,19950,20200,18950,19050,278139,117891.0,6188500.0
2012-02-20,19100,19700,19100,19400,100205,120057.0,6188500.0
2012-02-21,19650,19700,19200,19650,73727,121604.0,6188500.0
2012-02-22,19800,19800,19450,19500,45311,120676.0,6188500.0
2012-02-23,19400,19600,19000,19000,96606,117582.0,6188500.0
2012-02-24,19200,19200,18300,18450,153475,114178.0,6188500.0
2012-02-27,18700,18900,17750,17800,190594,110155.0,6188500.0
2012-02-28,18000,18600,17700,18600,100073,115106.0,6188500.0
2012-02-29,18600,18700,18100,18150,94377,112321.0,6188500.0
2012-03-02,18400,18700,18050,18650,86358,115416.0,6188500.0
2012-03-05,18500,18700,18400,18500,44786,114487.0,6188500.0
2012-03-06,18550,18700,18200,18300,44362,113250.0,6188500.0
2012-03-07,18000,18350,17850,18350,37833,113559.0,6188500.0
2012-03-08,18450,18800,18300,18600,65698,115106.0,6188500.0
2012-03-09,18850,18900,18400,18500,39112,114487.0,6188500.0
2012-03-12,18700,18950,18400,18900,121694,116963.0,6188500.0
2012-03-13,19000,19100,18450,18600,96760,115106.0,6188500.0
2012-03-14,18700,18800,18200,18200,85496,112631.0,6188500.0
2012-03-15,18200,18500,18050,18150,36017,112321.0,6188500.0
2012-03-16,18050,18300,17600,17600,117240,108918.0,6188500.0
2012-03-19,17600,17600,17150,17150,107929,106133.0,6188500.0
2012-03-20,17450,17450,17100,17300,33709,107061.0,6188500.0
2012-03-21,17300,17400,16850,16900,60360,104586.0,6188500.0
2012-03-22,16800,17100,16600,16600,70870,102729.0,6188500.0
2012-03-23,16450,16950,16400,16950,30841,104895.0,6188500.0
2012-03-26,16850,17300,16700,16750,30883,103657.0,6188500.0
2012-03-27,16900,17300,16300,16500,55612,102110.0,6188500.0
2012-03-28,16550,16850,16450,16500,36071,102110.0,6188500.0
2012-03-29,16500,16500,15600,15700,79093,97159.0,6188500.0
2012-03-30,15700,15950,15600,15800,45752,97778.0,6188500.0
2012-04-02,15800,15950,15650,15650,47052,96850.0,6188500.0
2012-04-03,15700,15850,14950,14950,109298,92518.0,6188500.0
2012-04-04,15000,15100,13900,14250,118424,88186.0,6188500.0
2012-04-05,13850,14900,13600,14200,79790,87877.0,6188500.0
2012-04-06,13900,14450,13900,14000,33981,86639.0,6188500.0
2012-04-09,13800,14050,12800,13000,94768,80450.0,6188500.0
2012-04-10,13000,13100,11050,11250,408244,69621.0,6188500.0
2012-04-12,11250,12300,11050,12000,200944,74262.0,6188500.0
2012-04-13,12450,13700,12400,13300,236389,82307.0,6188500.0
2012-04-16,13350,14300,13300,14300,138163,88496.0,6188500.0
2012-04-17,14600,14600,13400,13450,120497,83235.0,6188500.0
2012-04-18,13800,14150,13550,13700,81557,84782.0,6188500.0
2012-04-19,13800,14200,13800,14000,80079,86639.0,6188500.0
2012-04-20,13950,14000,13500,13650,46486,87717.0,6426140.0
2012-04-23,13600,13850,12500,12700,65365,81612.0,6426140.0
2012-04-24,12500,12750,12100,12200,81459,78399.0,6426140.0
2012-04-25,12350,13450,12350,12850,157473,82576.0,6426140.0
2012-04-26,13200,14400,13100,13500,258570,86753.0,6426140.0
