디지아이(043360),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-07-20,4463,4463,4463,4462,513562,37152.0,5160000.0
2001-07-23,4463,4463,3930,3930,321833,32714.0,5160000.0
2001-07-24,3459,3471,3459,3458,716697,28793.0,5160000.0
2001-07-25,3346,3545,3254,3470,1023696,28896.0,5160000.0
2001-07-26,3557,3836,3446,3470,627362,28896.0,5160000.0
2001-07-27,3501,3638,3483,3532,293534,29412.0,5160000.0
2001-07-30,3471,3626,3384,3569,159012,29722.0,5160000.0
2001-07-31,3571,3967,3571,3905,355444,32508.0,5160000.0
2001-08-01,3905,4370,3843,4214,402676,35088.0,5160000.0
2001-08-02,4246,4339,4041,4252,266407,35398.0,5160000.0
2001-08-03,4184,4339,4140,4221,146684,35140.0,5160000.0
2001-08-06,4227,4649,4196,4289,352447,35707.0,5160000.0
2001-08-07,4277,4525,4215,4245,395121,35346.0,5160000.0
2001-08-08,4339,4401,4227,4276,115522,35604.0,5160000.0
2001-08-09,4214,4425,4171,4170,128877,34727.0,5160000.0
2001-08-10,4159,4587,4159,4524,226614,37668.0,5160000.0
2001-08-13,4556,4835,4469,4834,194921,40248.0,5160000.0
2001-08-14,4927,4927,4499,4685,142370,39010.0,5160000.0
2001-08-16,4568,4649,4153,4555,222409,37926.0,5160000.0
2001-08-17,4593,4643,4401,4419,52338,36791.0,5160000.0
2001-08-20,4153,4401,4134,4289,79623,35707.0,5160000.0
2001-08-21,4401,4481,4233,4276,33836,35604.0,5160000.0
2001-08-22,4215,4370,4215,4276,34790,35604.0,5160000.0
2001-08-23,4339,4494,4277,4400,51783,36636.0,5160000.0
2001-08-24,4426,4476,4345,4444,49458,36997.0,5160000.0
2001-08-27,4475,4816,4463,4679,320660,38958.0,5160000.0
2001-08-28,4773,4804,4581,4803,126165,39990.0,5160000.0
2001-08-29,4772,5237,4772,5113,176478,42570.0,5160000.0
2001-08-30,5139,5176,4990,5076,82524,42260.0,5160000.0
2001-08-31,5114,5684,5083,5684,208581,50781.0,5537776.0
2001-09-03,5863,5994,5547,5640,345281,50394.0,5537776.0
2001-09-04,5516,5702,5343,5609,181774,50117.0,5537776.0
2001-09-05,5609,5913,5578,5640,236633,50394.0,5537776.0
2001-09-06,5516,5640,5336,5516,208530,49286.0,5537776.0
2001-09-07,5269,5517,5083,5256,130034,46960.0,5537776.0
2001-09-10,5269,5269,4631,4630,415488,41367.0,5537776.0
2001-09-11,4537,4580,4215,4214,288730,37657.0,5537776.0
2001-09-12,3713,3713,3713,3713,1406,33171.0,5537776.0
2001-09-13,3273,3688,3273,3347,357112,29904.0,5537776.0
2001-09-14,3409,3651,2975,3068,182219,27412.0,5537776.0
2001-09-17,3037,3037,2702,2702,124570,24145.0,5537776.0
2001-09-18,2764,2975,2764,2820,95755,25197.0,5537776.0
2001-09-19,2820,3155,2789,3154,71327,28187.0,5537776.0
2001-09-20,3278,3532,3161,3532,169140,31565.0,5537776.0
2001-09-21,3526,3892,3390,3718,177785,33227.0,5537776.0
2001-09-24,3799,3960,3656,3656,113527,32673.0,5537776.0
2001-09-25,3843,4091,3756,3786,129403,33836.0,5537776.0
2001-09-26,3911,4028,3787,3960,68311,35386.0,5537776.0
2001-09-27,3936,4047,3812,3935,62635,35165.0,5537776.0
2001-09-28,3967,4289,3892,4276,77069,38211.0,5537776.0
2001-10-04,4401,4760,4308,4704,58856,42032.0,5537776.0
2001-10-05,4649,4649,4426,4438,32066,39650.0,5537776.0
2001-10-08,4333,4463,4097,4252,62820,37989.0,5537776.0
2001-10-09,4326,4481,4308,4338,39775,38764.0,5537776.0
2001-10-10,4351,4649,4351,4369,52499,39041.0,5537776.0
2001-10-11,4407,4618,4407,4524,66491,40426.0,5537776.0
2001-10-12,4804,4804,4432,4531,69944,40481.0,5537776.0
2001-10-15,4505,4617,4493,4561,48664,40758.0,5537776.0
2001-10-16,4574,4711,4525,4617,87022,41256.0,5537776.0
2001-10-17,4661,5170,4661,5169,168904,46185.0,5537776.0
2001-10-18,5169,5702,5169,5516,279156,49286.0,5537776.0
2001-10-19,5517,6174,5517,6173,351350,55156.0,5537776.0
2001-10-22,6322,6911,6074,6198,358969,55378.0,5537776.0
2001-10-23,6192,6602,5858,5901,371560,52720.0,5537776.0
2001-10-24,5950,6012,5640,5764,203896,51501.0,5537776.0
2001-10-25,5833,6013,5765,5956,114354,53218.0,5537776.0
2001-10-26,6136,6229,5702,5764,132812,51501.0,5537776.0
2001-10-29,5771,6038,5771,5975,109818,53384.0,5537776.0
2001-10-30,5957,6664,5889,6663,356418,59531.0,5537776.0
2001-10-31,6756,7438,6663,7034,503994,62854.0,5537776.0
2001-11-01,7128,7624,6725,7220,272485,64515.0,5537776.0
2001-11-02,7376,7407,6384,6384,205594,57039.0,5537776.0
2001-11-05,6260,7128,6260,7127,128854,63684.0,5537776.0
2001-11-06,7438,7965,7283,7965,228370,71160.0,5537776.0
2001-11-07,8337,8894,8275,8894,253839,79467.0,5537776.0
2001-11-08,9359,9948,9359,9947,454326,88881.0,5537776.0
2001-11-09,10258,10816,9793,10102,373353,90266.0,5537776.0
2001-11-12,9917,10227,9328,9978,293892,89158.0,5537776.0
2001-11-13,9607,11156,9607,11156,274904,99680.0,5537776.0
2001-11-14,12489,12489,11869,12488,396050,111586.0,5537776.0
2001-11-15,12799,13822,12520,13326,373105,119062.0,5537776.0
2001-11-16,13450,13729,12210,12954,214371,115740.0,5537776.0
2001-11-19,13264,13636,12830,13078,213474,116847.0,5537776.0
2001-11-20,13202,13357,11529,11528,252425,103003.0,5537776.0
2001-11-21,11528,12148,10599,11435,315066,102172.0,5537776.0
2001-11-22,11466,11900,10847,11249,294384,100511.0,5537776.0
2001-11-23,11095,11312,10227,10227,377154,91373.0,5537776.0
2001-11-26,10227,10537,9019,9018,894828,80575.0,5537776.0
2001-11-27,9019,9484,8027,8306,761859,74206.0,5537776.0
2001-11-28,8554,9298,8368,9297,340436,83067.0,5537776.0
2001-11-29,9918,9980,8182,8182,784740,73099.0,5537776.0
2001-11-30,8182,8368,7438,7592,831886,67838.0,5537776.0
2001-12-03,7933,8305,7592,7933,495940,70884.0,5537776.0
2001-12-04,8181,8460,7747,7933,492389,70884.0,5537776.0
2001-12-05,7934,8058,7252,7344,451144,65623.0,5537776.0
2001-12-06,7159,7438,6880,7096,414506,63408.0,5537776.0
2001-12-07,7190,7903,7190,7654,645232,68392.0,5537776.0
2001-12-10,7748,7872,7314,7654,354222,68392.0,5537776.0
2001-12-11,7748,7996,7407,7468,383857,66730.0,5537776.0
2001-12-12,7438,7748,7345,7499,296688,67007.0,5537776.0
2001-12-13,7438,7562,7221,7220,208422,64515.0,5537776.0
2001-12-14,7221,8058,7221,8058,992474,71991.0,5537776.0
2001-12-17,8368,8429,7221,7220,503284,64515.0,5537776.0
2001-12-18,7438,7592,6384,6817,448788,60916.0,5537776.0
2001-12-19,6663,7035,6112,6508,261327,58147.0,5537776.0
2001-12-20,6322,6787,6198,6569,260728,58700.0,5537776.0
2001-12-21,5951,6415,5951,6080,177392,54326.0,5537776.0
2001-12-24,6056,6199,5597,5597,143411,50006.0,5537776.0
2001-12-26,5708,5758,5336,5392,124517,48179.0,5537776.0
2001-12-27,5393,5566,5033,5442,163343,48622.0,5537776.0
2001-12-28,5474,5982,5474,5913,186338,52830.0,5537776.0
2002-01-02,6074,6074,5782,5993,161896,53550.0,5537776.0
2002-01-03,5919,6055,5777,5819,112796,52000.0,5537776.0
2002-01-04,5888,6198,5764,6117,288572,54658.0,5537776.0
2002-01-07,6074,6384,6074,6141,166495,54879.0,5537776.0
2002-01-08,6198,6198,5764,5795,160962,51778.0,5537776.0
2002-01-09,5826,5919,5585,5615,177360,50172.0,5537776.0
2002-01-10,5579,6025,5455,5925,296969,52941.0,5537776.0
2002-01-11,5925,6632,5795,6631,506193,59254.0,5537776.0
2002-01-14,6880,7407,6849,7127,652963,63684.0,5537776.0
2002-01-15,7097,7283,6694,6817,255006,60916.0,5537776.0
2002-01-16,6942,7624,6880,7623,529376,68115.0,5537776.0
2002-01-17,7872,8182,7159,7158,636888,63961.0,5537776.0
2002-01-18,7252,7469,6787,6972,339908,62300.0,5537776.0
2002-01-21,7128,7190,6663,6879,188728,61469.0,5537776.0
2002-01-22,6942,7500,6849,7189,356047,64238.0,5537776.0
2002-01-23,7066,7438,6973,7127,185037,63684.0,5537776.0
2002-01-24,7097,7314,6694,6817,231394,60916.0,5537776.0
2002-01-25,6880,6942,6694,6693,176765,59808.0,5537776.0
2002-01-28,6818,7469,6632,7468,403715,66730.0,5537776.0
2002-01-29,7314,7655,7128,7654,274641,68392.0,5537776.0
2002-01-30,7500,8182,7345,7437,584298,66453.0,5537776.0
2002-01-31,7561,8305,7468,8150,459350,72822.0,5537776.0
2002-02-01,8492,8957,8275,8306,853763,74206.0,5537776.0
2002-02-04,8306,8864,7376,7748,440326,69222.0,5537776.0
