크로바하이텍(043590),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-12-20,1589,1589,1589,1589,499971,18830.0,7000000.0
2001-12-21,1400,1417,1400,1400,193606,16590.0,7000000.0
2001-12-24,1233,1275,1233,1235,340202,14630.0,7000000.0
2001-12-26,1121,1156,1085,1088,715349,12880.0,7000000.0
2001-12-27,1067,1097,1002,1075,495548,12740.0,7000000.0
2001-12-28,1097,1197,1079,1199,642233,14210.0,7000000.0
2002-01-02,1210,1340,1210,1342,280096,15890.0,7000000.0
2002-01-03,1398,1439,1256,1347,692209,15960.0,7000000.0
2002-01-04,1328,1356,1256,1288,331063,15260.0,7000000.0
2002-01-07,1298,1369,1269,1359,376326,16100.0,7000000.0
2002-01-08,1328,1356,1268,1282,286038,15190.0,7000000.0
2002-01-09,1215,1322,1175,1212,477959,14350.0,7000000.0
2002-01-10,1204,1210,1145,1152,214913,13650.0,7000000.0
2002-01-11,1162,1285,1150,1288,355614,15260.0,7000000.0
2002-01-14,1309,1339,1179,1223,224996,14490.0,7000000.0
2002-01-15,1180,1215,1085,1104,347413,13090.0,7000000.0
2002-01-16,1121,1179,1097,1135,184207,13440.0,7000000.0
2002-01-17,1098,1127,1074,1128,123156,13370.0,7000000.0
2002-01-18,1111,1187,1098,1122,167802,13300.0,7000000.0
2002-01-21,1122,1127,1086,1122,164455,13300.0,7000000.0
2002-01-22,1115,1156,1067,1093,112308,12950.0,7000000.0
2002-01-23,1085,1132,1080,1082,207992,12810.0,7000000.0
2002-01-24,1090,1109,1055,1093,227720,12950.0,7000000.0
2002-01-25,1086,1104,1033,1046,202346,12390.0,7000000.0
2002-01-28,1038,1091,1021,1082,289009,12810.0,7000000.0
2002-01-29,1091,1204,1085,1146,690282,13580.0,7000000.0
2002-01-30,1090,1138,1061,1075,330167,12740.0,7000000.0
2002-01-31,1115,1197,1109,1199,597919,14210.0,7000000.0
2002-02-01,1241,1317,1116,1122,805940,13300.0,7000000.0
2002-02-04,1132,1139,1080,1088,218039,12880.0,7000000.0
2002-02-05,1079,1138,1055,1093,268366,12950.0,7000000.0
2002-02-06,1067,1102,1049,1069,286143,12670.0,7000000.0
2002-02-07,1061,1109,1026,1069,291641,12670.0,7000000.0
2002-02-08,1063,1069,1039,1057,124402,12530.0,7000000.0
2002-02-14,1062,1085,1050,1082,161856,12810.0,7000000.0
2002-02-15,1080,1103,1068,1104,160014,13090.0,7000000.0
2002-02-18,1115,1132,1073,1075,167961,12740.0,7000000.0
2002-02-19,1049,1090,1049,1093,156518,12950.0,7000000.0
2002-02-20,1103,1210,1080,1128,628924,13370.0,7000000.0
2002-02-21,1139,1139,1074,1082,218721,12810.0,7000000.0
2002-02-22,1079,1090,1067,1069,205384,12670.0,7000000.0
2002-02-25,1091,1091,1068,1082,167011,12810.0,7000000.0
2002-02-26,1098,1111,1069,1111,264415,13160.0,7000000.0
2002-02-27,1152,1199,1075,1116,548846,13230.0,7000000.0
2002-02-28,1097,1132,1073,1075,116019,12740.0,7000000.0
2002-03-04,1097,1132,1073,1135,247732,13440.0,7000000.0
2002-03-05,1109,1179,1109,1158,313889,13720.0,7000000.0
2002-03-06,1157,1246,1145,1192,465909,14140.0,7000000.0
2002-03-07,1270,1334,1187,1335,637303,15820.0,7000000.0
2002-03-08,1359,1359,1210,1265,412871,14980.0,7000000.0
2002-03-11,1298,1345,1251,1282,400165,15190.0,7000000.0
2002-03-12,1270,1376,1140,1182,726988,14000.0,7000000.0
2002-03-13,1180,1227,1150,1212,453917,14350.0,7000000.0
2002-03-14,1199,1293,1193,1246,324494,14770.0,7000000.0
2002-03-15,1315,1321,1256,1282,381497,15190.0,7000000.0
2002-03-18,1269,1340,1215,1270,495813,15050.0,7000000.0
2002-03-19,1287,1417,1264,1400,659841,16590.0,7000000.0
2002-03-20,1406,1494,1323,1395,773400,16520.0,7000000.0
2002-03-21,1411,1411,1246,1270,497679,15050.0,7000000.0
2002-03-22,1268,1328,1262,1294,250564,15330.0,7000000.0
2002-03-25,1279,1345,1274,1347,202928,15960.0,7000000.0
2002-03-26,1322,1405,1310,1376,296760,16310.0,7000000.0
2002-03-27,1399,1535,1363,1436,519017,17010.0,7000000.0
2002-03-28,1453,1583,1399,1441,499113,17080.0,7000000.0
2002-03-29,1453,1499,1410,1483,247843,17570.0,7000000.0
2002-04-01,1535,1535,1446,1447,189269,17150.0,7000000.0
2002-04-02,1447,1476,1387,1453,220590,17220.0,7000000.0
2002-04-03,1464,1493,1423,1495,160107,17710.0,7000000.0
2002-04-04,1517,1553,1453,1554,269919,18410.0,7000000.0
2002-04-08,1736,1736,1540,1601,1597020,18970.0,7000000.0
2002-04-09,1624,1624,1429,1453,456706,17220.0,7000000.0
2002-04-10,1392,1486,1328,1347,164263,15960.0,7000000.0
2002-04-11,1292,1386,1292,1342,235185,15890.0,7000000.0
2002-04-12,1280,1334,1269,1317,221443,15610.0,7000000.0
2002-04-15,1304,1376,1304,1359,114558,16100.0,7000000.0
2002-04-16,1369,1498,1369,1412,251316,16730.0,7000000.0
2002-04-17,1422,1522,1415,1477,269788,17500.0,7000000.0
2002-04-18,1423,1476,1423,1465,77510,17360.0,7000000.0
2002-04-19,1423,1493,1416,1471,149850,17430.0,7000000.0
2002-04-22,1505,1528,1369,1418,80479,16800.0,7000000.0
2002-04-23,1409,1409,1256,1282,195150,15190.0,7000000.0
2002-04-24,1256,1315,1156,1294,128521,15330.0,7000000.0
2002-04-25,1221,1305,1151,1187,202602,14070.0,7000000.0
2002-04-26,1138,1239,1138,1158,53400,13720.0,7000000.0
2002-04-29,1122,1193,1122,1122,50562,13300.0,7000000.0
2002-04-30,1104,1181,1104,1182,123905,14000.0,7000000.0
2002-05-02,1228,1287,1181,1246,108561,14770.0,7000000.0
2002-05-03,1221,1246,1186,1192,29750,14140.0,7000000.0
2002-05-06,1239,1239,1162,1199,18397,14210.0,7000000.0
2002-05-07,1133,1205,1133,1176,60545,13930.0,7000000.0
2002-05-08,1192,1215,1168,1169,89303,13860.0,7000000.0
2002-05-09,1216,1222,1152,1182,70915,14000.0,7000000.0
2002-05-10,1162,1185,1150,1158,25035,13720.0,7000000.0
