이글벳(044960),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2000-11-16,2170,2170,2170,2170,85620,13330.0,430000.0
2000-11-17,2429,2429,2429,2429,850,14921.0,430000.0
2000-11-20,2718,2718,2718,2719,1590,16706.0,430000.0
2000-11-21,3045,3045,3045,3045,204480,18705.0,430000.0
2000-11-22,3409,3409,3164,3409,786420,20941.0,430000.0
2000-11-23,3401,3779,3016,3219,2459580,19780.0,430000.0
2000-11-24,3387,3604,3219,3604,828200,22145.0,430000.0
2000-11-27,4032,4032,4032,4031,27390,24768.0,430000.0
2000-11-28,4514,4514,4353,4514,1102980,27735.0,430000.0
2000-11-29,4339,4760,3975,4060,1816440,24940.0,430000.0
2000-11-30,3926,4122,3576,3576,490110,21973.0,430000.0
2000-12-01,3150,3976,3150,3780,1642650,23220.0,430000.0
2000-12-04,3856,4227,3681,4227,1014330,25972.0,430000.0
2000-12-05,4192,4675,4066,4129,1067440,25370.0,430000.0
2000-12-06,4290,4444,3849,3989,1188230,24510.0,430000.0
2000-12-07,3989,4248,3646,3744,861790,23005.0,430000.0
2000-12-08,3744,3807,3303,3338,801450,20511.0,430000.0
2000-12-11,3430,3486,3079,3164,772720,19436.0,430000.0
2000-12-12,3104,3384,3079,3171,898780,19479.0,430000.0
2000-12-13,3156,3215,2799,2834,391410,17415.0,430000.0
2000-12-14,2835,3150,2737,2940,893120,18060.0,430000.0
2000-12-15,2800,2996,2779,2796,705700,17178.0,430000.0
2000-12-18,2768,3128,2768,3128,921030,19221.0,430000.0
2000-12-19,3198,3471,3009,3010,1473140,18490.0,430000.0
2000-12-20,2982,3073,2650,2649,738810,16276.0,430000.0
2000-12-21,2463,2554,2333,2334,415860,14340.0,430000.0
2000-12-22,2333,2613,2191,2614,614630,16060.0,430000.0
2000-12-26,2660,2800,2352,2653,709220,16297.0,430000.0
2001-01-02,2344,2901,2344,2358,313310,14491.0,430000.0
2001-01-03,2394,2639,2394,2639,276400,16211.0,430000.0
2001-01-04,2806,2953,2764,2953,331380,18146.0,430000.0
2001-01-05,2834,3307,2834,3254,471130,19995.0,430000.0
2001-01-08,3464,3640,3290,3639,180150,22360.0,430000.0
2001-01-09,4074,4074,3990,4074,110110,25026.0,430000.0
2001-01-10,4557,4557,3640,4557,785610,27993.0,430000.0
2001-01-11,4690,5005,4479,4697,468590,28853.0,430000.0
2001-01-12,4697,4879,4165,4165,962760,25585.0,430000.0
2001-01-15,3990,4339,3849,3948,998540,24252.0,430000.0
2001-01-16,3947,4059,3485,3485,826350,21414.0,430000.0
2001-01-17,3485,3835,3373,3464,776610,21285.0,430000.0
2001-01-18,3758,3758,3464,3464,559470,21285.0,430000.0
2001-01-19,3534,3877,3464,3877,473940,23822.0,430000.0
2001-01-22,3989,4338,3953,3954,1178220,24295.0,430000.0
2001-01-26,3786,4024,3485,3485,673960,21414.0,430000.0
2001-01-29,3464,3899,3430,3898,819650,23951.0,430000.0
2001-01-30,4130,4361,3990,4157,898910,25542.0,430000.0
2001-01-31,4402,4402,3779,3982,561710,24467.0,430000.0
2001-02-01,3947,4395,3926,4129,538880,25370.0,430000.0
2001-02-02,4338,4619,4205,4619,831570,28380.0,430000.0
2001-02-05,4900,5173,4809,5172,195300,31777.0,430000.0
2001-02-06,5598,5724,4556,4864,1359140,29885.0,430000.0
2001-02-07,4760,5250,4284,4312,1199720,26488.0,430000.0
2001-02-08,4381,4409,4108,4220,477860,25929.0,430000.0
2001-02-09,4331,4612,4220,4381,666330,26918.0,430000.0
2001-02-12,4619,4885,4367,4367,564620,26832.0,430000.0
2001-02-13,4471,4471,4171,4241,468540,26058.0,430000.0
2001-02-14,4200,4256,4067,4157,268330,25542.0,430000.0
2001-02-15,4283,4388,4164,4206,288990,25843.0,430000.0
2001-02-16,4235,4270,4074,4074,165180,25026.0,430000.0
2001-02-19,4059,4086,3856,3996,234300,24553.0,430000.0
2001-02-20,4003,4164,3919,4010,233730,24639.0,430000.0
