오공(045060),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2000-08-10,3736,3736,3736,3739,369978,48492.0,4041000.0
2000-08-11,4173,4173,3332,3816,4629626,49502.0,4041000.0
2000-08-14,3457,3706,3364,3365,850714,43643.0,4041000.0
2000-08-16,3209,3209,2976,2975,798820,38592.0,4041000.0
2000-08-17,2745,2866,2620,2654,1421218,34429.0,4041000.0
2000-08-18,2654,2818,2476,2663,962392,34551.0,4041000.0
2000-08-21,2529,2647,2507,2546,401272,33015.0,4041000.0
2000-08-22,2491,2584,2491,2539,324754,32934.0,4041000.0
2000-08-23,2553,2803,2553,2557,485128,33177.0,4041000.0
2000-08-24,2502,2583,2383,2439,297750,31641.0,4041000.0
2000-08-25,2406,2552,2297,2555,190626,33136.0,4041000.0
2000-08-28,2529,2859,2529,2860,1038630,37096.0,4041000.0
2000-08-29,2865,3146,2818,2922,920744,37905.0,4041000.0
2000-08-30,2933,3014,2762,2813,536358,36490.0,4041000.0
2000-08-31,2802,2811,2475,2489,443744,32288.0,4041000.0
2000-09-01,2497,2569,2367,2399,313408,31116.0,4041000.0
2000-09-04,2336,2398,2186,2206,338284,28610.0,4041000.0
2000-09-05,2226,2304,2204,2221,249354,28812.0,4041000.0
2000-09-06,2183,2238,2085,2149,305748,27883.0,4041000.0
2000-09-07,2119,2149,1900,1925,295000,24973.0,4041000.0
2000-09-08,1928,1962,1779,1932,139060,25054.0,4041000.0
2000-09-14,1826,1900,1807,1826,66262,23680.0,4041000.0
2000-09-15,1746,1931,1746,1850,103148,24004.0,4041000.0
2000-09-18,1779,1838,1630,1629,48770,21134.0,4041000.0
2000-09-19,1482,1557,1435,1436,108166,18629.0,4041000.0
2000-09-20,1463,1526,1432,1467,117072,19033.0,4041000.0
2000-09-21,1457,1463,1292,1292,72588,16770.0,4041000.0
2000-09-22,1240,1240,1140,1140,122144,14790.0,4041000.0
2000-09-25,1089,1167,1006,1146,165960,14871.0,4041000.0
2000-09-26,1090,1283,1090,1271,199492,16487.0,4041000.0
2000-09-27,1289,1420,1289,1421,236126,18427.0,4041000.0
2000-09-28,1420,1542,1360,1393,167242,18063.0,4041000.0
2000-09-29,1433,1471,1358,1433,140330,18589.0,4041000.0
2000-10-02,1370,1429,1311,1342,141606,17417.0,4041000.0
2000-10-04,1371,1386,1287,1371,165806,17780.0,4041000.0
2000-10-05,1404,1532,1404,1532,63306,19882.0,4041000.0
2000-10-06,1651,1717,1589,1716,330294,22266.0,4041000.0
2000-10-09,1825,1921,1775,1922,491666,24933.0,4041000.0
2000-10-10,1977,2133,1728,1806,846160,23438.0,4041000.0
2000-10-11,1775,1853,1591,1601,308982,20771.0,4041000.0
2000-10-12,1448,1572,1410,1495,288592,19397.0,4041000.0
2000-10-13,1370,1370,1317,1317,391762,17093.0,4041000.0
2000-10-16,1447,1472,1403,1474,132554,19114.0,4041000.0
2000-10-17,1435,1582,1298,1356,414746,17578.0,4041000.0
2000-10-18,1323,1516,1291,1517,361074,19680.0,4041000.0
2000-10-19,1609,1696,1587,1679,729694,21781.0,4041000.0
2000-10-20,1697,1782,1578,1620,776230,21013.0,4041000.0
2000-10-23,1584,1643,1424,1427,360606,18508.0,4041000.0
2000-10-24,1401,1492,1292,1458,326472,18912.0,4041000.0
2000-10-25,1457,1632,1410,1546,483698,20043.0,4041000.0
2000-10-26,1463,1648,1463,1527,562560,19801.0,4041000.0
2000-10-27,1587,1705,1587,1708,759658,22145.0,4041000.0
2000-10-30,1737,1815,1516,1589,1395410,20609.0,4041000.0
2000-10-31,1558,1779,1399,1779,704940,23074.0,4041000.0
2000-11-01,1868,1990,1778,1838,1474724,23842.0,4041000.0
2000-11-02,1834,1943,1760,1850,804400,24004.0,4041000.0
2000-11-03,1883,2070,1836,2072,1037404,26873.0,4041000.0
2000-11-06,2158,2273,1977,2010,1600488,26064.0,4041000.0
2000-11-07,2071,2248,1899,2010,2861690,26064.0,4041000.0
2000-11-08,1996,2155,1961,2068,1024404,26832.0,4041000.0
2000-11-09,2125,2305,2094,2118,1284832,27479.0,4041000.0
2000-11-10,2149,2202,1870,1925,1133792,24973.0,4041000.0
2000-11-13,1899,1983,1778,1853,682644,24044.0,4041000.0
2000-11-14,1888,2075,1888,2075,1591728,26913.0,4041000.0
2000-11-15,2173,2319,2132,2321,1805354,30105.0,4041000.0
2000-11-16,2389,2488,2089,2174,2075706,28206.0,4041000.0
2000-11-17,2241,2335,2055,2240,1086136,29055.0,4041000.0
2000-11-20,2189,2367,2186,2255,982398,29257.0,4041000.0
2000-11-21,2263,2304,1986,2140,702786,27762.0,4041000.0
2000-11-22,2078,2162,1997,2012,582188,26105.0,4041000.0
2000-11-23,1961,2018,1772,1806,655508,23438.0,4041000.0
2000-11-24,1793,1915,1625,1810,773646,23478.0,4041000.0
2000-11-27,1823,2003,1823,1969,507452,25539.0,4041000.0
2000-11-28,1875,1932,1779,1797,353092,23317.0,4041000.0
2000-11-29,1624,1712,1593,1636,333830,21215.0,4041000.0
2000-11-30,1651,1707,1488,1586,292384,20569.0,4041000.0
2000-12-01,1495,1697,1463,1608,413478,20852.0,4041000.0
2000-12-04,1651,1692,1558,1582,257656,20528.0,4041000.0
2000-12-05,1560,1611,1520,1604,240604,20811.0,4041000.0
2000-12-06,1650,1675,1520,1527,322486,19801.0,4041000.0
2000-12-07,1494,1571,1447,1464,177170,18993.0,4041000.0
2000-12-08,1407,1511,1407,1461,238834,18952.0,4041000.0
2000-12-11,1462,1503,1431,1445,204544,18750.0,4041000.0
2000-12-12,1453,1615,1453,1617,838580,20973.0,4041000.0
2000-12-13,1610,1629,1513,1571,468780,20367.0,4041000.0
2000-12-14,1587,1677,1577,1642,629680,21296.0,4041000.0
2000-12-15,1641,1641,1527,1542,181644,20003.0,4041000.0
2000-12-18,1471,1571,1471,1573,170356,20407.0,4041000.0
2000-12-19,1514,1554,1424,1433,164588,18589.0,4041000.0
2000-12-20,1339,1401,1262,1261,152778,16366.0,4041000.0
2000-12-21,1115,1143,1112,1112,259032,14426.0,4041000.0
2000-12-22,1151,1241,1120,1153,609890,14952.0,4041000.0
2000-12-26,1152,1171,1043,1137,155962,14750.0,4041000.0
2001-01-02,1028,1272,1028,1271,243440,16487.0,4041000.0
2001-01-03,1214,1373,1192,1292,424660,16770.0,4041000.0
2001-01-04,1354,1425,1338,1374,394854,17821.0,4041000.0
2001-01-05,1385,1385,1248,1287,232704,16689.0,4041000.0
2001-01-08,1272,1335,1272,1321,192846,17134.0,4041000.0
2001-01-09,1214,1376,1214,1368,360578,17740.0,4041000.0
2001-01-10,1433,1511,1262,1265,480580,16406.0,4041000.0
2001-01-11,1311,1395,1276,1356,281088,17578.0,4041000.0
2001-01-12,1404,1470,1389,1408,521264,18265.0,4041000.0
2001-01-15,1333,1504,1333,1440,668090,18669.0,4041000.0
2001-01-16,1480,1480,1338,1342,300498,17417.0,4041000.0
2001-01-17,1353,1490,1337,1402,498252,18184.0,4041000.0
2001-01-18,1435,1569,1376,1495,1371632,19397.0,4041000.0
2001-01-19,1553,1572,1400,1440,714682,18669.0,4041000.0
2001-01-22,1442,1505,1433,1476,481648,19154.0,4041000.0
2001-01-26,1557,1557,1416,1418,293214,18387.0,4041000.0
2001-01-29,1386,1542,1386,1542,474824,20003.0,4041000.0
2001-01-30,1588,1725,1557,1725,858560,22387.0,4041000.0
2001-01-31,1806,1915,1619,1657,1080790,21498.0,4041000.0
2001-02-01,1710,1710,1588,1589,406844,20609.0,4041000.0
2001-02-02,1572,1650,1544,1564,228172,20286.0,4041000.0
2001-02-05,1501,1572,1385,1418,333926,18387.0,4041000.0
2001-02-06,1438,1462,1400,1464,187000,18993.0,4041000.0
2001-02-07,1462,1494,1369,1402,157932,18184.0,4041000.0
2001-02-08,1329,1506,1329,1418,307794,18387.0,4041000.0
2001-02-09,1450,1487,1422,1445,244412,18750.0,4041000.0
2001-02-12,1432,1482,1425,1484,298128,19235.0,4041000.0
2001-02-13,1553,1650,1510,1589,623168,20609.0,4041000.0
2001-02-14,1603,1603,1534,1573,376828,20407.0,4041000.0
2001-02-15,1603,1760,1572,1761,1361718,22832.0,4041000.0
2001-02-16,1774,1836,1621,1623,1034448,21054.0,4041000.0
2001-02-19,1688,1816,1664,1816,446410,23559.0,4041000.0
2001-02-20,1932,2009,1744,1826,1516904,23680.0,4041000.0
2001-02-21,1782,1853,1700,1729,496976,22428.0,4041000.0
2001-02-22,1728,1734,1556,1598,355128,20730.0,4041000.0
2001-02-23,1596,1643,1584,1645,268120,21336.0,4041000.0
2001-02-26,1653,1815,1653,1708,445608,22145.0,4041000.0
2001-02-27,1709,1743,1587,1598,280408,20730.0,4041000.0
2001-02-28,1525,1584,1525,1573,166412,20407.0,4041000.0
2001-03-02,1525,1571,1388,1402,195918,18184.0,4041000.0
2001-03-05,1338,1448,1311,1436,168830,18629.0,4041000.0
2001-03-06,1420,1457,1414,1423,126434,18467.0,4041000.0
2001-03-07,1438,1525,1438,1474,244386,19114.0,4041000.0
2001-03-08,1480,1539,1480,1520,179368,19720.0,4041000.0
2001-03-09,1504,1506,1461,1467,102510,19033.0,4041000.0
2001-03-12,1432,1457,1400,1412,103702,18306.0,4041000.0
2001-03-13,1311,1348,1276,1312,108866,17013.0,4041000.0
2001-03-14,1400,1400,1342,1378,102660,17861.0,4041000.0
2001-03-15,1343,1343,1271,1333,129044,17295.0,4041000.0
2001-03-16,1333,1408,1333,1356,129476,17578.0,4041000.0
2001-03-19,1370,1448,1329,1361,109560,17659.0,4041000.0
2001-03-20,1369,1434,1353,1364,103504,17700.0,4041000.0
2001-03-21,1323,1379,1323,1368,69832,17740.0,4041000.0
2001-03-22,1374,1374,1334,1333,64208,17295.0,4041000.0
2001-03-23,1342,1363,1336,1356,81684,17578.0,4041000.0
2001-03-26,1373,1410,1354,1393,112240,18063.0,4041000.0
2001-03-27,1400,1400,1337,1387,67050,17982.0,4041000.0
2001-03-28,1401,1430,1371,1399,99394,18144.0,4041000.0
2001-03-29,1369,1400,1369,1402,70098,18184.0,4041000.0
2001-03-30,1432,1568,1428,1536,894742,19922.0,4041000.0
2001-04-02,1587,1603,1447,1536,318576,19922.0,4041000.0
2001-04-03,1509,1658,1400,1492,1340886,19356.0,4041000.0
2001-04-04,1432,1450,1312,1321,466750,17134.0,4041000.0
2001-04-06,1339,1401,1328,1327,221550,17215.0,4041000.0
2001-04-09,1326,1347,1223,1277,183310,16568.0,4041000.0
2001-04-10,1239,1311,1239,1292,162406,16770.0,4041000.0
2001-04-11,1338,1338,1298,1317,85406,17093.0,4041000.0
2001-04-12,1297,1356,1294,1324,103196,17174.0,4041000.0
2001-04-13,1344,1354,1320,1331,104548,17255.0,4041000.0
2001-04-16,1370,1400,1333,1356,113874,17578.0,4041000.0
2001-04-17,1357,1360,1323,1346,55922,17457.0,4041000.0
2001-04-18,1361,1442,1345,1414,237176,18346.0,4041000.0
2001-04-19,1463,1485,1373,1380,229070,17902.0,4041000.0
2001-04-20,1430,1433,1349,1371,135812,17780.0,4041000.0
2001-04-23,1361,1442,1361,1389,290080,18023.0,4041000.0
2001-04-24,1369,1400,1353,1402,71872,18184.0,4041000.0
2001-04-25,1400,1428,1398,1430,114694,18548.0,4041000.0
2001-04-26,1448,1448,1404,1423,102770,18467.0,4041000.0
2001-04-27,1423,1429,1342,1374,87132,17821.0,4041000.0
2001-04-30,1377,1424,1377,1396,76100,18104.0,4041000.0
2001-05-02,1385,1439,1385,1418,143066,18387.0,4041000.0
2001-05-03,1416,1435,1373,1393,96070,18063.0,4041000.0
2001-05-04,1391,1407,1369,1402,69652,18184.0,4041000.0
