씨트리(047920),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-12-21,6175,8012,5695,8012,4633085,84280.0,7023345.0
2015-12-22,8112,9981,7678,7678,2998360,80768.0,7023345.0
2015-12-23,7745,7911,6536,6617,984618,69601.0,7023345.0
2015-12-24,6429,7611,6429,6577,842571,69180.0,7023345.0
2015-12-28,6616,6877,6416,6416,308936,67494.0,7023345.0
2015-12-29,6296,8012,6109,6810,2343941,71638.0,7023345.0
2015-12-30,6843,7444,6676,7044,650051,74096.0,7023345.0
2016-01-04,7144,8546,7144,7545,1279912,79364.0,7023345.0
2016-01-05,7778,8212,7611,8012,483664,84280.0,7023345.0
2016-01-06,8212,8245,7511,7812,663628,82173.0,7023345.0
2016-01-07,7878,8412,7711,8179,680713,86036.0,7023345.0
2016-01-08,8946,9480,8479,8713,1839861,91655.0,7023345.0
2016-01-11,8679,9147,8279,8379,672228,88143.0,7023345.0
2016-01-12,8212,8345,7544,7611,614662,80066.0,7023345.0
2016-01-13,7644,8145,7511,8079,484598,84982.0,7023345.0
2016-01-14,7811,8078,7745,7912,140009,83227.0,7023345.0
2016-01-15,8012,8546,7911,8212,328820,88847.0,7223345.0
2016-01-18,7878,8479,7878,8413,238366,91014.0,7223345.0
2016-01-19,8312,8946,8245,8847,497949,95709.0,7223345.0
2016-01-20,8846,9681,8679,9514,914280,102933.0,7223345.0
2016-01-21,9414,9881,9213,9448,391385,106455.0,7523345.0
2016-01-22,9748,9781,9113,9281,276683,104574.0,7523345.0
2016-01-25,9581,9614,9247,9347,156951,105327.0,7523345.0
2016-01-26,9213,9314,9046,9080,230468,102317.0,7523345.0
2016-01-27,9180,9514,8646,8813,230877,99308.0,7523345.0
2016-01-28,8713,9213,8579,9214,183922,103822.0,7523345.0
2016-01-29,9213,9280,8946,8947,142106,100813.0,7523345.0
2016-02-01,9013,9013,8512,8646,275261,97427.0,7523345.0
2016-02-02,8679,10248,8446,9615,1088086,108336.0,7523345.0
2016-02-03,9480,9814,9247,9414,322985,106079.0,7523345.0
2016-02-04,9414,9647,9013,9047,225151,101941.0,7523345.0
2016-02-05,8980,9113,8512,8780,279402,98932.0,7523345.0
2016-02-11,8279,8512,8012,8346,260131,94042.0,7523345.0
2016-02-12,8078,8245,6670,7812,411269,88023.0,7523345.0
2016-02-15,7945,8212,7444,7611,125564,85766.0,7523345.0
2016-02-16,7611,7945,7611,7678,111419,86518.0,7523345.0
2016-02-17,7678,8112,7544,7578,142520,85390.0,7523345.0
2016-02-18,7778,7778,7177,7244,137311,81628.0,7523345.0
2016-02-19,7277,7344,6877,7278,111623,82004.0,7523345.0
2016-02-22,7210,7511,7010,7378,111231,83133.0,7523345.0
2016-02-23,7511,7544,7077,7144,68392,80500.0,7523345.0
2016-02-24,7010,7311,6977,7011,59934,78995.0,7523345.0
2016-02-25,7077,7244,6843,6877,82866,77490.0,7523345.0
2016-02-26,6910,7110,6843,7011,47254,78995.0,7523345.0
2016-02-29,7043,7110,6676,6677,102822,75233.0,7523345.0
2016-03-02,6910,7010,6643,6777,107164,76362.0,7523345.0
2016-03-03,6776,6910,6676,6744,97562,75986.0,7523345.0
2016-03-04,6603,6877,6516,6810,219168,76738.0,7523345.0
2016-03-07,6810,7110,6776,7044,158221,79371.0,7523345.0
2016-03-08,7077,7144,6743,6844,93517,77114.0,7523345.0
2016-03-09,6776,6877,6743,6877,47274,77490.0,7523345.0
2016-03-10,6977,6977,6776,6810,62265,76738.0,7523345.0
2016-03-11,6776,6943,6743,6944,51071,78243.0,7523345.0
2016-03-14,6977,7010,6776,6777,36752,76362.0,7523345.0
2016-03-15,6877,6877,6589,6677,86798,75233.0,7523345.0
2016-03-16,6776,6877,6643,6677,50322,75233.0,7523345.0
2016-03-17,6676,6810,6650,6777,43791,76362.0,7523345.0
2016-03-18,6743,7077,6676,6810,124458,76738.0,7523345.0
2016-03-21,6810,6943,6670,6677,121802,75233.0,7523345.0
2016-03-22,6676,6743,6643,6677,69187,75233.0,7523345.0
2016-03-23,6650,6710,6609,6630,45949,74707.0,7523345.0
2016-03-24,6630,8612,6609,8613,2999386,97051.0,7523345.0
