대동스틸(048470),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2002-01-10,1450,1450,1450,1450,359127,14500.0,10000000.0
2002-01-11,1450,1470,1320,1360,1684188,13600.0,10000000.0
2002-01-14,1420,1520,1370,1520,971250,15200.0,10000000.0
2002-01-15,1570,1700,1550,1700,2237737,17000.0,10000000.0
2002-01-16,1800,1820,1640,1690,1520243,16900.0,10000000.0
2002-01-17,1620,1890,1620,1890,1628168,18900.0,10000000.0
2002-01-18,1940,1990,1820,1880,1099002,18800.0,10000000.0
2002-01-21,1880,1950,1800,1870,725219,18700.0,10000000.0
2002-01-22,1890,2090,1840,2020,1657306,20200.0,10000000.0
2002-01-23,2020,2250,2010,2160,1454640,21600.0,10000000.0
2002-01-24,2200,2350,2100,2140,861247,21400.0,10000000.0
2002-01-25,2170,2390,2170,2390,739050,23900.0,10000000.0
2002-01-28,2580,2580,2110,2110,1720946,21100.0,10000000.0
2002-01-29,2050,2090,1860,1970,3598150,19700.0,10000000.0
2002-01-30,1950,1950,1820,1840,704145,18400.0,10000000.0
2002-01-31,1840,1930,1830,1860,893657,18600.0,10000000.0
2002-02-01,1820,1900,1790,1800,678734,18000.0,10000000.0
2002-02-04,1760,1890,1750,1750,789934,17500.0,10000000.0
2002-02-05,1710,1790,1710,1760,353823,17600.0,10000000.0
2002-02-06,1750,1860,1750,1820,538483,18200.0,10000000.0
2002-02-07,1820,1990,1770,1850,866904,18500.0,10000000.0
2002-02-08,1830,1940,1730,1740,531047,17400.0,10000000.0
2002-02-14,1770,1940,1750,1940,649822,19400.0,10000000.0
2002-02-15,1880,2030,1870,2000,382163,20000.0,10000000.0
2002-02-18,1990,2150,1980,2120,396111,21200.0,10000000.0
2002-02-19,2170,2210,2050,2190,211014,21900.0,10000000.0
2002-02-20,2150,2190,2110,2160,105829,21600.0,10000000.0
2002-02-21,2280,2300,2060,2140,162081,21400.0,10000000.0
2002-02-22,2050,2390,1990,2390,944350,23900.0,10000000.0
2002-02-25,2450,2670,2310,2630,1011026,26300.0,10000000.0
2002-02-26,2670,2710,2510,2570,388304,25700.0,10000000.0
2002-02-27,2700,2700,2430,2520,113672,25200.0,10000000.0
2002-02-28,2520,2550,2370,2480,102588,24800.0,10000000.0
2002-03-04,2460,2770,2460,2770,560647,27700.0,10000000.0
2002-03-05,2870,3100,2660,2750,390831,27500.0,10000000.0
2002-03-06,2700,2820,2420,2770,341835,27700.0,10000000.0
2002-03-07,2840,3000,2600,2900,237878,29000.0,10000000.0
2002-03-08,2760,3240,2760,2900,875641,29000.0,10000000.0
2002-03-11,2880,3240,2810,3240,911014,32400.0,10000000.0
2002-03-12,3600,3600,2860,2860,653533,28600.0,10000000.0
2002-03-13,2520,2590,2520,2520,679885,25200.0,10000000.0
2002-03-14,2480,2480,2220,2220,1135860,22200.0,10000000.0
2002-03-15,2000,2200,1960,2140,3279553,21400.0,10000000.0
2002-03-18,2200,2220,2110,2140,953096,21400.0,10000000.0
2002-03-19,2080,2170,2080,2080,783901,20800.0,10000000.0
2002-03-20,2090,2140,2080,2100,737139,21000.0,10000000.0
2002-03-21,2020,2290,2020,2190,1320217,21900.0,10000000.0
2002-03-22,2200,2250,2080,2090,837256,20900.0,10000000.0
2002-03-25,2100,2170,2080,2080,652719,20800.0,10000000.0
2002-03-26,2060,2110,1920,1940,664244,19400.0,10000000.0
2002-03-27,1940,2000,1940,1980,393737,19800.0,10000000.0
2002-03-28,1980,2060,1880,1880,498918,18800.0,10000000.0
2002-03-29,1880,1920,1770,1820,424015,18200.0,10000000.0
2002-04-01,1830,1850,1740,1770,296950,17700.0,10000000.0
2002-04-02,1700,1790,1670,1710,423538,17100.0,10000000.0
2002-04-03,1670,1870,1660,1780,740274,17800.0,10000000.0
2002-04-04,1820,1860,1790,1790,347352,17900.0,10000000.0
2002-04-08,1790,1950,1780,1860,535823,18600.0,10000000.0
2002-04-09,1860,1950,1800,1870,378695,18700.0,10000000.0
2002-04-10,1890,1950,1800,1800,612721,18000.0,10000000.0
2002-04-11,1800,1860,1710,1720,378285,17200.0,10000000.0
2002-04-12,1710,1740,1690,1730,202963,17300.0,10000000.0
2002-04-15,1740,1760,1710,1720,178007,17200.0,10000000.0
2002-04-16,1690,1730,1670,1710,383359,17100.0,10000000.0
2002-04-17,1720,1780,1700,1700,424127,17000.0,10000000.0
2002-04-18,1700,1720,1670,1680,279896,16800.0,10000000.0
2002-04-19,1660,1690,1600,1600,236595,16000.0,10000000.0
2002-04-22,1560,1590,1410,1450,415391,14500.0,10000000.0
