엔피케이(048830),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2000-10-12,1933,1933,1933,1934,418550,19888.0,880000.0
2000-10-13,2162,2162,2162,2165,1696530,22264.0,880000.0
2000-10-16,2424,2424,2424,2422,13520,24904.0,880000.0
2000-10-17,2710,2710,2710,2709,15590,27852.0,880000.0
2000-10-18,3030,3030,2386,2388,2476810,24552.0,880000.0
2000-10-19,2388,2388,2106,2106,3792550,21648.0,880000.0
2000-10-20,2147,2337,1946,2110,3777770,21692.0,880000.0
2000-10-23,2053,2333,1954,2114,2512170,21736.0,880000.0
2000-10-24,2053,2208,1993,1994,1383660,20504.0,880000.0
2000-10-25,2024,2130,1928,1994,842940,20504.0,880000.0
2000-10-26,1942,2044,1904,1930,729580,19844.0,880000.0
2000-10-27,1967,2159,1890,2162,1776220,22220.0,880000.0
2000-10-30,2181,2208,1904,1905,1087190,19580.0,880000.0
2000-10-31,1795,1855,1674,1708,671450,17556.0,880000.0
2000-11-01,1726,1812,1692,1721,493630,17688.0,880000.0
2000-11-02,1685,1750,1638,1674,345480,17204.0,880000.0
2000-11-03,1694,1867,1694,1780,707060,18304.0,880000.0
2000-11-06,1749,1856,1749,1806,480500,18568.0,880000.0
2000-11-07,1839,1839,1720,1741,372480,17908.0,880000.0
2000-11-08,1741,1947,1711,1948,1234060,20020.0,880000.0
2000-11-09,2075,2130,1882,1994,1330530,20504.0,880000.0
2000-11-10,1994,2097,1822,1875,1034040,19272.0,880000.0
2000-11-13,1814,1937,1754,1857,390540,19096.0,880000.0
2000-11-14,1805,2080,1805,2080,550090,21384.0,880000.0
2000-11-15,2191,2329,2165,2328,809560,23936.0,880000.0
2000-11-16,2498,2605,2137,2252,1758350,23144.0,880000.0
2000-11-17,2251,2523,2166,2520,591010,25916.0,880000.0
2000-11-20,2821,2821,2747,2820,93910,28996.0,880000.0
2000-11-21,2824,3055,2521,2747,2393820,28248.0,880000.0
2000-11-22,2824,3063,2614,2662,2459670,27368.0,880000.0
2000-11-23,2653,2653,2344,2345,1036060,24112.0,880000.0
2000-11-24,2206,2398,2068,2226,1084820,22880.0,880000.0
2000-11-27,2257,2487,2257,2490,1650520,25608.0,880000.0
2000-11-28,2525,2550,2195,2195,1457540,22572.0,880000.0
2000-11-29,1968,2053,1933,1934,648210,19888.0,880000.0
2000-11-30,1856,2002,1723,1815,792420,18656.0,880000.0
2000-12-01,1754,2028,1681,1960,920540,20152.0,880000.0
2000-12-04,1926,2022,1772,1785,655200,18348.0,880000.0
2000-12-05,1783,1959,1715,1953,603590,20064.0,880000.0
2000-12-06,1986,2013,1755,1780,775140,18304.0,880000.0
2000-12-07,1711,1813,1702,1729,405260,17776.0,880000.0
2000-12-08,1796,1933,1745,1934,755800,19888.0,880000.0
2000-12-11,1950,2062,1882,1985,638360,20416.0,880000.0
2000-12-12,1984,2130,1899,1968,445830,20240.0,880000.0
2000-12-13,1942,2097,1933,2046,356340,21032.0,880000.0
2000-12-14,2018,2287,1975,2289,718080,23540.0,880000.0
2000-12-15,2311,2562,2311,2563,807110,26356.0,880000.0
2000-12-18,2640,2866,2323,2867,624870,29480.0,880000.0
2000-12-19,2926,3209,2926,3208,83020,33000.0,880000.0
2000-12-20,3592,3592,3301,3594,587960,36960.0,880000.0
2000-12-21,3592,4004,3507,3594,912520,36960.0,880000.0
2000-12-22,3678,3832,3234,3422,632560,35200.0,880000.0
2000-12-26,3340,3454,3014,3013,196860,30976.0,880000.0
2001-01-02,2653,3372,2653,3184,186810,32736.0,880000.0
2001-01-03,3295,3565,2870,3565,129130,36652.0,880000.0
2001-01-04,3989,3989,3989,3989,32140,41008.0,880000.0
2001-01-05,4459,4459,4296,4459,219800,45848.0,880000.0
2001-01-08,4534,4988,4406,4493,219680,46200.0,880000.0
2001-01-09,4287,4621,4107,4375,266040,44968.0,880000.0
2001-01-10,4450,4793,3851,3852,287410,39600.0,880000.0
2001-01-11,3858,4313,3850,4312,420950,44352.0,880000.0
2001-01-12,4492,4826,4492,4827,213560,49632.0,880000.0
2001-01-15,5390,5398,4824,5400,427640,55528.0,880000.0
2001-01-16,5402,5607,5188,5222,105050,53680.0,880000.0
2001-01-17,5092,5556,4707,5135,95230,52800.0,880000.0
2001-01-18,4964,5521,4964,5307,71850,54560.0,880000.0
2001-01-19,5518,5937,4715,5940,472280,61072.0,880000.0
2001-01-22,6162,6649,5990,6648,86890,68376.0,880000.0
2001-01-26,6676,7445,6676,7446,68940,76560.0,880000.0
2001-01-29,7960,8336,7532,8336,61280,85712.0,880000.0
2001-01-30,8558,9327,8344,9328,103550,95920.0,880000.0
2001-01-31,10097,10097,8215,9328,103380,95920.0,880000.0
2001-02-01,8223,10440,8223,10270,116340,105600.0,880000.0
2001-02-02,10268,11295,9841,10442,81430,107360.0,880000.0
2001-02-05,10439,10652,9197,9200,94890,94600.0,880000.0
2001-02-06,8728,10055,8472,9114,95090,93720.0,880000.0
2001-02-07,9242,10183,9242,10186,120980,104720.0,880000.0
2001-02-08,11297,11382,10827,11383,144570,117040.0,880000.0
2001-02-09,11553,12237,10053,10057,327440,103400.0,880000.0
2001-02-12,8901,9586,8857,8859,128250,91080.0,880000.0
2001-02-13,8987,9415,7831,7832,1267860,80520.0,880000.0
2001-02-14,7917,7959,6898,6898,1505780,70928.0,880000.0
2001-02-15,6642,7019,6077,6564,5676630,67496.0,880000.0
2001-02-16,6639,7093,6288,6531,3009720,67144.0,880000.0
2001-02-19,6527,6741,6330,6504,1429050,66880.0,880000.0
2001-02-20,6641,6716,6032,6153,1428810,63272.0,880000.0
2001-02-21,5990,6239,5416,5486,1611610,56408.0,880000.0
2001-02-22,5390,5570,4833,4835,1440090,49720.0,880000.0
2001-02-23,4723,5408,4723,5409,1939140,55616.0,880000.0
2001-02-26,5391,5760,4843,5042,2361350,51832.0,880000.0
2001-02-27,5145,5221,4442,4442,1323550,45672.0,880000.0
2001-02-28,4363,4836,4134,4433,1838420,45584.0,880000.0
2001-03-02,4482,4561,3908,3946,863710,40568.0,880000.0
2001-03-05,3850,4354,3695,4151,1322490,42680.0,880000.0
2001-03-06,3712,4277,3712,3946,1406940,40568.0,880000.0
2001-03-07,4022,4417,3963,4416,1614910,45408.0,880000.0
2001-03-08,4535,4936,4510,4708,2249510,48400.0,880000.0
2001-03-09,4622,4665,4348,4416,1252870,45408.0,880000.0
2001-03-12,4237,4323,3896,3895,962330,40040.0,880000.0
2001-03-13,3678,3730,3426,3427,1082760,35244.0,880000.0
2001-03-14,3559,3671,3509,3551,805200,36520.0,880000.0
2001-03-15,3166,3465,3166,3467,810850,35640.0,880000.0
2001-03-16,3342,3815,3342,3594,1572170,36960.0,880000.0
2001-03-19,3517,3696,3469,3493,713090,35904.0,880000.0
2001-03-20,3601,3704,3499,3551,532660,36520.0,880000.0
2001-03-21,3509,3629,3422,3509,725670,36080.0,880000.0
2001-03-22,3576,3927,3550,3928,589500,40392.0,880000.0
2001-03-23,4110,4144,3621,3664,1596710,37664.0,880000.0
2001-03-26,3764,3807,3558,3620,529940,37224.0,880000.0
2001-03-27,3680,3842,3603,3646,688780,37488.0,880000.0
2001-03-28,3592,3739,3353,3385,697670,34804.0,880000.0
2001-03-29,3424,3457,3214,3298,365320,33924.0,880000.0
2001-03-30,3250,3391,3008,3271,481350,33616.0,880000.0
2001-04-02,3217,3250,3088,3168,329980,32560.0,880000.0
2001-04-03,3088,3098,2866,2867,383180,29480.0,880000.0
2001-04-04,2747,2953,2723,2825,447860,29040.0,880000.0
2001-04-06,2909,3162,2909,3030,1156860,31152.0,880000.0
2001-04-09,2917,2977,2779,2782,429070,28600.0,880000.0
2001-04-10,2798,2901,2704,2731,375110,28072.0,880000.0
2001-04-11,2833,2865,2745,2791,319040,28688.0,880000.0
2001-04-12,2879,3124,2807,3026,1119140,31108.0,880000.0
2001-04-13,3026,3210,2945,2995,705790,30800.0,880000.0
2001-04-16,2960,2965,2806,2807,529540,28864.0,880000.0
2001-04-17,2805,2878,2703,2777,365190,28556.0,880000.0
2001-04-18,2779,2934,2779,2909,520010,29920.0,880000.0
2001-04-19,3071,3121,2885,2995,580240,30800.0,880000.0
2001-04-20,3038,3321,2870,3208,1279780,33000.0,880000.0
2001-04-23,3324,3592,3301,3594,1517710,36960.0,880000.0
2001-04-24,3509,3765,3362,3467,1168010,35640.0,880000.0
2001-04-25,3465,3633,3432,3467,567830,35640.0,880000.0
2001-04-26,3508,3747,3464,3620,863560,37224.0,880000.0
2001-04-27,3637,3662,3448,3525,333390,36256.0,880000.0
2001-04-30,3526,3697,3526,3570,508190,36696.0,880000.0
2001-05-02,3638,3638,3482,3497,489630,35948.0,880000.0
2001-05-03,3587,3592,3357,3422,488380,35200.0,880000.0
2001-05-04,3379,3457,3295,3328,298520,34232.0,880000.0
2001-05-07,3339,3401,3294,3356,338540,34496.0,880000.0
2001-05-08,3359,3758,3314,3758,1270800,38632.0,880000.0
2001-05-09,3754,3866,3377,3381,834510,34760.0,880000.0
2001-05-10,3398,3785,3339,3784,967000,38896.0,880000.0
2001-05-11,3997,4237,3902,4067,2103900,41800.0,880000.0
2001-05-14,3937,4536,3859,4281,911120,44000.0,880000.0
2001-05-15,4234,4653,4201,4210,1394320,43296.0,880000.0
2001-05-16,4253,4716,4253,4717,1182570,48488.0,880000.0
2001-05-17,4995,5277,4807,5280,690820,54296.0,880000.0
2001-05-18,5641,5914,4964,5127,2734530,52712.0,880000.0
2001-05-21,5296,5732,5072,5734,1902060,58960.0,880000.0
2001-05-22,6034,6360,5478,5649,2581870,58080.0,880000.0
2001-05-23,5648,5974,5546,5674,1666460,58344.0,880000.0
2001-05-24,5664,5664,4996,5058,1239030,52008.0,880000.0
2001-05-25,5073,5261,4715,4938,1122850,50776.0,880000.0
2001-05-28,4725,4964,4707,4725,541970,48576.0,880000.0
2001-05-29,4706,5091,4706,4792,886190,49280.0,880000.0
2001-05-30,4832,5081,4800,4955,877200,50952.0,880000.0
2001-05-31,4954,4989,4552,4622,517680,47520.0,880000.0
2001-06-01,4622,4827,4373,4442,630760,45672.0,880000.0
2001-06-04,4442,4493,4151,4236,477190,43560.0,880000.0
2001-06-05,4167,4194,3826,3869,460770,39776.0,880000.0
2001-06-07,3875,4320,3875,4218,834870,43384.0,880000.0
2001-06-08,4236,4381,4021,4173,784210,42900.0,880000.0
2001-06-11,4080,4260,3935,4022,254640,41360.0,880000.0
2001-06-12,4020,4107,3961,4004,267060,41184.0,880000.0
2001-06-13,3952,4320,3952,4218,595610,43384.0,880000.0
2001-06-14,4140,4183,4046,4134,261820,42504.0,880000.0
2001-06-15,4107,4235,4063,4134,247260,42504.0,880000.0
2001-06-18,4115,4183,3995,4022,201790,41360.0,880000.0
2001-06-19,3979,4020,3893,3937,238100,40480.0,880000.0
2001-06-20,3935,4003,3636,3723,273540,38280.0,880000.0
2001-06-21,3678,3806,3609,3723,236390,38280.0,880000.0
2001-06-22,3678,3824,3592,3594,191450,36960.0,880000.0
2001-06-25,3551,3594,3461,3462,270790,35596.0,880000.0
2001-06-26,3460,3490,3200,3208,247100,33000.0,880000.0
2001-06-27,3232,3420,3218,3338,327720,34320.0,880000.0
2001-06-28,3422,3456,3230,3271,218450,33616.0,880000.0
2001-06-29,3294,3379,3268,3320,142260,34144.0,880000.0
2001-07-02,3319,3716,3319,3718,565400,38236.0,880000.0
2001-07-03,3726,4038,3642,3808,978050,39160.0,880000.0
2001-07-04,3852,3955,3728,3895,366650,40040.0,880000.0
2001-07-05,3851,3910,3748,3748,249540,38544.0,880000.0
2001-07-06,3602,3705,3354,3405,276650,35024.0,880000.0
2001-07-09,3132,3294,3038,3081,204980,31680.0,880000.0
2001-07-10,3165,3249,3144,3172,204080,32604.0,880000.0
2001-07-11,2837,3062,2837,2978,227680,30624.0,880000.0
2001-07-12,3040,3193,3040,3194,196740,32824.0,880000.0
2001-07-13,3252,3335,3005,3004,213840,30888.0,880000.0
2001-07-16,2867,3116,2867,2995,122570,30800.0,880000.0
2001-07-18,3039,3251,2968,3090,341710,31768.0,880000.0
2001-07-19,3005,3154,2936,2995,220510,30800.0,880000.0
2001-07-20,2995,3098,2956,3021,146740,31064.0,880000.0
2001-07-23,3021,3354,3021,3226,655870,33176.0,880000.0
2001-07-24,3302,3399,3078,3252,526750,33440.0,880000.0
2001-07-25,3294,3354,3182,3208,464710,33000.0,880000.0
2001-07-26,3251,3482,3251,3467,654430,35640.0,880000.0
2001-07-27,3516,3628,3370,3398,524660,34936.0,880000.0
2001-07-30,3465,3465,3209,3226,380680,33176.0,880000.0
2001-07-31,3249,3293,3208,3252,272460,33440.0,880000.0
2001-08-01,3252,3367,3252,3312,320000,34056.0,880000.0
2001-08-02,3340,3465,3277,3303,396490,33968.0,880000.0
2001-08-03,3310,3346,3234,3252,209090,33440.0,880000.0
2001-08-06,3280,3353,3258,3279,193430,33704.0,880000.0
2001-08-07,3250,3285,3226,3239,120880,33308.0,880000.0
2001-08-08,3246,3294,3200,3208,140450,33000.0,880000.0
2001-08-09,3149,3183,3063,3090,164560,31768.0,880000.0
2001-08-10,3062,3192,3062,3119,153940,32076.0,880000.0
2001-08-13,3124,3183,3088,3090,104030,31768.0,880000.0
2001-08-14,3093,3153,3071,3098,129580,31856.0,880000.0
2001-08-16,3080,3080,2969,2987,157720,30712.0,880000.0
2001-08-17,3004,3025,2953,2962,139760,30448.0,880000.0
2001-08-20,2840,2959,2840,2935,91480,30184.0,880000.0
2001-08-21,2951,3020,2934,2949,80200,30316.0,880000.0
2001-08-22,2841,2922,2841,2881,108370,29612.0,880000.0
2001-08-23,2909,2968,2857,2876,106250,29568.0,880000.0
2001-08-24,2901,2901,2713,2816,124570,28952.0,880000.0
2001-08-27,2845,3054,2742,2962,245090,30448.0,880000.0
