시너지이노베이션(048870),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2004-08-13,37210,39781,35450,38496,949374,163018.0,5730000.0
2004-08-16,38766,38968,34503,37278,324494,157862.0,5730000.0
2004-08-17,38158,38158,35182,35588,171980,150699.0,5730000.0
2004-08-18,34910,37211,33219,35317,420786,149553.0,5730000.0
2004-08-19,36535,38159,35791,37821,174957,160154.0,5730000.0
2004-08-20,37010,38025,36670,38024,54481,161013.0,5730000.0
2004-08-23,38023,39647,37143,37684,103466,159580.0,5730000.0
2004-08-24,37954,40186,37886,39376,204556,166743.0,5730000.0
2004-08-25,40120,40864,38969,40594,114725,182174.0,6072470.0
2004-08-26,41541,42151,40459,41339,162693,185514.0,6072470.0
2004-08-27,41541,42760,41541,41948,162517,188247.0,6072470.0
2004-08-30,42351,42351,39917,40188,118861,180352.0,6072470.0
2004-08-31,39242,40391,38564,39716,123332,178227.0,6072470.0
2004-09-01,39309,41271,38971,41271,215177,185210.0,6072470.0
2004-09-02,41271,42354,41068,41474,87859,186121.0,6072470.0
2004-09-03,41746,43978,41474,41677,259473,187032.0,6072470.0
2004-09-06,42150,42421,40865,41136,54660,184603.0,6072470.0
2004-09-07,41136,41609,39714,40121,70371,180049.0,6072470.0
2004-09-08,39783,42624,39783,41474,115208,186121.0,6072470.0
2004-09-09,41542,41949,41203,41474,78063,186121.0,6072470.0
2004-09-10,42218,44385,41542,44384,219883,199177.0,6072470.0
2004-09-13,46005,49658,45329,47766,435624,214358.0,6072470.0
2004-09-14,47765,48375,46414,46819,170337,223314.0,6454148.0
2004-09-15,47359,48983,46749,47901,147180,228477.0,6454148.0
2004-09-16,48037,49186,47901,48172,122648,229768.0,6454148.0
2004-09-17,48171,53449,48171,51825,373574,247194.0,6454148.0
2004-09-20,53789,54735,52367,52502,195676,250421.0,6454148.0
2004-09-21,52704,54936,52704,53449,139110,254939.0,6454148.0
2004-09-22,54127,55007,51015,51081,118184,243644.0,6454148.0
2004-09-23,50470,51080,48373,49390,115071,235576.0,6454148.0
2004-09-24,49389,52164,49389,51150,86792,243967.0,6454148.0
2004-09-30,51148,51960,48983,49796,75487,237513.0,6454148.0
2004-10-01,49120,50541,49120,50067,75425,238803.0,6454148.0
2004-10-04,51553,51758,50539,51419,106866,245258.0,6454148.0
2004-10-05,51352,51961,50472,51150,88433,243967.0,6454148.0
2004-10-06,51148,51350,47629,48510,167190,231381.0,6454148.0
2004-10-07,48305,48507,44517,45736,244745,218150.0,6454148.0
2004-10-08,45195,47022,44923,46954,121452,223959.0,6454148.0
2004-10-11,46005,48374,45803,47969,113531,228800.0,6454148.0
2004-10-12,47832,49658,47832,48578,165065,231704.0,6454148.0
2004-10-13,48849,53787,48712,52637,396157,251066.0,6454148.0
2004-10-14,52231,54804,51692,52773,196803,256497.0,6576848.0
2004-10-15,51892,52907,50200,51419,73664,249920.0,6576848.0
2004-10-18,50742,51148,48575,49390,115428,240055.0,6576848.0
2004-10-19,49998,52095,49795,51825,113013,251893.0,6576848.0
2004-10-20,51148,51689,48982,49390,82902,240055.0,6576848.0
2004-10-21,49524,50607,47361,48037,102168,233478.0,6576848.0
2004-10-22,48037,49659,47969,48984,174337,238082.0,6576848.0
2004-10-25,48305,49591,47629,48713,113724,236767.0,6576848.0
2004-10-26,48712,49524,47834,48037,127173,233478.0,6576848.0
2004-10-27,48306,48915,45803,47089,154093,228874.0,6576848.0
2004-10-28,47763,48644,47224,48578,138139,236109.0,6576848.0
