대원미디어(048910),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-07-31,9507,9507,9507,9507,236236,86372.0,5720000.0
2001-08-01,8752,10263,8374,9444,474364,85800.0,5720000.0
2001-08-02,9444,10578,9098,10577,169537,96096.0,5720000.0
2001-08-03,11239,11837,11019,11837,275730,107536.0,5720000.0
2001-08-06,12404,13254,12215,13253,232627,120406.0,5720000.0
2001-08-07,14828,14828,14293,14827,163610,134706.0,5720000.0
2001-08-08,16244,16591,14481,15268,509819,138710.0,5720000.0
2001-08-09,14576,16969,14261,15300,329934,138996.0,5720000.0
2001-08-10,15741,17126,15552,17125,317699,155584.0,5720000.0
2001-08-13,18259,19172,17409,18070,617838,164164.0,5720000.0
2001-08-14,18070,18448,16685,17566,253170,159588.0,5720000.0
2001-08-16,17441,17535,15678,15677,142509,142428.0,5720000.0
2001-08-17,15678,16307,14261,14859,236431,134992.0,5720000.0
2001-08-20,14230,15615,14230,15237,176733,138424.0,5720000.0
2001-08-21,15741,16276,14922,15174,181150,137852.0,5720000.0
2001-08-22,14859,15017,14387,14985,219069,136136.0,5720000.0
2001-08-23,15646,15646,14261,14292,160290,129844.0,5720000.0
2001-08-24,13915,14293,12907,13096,190815,118976.0,5720000.0
2001-08-27,13537,14293,12970,14292,188200,129844.0,5720000.0
2001-08-28,13978,14985,13443,14575,211672,132418.0,5720000.0
2001-08-29,14167,14607,13537,13662,141997,124124.0,5720000.0
2001-08-30,13096,13978,12372,13411,154403,121836.0,5720000.0
2001-08-31,12719,13694,12719,13537,131980,122980.0,5720000.0
2001-09-03,13852,14922,13789,14922,194095,135564.0,5720000.0
2001-09-04,15048,15867,14481,14922,329858,135564.0,5720000.0
2001-09-05,15300,15394,14859,14953,89034,135850.0,5720000.0
2001-09-06,15111,16181,15111,15740,255446,143000.0,5720000.0
2001-09-07,15426,16119,15174,15898,173561,144430.0,5720000.0
2001-09-10,15930,16622,15646,15646,251274,142142.0,5720000.0
2001-09-11,15678,15741,14922,15425,157644,140140.0,5720000.0
2001-09-12,13600,13789,13600,13600,116652,123552.0,5720000.0
2001-09-13,13600,14481,13443,14481,194013,131560.0,5720000.0
2001-09-14,14481,15174,13411,14418,256080,130988.0,5720000.0
2001-09-17,14167,14450,12719,12718,101177,115544.0,5720000.0
2001-09-18,13285,14230,13285,14229,217850,129272.0,5720000.0
2001-09-19,14356,15930,14104,15425,392878,140140.0,5720000.0
2001-09-20,14796,16496,14481,16055,239593,145860.0,5720000.0
2001-09-21,15867,16591,15363,15425,256810,140140.0,5720000.0
2001-09-24,15772,15930,15111,15331,240594,139282.0,5720000.0
2001-09-25,15772,15898,13506,13662,270464,124124.0,5720000.0
2001-09-26,13852,14167,13537,13788,129392,125268.0,5720000.0
2001-09-27,13537,13757,13159,13757,87253,124982.0,5720000.0
2001-09-28,13757,14356,13757,14166,124123,128700.0,5720000.0
2001-10-04,14481,14796,14041,14166,195646,128700.0,5720000.0
2001-10-05,14293,15143,14135,14135,456379,128414.0,5720000.0
2001-10-08,13789,14167,13506,13851,225197,125840.0,5720000.0
2001-10-09,14041,14387,13820,14229,330269,129272.0,5720000.0
2001-10-10,14230,14356,13222,13411,204837,121836.0,5720000.0
2001-10-11,13820,14041,13380,13788,252376,125268.0,5720000.0
2001-10-12,14041,15048,13915,14796,605674,134420.0,5720000.0
2001-10-15,15237,15772,14954,15425,724389,140140.0,5720000.0
2001-10-16,15237,16370,14954,15961,691825,145002.0,5720000.0
2001-10-17,16559,17189,16244,16811,811251,152724.0,5720000.0
2001-10-18,16307,17409,16244,16748,523512,152152.0,5720000.0
2001-10-19,16748,18731,16748,18574,850756,168740.0,5720000.0
2001-10-22,18826,18983,17630,18101,737206,164450.0,5720000.0
2001-10-23,18070,18259,16748,17220,528483,156442.0,5720000.0
2001-10-24,17000,18196,17000,18164,392439,165022.0,5720000.0
2001-10-25,18070,19959,17881,18574,824516,168740.0,5720000.0
2001-10-26,18952,18952,17944,18762,240587,170456.0,5720000.0
2001-10-29,18763,19644,18574,18762,420528,170456.0,5720000.0
2001-10-30,18196,18480,17000,17000,327665,154440.0,5720000.0
2001-10-31,16780,17409,16780,17125,199029,155584.0,5720000.0
2001-11-01,17126,17756,17031,17377,180195,157872.0,5720000.0
2001-11-02,17441,17567,16748,17094,191455,155298.0,5720000.0
2001-11-05,17000,18070,17000,17629,215880,160160.0,5720000.0
2001-11-06,17819,18637,17441,18637,156691,169312.0,5720000.0
2001-11-07,18196,18385,17787,17881,164761,162448.0,5720000.0
2001-11-08,17881,18070,17504,17944,150528,163020.0,5720000.0
2001-11-09,17756,17881,16685,17125,187886,155584.0,5720000.0
2001-11-12,16843,17126,16181,16370,168557,148720.0,5720000.0
2001-11-13,16370,16717,16119,16370,163517,148720.0,5720000.0
2001-11-14,16465,16937,16244,16464,213575,149578.0,5720000.0
2001-11-15,16087,16244,14513,14512,469354,131846.0,5720000.0
2001-11-16,14513,14544,13663,13946,399909,126698.0,5720000.0
2001-11-19,13978,14419,12939,13537,293783,122980.0,5720000.0
2001-11-20,13726,14450,13380,13914,374461,126412.0,5720000.0
2001-11-21,13915,14576,13663,14229,223517,129272.0,5720000.0
2001-11-22,14387,14481,13883,14009,149577,127270.0,5720000.0
2001-11-23,13978,14135,13443,13725,302861,124696.0,5720000.0
2001-11-26,13726,13978,12183,12561,470604,114114.0,5720000.0
2001-11-27,12467,12970,12467,12561,233742,114114.0,5720000.0
2001-11-28,12530,12844,11081,11081,244594,100672.0,5720000.0
2001-11-29,11019,12183,10326,11900,446642,108108.0,5720000.0
2001-11-30,11522,13033,11522,12781,288909,116116.0,5720000.0
2001-12-03,12656,13254,12372,13159,221990,119548.0,5720000.0
2001-12-04,13348,13506,12656,13096,194617,118976.0,5720000.0
2001-12-05,13411,13411,12939,13096,158078,118976.0,5720000.0
2001-12-06,13033,14639,12341,14638,676037,132990.0,5720000.0
2001-12-07,15048,15237,13915,13914,693034,126412.0,5720000.0
2001-12-10,14293,15300,14104,14733,650826,133848.0,5720000.0
2001-12-11,14481,15080,14261,14355,317655,130416.0,5720000.0
2001-12-12,14419,14639,13663,13788,294072,125268.0,5720000.0
2001-12-13,13631,13852,12907,13505,244883,122694.0,5720000.0
2001-12-14,13222,14135,13222,13883,207788,126126.0,5720000.0
2001-12-17,13883,14104,13128,13222,148495,120120.0,5720000.0
2001-12-18,13222,13474,12089,12435,175062,112970.0,5720000.0
2001-12-19,12278,12467,11806,12151,138332,110396.0,5720000.0
2001-12-20,12278,12530,12089,12277,78174,111540.0,5720000.0
2001-12-21,11837,12341,11806,12277,102247,111540.0,5720000.0
2001-12-24,12152,12372,11931,11994,57717,108966.0,5720000.0
2001-12-26,11963,12152,11207,11396,95064,103532.0,5720000.0
2001-12-27,11396,11806,11270,11585,67916,105248.0,5720000.0
2001-12-28,11774,12907,11774,12907,102992,117260.0,5720000.0
2002-01-02,12781,12970,12530,12907,90038,117260.0,5720000.0
2002-01-03,12907,13474,12656,13190,149306,119834.0,5720000.0
2002-01-04,13474,13600,13128,13159,117832,119548.0,5720000.0
2002-01-07,13191,13191,12530,12655,129456,114972.0,5720000.0
2002-01-08,12530,12530,12026,12025,132790,109252.0,5720000.0
2002-01-09,12026,12781,11994,12435,142050,112970.0,5720000.0
2002-01-10,12341,13096,12215,12970,173305,117832.0,5720000.0
2002-01-11,13159,13852,13033,13222,397715,120120.0,5720000.0
2002-01-14,13002,13474,12719,13411,132252,121836.0,5720000.0
2002-01-15,13285,13694,12907,13600,184213,123552.0,5720000.0
2002-01-16,13380,13600,13002,13222,124472,120120.0,5720000.0
2002-01-17,12907,13222,12656,13222,90660,120120.0,5720000.0
2002-01-18,13222,13600,12907,12907,108442,117260.0,5720000.0
2002-01-21,12687,12970,12467,12718,57798,115544.0,5720000.0
2002-01-22,12656,12844,12467,12466,69626,113256.0,5720000.0
2002-01-23,12593,12656,12246,12309,118025,111826.0,5720000.0
2002-01-24,12341,12593,12309,12403,103900,112684.0,5720000.0
2002-01-25,12341,12656,12278,12529,90120,113828.0,5720000.0
2002-01-28,12656,13569,12656,13411,250663,121836.0,5720000.0
2002-01-29,13915,14167,13159,13348,377303,121264.0,5720000.0
2002-01-30,13033,13128,12498,12938,189007,117546.0,5720000.0
2002-01-31,13159,13883,13033,13222,310007,120120.0,5720000.0
2002-02-01,13537,14135,13222,13977,524453,126984.0,5720000.0
2002-02-04,14607,14765,13537,13851,508859,125840.0,5720000.0
2002-02-05,13726,13789,13128,13411,180898,121836.0,5720000.0
2002-02-06,13222,13694,13128,13222,165691,120120.0,5720000.0
2002-02-07,12970,13096,12530,12529,176954,113828.0,5720000.0
2002-02-08,11931,12813,11931,12592,93215,114400.0,5720000.0
2002-02-14,12656,12907,12435,12592,91793,114400.0,5720000.0
2002-02-15,12593,13191,12593,12907,126351,117260.0,5720000.0
2002-02-18,12907,13411,12656,12655,161976,114972.0,5720000.0
2002-02-19,12907,12907,12309,12592,130662,114400.0,5720000.0
2002-02-20,12467,12593,12152,12529,175221,113828.0,5720000.0
2002-02-21,12656,12656,12246,12246,99150,111254.0,5720000.0
2002-02-22,12152,12435,12152,12246,58711,111254.0,5720000.0
2002-02-25,12278,12467,12215,12214,62617,110968.0,5720000.0
2002-02-26,12246,12372,11900,12025,109637,109252.0,5720000.0
2002-02-27,12152,12372,11963,12151,114077,110396.0,5720000.0
2002-02-28,12152,12278,11900,12088,92157,109824.0,5720000.0
2002-03-04,12215,12656,11837,12529,238986,113828.0,5720000.0
2002-03-05,12656,13096,12467,12592,241292,114400.0,5720000.0
2002-03-06,13033,13537,12844,13001,390164,118118.0,5720000.0
2002-03-07,13159,13631,12781,13096,421629,118976.0,5720000.0
2002-03-08,13096,13506,12970,13285,156572,120692.0,5720000.0
2002-03-11,13348,13946,13254,13788,514082,125268.0,5720000.0
2002-03-12,13789,14481,13254,14481,400856,131560.0,5720000.0
2002-03-13,14167,14419,13915,13914,195853,126412.0,5720000.0
2002-03-14,13789,13852,13159,13631,246258,123838.0,5720000.0
2002-03-15,13663,13978,13569,13788,212546,125268.0,5720000.0
2002-03-18,14167,15048,13474,15048,648521,136708.0,5720000.0
2002-03-19,15426,15678,14702,14827,508299,134706.0,5720000.0
2002-03-20,14954,15017,14041,14261,339479,129558.0,5720000.0
2002-03-21,13852,14356,13663,14072,323675,127842.0,5720000.0
2002-03-22,14072,14607,13883,14355,411396,130416.0,5720000.0
2002-03-25,14356,15048,14261,14261,364151,129558.0,5720000.0
2002-03-26,14104,14419,13663,13820,219886,125554.0,5720000.0
2002-03-27,13978,14230,13820,13914,157647,126412.0,5720000.0
2002-03-28,13978,14261,13159,13285,253914,120692.0,5720000.0
2002-03-29,13159,13411,12844,12970,193006,117832.0,5720000.0
2002-04-01,13537,14261,13411,13820,400507,125554.0,5720000.0
2002-04-02,14104,14135,13191,13631,195477,123838.0,5720000.0
2002-04-03,13506,13631,13222,13222,114351,120120.0,5720000.0
2002-04-04,13789,14796,13537,14575,573097,132418.0,5720000.0
2002-04-08,14419,14765,14072,14764,262541,134134.0,5720000.0
2002-04-09,14922,15174,13600,13600,641101,123552.0,5720000.0
2002-04-10,13285,13852,13285,13316,168685,120978.0,5720000.0
2002-04-11,13537,13915,13411,13788,187339,125268.0,5720000.0
2002-04-12,13380,13631,13222,13505,114165,122694.0,5720000.0
2002-04-15,13726,14387,13474,14040,363178,127556.0,5720000.0
2002-04-16,14104,14324,13726,14103,173565,128128.0,5720000.0
2002-04-17,14293,14702,13978,13977,405576,126984.0,5720000.0
2002-04-18,13852,14041,13380,13474,303554,122408.0,5720000.0
2002-04-19,13474,13757,12467,12529,338345,113828.0,5720000.0
2002-04-22,12530,12719,11176,11648,294737,105820.0,5720000.0
2002-04-23,11207,11680,11144,11396,129718,103532.0,5720000.0
2002-04-24,11648,11774,10830,11144,149128,101244.0,5720000.0
2002-04-25,10767,11207,10672,10955,116491,99528.0,5720000.0
2002-04-26,11113,11302,10893,11018,119019,100100.0,5720000.0
2002-04-29,10546,10704,10074,10388,138088,94380.0,5720000.0
2002-04-30,10137,10515,9948,10074,107090,91520.0,5720000.0
2002-05-02,10074,10956,10074,10672,197037,96954.0,5720000.0
2002-05-03,10515,10767,10200,10546,82517,95810.0,5720000.0
2002-05-06,10515,10830,10326,10325,75917,93808.0,5720000.0
2002-05-07,10326,10830,10231,10483,212244,95238.0,5720000.0
2002-05-08,10546,11113,10546,10703,324673,97240.0,5720000.0
