셀루메드(049180),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2002-05-23,469412,469412,469412,469459,38170,21600.0,7200000.0
2002-05-24,525740,525740,525740,525775,390082,24192.0,7200000.0
2002-05-27,588325,588325,557029,588337,546881,27072.0,7200000.0
2002-05-28,588454,613511,518041,533684,327027,24552.0,7200000.0
2002-05-29,505539,505539,471112,471112,99649,21672.0,7200000.0
2002-05-30,414573,417704,414573,414619,46083,19080.0,7200000.0
2002-05-31,384885,445905,384885,398968,342387,18360.0,7200000.0
2002-06-03,386442,402084,352016,355170,263448,16344.0,7200000.0
2002-06-04,355229,375573,330183,356835,152000,16416.0,7200000.0
2002-06-05,372348,372348,347314,355170,123475,16344.0,7200000.0
2002-06-07,344300,353692,317683,319289,77340,14688.0,7200000.0
2002-06-10,320733,330126,301949,301984,110136,13896.0,7200000.0
2002-06-11,311422,338027,308291,338062,126699,15552.0,7200000.0
2002-06-12,353704,358394,331788,341193,184281,15696.0,7200000.0
2002-06-14,320814,344289,320814,338062,65914,15552.0,7200000.0
2002-06-17,342635,377050,342635,377073,169998,17352.0,7200000.0
2002-06-18,420883,420883,392706,420872,418818,19368.0,7200000.0
2002-06-19,406794,430269,370807,370819,103826,17064.0,7200000.0
2002-06-20,344222,355174,327009,345782,200885,15912.0,7200000.0
2002-06-21,347350,352052,319185,342661,89578,15768.0,7200000.0
2002-06-24,317603,328555,301949,301984,165263,13896.0,7200000.0
2002-06-25,302089,324016,266091,266103,132557,12240.0,7200000.0
2002-06-26,258263,258263,234777,234823,95938,10800.0,7200000.0
2002-06-27,231568,242520,219045,223771,152148,10296.0,7200000.0
2002-06-28,231678,250451,231678,250463,110376,11520.0,7200000.0
2002-07-02,231674,248899,223853,244209,115382,11232.0,7200000.0
2002-07-03,250422,259802,234768,259849,132211,11952.0,7200000.0
2002-07-04,261284,289461,255034,283222,371387,13032.0,7200000.0
2002-07-05,283319,289580,258261,269236,311121,12384.0,7200000.0
2002-07-08,277027,281729,256672,259849,261043,11952.0,7200000.0
2002-07-09,267570,289486,255047,289475,497375,13320.0,7200000.0
2002-07-10,286435,319303,280174,284876,955348,13104.0,7200000.0
2002-07-11,297373,309908,281720,281755,408660,12960.0,7200000.0
2002-07-12,287929,295750,272275,273835,460717,12600.0,7200000.0
2002-07-15,272275,283227,258192,273835,461603,12600.0,7200000.0
2002-07-16,269248,280188,245761,250463,447353,11520.0,7200000.0
2002-07-18,251928,262869,247238,248798,246198,11448.0,7200000.0
2002-07-19,247210,250341,229997,242544,186193,11160.0,7200000.0
2002-07-22,222279,247325,219149,219183,198158,10080.0,7200000.0
2002-07-23,205041,242610,203482,237954,253680,10944.0,7200000.0
2002-07-24,223775,226917,211275,211264,183068,9720.0,7200000.0
2002-07-25,225408,230098,216004,216050,149939,9936.0,7200000.0
2002-07-26,215912,219043,208103,217518,64354,10008.0,7200000.0
2002-07-29,217580,242614,217580,222305,244131,10224.0,7200000.0
2002-07-30,228474,236295,220642,226904,110924,10440.0,7200000.0
2002-07-31,223825,242609,219124,234823,324309,10800.0,7200000.0
2002-08-01,247222,248793,223736,223771,279026,10296.0,7200000.0
2002-08-02,220561,223681,203348,212741,120211,9792.0,7200000.0
2002-08-05,209706,214408,195635,195624,122117,9000.0,7200000.0
2002-08-06,186215,195619,186215,189358,92310,8712.0,7200000.0
2002-08-07,195609,211275,195609,211264,252379,9720.0,7200000.0
2002-08-08,214461,226995,205068,225436,233717,10368.0,7200000.0
2002-08-09,226880,226880,204965,205000,242669,9432.0,7200000.0
2002-08-12,214392,215951,201869,208131,145695,9576.0,7200000.0
2002-08-13,206550,215954,206550,211264,177064,9720.0,7200000.0
2002-08-14,211261,230045,211261,226904,451850,10440.0,7200000.0
2002-08-16,233148,233148,220626,220649,154329,10152.0,7200000.0
2002-08-19,220642,244116,219071,226904,353593,10440.0,7200000.0
2002-08-20,226995,239506,225424,225436,300134,10368.0,7200000.0
2002-08-21,226876,230018,215924,220649,219383,10152.0,7200000.0
2002-08-22,222266,234777,220695,234823,172075,10800.0,7200000.0
2002-08-23,244181,256703,231658,237954,787806,10944.0,7200000.0
2002-08-26,233176,236295,225332,226904,122076,10440.0,7200000.0
2002-08-27,231587,242550,228467,233158,172257,10728.0,7200000.0
2002-08-28,234789,245752,228527,237954,315430,10944.0,7200000.0
2002-08-29,236348,245752,233217,234823,146001,10800.0,7200000.0
2002-08-30,231685,237947,222293,225436,190777,10368.0,7200000.0
2002-09-02,220722,225424,220722,225436,156868,10368.0,7200000.0
2002-09-03,222279,225410,219149,219183,66418,10080.0,7200000.0
2002-09-04,209756,222279,209756,219183,72739,10080.0,7200000.0
2002-09-05,216018,225410,216018,219183,73127,10080.0,7200000.0
2002-09-06,219075,219075,211266,214385,46877,9864.0,7200000.0
2002-09-09,214293,215865,198651,200222,73151,9216.0,7200000.0
2002-09-10,197089,208029,189256,197089,80443,9072.0,7200000.0
2002-09-11,203415,206545,197153,201878,64788,9288.0,7200000.0
2002-09-12,197167,209690,197167,208131,36175,9576.0,7200000.0
2002-09-13,198752,211275,195609,211264,57811,9720.0,7200000.0
2002-09-16,215951,215951,200298,208131,41691,9576.0,7200000.0
2002-09-17,211247,211247,201855,201878,49507,9288.0,7200000.0
2002-09-18,198651,203341,195532,200222,19995,9216.0,7200000.0
2002-09-19,195502,218965,195502,206477,57113,9504.0,7200000.0
2002-09-23,204901,204901,193960,200222,24488,9216.0,7200000.0
2002-09-24,193967,200217,190825,193968,41279,8928.0,7200000.0
2002-09-25,190800,195502,178289,187704,71707,8640.0,7200000.0
2002-09-26,187697,192399,175197,175197,46958,8064.0,7200000.0
2002-09-27,167376,175197,159555,159555,111145,7344.0,7200000.0
2002-09-30,154850,159541,143899,153291,58290,7056.0,7200000.0
2002-10-01,145460,157983,145460,156424,43239,7200.0,7200000.0
2002-10-02,156513,161215,151823,151823,81281,6984.0,7200000.0
2002-10-04,147112,158075,145552,154945,66757,7128.0,7200000.0
2002-10-07,150254,159635,150254,154945,42488,7128.0,7200000.0
2002-10-08,161167,164298,151786,164333,52448,7560.0,7200000.0
2002-10-09,164217,168908,157968,168943,53013,7776.0,7200000.0
2002-10-10,168894,168894,157954,162679,25901,7488.0,7200000.0
2002-10-11,164217,172027,162646,168943,48914,7776.0,7200000.0
2002-10-14,170458,176731,167339,172064,40115,7920.0,7200000.0
2002-10-15,178422,178422,169029,176851,66251,8136.0,7200000.0
2002-10-16,178367,179938,173688,179972,44283,8280.0,7200000.0
2002-10-17,179938,179938,173688,179972,39639,8280.0,7200000.0
2002-10-18,179878,190830,175199,181450,97386,8352.0,7200000.0
2002-10-21,183018,184578,175197,178328,59226,8208.0,7200000.0
