유아이엘(049520),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-08-02,3297,3297,3297,3297,73623,73808.0,11200000.0
2001-08-03,3302,3637,3302,3452,1632601,77280.0,11200000.0
2001-08-06,3477,3862,3417,3698,1562871,82768.0,11200000.0
2001-08-07,3652,3677,3257,3257,830058,72912.0,11200000.0
2001-08-08,3297,3352,3107,3302,332135,73920.0,11200000.0
2001-08-09,3287,3327,3137,3202,248146,71680.0,11200000.0
2001-08-10,3102,3202,3002,3082,222925,68992.0,11200000.0
2001-08-13,3117,3117,2916,2917,183625,65296.0,11200000.0
2001-08-14,2957,3022,2841,2952,246486,66080.0,11200000.0
2001-08-16,2886,2946,2841,2897,104957,64848.0,11200000.0
2001-08-17,2901,3082,2851,3052,253017,68320.0,11200000.0
2001-08-20,3047,3052,2977,3002,93458,67200.0,11200000.0
2001-08-21,3037,3067,2931,2932,112824,65632.0,11200000.0
2001-08-22,2931,2977,2866,2957,81867,66192.0,11200000.0
2001-08-23,3002,3012,2901,2962,140723,66304.0,11200000.0
2001-08-24,2916,2977,2896,2932,107517,65632.0,11200000.0
2001-08-27,2896,2987,2896,2982,120777,66752.0,11200000.0
2001-08-28,2987,3222,2987,3187,318134,71344.0,11200000.0
2001-08-29,3167,3537,3107,3452,630154,77280.0,11200000.0
2001-08-30,3457,3592,3307,3452,354460,77280.0,11200000.0
2001-08-31,3377,3557,3357,3517,532626,78736.0,11200000.0
2001-09-03,3577,3602,3112,3452,459222,77280.0,11200000.0
2001-09-04,3387,3577,3352,3552,509203,79520.0,11200000.0
2001-09-05,3467,3502,3327,3347,224377,74928.0,11200000.0
2001-09-06,3357,3702,3332,3703,366885,82880.0,11200000.0
2001-09-07,3627,4062,3627,4003,590522,89600.0,11200000.0
2001-09-10,3842,4052,3752,3753,217018,84000.0,11200000.0
2001-09-11,3752,3952,3752,3853,174090,86240.0,11200000.0
2001-09-12,3392,3447,3392,3392,294549,75936.0,11200000.0
2001-09-13,3392,3752,3392,3753,196900,84000.0,11200000.0
2001-09-14,3727,3817,3402,3502,201723,78400.0,11200000.0
2001-09-17,3497,3497,3082,3352,75268,75040.0,11200000.0
2001-09-18,3402,3702,3402,3527,113983,78960.0,11200000.0
2001-09-19,3502,3602,3417,3552,169108,79520.0,11200000.0
2001-09-20,3502,3642,3402,3417,94359,76496.0,11200000.0
2001-09-21,3377,3457,3202,3422,56129,76608.0,11200000.0
2001-09-24,3077,3402,3077,3352,142340,75040.0,11200000.0
2001-09-25,3427,3497,3152,3167,71544,70896.0,11200000.0
2001-09-26,3207,3282,3152,3152,32923,70560.0,11200000.0
2001-09-27,3152,3187,3077,3152,21571,70560.0,11200000.0
2001-09-28,3182,3327,3157,3297,121637,73808.0,11200000.0
2001-10-04,3352,3477,3352,3477,69432,77840.0,11200000.0
2001-10-05,3502,3502,3352,3477,38574,77840.0,11200000.0
2001-10-08,3387,3652,3382,3552,155197,79520.0,11200000.0
2001-10-09,3552,3647,3527,3552,110449,79520.0,11200000.0
2001-10-10,3557,3617,3437,3452,45403,77280.0,11200000.0
2001-10-11,3567,3807,3552,3808,489606,85232.0,11200000.0
