지어소프트(051160),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2002-05-28,7555,7555,7555,7554,74733,46648.0,4760000.0
2002-05-29,7554,8363,6783,7407,435845,45744.0,4760000.0
2002-05-30,7406,7438,6519,6521,105426,40270.0,4760000.0
2002-05-31,6321,6784,5743,6313,286040,38984.0,4760000.0
2002-06-03,5820,6298,5666,5704,104454,35224.0,4760000.0
2002-06-04,5410,6127,5271,5712,263081,35272.0,4760000.0
2002-06-05,5936,6244,5797,5974,153345,36890.0,4760000.0
2002-06-07,5780,5934,5263,5404,43087,33368.0,4760000.0
2002-06-10,5280,5549,5280,5465,88375,33748.0,4760000.0
2002-06-11,5626,5626,5317,5404,36506,33368.0,4760000.0
2002-06-12,5410,5488,5056,5281,61587,32606.0,4760000.0
2002-06-14,5357,5357,4973,5057,74064,31226.0,4760000.0
2002-06-17,4972,5087,4840,4872,73603,30083.0,4760000.0
2002-06-18,4934,5450,4834,5057,281345,31226.0,4760000.0
2002-06-19,5102,5195,4455,4456,83972,27513.0,4760000.0
2002-06-20,4247,4602,4094,4448,42387,27465.0,4760000.0
2002-06-21,4247,4780,4139,4733,125003,29226.0,4760000.0
2002-06-24,4856,5164,4556,5164,123362,31892.0,4760000.0
2002-06-25,5581,5781,4547,4587,209761,28322.0,4760000.0
2002-06-26,4586,4586,4039,4162,83076,25704.0,4760000.0
2002-06-27,4085,4316,3861,4009,57768,24752.0,4760000.0
2002-06-28,4046,4255,4008,4009,68249,24752.0,4760000.0
2002-07-02,3847,4009,3716,3931,47743,24276.0,4760000.0
2002-07-03,3853,4238,3784,3970,50127,24514.0,4760000.0
2002-07-04,4170,4170,4039,4162,41662,25704.0,4760000.0
2002-07-05,4162,4655,4100,4641,72493,28655.0,4760000.0
2002-07-08,4856,5195,4702,5018,113711,30988.0,4760000.0
2002-07-09,4972,5057,4733,5018,54029,30988.0,4760000.0
2002-07-10,4802,5396,4794,5018,107487,30988.0,4760000.0
2002-07-11,4793,4878,4708,4710,27703,29084.0,4760000.0
2002-07-12,4725,4856,4640,4717,32868,29131.0,4760000.0
2002-07-15,4741,4780,4556,4702,51498,29036.0,4760000.0
2002-07-16,4740,5164,4671,4933,177494,30464.0,4760000.0
2002-07-18,5087,5226,4855,4980,75296,30750.0,4760000.0
2002-07-19,4779,4963,4671,4818,41413,29750.0,4760000.0
2002-07-22,4556,4895,4256,4895,91789,30226.0,4760000.0
2002-07-23,4594,5025,4556,4910,70563,30321.0,4760000.0
2002-07-24,4663,5180,4625,5180,65032,31987.0,4760000.0
2002-07-25,5186,5795,5047,5550,204789,34272.0,4760000.0
2002-07-26,5395,5449,4939,5049,135910,31178.0,4760000.0
2002-07-29,4787,5011,4448,4448,226925,27465.0,4760000.0
2002-07-30,4285,4439,4031,4171,267963,25752.0,4760000.0
2002-07-31,4177,4624,4169,4332,189664,26751.0,4760000.0
2002-08-01,4178,4487,4178,4286,75530,26466.0,4760000.0
2002-08-02,4238,4477,4200,4471,126676,27608.0,4760000.0
2002-08-05,4594,4609,4247,4301,95462,26561.0,4760000.0
2002-08-06,4132,4193,4009,4178,113681,25799.0,4760000.0
2002-08-07,4225,4364,4202,4201,43807,25942.0,4760000.0
2002-08-08,4223,4354,4161,4278,94459,26418.0,4760000.0
2002-08-09,4362,4462,4238,4240,32861,26180.0,4760000.0
2002-08-12,4239,4293,4093,4108,85913,25371.0,4760000.0
2002-08-13,4109,4394,4086,4309,61653,26608.0,4760000.0
2002-08-14,4317,4394,4225,4286,96841,26466.0,4760000.0
2002-08-16,4393,4501,4362,4471,66876,27608.0,4760000.0
2002-08-19,4610,4856,4510,4556,117396,28132.0,4760000.0
2002-08-20,4694,4694,4509,4571,96042,28227.0,4760000.0
2002-08-21,4523,4762,4523,4741,103141,29274.0,4760000.0
2002-08-22,4825,5303,4817,5072,292123,31321.0,4760000.0
2002-08-23,4949,5072,4748,4856,93155,29988.0,4760000.0
2002-08-26,4849,5204,4664,4972,173536,30702.0,4760000.0
2002-08-27,5009,5395,4932,5080,250255,31368.0,4760000.0
2002-08-28,5009,5179,4508,4849,185102,29940.0,4760000.0
2002-08-29,4864,5041,4725,5041,73564,31130.0,4760000.0
2002-08-30,5140,5163,5047,5134,101246,31702.0,4760000.0
2002-09-02,5165,5450,4980,5396,108746,33320.0,4760000.0
2002-09-03,5242,5396,5150,5149,96048,31797.0,4760000.0
2002-09-04,5010,5010,4817,4818,84827,29750.0,4760000.0
2002-09-05,4841,4934,4802,4841,54876,29893.0,4760000.0
2002-09-06,4833,4833,4540,4564,89772,28179.0,4760000.0
2002-09-09,4239,4609,4016,4016,135787,24800.0,4760000.0
2002-09-10,4086,4086,3708,3893,75568,24038.0,4760000.0
2002-09-11,4032,4217,3970,4178,84428,25799.0,4760000.0
2002-09-12,4231,4492,4184,4471,88419,27608.0,4760000.0
2002-09-13,4462,4469,4161,4471,65099,27608.0,4760000.0
2002-09-16,4325,4649,4325,4648,104576,28703.0,4760000.0
2002-09-17,4548,4811,4548,4679,121425,28893.0,4760000.0
2002-09-18,4617,4725,4424,4510,34336,27846.0,4760000.0
2002-09-19,4394,4779,4394,4771,46232,29464.0,4760000.0
2002-09-23,4454,4654,4454,4579,28421,28274.0,4760000.0
2002-09-24,4393,4470,4208,4209,49733,25990.0,4760000.0
2002-09-25,4093,4671,3776,4432,272433,27370.0,4760000.0
2002-09-26,4617,4624,4046,4564,196596,28179.0,4760000.0
2002-09-27,4439,4501,4246,4317,32150,26656.0,4760000.0
2002-09-30,4201,4309,3892,4086,68940,25228.0,4760000.0
2002-10-01,3939,4193,3939,4124,28492,25466.0,4760000.0
2002-10-02,4177,4308,4045,4047,19504,24990.0,4760000.0
2002-10-04,3830,4131,3776,4086,126130,25228.0,4760000.0
2002-10-07,4015,4153,3868,3993,169687,24657.0,4760000.0
2002-10-08,4009,4155,3908,4093,298827,25276.0,4760000.0
2002-10-09,4099,4161,3930,4024,138682,24847.0,4760000.0
2002-10-10,4023,4023,3830,3854,93933,23800.0,4760000.0
2002-10-11,3986,4009,3870,3931,126420,24276.0,4760000.0
2002-10-14,3954,4170,3931,4171,208957,25752.0,4760000.0
2002-10-15,4293,4455,4154,4162,268745,25704.0,4760000.0
2002-10-16,4200,4231,3953,3970,80282,24514.0,4760000.0
2002-10-17,3937,3991,3899,3970,85920,24514.0,4760000.0
2002-10-18,4016,4202,4009,4124,100741,25466.0,4760000.0
2002-10-21,4163,4301,3993,4093,109114,25276.0,4760000.0
2002-10-22,4139,4417,4101,4394,297141,27132.0,4760000.0
2002-10-23,4539,4708,4315,4633,299448,28608.0,4760000.0
2002-10-24,4771,4771,4455,4533,109220,27989.0,4760000.0
2002-10-25,4401,4547,4331,4409,90191,27227.0,4760000.0
2002-10-28,4394,4532,4262,4270,163634,26370.0,4760000.0
2002-10-29,4308,4339,4177,4186,99438,25847.0,4760000.0
2002-10-30,4131,4224,3961,4009,98560,24752.0,4760000.0
2002-10-31,4016,4293,4000,4270,156259,26370.0,4760000.0
2002-11-01,4185,4239,3969,4009,78155,24752.0,4760000.0
2002-11-04,4092,4177,3999,4047,89618,24990.0,4760000.0
2002-11-05,4046,4139,3954,3962,51763,24466.0,4760000.0
2002-11-06,3984,4022,3930,3970,85257,24514.0,4760000.0
2002-11-07,3930,3991,3860,3862,45024,23848.0,4760000.0
2002-11-08,3815,4000,3800,3877,47142,23943.0,4760000.0
2002-11-11,3870,4340,3870,4340,311961,26799.0,4760000.0
2002-11-12,4340,4541,4286,4340,200395,26799.0,4760000.0
2002-11-13,4493,4856,4493,4625,601856,28560.0,4760000.0
2002-11-14,4547,5180,4540,5180,864873,31987.0,4760000.0
2002-11-15,5242,5519,5103,5396,863478,33320.0,4760000.0
2002-11-18,5474,5550,5242,5396,553666,33320.0,4760000.0
2002-11-19,5280,5666,5257,5434,445791,33558.0,4760000.0
2002-11-20,5510,5772,4786,5319,684033,32844.0,4760000.0
2002-11-21,5357,5396,5042,5057,353030,31226.0,4760000.0
2002-11-22,5056,5356,5040,5265,397702,32511.0,4760000.0
