W홀딩컴퍼니(052300),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-08-02,82525,82525,82525,82522,3109205,47250.0,9450000.0
2001-08-03,92410,92410,92410,92422,479600,52920.0,9450000.0
2001-08-06,103465,103465,103465,103478,9016035,59252.0,9450000.0
2001-08-07,104133,115852,103968,110747,19100450,63410.0,9450000.0
2001-08-08,112388,115029,105954,112225,4426110,64260.0,9450000.0
2001-08-09,111407,115199,98859,98860,10328295,56606.0,9450000.0
2001-08-10,92422,98693,88460,93248,6862295,53392.0,9450000.0
2001-08-13,94075,94410,82191,82191,9553775,47061.0,9450000.0
2001-08-14,82184,91923,78223,91106,11122140,52164.0,9450000.0
2001-08-16,88954,96548,87467,88792,5477550,50841.0,9450000.0
2001-08-17,87474,90114,82191,84174,2838540,48195.0,9450000.0
2001-08-20,81353,85638,78879,85158,1476630,48762.0,9450000.0
2001-08-21,84330,87468,84330,84500,1231285,48384.0,9450000.0
2001-08-22,81027,83666,80862,82849,1843780,47439.0,9450000.0
2001-08-23,83826,90597,83826,89124,2668470,51030.0,9450000.0
2001-08-24,89949,93252,88961,89949,3548110,51502.0,9450000.0
2001-08-27,90942,92430,80874,85825,3539570,49140.0,9450000.0
2001-08-28,84170,85821,82189,84337,1079145,48290.0,9450000.0
2001-08-29,82509,84655,78219,79714,1168295,45644.0,9450000.0
2001-08-30,74432,76908,70306,70309,2920505,40257.0,9450000.0
2001-08-31,61874,66828,61874,63045,2615210,36099.0,9450000.0
2001-09-03,62713,66839,62713,65354,1542685,37422.0,9450000.0
2001-09-04,63869,67666,63869,66017,1194355,37800.0,9450000.0
2001-09-05,64693,73274,64693,71135,1699880,40730.0,9450000.0
2001-09-06,73436,74094,70133,71792,1234610,41108.0,9450000.0
2001-09-07,69479,72283,69479,70967,752430,40635.0,9450000.0
2001-09-10,69644,73605,69644,70967,837515,40635.0,9450000.0
2001-09-11,70969,71792,65356,66017,737690,37800.0,9450000.0
2001-09-12,58093,58093,58093,58096,10150,33264.0,9450000.0
2001-09-13,52800,58078,52800,56276,1697440,32224.0,9450000.0
2001-09-14,57755,58578,49662,56276,1832025,32224.0,9450000.0
2001-09-17,56272,56272,49671,49680,1007825,28444.0,9450000.0
2001-09-18,44552,51328,43734,47202,4330315,27027.0,9450000.0
2001-09-19,47860,48189,44063,47202,2161725,27027.0,9450000.0
2001-09-20,52645,52809,50499,52810,6446845,30240.0,9450000.0
2001-09-21,52813,53477,46547,46545,5226865,26649.0,9450000.0
2001-09-24,45382,48844,42738,46213,6144415,26460.0,9450000.0
