오성첨단소재(052420),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-08-07,148792,148792,148792,148800,679654,42120.0,8100000.0
2001-08-08,150522,163134,141928,146510,3724090,41472.0,8100000.0
2001-08-09,140231,144531,132515,139643,790134,39528.0,8100000.0
2001-08-10,143090,148814,128801,130486,524474,36936.0,8100000.0
2001-08-13,131615,133355,115025,115033,993242,32562.0,8100000.0
2001-08-14,107327,117919,107327,113031,749672,31995.0,8100000.0
2001-08-16,109600,115296,107299,108738,364096,30780.0,8100000.0
2001-08-17,108737,111605,106155,106163,267138,30051.0,8100000.0
2001-08-20,105309,107582,103591,104160,376930,29484.0,8100000.0
2001-08-21,105325,113041,104448,109311,553822,30942.0,8100000.0
2001-08-22,107317,108747,105044,105304,332396,29808.0,8100000.0
2001-08-23,107604,108193,103901,103874,245401,29403.0,8100000.0
2001-08-24,105605,105605,103304,105304,314310,29808.0,8100000.0
2001-08-27,104176,105888,103306,103588,226749,29322.0,8100000.0
2001-08-28,103288,103877,103007,103015,1074618,29160.0,8100000.0
2001-08-29,103000,115297,93846,105876,1007306,29970.0,8100000.0
2001-08-30,105861,111592,98706,111600,440633,31590.0,8100000.0
2001-08-31,105864,111876,98429,98436,271649,27864.0,8100000.0
2001-09-03,102166,102166,97277,100154,136375,28350.0,8100000.0
2001-09-04,99023,103007,99023,103015,96681,29160.0,8100000.0
2001-09-05,101569,110161,101569,108738,234772,30780.0,8100000.0
2001-09-06,108730,111873,106738,110169,308142,31185.0,8100000.0
2001-09-07,105861,114454,103000,105876,3652276,29970.0,8100000.0
2001-09-10,107299,115331,105588,110169,1717203,31185.0,8100000.0
2001-09-11,113057,121369,110756,115892,1895583,32805.0,8100000.0
2001-09-12,102184,102184,102184,102156,3297,28917.0,8100000.0
2001-09-13,94737,114195,94737,114175,1113844,32319.0,8100000.0
2001-09-14,115612,118473,102165,108738,1978234,30780.0,8100000.0
2001-09-17,108746,108746,95853,95861,870357,27135.0,8100000.0
2001-09-18,97585,107293,94723,105876,1293876,29970.0,8100000.0
2001-09-19,105877,109608,101577,101584,1471457,28755.0,8100000.0
2001-09-20,97877,100151,89558,89566,832672,25353.0,8100000.0
2001-09-21,78977,80128,78977,78978,216533,22356.0,8100000.0
2001-09-24,69556,75279,69556,69535,2937122,19683.0,8100000.0
2001-09-25,74114,74114,61222,61237,1829784,17334.0,8100000.0
2001-09-26,62689,67543,60416,63812,2027395,18063.0,8100000.0
2001-09-27,62125,64397,58105,58947,1031963,16686.0,8100000.0
2001-09-28,59809,62952,59809,61809,1093415,17496.0,8100000.0
2001-10-04,65532,68955,64381,68963,789976,19521.0,8100000.0
2001-10-05,71542,75554,70111,70679,1288738,20007.0,8100000.0
2001-10-08,68669,71538,63225,67246,534618,19035.0,8100000.0
2001-10-09,70670,75278,70109,75259,1301416,21303.0,8100000.0
2001-10-10,84149,84149,82409,84129,1379748,23814.0,8100000.0
2001-10-11,84435,89570,83004,84416,1958412,23895.0,8100000.0
2001-10-12,88415,88415,79844,82412,661679,23328.0,8100000.0
2001-10-15,81852,91013,80701,88994,1065163,25191.0,8100000.0
2001-10-16,90446,90446,86153,87277,715997,24705.0,8100000.0
2001-10-17,88735,89857,85283,87277,819116,24705.0,8100000.0
2001-10-18,85263,85852,80408,80409,551605,22761.0,8100000.0
2001-10-19,77820,82400,77820,80409,465769,22761.0,8100000.0
2001-10-22,83571,87303,81860,84701,742651,23976.0,8100000.0
2001-10-23,86144,87294,79262,79551,551603,22518.0,8100000.0
2001-10-24,79561,81307,77850,78692,297675,22275.0,8100000.0
2001-10-25,79257,82118,78695,80695,376788,22842.0,8100000.0
2001-10-26,80680,86404,80119,84987,1037498,24057.0,8100000.0
2001-10-29,85867,91878,84717,86991,1922590,24624.0,8100000.0
2001-10-30,84425,84425,76709,76689,830135,21708.0,8100000.0
2001-10-31,76113,77551,74682,76689,596366,21708.0,8100000.0
2001-11-01,77282,81295,77282,79837,589213,22599.0,8100000.0
2001-11-02,80431,83019,75857,78692,548655,22275.0,8100000.0
2001-11-05,78101,80128,78101,78978,389431,22356.0,8100000.0
2001-11-06,80150,80992,77850,78692,362038,22275.0,8100000.0
2001-11-07,80119,84138,78968,82126,1374578,23247.0,8100000.0
2001-11-08,83291,84721,81580,83271,1144817,23571.0,8100000.0
2001-11-09,85278,90721,84156,88421,2226711,25029.0,8100000.0
2001-11-12,90719,96170,89288,94431,2001425,26730.0,8100000.0
2001-11-13,91866,93858,86984,88136,1038025,24948.0,8100000.0
2001-11-14,90708,90708,87566,89566,976789,25353.0,8100000.0
2001-11-15,89296,93316,83292,85846,906441,24300.0,8100000.0
2001-11-16,83560,85553,81288,82698,410821,23409.0,8100000.0
2001-11-19,83010,85563,83010,83271,407009,23571.0,8100000.0
2001-11-20,83829,87841,83829,86418,659432,24462.0,8100000.0
