와이디온라인(052770),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2002-08-22,8000,8000,8000,8000,167327,42496.0,2656000.0
2002-08-23,8950,8950,8950,8950,119697,47542.0,2656000.0
2002-08-26,10000,10000,9025,10000,289127,53120.0,2656000.0
2002-08-27,9900,10475,9400,9850,144375,52323.0,2656000.0
2002-08-28,9750,10250,8675,8675,64565,46082.0,2656000.0
2002-08-29,7650,8650,7650,7650,199415,40637.0,2656000.0
2002-08-30,8250,8400,7650,7750,90351,41168.0,2656000.0
2002-09-02,7000,8675,7000,8325,170980,44222.0,2656000.0
2002-09-03,7850,9200,7850,8775,103069,46613.0,2656000.0
2002-09-04,9000,9825,8550,9825,167475,52190.0,2656000.0
2002-09-05,10600,11000,10600,11000,81859,58432.0,2656000.0
2002-09-06,10950,12300,9700,12275,263608,65205.0,2656000.0
2002-09-09,11550,13725,11550,13675,101864,72642.0,2656000.0
2002-09-10,14800,15300,13150,15300,208901,84640.0,2766000.0
2002-09-11,15800,16750,13475,13475,156874,74544.0,2766000.0
2002-09-12,13475,13500,11875,11875,155185,65692.0,2766000.0
2002-09-13,10750,11700,10450,10450,463766,57809.0,2766000.0
2002-09-16,10450,10875,9200,9200,370473,50894.0,2766000.0
2002-09-17,9450,9800,9000,9225,524087,51033.0,2766000.0
2002-09-18,8875,9075,8125,8125,286994,44948.0,2766000.0
2002-09-19,7800,8600,7375,8025,489033,44394.0,2766000.0
2002-09-23,8025,8100,7075,7075,344810,39139.0,2766000.0
2002-09-24,6800,6950,6250,6250,404658,34575.0,2766000.0
2002-09-25,5925,6250,5500,5500,509050,30426.0,2766000.0
2002-09-26,5525,5750,4860,4950,471636,27383.0,2766000.0
2002-09-27,4900,5525,4675,5525,805720,30564.0,2766000.0
2002-09-30,5350,6150,4875,4875,954793,26968.0,2766000.0
2002-10-01,4605,5250,4520,4795,615941,26526.0,2766000.0
2002-10-02,5075,5075,4625,4625,236021,25586.0,2766000.0
2002-10-04,4400,4625,4070,4100,244652,22681.0,2766000.0
2002-10-07,3980,4025,3640,3710,298407,20524.0,2766000.0
2002-10-08,3625,4125,3625,3950,485441,21851.0,2766000.0
2002-10-09,4005,4045,3490,3490,279127,19307.0,2766000.0
2002-10-10,3400,3420,3075,3080,256522,17039.0,2766000.0
2002-10-11,3225,3445,3010,3345,452464,18505.0,2766000.0
2002-10-14,3600,3745,3545,3745,118466,20717.0,2766000.0
2002-10-15,4185,4190,4055,4190,101986,23179.0,2766000.0
2002-10-16,4475,4665,4010,4135,982421,22875.0,2766000.0
2002-10-17,4200,4485,4050,4375,405964,24202.0,2766000.0
