KMH하이텍(052900),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2005-01-18,4348,4871,4348,4870,1385184,42161.0,6274000.0
2005-01-19,5317,5317,4723,4862,1025319,42099.0,6274000.0
2005-01-20,4927,5037,4289,4362,337922,37769.0,6274000.0
2005-01-21,4361,4883,4311,4884,625712,42287.0,6274000.0
2005-01-24,4861,5463,4709,5463,925572,47306.0,6274000.0
2005-01-25,5441,5447,4896,4964,582843,42977.0,6274000.0
2005-01-26,5144,5187,4521,4529,410182,39212.0,6274000.0
2005-01-27,4565,4739,4463,4464,268552,38648.0,6274000.0
2005-01-28,4456,4492,3947,4195,345321,36326.0,6274000.0
2005-01-31,4144,4383,4035,4203,229014,36389.0,6274000.0
2005-02-01,4217,4478,4138,4239,220752,36703.0,6274000.0
2005-02-02,4245,4339,3840,3840,214651,33252.0,6274000.0
2005-02-03,3818,3985,3478,3986,329502,34507.0,6274000.0
2005-02-04,4203,4464,3862,3920,1000812,33942.0,6274000.0
2005-02-07,3926,4078,3890,4028,198233,34883.0,6274000.0
2005-02-11,3962,4412,3927,4217,478652,36515.0,6274000.0
2005-02-14,4419,4419,4181,4203,226766,36389.0,6274000.0
2005-02-15,4239,4565,4203,4478,340786,38773.0,6274000.0
2005-02-16,4551,4624,4298,4399,220838,38083.0,6274000.0
2005-02-17,4449,4616,4362,4399,270858,38083.0,6274000.0
2005-02-18,4346,4528,4181,4333,457784,38349.0,6412885.0
2005-02-21,4361,4448,4274,4311,279371,38157.0,6412885.0
2005-02-22,4297,4391,4000,4203,267888,37195.0,6412885.0
2005-02-23,4087,4166,3978,4007,184029,35463.0,6412885.0
2005-02-24,4014,4151,4014,4145,173310,36682.0,6412885.0
2005-02-25,4325,4520,4150,4188,530169,37066.0,6412885.0
2005-02-28,4223,4303,4064,4145,219734,36682.0,6412885.0
2005-03-02,4130,4166,3963,3986,282818,35271.0,6412885.0
2005-03-03,3949,4036,3862,3986,212306,35271.0,6412885.0
2005-03-04,3985,4058,3927,3986,168001,35271.0,6412885.0
2005-03-07,4057,4202,3912,4022,229599,35592.0,6412885.0
2005-03-08,4021,4057,3695,3840,194541,33988.0,6412885.0
2005-03-09,3839,3927,3803,3855,108913,34117.0,6412885.0
2005-03-10,3877,3877,3732,3805,109362,33668.0,6412885.0
2005-03-11,3731,3868,3731,3840,160753,33988.0,6412885.0
2005-03-14,3855,3949,3790,3819,171723,33796.0,6412885.0
2005-03-15,3890,3927,3666,3688,198590,32642.0,6412885.0
2005-03-16,3681,3761,3486,3710,143465,32834.0,6412885.0
2005-03-17,3695,3768,3565,3587,180953,31744.0,6412885.0
2005-03-18,3553,3680,3553,3652,116686,32321.0,6412885.0
2005-03-21,3687,3752,3607,3652,91350,32321.0,6412885.0
2005-03-22,3594,3913,3594,3812,480822,33732.0,6412885.0
2005-03-23,3811,3898,3623,3659,153188,32385.0,6412885.0
2005-03-24,3753,3753,3521,3623,159203,32064.0,6412885.0
2005-03-25,3594,3638,3500,3573,115140,31616.0,6412885.0
2005-03-28,3578,3694,3578,3674,114305,32513.0,6412885.0
2005-03-29,3709,3804,3622,3732,256010,33026.0,6412885.0
2005-03-30,3716,3949,3716,3891,314277,34437.0,6412885.0
2005-03-31,3964,3964,3783,3826,149166,33860.0,6412885.0
2005-04-01,3825,3999,3825,3964,361714,35078.0,6412885.0
2005-04-04,4101,4305,4050,4181,514431,37002.0,6412885.0
2005-04-06,4239,4283,4058,4058,232436,35912.0,6412885.0
2005-04-07,4056,4114,3875,4036,219014,35720.0,6412885.0
2005-04-08,3941,4043,3912,3913,174639,34630.0,6412885.0
2005-04-11,3882,3999,3847,3964,168061,35078.0,6412885.0
2005-04-12,3956,4000,3827,3826,117859,33860.0,6412885.0
2005-04-13,3840,4000,3796,3986,153570,35271.0,6412885.0
2005-04-14,3933,4035,3912,4014,119957,35527.0,6412885.0
2005-04-15,3992,4035,3659,3732,136522,33026.0,6412885.0
2005-04-18,3558,3631,3289,3334,232117,29499.0,6412885.0
2005-04-19,3373,3437,3259,3312,83297,29307.0,6412885.0
2005-04-20,3336,3478,3336,3351,84095,29660.0,6412885.0
2005-04-21,3261,3261,3116,3185,107018,28185.0,6412885.0
2005-04-22,3224,3254,3137,3185,96908,28185.0,6412885.0
2005-04-25,3115,3151,3020,3137,59554,27768.0,6412885.0
2005-04-26,3185,3185,3043,3044,54180,26934.0,6412885.0
2005-04-27,2981,3137,2942,3007,167239,26613.0,6412885.0
2005-04-28,3014,3068,2753,2898,82277,25652.0,6412885.0
2005-04-29,2680,2825,2680,2775,80190,24561.0,6412885.0
2005-05-02,2752,2818,2752,2757,44726,24401.0,6412885.0
2005-05-03,2717,2804,2717,2768,45992,24497.0,6412885.0
2005-05-04,2771,2943,2771,2892,62525,25587.0,6412885.0
2005-05-06,2970,2970,2826,2884,38623,25523.0,6412885.0
