바이넥스(053030),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-08-07,1604,1604,1604,1604,19227,17860.0,4700000.0
2001-08-08,1794,1794,1794,1794,2901,19975.0,4700000.0
2001-08-09,2010,2010,2010,2010,180031,22372.0,4700000.0
2001-08-10,2248,2248,2172,2250,2659017,25051.0,4700000.0
2001-08-13,2237,2246,1984,1984,1102590,22090.0,4700000.0
2001-08-14,1746,2016,1746,1891,1687104,21056.0,4700000.0
2001-08-16,1794,1979,1794,1836,576491,20445.0,4700000.0
2001-08-17,1835,1911,1793,1802,397719,20069.0,4700000.0
2001-08-20,1801,1801,1612,1667,200185,18565.0,4700000.0
2001-08-21,1629,1865,1629,1828,559482,20351.0,4700000.0
2001-08-22,1797,1885,1771,1802,571772,20069.0,4700000.0
2001-08-23,1827,1886,1789,1836,311611,20445.0,4700000.0
2001-08-24,1857,2039,1840,1976,821088,21996.0,4700000.0
2001-08-27,1984,2026,1929,1942,341977,21620.0,4700000.0
2001-08-28,1959,1959,1815,1870,185226,20821.0,4700000.0
2001-08-29,1802,1870,1747,1748,104377,19458.0,4700000.0
2001-08-30,1688,1899,1654,1769,242797,19693.0,4700000.0
2001-08-31,1752,1832,1693,1794,123439,19975.0,4700000.0
2001-09-03,1813,1869,1733,1802,59573,20069.0,4700000.0
2001-09-04,1802,1852,1743,1790,41853,19928.0,4700000.0
2001-09-05,1708,1805,1708,1773,77388,19740.0,4700000.0
2001-09-06,1772,1912,1772,1836,77614,20445.0,4700000.0
2001-09-07,1845,1929,1794,1794,551285,19975.0,4700000.0
2001-09-10,1768,1768,1578,1579,370684,17578.0,4700000.0
2001-09-11,1489,1619,1489,1583,273259,17625.0,4700000.0
2001-09-12,1393,1393,1393,1393,8581,15510.0,4700000.0
2001-09-13,1231,1476,1227,1477,316543,16450.0,4700000.0
2001-09-14,1469,1469,1300,1309,110937,14570.0,4700000.0
2001-09-17,1292,1351,1152,1153,62146,12831.0,4700000.0
2001-09-18,1159,1256,1121,1245,248261,13865.0,4700000.0
2001-09-19,1216,1343,1216,1309,118048,14570.0,4700000.0
2001-09-20,1266,1308,1152,1161,70341,12925.0,4700000.0
2001-09-21,1068,1119,1022,1022,88670,11374.0,4700000.0
2001-09-24,991,1109,991,1038,101633,11562.0,4700000.0
2001-09-25,1119,1119,984,1013,116263,11280.0,4700000.0
2001-09-26,1022,1034,966,971,54166,10810.0,4700000.0
2001-09-27,1000,1026,958,1013,50510,11280.0,4700000.0
2001-09-28,1012,1130,1012,1131,168705,12596.0,4700000.0
