금강철강(053260),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2002-01-04,1400,1400,1400,1400,735885,27608.0,19720000.0
2002-01-07,1550,1560,1480,1560,2803432,30763.0,19720000.0
2002-01-08,1560,1640,1460,1460,4426323,28791.0,19720000.0
2002-01-09,1440,1510,1400,1420,1391385,28002.0,19720000.0
2002-01-10,1450,1520,1380,1390,1494610,27411.0,19720000.0
2002-01-11,1360,1420,1340,1370,1009729,27016.0,19720000.0
2002-01-14,1380,1380,1310,1320,1492730,26030.0,19720000.0
2002-01-15,1320,1340,1300,1310,660958,25833.0,19720000.0
2002-01-16,1340,1450,1310,1330,1369617,26228.0,19720000.0
2002-01-17,1340,1380,1310,1340,876021,26425.0,19720000.0
2002-01-18,1380,1380,1310,1330,739768,26228.0,19720000.0
2002-01-21,1380,1470,1370,1390,1507744,27411.0,19720000.0
2002-01-22,1420,1440,1350,1390,820656,27411.0,19720000.0
2002-01-23,1400,1400,1350,1370,441994,27016.0,19720000.0
2002-01-24,1370,1390,1330,1340,688655,26425.0,19720000.0
2002-01-25,1330,1410,1320,1380,825032,27214.0,19720000.0
2002-01-28,1410,1540,1410,1540,1602892,30369.0,19720000.0
2002-01-29,1530,1530,1470,1490,628533,29383.0,19720000.0
2002-01-30,1450,1570,1440,1500,615654,29580.0,19720000.0
2002-01-31,1510,1660,1490,1580,981506,31158.0,19720000.0
2002-02-01,1590,1640,1550,1580,957761,31158.0,19720000.0
2002-02-04,1580,1600,1470,1530,640352,30172.0,19720000.0
2002-02-05,1500,1570,1460,1480,399876,29186.0,19720000.0
2002-02-06,1470,1590,1440,1450,970159,28594.0,19720000.0
2002-02-07,1420,1480,1410,1450,319774,28594.0,19720000.0
2002-02-08,1460,1520,1450,1520,388358,29974.0,19720000.0
2002-02-14,1540,1560,1510,1510,293718,29777.0,19720000.0
2002-02-15,1540,1550,1450,1480,412280,29186.0,19720000.0
2002-02-18,1480,1510,1460,1490,155037,29383.0,19720000.0
2002-02-19,1510,1510,1460,1460,96819,28791.0,19720000.0
2002-02-20,1460,1460,1410,1410,121009,27805.0,19720000.0
2002-02-21,1420,1440,1390,1400,110227,27608.0,19720000.0
2002-02-22,1380,1410,1370,1380,149498,27214.0,19720000.0
2002-02-25,1410,1430,1390,1410,219144,27805.0,19720000.0
2002-02-26,1410,1410,1380,1380,221785,27214.0,19720000.0
2002-02-27,1370,1430,1370,1430,193744,28200.0,19720000.0
2002-02-28,1450,1450,1400,1410,151313,27805.0,19720000.0
2002-03-04,1410,1460,1410,1440,158897,28397.0,19720000.0
2002-03-05,1430,1460,1410,1440,150060,28397.0,19720000.0
2002-03-06,1410,1440,1410,1430,161977,28200.0,19720000.0
2002-03-07,1440,1470,1410,1460,339032,28791.0,19720000.0
2002-03-08,1450,1480,1420,1460,195568,28791.0,19720000.0
2002-03-11,1460,1460,1430,1440,150850,28397.0,19720000.0
2002-03-12,1460,1610,1460,1590,3224580,31355.0,19720000.0
2002-03-13,1600,1690,1570,1580,3658681,31158.0,19720000.0
2002-03-14,1580,1580,1480,1520,652162,29974.0,19720000.0
2002-03-15,1530,1550,1510,1520,535268,29974.0,19720000.0
2002-03-18,1530,1580,1530,1550,609796,30566.0,19720000.0
2002-03-19,1540,1580,1540,1550,425864,30566.0,19720000.0
2002-03-20,1540,1580,1530,1560,331578,30763.0,19720000.0
2002-03-21,1560,1640,1560,1590,914496,31355.0,19720000.0
2002-03-22,1610,1630,1590,1600,982804,31552.0,19720000.0
2002-03-25,1610,1660,1520,1520,1722286,29974.0,19720000.0
2002-03-26,1520,1680,1490,1540,4181928,30369.0,19720000.0
2002-03-27,1540,1590,1520,1540,1093446,30369.0,19720000.0
2002-03-28,1540,1560,1520,1520,628491,29974.0,19720000.0
2002-03-29,1510,1530,1480,1490,481538,29383.0,19720000.0
2002-04-01,1500,1560,1490,1500,703419,29580.0,19720000.0
2002-04-02,1500,1510,1480,1480,326684,29186.0,19720000.0
2002-04-03,1470,1480,1440,1470,479566,28988.0,19720000.0
2002-04-04,1460,1500,1460,1460,324500,28791.0,19720000.0
2002-04-08,1480,1480,1460,1460,252372,28791.0,19720000.0
2002-04-09,1460,1490,1460,1470,337403,28988.0,19720000.0
2002-04-10,1480,1490,1440,1460,319991,28791.0,19720000.0
2002-04-11,1470,1510,1470,1510,213128,29777.0,19720000.0
2002-04-12,1510,1580,1490,1530,477961,30172.0,19720000.0
2002-04-15,1530,1560,1510,1530,224496,30172.0,19720000.0
2002-04-16,1530,1540,1500,1540,235418,30369.0,19720000.0
2002-04-17,1540,1560,1500,1530,208855,30172.0,19720000.0
2002-04-18,1550,1620,1550,1550,703258,30566.0,19720000.0
2002-04-19,1540,1560,1520,1530,231105,30172.0,19720000.0
2002-04-22,1520,1540,1470,1500,365527,29580.0,19720000.0
2002-04-23,1500,1500,1460,1480,223797,29186.0,19720000.0
2002-04-24,1490,1500,1480,1480,201932,29186.0,19720000.0
2002-04-25,1480,1510,1480,1500,315238,29580.0,19720000.0
2002-04-26,1520,1530,1460,1500,368279,29580.0,19720000.0
2002-04-29,1500,1500,1390,1440,354043,28397.0,19720000.0
2002-04-30,1440,1450,1400,1450,291792,28594.0,19720000.0
2002-05-02,1450,1470,1450,1470,110828,28988.0,19720000.0
2002-05-03,1470,1480,1450,1460,184952,28791.0,19720000.0
2002-05-06,1460,1610,1420,1460,410324,28791.0,19720000.0
2002-05-07,1500,1500,1450,1480,132875,29186.0,19720000.0
2002-05-08,1500,1530,1480,1490,143291,29383.0,19720000.0
2002-05-09,1500,1530,1480,1490,172534,29383.0,19720000.0
2002-05-10,1490,1520,1450,1460,225434,28791.0,19720000.0
2002-05-13,1460,1550,1450,1540,462768,30369.0,19720000.0
2002-05-14,1500,1510,1460,1460,437619,28791.0,19720000.0
2002-05-15,1470,1510,1460,1470,280786,28988.0,19720000.0
2002-05-16,1460,1530,1460,1470,760662,28988.0,19720000.0
2002-05-17,1470,1480,1440,1450,308789,28594.0,19720000.0
2002-05-20,1450,1470,1450,1450,99398,28594.0,19720000.0
2002-05-21,1440,1460,1420,1420,67222,28002.0,19720000.0
2002-05-22,1400,1430,1400,1410,128844,27805.0,19720000.0
2002-05-23,1410,1420,1390,1390,169578,27411.0,19720000.0
2002-05-24,1390,1420,1370,1420,113599,28002.0,19720000.0
2002-05-27,1400,1410,1360,1390,125934,27411.0,19720000.0
2002-05-28,1350,1380,1330,1330,90754,26228.0,19720000.0
2002-05-29,1340,1340,1290,1310,75170,25833.0,19720000.0
2002-05-30,1270,1310,1270,1310,105502,25833.0,19720000.0
2002-05-31,1290,1310,1270,1300,55904,25636.0,19720000.0
2002-06-03,1270,1300,1270,1280,26323,25242.0,19720000.0
2002-06-04,1250,1300,1250,1280,43521,25242.0,19720000.0
2002-06-05,1290,1300,1280,1300,28624,24336.0,18720000.0
2002-06-07,1280,1290,1240,1260,65567,23587.0,18720000.0
2002-06-10,1250,1290,1240,1280,43733,23962.0,18720000.0
2002-06-11,1250,1270,1220,1230,66141,23026.0,18720000.0
2002-06-12,1240,1260,1220,1260,34020,23587.0,18720000.0
2002-06-14,1250,1350,1250,1280,68171,23962.0,18720000.0
2002-06-17,1300,1330,1280,1310,65752,24523.0,18720000.0
2002-06-18,1330,1360,1290,1350,45072,25272.0,18720000.0
2002-06-19,1340,1340,1240,1260,51338,23587.0,18720000.0
2002-06-20,1260,1270,1220,1270,27917,23774.0,18720000.0
2002-06-21,1250,1300,1240,1300,14145,24336.0,18720000.0
2002-06-24,1260,1290,1160,1210,40974,22651.0,18720000.0
2002-06-25,1200,1220,1160,1190,34962,22277.0,18720000.0
2002-06-26,1170,1170,1050,1060,71503,19843.0,18720000.0
2002-06-27,1120,1140,1060,1130,36426,21154.0,18720000.0
2002-06-28,1120,1260,1120,1210,42594,22651.0,18720000.0
2002-07-02,1180,1190,1140,1150,48181,21528.0,18720000.0
2002-07-03,1150,1230,1130,1200,31675,22464.0,18720000.0
2002-07-04,1200,1240,1200,1210,33728,22651.0,18720000.0
2002-07-05,1220,1350,1220,1310,633094,24523.0,18720000.0
2002-07-08,1310,1360,1260,1280,230904,23962.0,18720000.0
2002-07-09,1260,1290,1220,1270,138741,23774.0,18720000.0
2002-07-10,1270,1300,1260,1280,77744,23962.0,18720000.0
2002-07-11,1260,1310,1250,1290,59932,24149.0,18720000.0
2002-07-12,1300,1310,1260,1290,121059,24149.0,18720000.0
2002-07-15,1290,1300,1260,1280,23304,23962.0,18720000.0
2002-07-16,1280,1280,1230,1270,23530,23774.0,18720000.0
2002-07-18,1270,1280,1240,1270,13716,23774.0,18720000.0
2002-07-19,1250,1270,1230,1250,21700,23400.0,18720000.0
2002-07-22,1220,1220,1150,1190,45978,22277.0,18720000.0
2002-07-23,1150,1250,1140,1240,93147,23213.0,18720000.0
2002-07-24,1210,1240,1180,1180,14786,22090.0,18720000.0
2002-07-25,1220,1260,1220,1230,84996,23026.0,18720000.0
2002-07-26,1170,1230,1170,1230,68171,23026.0,18720000.0
2002-07-29,1250,1250,1220,1230,41792,23026.0,18720000.0
2002-07-30,1230,1260,1210,1230,56050,23026.0,18720000.0
2002-07-31,1240,1240,1200,1210,64504,22651.0,18720000.0
2002-08-01,1210,1230,1160,1180,42949,22090.0,18720000.0
2002-08-02,1150,1200,1150,1180,5778,22090.0,18720000.0
2002-08-05,1190,1190,1130,1160,13962,21715.0,18720000.0
2002-08-06,1090,1150,1090,1120,5254,20966.0,18720000.0
2002-08-07,1100,1150,1100,1130,18812,21154.0,18720000.0
2002-08-08,1120,1160,1110,1150,35575,21528.0,18720000.0
2002-08-09,1160,1170,1110,1120,60445,20966.0,18720000.0
2002-08-12,1150,1150,1100,1130,29494,21154.0,18720000.0
2002-08-13,1120,1230,1120,1140,214057,21341.0,18720000.0
2002-08-14,1140,1200,1140,1160,87411,21715.0,18720000.0
2002-08-16,1170,1180,1150,1180,46767,22090.0,18720000.0
2002-08-19,1180,1180,1150,1170,13922,21902.0,18720000.0
2002-08-20,1170,1180,1140,1170,142620,21902.0,18720000.0
2002-08-21,1170,1170,1150,1170,25865,21902.0,18720000.0
2002-08-22,1170,1180,1150,1170,32397,21902.0,18720000.0
2002-08-23,1170,1180,1160,1170,30196,21902.0,18720000.0
2002-08-26,1160,1170,1150,1160,28071,21715.0,18720000.0
2002-08-27,1140,1180,1140,1160,50531,21715.0,18720000.0
2002-08-28,1150,1180,1150,1150,71686,21528.0,18720000.0
2002-08-29,1160,1160,1140,1160,35963,21715.0,18720000.0
2002-08-30,1150,1170,1150,1160,25971,21715.0,18720000.0
2002-09-02,1160,1160,1140,1150,47021,21528.0,18720000.0
2002-09-03,1150,1160,1140,1140,40872,21341.0,18720000.0
2002-09-04,1140,1140,1110,1110,41805,20779.0,18720000.0
2002-09-05,1120,1140,1110,1130,31667,21154.0,18720000.0
2002-09-06,1100,1130,1100,1110,43315,20779.0,18720000.0
2002-09-09,1110,1120,1080,1090,59133,20405.0,18720000.0
2002-09-10,1080,1110,1080,1100,30173,20592.0,18720000.0
