NE능률(053290),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2002-12-10,2725,2725,2725,2724,7509,20737.0,4713000.0
2002-12-11,3046,3046,3046,3045,289694,23188.0,4713000.0
2002-12-12,3046,3046,2681,2680,923454,20407.0,4713000.0
2002-12-13,2483,2749,2427,2569,1110431,19559.0,4713000.0
2002-12-16,2601,2625,2285,2352,445508,17909.0,4713000.0
2002-12-17,2359,2513,2166,2339,1075401,17815.0,4713000.0
2002-12-18,2347,2384,2242,2241,323649,17061.0,4713000.0
2002-12-20,2205,2353,2081,2080,277112,15836.0,4713000.0
2002-12-23,2062,2166,1832,1832,330618,13950.0,4713000.0
2002-12-24,1678,1783,1616,1615,340399,12301.0,4713000.0
2002-12-26,1554,1690,1529,1609,279955,12254.0,4713000.0
2002-12-27,1591,1802,1579,1801,391288,13715.0,4713000.0
2002-12-30,1820,1994,1764,1856,920334,14139.0,4713000.0
2003-01-02,1876,2024,1814,1894,616440,14422.0,4713000.0
2003-01-03,1976,1988,1870,1882,436768,14328.0,4713000.0
2003-01-06,1932,2049,1919,2011,612749,15317.0,4713000.0
2003-01-07,2062,2074,1770,1788,960323,13621.0,4713000.0
2003-01-08,1832,1857,1770,1788,216140,13621.0,4713000.0
2003-01-09,1765,1814,1610,1758,200403,13385.0,4713000.0
2003-01-10,1765,1944,1616,1844,604520,14045.0,4713000.0
2003-01-13,1951,2062,1920,2061,719871,15694.0,4713000.0
2003-01-14,2136,2241,2030,2030,1088832,15459.0,4713000.0
2003-01-15,2055,2068,1826,1900,446810,14469.0,4713000.0
2003-01-16,1851,1944,1808,1900,218610,14469.0,4713000.0
2003-01-17,1827,1889,1678,1733,412060,13196.0,4713000.0
2003-01-20,1642,1697,1642,1671,187340,12725.0,4713000.0
2003-01-21,1672,1796,1653,1739,413187,13244.0,4713000.0
2003-01-22,1721,1758,1622,1634,201498,12442.0,4713000.0
2003-01-23,1635,1666,1579,1622,182375,12348.0,4713000.0
2003-01-24,1635,1660,1455,1467,253806,11170.0,4713000.0
2003-01-27,1319,1486,1319,1392,110521,10604.0,4713000.0
2003-01-28,1362,1554,1362,1541,222004,11735.0,4713000.0
2003-01-29,1518,1542,1400,1424,137342,10840.0,4713000.0
2003-01-30,1412,1523,1412,1473,116018,11217.0,4713000.0
2003-02-03,1455,1542,1449,1516,236839,11547.0,4713000.0
2003-02-04,1523,1566,1492,1522,316552,11594.0,4713000.0
2003-02-05,1511,1517,1461,1492,205345,11358.0,4713000.0
2003-02-06,1504,1547,1424,1454,138690,11076.0,4713000.0
2003-02-07,1430,1455,1374,1411,97706,10746.0,4713000.0
2003-02-10,1431,1536,1431,1510,398184,11500.0,4713000.0
2003-02-11,1579,1628,1399,1522,818067,11594.0,4713000.0
2003-02-12,1542,1672,1487,1671,727889,12725.0,4713000.0
2003-02-13,1473,1672,1473,1547,356313,11782.0,4713000.0
2003-02-14,1547,1622,1498,1498,291700,11405.0,4713000.0
2003-02-17,1547,1604,1511,1572,301731,11971.0,4713000.0
2003-02-18,1598,1660,1573,1640,590772,12489.0,4713000.0
2003-02-19,1666,1685,1555,1554,353827,11830.0,4713000.0
2003-02-20,1554,1579,1498,1547,126267,11782.0,4713000.0
2003-02-21,1542,1573,1474,1486,129220,11311.0,4713000.0
2003-02-24,1493,1542,1468,1535,265652,11688.0,4713000.0
2003-02-25,1530,1530,1425,1424,232907,10840.0,4713000.0
2003-02-26,1455,1468,1406,1430,129562,10887.0,4713000.0
2003-02-27,1393,1431,1363,1424,165919,10840.0,4713000.0
2003-02-28,1418,1443,1381,1405,97709,10699.0,4713000.0
2003-03-03,1393,1437,1387,1430,87338,10887.0,4713000.0
2003-03-04,1399,1436,1331,1349,76096,10274.0,4713000.0
2003-03-05,1307,1331,1202,1207,156347,9190.0,4713000.0
2003-03-06,1207,1257,1133,1151,90127,8766.0,4713000.0
2003-03-07,1115,1127,1035,1033,98530,7871.0,4713000.0
2003-03-10,1004,1041,997,1003,71556,7635.0,4713000.0
2003-03-11,928,1040,916,947,107092,7211.0,4713000.0
2003-03-12,960,1059,935,1009,182054,7682.0,4713000.0
2003-03-13,1021,1021,947,953,80334,7258.0,4713000.0
2003-03-14,1015,1047,991,1015,199271,7729.0,4713000.0
2003-03-17,1009,1015,898,903,154701,6881.0,4713000.0
2003-03-18,966,1003,941,990,152263,7541.0,4713000.0
2003-03-19,997,1040,985,996,178362,7588.0,4713000.0
2003-03-20,1021,1090,1021,1083,247504,8248.0,4713000.0
2003-03-21,1108,1115,1071,1101,118943,8389.0,4713000.0
2003-03-24,1133,1232,1065,1126,520583,8578.0,4713000.0
2003-03-25,1083,1102,1040,1064,194911,8106.0,4713000.0
2003-03-26,1097,1146,1053,1077,172309,8201.0,4713000.0
2003-03-27,1078,1078,1029,1027,51795,7824.0,4713000.0
2003-03-28,1035,1091,1016,1077,173516,8201.0,4713000.0
2003-03-31,1096,1164,1053,1107,471774,8436.0,4713000.0
2003-04-01,1121,1195,1109,1182,457897,9002.0,4713000.0
2003-04-02,1214,1214,1152,1182,207620,9002.0,4713000.0
2003-04-03,1233,1233,1152,1163,241081,8860.0,4713000.0
2003-04-04,1164,1183,1102,1175,146009,8955.0,4713000.0
2003-04-07,1207,1257,1201,1256,308578,9567.0,4713000.0
2003-04-08,1208,1263,1208,1231,160273,9379.0,4713000.0
2003-04-09,1227,1251,1171,1182,120491,9002.0,4713000.0
2003-04-10,1183,1214,1146,1207,75664,9190.0,4713000.0
2003-04-11,1189,1226,1176,1194,70993,9096.0,4713000.0
2003-04-14,1208,1338,1208,1337,624486,10180.0,4713000.0
2003-04-15,1417,1449,1362,1386,385451,10557.0,4713000.0
2003-04-16,1412,1443,1363,1424,320665,10840.0,4713000.0
2003-04-17,1399,1492,1381,1436,325943,10934.0,4713000.0
2003-04-18,1461,1511,1412,1430,279832,10887.0,4713000.0
2003-04-21,1449,1598,1430,1590,620709,12112.0,4713000.0
2003-04-22,1598,1635,1517,1554,504397,11830.0,4713000.0
2003-04-23,1610,1610,1523,1522,149688,11594.0,4713000.0
2003-04-24,1492,1547,1368,1417,191908,10793.0,4713000.0
2003-04-25,1357,1393,1270,1312,177131,9992.0,4713000.0
2003-04-28,1219,1319,1219,1262,105435,9615.0,4713000.0
2003-04-29,1300,1411,1300,1411,159258,10746.0,4713000.0
2003-04-30,1417,1455,1362,1417,157834,10793.0,4713000.0
2003-05-02,1479,1504,1436,1436,197644,10934.0,4713000.0
2003-05-06,1486,1492,1436,1460,108801,11123.0,4713000.0
2003-05-07,1474,1499,1443,1486,91711,11311.0,4713000.0
2003-05-09,1455,1604,1455,1547,368307,11782.0,4713000.0
2003-05-12,1642,1703,1585,1603,219718,12207.0,4713000.0
2003-05-13,1604,1703,1567,1646,238802,12537.0,4713000.0
2003-05-14,1635,1672,1567,1597,147975,12160.0,4713000.0
2003-05-15,1610,1752,1598,1677,431304,12772.0,4713000.0
2003-05-16,1690,1715,1591,1609,180481,12254.0,4713000.0
2003-05-19,1610,1610,1517,1541,140343,11735.0,4713000.0
2003-05-20,1493,1703,1493,1646,253440,12537.0,4713000.0
2003-05-21,1691,1840,1691,1838,340697,13998.0,4713000.0
2003-05-22,1969,2056,1920,1950,842556,14846.0,4713000.0
2003-05-23,2000,2167,1957,2067,791253,15741.0,4713000.0
2003-05-26,2142,2148,2049,2049,479308,15600.0,4713000.0
2003-05-27,2044,2242,1994,2235,484700,17014.0,4713000.0
2003-05-28,2297,2309,2105,2123,382859,16166.0,4713000.0
2003-05-29,2074,2174,1988,2018,197543,15364.0,4713000.0
2003-05-30,1981,2136,1932,2073,233975,15789.0,4713000.0
2003-06-02,2136,2136,2038,2043,156032,15553.0,4713000.0
2003-06-03,2000,2044,1932,1931,144908,14705.0,4713000.0
2003-06-04,1938,2000,1938,1993,76608,15176.0,4713000.0
2003-06-05,2050,2229,2006,2197,461869,16731.0,4713000.0
2003-06-09,2236,2242,2112,2241,169978,17061.0,4713000.0
2003-06-10,2210,2415,2118,2241,391640,17061.0,4713000.0
2003-06-11,2272,2353,2204,2209,126000,16825.0,4713000.0
2003-06-12,2198,2229,2093,2197,183463,16731.0,4713000.0
2003-06-13,2174,2210,2093,2197,169499,16731.0,4713000.0
2003-06-16,2149,2242,2149,2241,144230,17061.0,4713000.0
2003-06-17,2291,2334,2216,2228,212479,16967.0,4713000.0
2003-06-18,2261,2261,2155,2191,124933,16684.0,4713000.0
2003-06-19,2222,2247,2024,2092,321116,15930.0,4713000.0
2003-06-20,2074,2117,1975,2030,171321,15459.0,4713000.0
2003-06-23,1994,2050,1908,1906,88674,14516.0,4713000.0
2003-06-24,1820,1944,1814,1919,69375,14610.0,4713000.0
2003-06-25,1894,2006,1894,1962,101131,14940.0,4713000.0
2003-06-26,1981,2000,1938,1937,55280,14752.0,4713000.0
2003-06-27,1963,1982,1914,1912,38891,14563.0,4713000.0
2003-06-30,1888,2012,1888,2005,126560,15270.0,4713000.0
2003-07-01,1976,2081,1876,1993,92945,15176.0,4713000.0
2003-07-02,2056,2217,1963,2086,270076,15883.0,4713000.0
2003-07-03,2105,2154,2049,2055,132074,15647.0,4713000.0
2003-07-04,2105,2123,2024,2055,71103,15647.0,4713000.0
2003-07-07,2044,2167,2044,2148,156692,16354.0,4713000.0
2003-07-08,2185,2228,2092,2098,133673,15977.0,4713000.0
2003-07-09,2210,2347,2112,2346,661795,17862.0,4713000.0
2003-07-10,2384,2527,2304,2525,674869,19229.0,4713000.0
2003-07-11,2477,2638,2477,2476,305114,18852.0,4713000.0
2003-07-14,2539,2619,2397,2544,381335,19370.0,4713000.0
2003-07-15,2483,2761,2483,2550,660968,19418.0,4713000.0
2003-07-16,2576,2855,2533,2854,747006,21727.0,4713000.0
2003-07-18,2817,3158,2755,3027,875728,23047.0,4713000.0
2003-07-21,3126,3126,2847,2977,269806,22670.0,4713000.0
2003-07-22,2916,2978,2623,2622,289305,19960.0,4713000.0
2003-07-23,2638,2725,2372,2544,387999,19370.0,4713000.0
2003-07-24,2545,2787,2477,2786,396810,21208.0,4713000.0
2003-07-25,2787,2904,2607,2631,238591,20030.0,4713000.0
2003-07-28,2644,2687,2548,2550,201792,19418.0,4713000.0
2003-07-29,2551,2638,2520,2603,260004,19818.0,4713000.0
2003-07-30,2675,2848,2641,2816,508033,21444.0,4713000.0
2003-07-31,2864,2920,2731,2801,297175,21326.0,4713000.0
2003-08-01,2848,2848,2693,2752,183002,20949.0,4713000.0
2003-08-04,2755,2755,2625,2624,120419,19983.0,4713000.0
2003-08-05,2551,2606,2396,2451,348119,18663.0,4713000.0
2003-08-06,2384,2502,2365,2476,107147,18852.0,4713000.0
2003-08-07,2461,2638,2443,2637,252262,20077.0,4713000.0
2003-08-08,2613,2725,2570,2584,221749,19677.0,4713000.0
2003-08-11,2628,2711,2507,2513,373741,19135.0,4713000.0
2003-08-12,2519,2631,2415,2445,188602,18616.0,4713000.0
2003-08-13,2489,2489,2356,2445,245193,18616.0,4713000.0
2003-08-14,2417,2495,2390,2494,181043,18993.0,4713000.0
2003-08-18,2495,2570,2483,2482,142824,18899.0,4713000.0
2003-08-19,2495,2495,2353,2371,183679,18051.0,4713000.0
2003-08-20,2378,2409,2093,2259,145821,17202.0,4713000.0
2003-08-21,2235,2415,2222,2333,156688,17768.0,4713000.0
2003-08-22,2322,2415,2291,2346,98009,17862.0,4713000.0
2003-08-25,2347,2347,2244,2253,88025,17155.0,4713000.0
2003-08-26,2229,2307,2229,2259,59995,17202.0,4713000.0
2003-08-27,2261,2285,2004,2003,91501,15247.0,4713000.0
2003-08-28,2043,2105,2009,2011,117234,15317.0,4713000.0
2003-08-29,2012,2136,1957,2086,95101,15883.0,4713000.0
2003-09-01,2084,2133,2053,2071,55810,15765.0,4713000.0
2003-09-02,2068,2136,2064,2135,57916,16260.0,4713000.0
2003-09-03,2148,2166,2077,2135,68091,16260.0,4713000.0
2003-09-04,2106,2180,2025,2037,97000,15506.0,4713000.0
2003-09-05,2037,2096,2015,2021,59450,15388.0,4713000.0
2003-09-08,1957,2025,1957,2024,52739,15412.0,4713000.0
2003-09-09,2093,2142,2019,2129,57766,16213.0,4713000.0
2003-09-15,2087,2124,2081,2105,23985,16024.0,4713000.0
2003-09-16,2086,2130,2086,2098,26367,15977.0,4713000.0
2003-09-17,2192,2329,2167,2309,306807,17579.0,4713000.0
2003-09-18,2315,2365,2228,2321,154722,17674.0,4713000.0
2003-09-19,2328,2408,2300,2377,345269,18098.0,4713000.0
2003-09-22,2427,2519,2303,2377,575504,18098.0,4713000.0
2003-09-23,2322,2452,2266,2352,278091,17909.0,4713000.0
2003-09-24,2365,2465,2294,2457,349512,18711.0,4713000.0
2003-09-25,2301,2431,2301,2352,260757,17909.0,4713000.0
2003-09-26,2316,2412,2124,2216,216227,16873.0,4713000.0
2003-09-29,2183,2285,2074,2086,206418,15883.0,4713000.0
2003-09-30,2166,2257,2092,2219,233737,16896.0,4713000.0
2003-10-01,2142,2219,2043,2135,139006,16260.0,4713000.0
2003-10-02,2185,2244,2173,2203,199716,16778.0,4713000.0
2003-10-06,2242,2322,2232,2278,217126,17344.0,4713000.0
2003-10-07,2329,2381,2307,2346,249543,17862.0,4713000.0
2003-10-08,2316,2344,2174,2173,215628,16543.0,4713000.0
2003-10-09,2173,2306,2170,2290,143611,17438.0,4713000.0
2003-10-10,2322,2391,2295,2352,231544,17909.0,4713000.0
2003-10-13,2397,2397,2316,2352,123057,17909.0,4713000.0
2003-10-14,2353,2371,2297,2358,122858,17957.0,4713000.0
2003-10-15,2377,2513,2334,2494,354331,18993.0,4713000.0
2003-10-16,2513,2749,2507,2686,727880,20454.0,4713000.0
2003-10-17,2675,2675,2391,2389,467701,18192.0,4713000.0
2003-10-20,2321,2538,2321,2411,534921,18357.0,4713000.0
2003-10-21,2445,2519,2381,2383,242693,18145.0,4713000.0
