세코닉스(053450),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-08-09,4305,4305,4305,4309,159306,34650.0,5250000.0
2001-08-10,3790,4241,3790,3983,797345,32025.0,5250000.0
2001-08-13,4033,4078,3818,3917,206575,31500.0,5250000.0
2001-08-14,3914,3979,3640,3677,130242,29558.0,5250000.0
2001-08-16,3548,3671,3457,3500,98118,28140.0,5250000.0
2001-08-17,3465,3856,3465,3644,160573,29295.0,5250000.0
2001-08-20,3655,3655,3211,3212,94464,25830.0,5250000.0
2001-08-21,3263,3510,3263,3363,115986,27038.0,5250000.0
2001-08-22,3280,3705,3216,3507,112494,28192.0,5250000.0
2001-08-23,3588,3588,3288,3376,40225,27142.0,5250000.0
2001-08-24,3393,3550,3040,3133,74260,25200.0,5250000.0
2001-08-27,3065,3209,3059,3101,43065,24938.0,5250000.0
2001-08-28,3065,3098,2981,3101,55183,24938.0,5250000.0
2001-08-29,3047,3301,3000,3160,79069,25410.0,5250000.0
2001-08-30,3172,3172,3001,3167,28539,25462.0,5250000.0
2001-08-31,2934,3104,2934,3101,30162,24938.0,5250000.0
2001-09-03,3086,3086,2819,3036,26596,24412.0,5250000.0
2001-09-04,3048,3048,2923,3036,22223,24412.0,5250000.0
2001-09-05,3033,3033,2870,3023,28786,24308.0,5250000.0
2001-09-06,3027,3133,2922,3115,73686,25042.0,5250000.0
2001-09-07,3021,3230,2936,3082,72297,24780.0,5250000.0
2001-09-10,3048,3144,2989,3036,43827,24412.0,5250000.0
2001-09-11,2994,3066,2844,2939,30585,23625.0,5250000.0
2001-09-12,2583,2583,2583,2587,4131,20790.0,5250000.0
2001-09-13,2277,2583,2277,2546,73632,20475.0,5250000.0
2001-09-14,2609,2609,2244,2350,55812,18900.0,5250000.0
2001-09-17,2075,2152,2068,2069,24086,16642.0,5250000.0
2001-09-18,2099,2243,1955,2141,89102,17220.0,5250000.0
2001-09-19,1982,2172,1982,2084,56703,16748.0,5250000.0
2001-09-20,2211,2211,1982,2069,25110,16642.0,5250000.0
2001-09-21,2022,2022,1903,1920,58834,15435.0,5250000.0
2001-09-24,1956,1983,1892,1925,44991,15488.0,5250000.0
2001-09-25,2022,2153,1956,2154,223659,17325.0,5250000.0
2001-09-26,2186,2349,2173,2201,131943,17692.0,5250000.0
2001-09-27,2185,2211,2002,2058,61622,16538.0,5250000.0
2001-09-28,2075,2132,1982,2050,139186,16485.0,5250000.0
2001-10-04,2152,2290,2106,2292,211796,18428.0,5250000.0
2001-10-05,2290,2432,2198,2344,236160,18848.0,5250000.0
2001-10-08,2250,2543,2171,2364,228581,19005.0,5250000.0
2001-10-09,2478,2636,2413,2612,365620,21000.0,5250000.0
2001-10-10,2615,2805,2478,2482,530216,19950.0,5250000.0
2001-10-11,2609,2773,2570,2774,407040,22312.0,5250000.0
2001-10-12,2903,2903,2525,2697,342419,21682.0,5250000.0
2001-10-15,2648,2675,2557,2644,116949,21262.0,5250000.0
2001-10-16,2688,2721,2623,2677,158450,21525.0,5250000.0
2001-10-17,2707,2837,2642,2841,228438,22838.0,5250000.0
2001-10-18,2753,2773,2558,2605,157338,20948.0,5250000.0
2001-10-19,2558,2708,2511,2605,132880,20948.0,5250000.0
2001-10-22,2675,2910,2629,2853,317389,22942.0,5250000.0
2001-10-23,2935,3000,2747,2841,476216,22838.0,5250000.0
2001-10-24,2884,2884,2668,2703,216895,21735.0,5250000.0
2001-10-25,2713,2740,2551,2612,153330,21000.0,5250000.0
2001-10-26,2622,2922,2622,2879,307332,23152.0,5250000.0
2001-10-29,2994,3014,2837,2886,324043,23205.0,5250000.0
2001-10-30,2844,2857,2648,2697,154808,21682.0,5250000.0
2001-10-31,2713,3014,2681,2939,348389,23625.0,5250000.0
2001-11-01,3000,3288,2994,3291,742278,26460.0,5250000.0
2001-11-02,3380,3380,3033,3154,437159,25358.0,5250000.0
2001-11-05,3276,3524,3230,3258,820773,26198.0,5250000.0
2001-11-06,3210,3308,3066,3075,382398,24728.0,5250000.0
2001-11-07,3132,3221,3065,3101,249479,24938.0,5250000.0
2001-11-08,3086,3177,3066,3108,105462,24990.0,5250000.0
2001-11-09,3105,3138,2935,2950,156432,23730.0,5250000.0
2001-11-12,3001,3035,2923,3036,142266,24412.0,5250000.0
2001-11-13,3066,3347,3020,3238,311732,26040.0,5250000.0
2001-11-14,3230,3425,3165,3265,219765,26250.0,5250000.0
2001-11-15,3263,3308,3066,3180,138714,25568.0,5250000.0
2001-11-16,3218,3354,3144,3167,144202,25462.0,5250000.0
2001-11-19,3040,3263,3040,3167,101438,25462.0,5250000.0
2001-11-20,3209,3300,3164,3199,132652,25725.0,5250000.0
2001-11-21,3105,3237,3105,3193,66423,25672.0,5250000.0
2001-11-22,3257,3263,3152,3167,92807,25462.0,5250000.0
2001-11-23,3184,3405,3165,3270,313138,26302.0,5250000.0
2001-11-26,3276,3315,3158,3193,122854,25672.0,5250000.0
2001-11-27,3203,3203,3047,3055,122019,24570.0,5250000.0
2001-11-28,3055,3134,2969,3036,134724,24412.0,5250000.0
2001-11-29,3034,3099,2836,2997,73572,24098.0,5250000.0
2001-11-30,3001,3126,2936,3082,76123,24780.0,5250000.0
2001-12-03,2982,3134,2982,3036,39218,24412.0,5250000.0
2001-12-04,3000,3190,2994,3193,124032,25672.0,5250000.0
2001-12-05,3238,3550,3238,3494,322287,28088.0,5250000.0
2001-12-06,3654,3654,3386,3525,196004,28350.0,5250000.0
2001-12-07,3576,3916,3425,3917,251764,31500.0,5250000.0
2001-12-10,3916,4242,3916,4047,278886,32550.0,5250000.0
2001-12-11,3895,4209,3895,4015,100015,32288.0,5250000.0
2001-12-12,4078,4489,4053,4472,339840,35962.0,5250000.0
2001-12-13,4568,4606,4208,4356,133120,35018.0,5250000.0
2001-12-14,4267,4438,3849,4112,222539,33075.0,5250000.0
2001-12-17,4163,4163,3621,3623,127744,29138.0,5250000.0
2001-12-18,3621,3772,3424,3468,132864,27878.0,5250000.0
2001-12-19,3497,3588,3237,3355,91090,26985.0,5250000.0
2001-12-20,3294,3491,3262,3421,66412,27510.0,5250000.0
2001-12-21,3263,3354,3133,3187,87220,25620.0,5250000.0
2001-12-24,3138,3380,3007,3029,45750,24360.0,5250000.0
2001-12-26,2948,3183,2948,3101,55864,24938.0,5250000.0
2001-12-27,3066,3105,3034,3095,54624,24885.0,5250000.0
2001-12-28,3098,3423,3098,3429,76444,27562.0,5250000.0
2002-01-02,3431,3457,3314,3429,54621,27562.0,5250000.0
2002-01-03,3459,3459,3302,3310,51452,26618.0,5250000.0
2002-01-04,3327,3458,3281,3349,74244,26932.0,5250000.0
2002-01-07,3459,3459,3295,3389,61260,27248.0,5250000.0
2002-01-08,3386,3405,3197,3270,42716,26302.0,5250000.0
2002-01-09,3230,3315,3144,3167,49606,25462.0,5250000.0
2002-01-10,3132,3164,3000,3069,78402,24675.0,5250000.0
2002-01-11,3007,3132,2934,3069,40737,24675.0,5250000.0
2002-01-14,3021,3165,3001,3167,32908,25462.0,5250000.0
2002-01-15,3134,3138,3021,3088,37999,24832.0,5250000.0
2002-01-16,3073,3125,3039,3043,17247,24465.0,5250000.0
2002-01-17,3033,3157,2988,3069,19482,24675.0,5250000.0
2002-01-18,3065,3065,2934,2971,19509,23888.0,5250000.0
2002-01-21,2968,2968,2791,2873,50706,23100.0,5250000.0
2002-01-22,2740,2930,2714,2905,70769,23362.0,5250000.0
2002-01-23,2857,2922,2772,2846,33343,22890.0,5250000.0
2002-01-24,2844,2922,2733,2741,48431,22050.0,5250000.0
2002-01-25,2740,2780,2622,2644,45866,21262.0,5250000.0
2002-01-28,2642,2903,2583,2841,119527,22838.0,5250000.0
2002-01-29,2903,2910,2747,2873,28628,23100.0,5250000.0
2002-01-30,2811,2903,2747,2774,26256,22312.0,5250000.0
2002-01-31,2740,2935,2740,2873,33072,23100.0,5250000.0
2002-02-01,2929,2949,2786,2873,41748,23100.0,5250000.0
2002-02-04,2871,2871,2752,2756,27480,22155.0,5250000.0
2002-02-05,2693,2707,2609,2670,21880,21472.0,5250000.0
2002-02-06,2688,2694,2636,2651,11453,21315.0,5250000.0
2002-02-07,2609,2739,2491,2494,20747,20055.0,5250000.0
2002-02-08,2543,2609,2315,2390,65302,19215.0,5250000.0
2002-02-14,2478,2530,2427,2526,22240,20318.0,5250000.0
2002-02-15,2492,2544,2328,2403,41125,19320.0,5250000.0
2002-02-18,2382,2478,2334,2416,30112,19425.0,5250000.0
2002-02-19,2375,2510,2375,2482,32308,19950.0,5250000.0
2002-02-20,2479,2708,2446,2605,39150,20948.0,5250000.0
2002-02-21,2615,2752,2615,2710,23845,21788.0,5250000.0
2002-02-22,2740,3008,2714,2911,49336,23415.0,5250000.0
2002-02-25,2909,2934,2739,2924,46497,23520.0,5250000.0
2002-02-26,2994,3000,2863,2939,30763,23625.0,5250000.0
2002-02-27,2968,3093,2871,2873,14094,23100.0,5250000.0
2002-02-28,2935,2935,2766,2807,24473,22575.0,5250000.0
2002-03-04,2740,2871,2740,2774,43644,22312.0,5250000.0
2002-03-05,2773,2922,2773,2918,74638,23468.0,5250000.0
2002-03-06,2956,2988,2831,2834,53540,22785.0,5250000.0
2002-03-07,2831,3171,2831,3055,101509,24570.0,5250000.0
2002-03-08,3196,3418,3117,3421,125414,27510.0,5250000.0
2002-03-11,3751,3751,3497,3525,193396,28350.0,5250000.0
2002-03-12,3588,3653,3326,3454,87510,27772.0,5250000.0
2002-03-13,3458,3863,3458,3865,216700,31080.0,5250000.0
