현진소재(053660),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2002-02-15,21089,21089,21089,21094,316676,46080.0,7200000.0
2002-02-18,18583,18583,18583,18588,24924,40608.0,7200000.0
2002-02-19,16377,16377,16377,16377,835,35784.0,7200000.0
2002-02-20,14426,16367,14426,14631,1428474,31968.0,7200000.0
2002-02-21,14622,16367,14490,15813,990285,34560.0,7200000.0
2002-02-22,15652,15652,13938,13939,380763,30456.0,7200000.0
2002-02-25,14000,14036,13009,13214,227332,28872.0,7200000.0
2002-02-26,13276,14230,13139,14135,330108,30888.0,7200000.0
2002-02-27,14691,15813,13346,13478,469577,29448.0,7200000.0
2002-02-28,13573,13736,13141,13414,157587,29304.0,7200000.0
2002-03-04,13578,13969,13510,13674,131028,29880.0,7200000.0
2002-03-05,13867,14362,13735,14367,177479,31392.0,7200000.0
2002-03-06,14558,16071,14395,16081,379354,35136.0,7200000.0
2002-03-07,16467,17621,15481,16113,369161,35208.0,7200000.0
2002-03-08,16310,18014,16205,18019,180967,39384.0,7200000.0
2002-03-11,19270,20156,18215,20165,670604,44064.0,7200000.0
2002-03-12,20595,20595,17796,18223,352974,39816.0,7200000.0
2002-03-13,17591,18841,17296,18123,187656,39600.0,7200000.0
2002-03-14,18047,19570,17489,18816,263321,41112.0,7200000.0
2002-03-15,17990,18980,17562,17627,172080,38520.0,7200000.0
2002-03-18,17229,18283,16902,17034,264301,37224.0,7200000.0
2002-03-19,17038,17333,16579,16970,150348,37080.0,7200000.0
2002-03-20,17333,17928,16969,16970,190431,37080.0,7200000.0
2002-03-21,16576,17626,16576,17627,158987,38520.0,7200000.0
2002-03-22,17792,17792,17033,17034,155130,37224.0,7200000.0
2002-03-25,17723,18513,17132,18123,249358,39600.0,7200000.0
2002-03-26,18122,18549,17622,17827,113955,38952.0,7200000.0
2002-03-27,18348,19866,18016,19180,254098,41904.0,7200000.0
2002-03-28,19335,19335,17295,17659,230683,38592.0,7200000.0
2002-03-29,17491,18318,17327,18123,129356,39600.0,7200000.0
2002-04-01,18443,19629,17325,17330,211686,37872.0,7200000.0
2002-04-02,17454,17559,16468,16473,159946,36000.0,7200000.0
2002-04-03,16540,16963,15777,16309,78564,35640.0,7200000.0
2002-04-04,15972,16599,15972,16045,55584,35064.0,7200000.0
2002-04-08,15848,16475,15257,15717,82466,34344.0,7200000.0
2002-04-09,15682,15878,14860,14888,98395,32544.0,7200000.0
2002-04-10,14829,14897,13706,13939,79235,30456.0,7200000.0
2002-04-11,13835,14426,13767,14099,104938,30816.0,7200000.0
2002-04-12,13831,14453,13572,14467,82790,31608.0,7200000.0
2002-04-15,14822,15776,14490,14663,118112,32040.0,7200000.0
2002-04-16,14359,14690,14131,14663,85905,32040.0,7200000.0
2002-04-17,14858,14954,14490,14563,84341,31824.0,7200000.0
2002-04-18,14326,14721,14162,14267,66993,31176.0,7200000.0
2002-04-19,13898,14361,13898,13903,62264,30384.0,7200000.0
2002-04-22,13834,14156,12252,12357,73625,27000.0,7200000.0
2002-04-23,12518,12518,11559,11596,58805,25344.0,7200000.0
2002-04-24,11726,12021,11199,11204,59035,24480.0,7200000.0
2002-04-25,11032,11032,10110,10115,73345,22104.0,7200000.0
2002-04-26,10043,10734,9938,10711,92532,23400.0,7200000.0
2002-04-29,10379,11270,10279,10743,86502,23472.0,7200000.0
2002-04-30,10872,11294,10736,11168,49803,24408.0,7200000.0
2002-05-02,11196,11559,10932,11564,99232,25272.0,7200000.0
2002-05-03,11304,11531,11040,11436,35284,24984.0,7200000.0
2002-05-06,11366,11366,10843,10843,30885,23688.0,7200000.0
2002-05-07,10042,10706,10042,10447,20176,22824.0,7200000.0
2002-05-08,10864,11523,10832,11532,99752,25200.0,7200000.0
2002-05-09,11690,12181,11290,11300,52713,24696.0,7200000.0
2002-05-10,11430,11430,10711,10807,25468,23616.0,7200000.0
2002-05-13,10702,10961,10506,10643,24113,23256.0,7200000.0
2002-05-14,10379,10970,10379,10611,54010,23184.0,7200000.0
2002-05-15,10706,11860,10706,11861,215162,25920.0,7200000.0
2002-05-16,11850,12440,11523,11532,170175,25200.0,7200000.0
2002-05-17,11860,12160,11361,12161,90474,26568.0,7200000.0
2002-05-20,12548,13143,12316,12557,175931,27432.0,7200000.0
2002-05-21,12518,12518,11960,11965,44163,26136.0,7200000.0
2002-05-22,11959,11959,11260,11696,56626,25560.0,7200000.0
2002-05-23,11454,11654,11090,11100,45563,24264.0,7200000.0
2002-05-24,10962,11098,10635,10871,27481,23760.0,7200000.0
2002-05-27,10707,11335,10707,11040,26229,24120.0,7200000.0
2002-05-28,11043,11239,10811,10976,15472,23976.0,7200000.0
2002-05-29,10635,10898,10635,10871,17174,23760.0,7200000.0
2002-05-30,10843,11075,10543,10743,9281,23472.0,7200000.0
2002-05-31,10939,11502,10939,10976,9742,23976.0,7200000.0
2002-06-03,10969,11860,10774,11861,57107,25920.0,7200000.0
2002-06-04,11861,13279,11861,12225,194735,26712.0,7200000.0
2002-06-05,12514,12514,11523,11696,69091,25560.0,7200000.0
2002-06-07,11694,11858,11103,11204,57307,24480.0,7200000.0
2002-06-10,10704,11299,10704,11204,46451,24480.0,7200000.0
2002-06-11,10971,11335,10903,11040,34416,24120.0,7200000.0
2002-06-12,11031,11226,10836,11236,42836,24552.0,7200000.0
2002-06-14,11291,11782,11159,11532,127882,25200.0,7200000.0
2002-06-17,11825,12521,11457,12521,131164,27360.0,7200000.0
2002-06-18,12356,12683,11988,12025,202420,26280.0,7200000.0
2002-06-19,11926,12185,11099,11168,109233,24408.0,7200000.0
2002-06-20,10808,11431,10808,11136,40398,24336.0,7200000.0
2002-06-21,11034,11298,10802,10908,45031,23832.0,7200000.0
2002-06-24,10705,11137,10142,10247,48070,22392.0,7200000.0
2002-06-25,10379,10515,9029,9230,66898,20160.0,7200000.0
