포스링크(056730),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2002-01-04,89675,89675,89675,89679,565363,14700.0,7000000.0
2002-01-07,100371,100371,99928,100362,387795,16450.0,7000000.0
2002-01-08,112306,112306,103348,105910,2313915,17360.0,7000000.0
2002-01-09,102925,106336,93524,99926,735114,16380.0,7000000.0
2002-01-10,99941,102081,92693,94810,484215,15540.0,7000000.0
2002-01-11,92257,100369,90967,91819,420591,15050.0,7000000.0
2002-01-14,90967,96951,90967,91819,444875,15050.0,7000000.0
2002-01-15,94399,100382,92688,96097,624092,15750.0,7000000.0
2002-01-16,96102,101639,93949,95228,583394,15610.0,7000000.0
2002-01-17,96951,98229,91810,91819,356247,15050.0,7000000.0
2002-01-18,91825,91825,83714,85415,415091,14000.0,7000000.0
2002-01-21,81563,86685,81563,84983,282974,13930.0,7000000.0
2002-01-22,84586,88430,84154,88406,324645,14490.0,7000000.0
2002-01-23,92684,98670,89683,93103,860256,15260.0,7000000.0
2002-01-24,93514,99069,88407,99074,987329,16240.0,7000000.0
2002-01-25,98243,108919,93964,93958,2658366,15400.0,7000000.0
2002-01-28,96107,98245,93120,96097,568290,15750.0,7000000.0
2002-01-29,106762,107609,101636,107617,1319171,17640.0,7000000.0
2002-01-30,102512,106341,94815,96516,826186,15820.0,7000000.0
2002-01-31,99516,104653,97376,99506,706579,16310.0,7000000.0
2002-02-01,102940,105508,96107,96097,464084,15750.0,7000000.0
2002-02-04,92694,98252,85429,88406,414714,14490.0,7000000.0
2002-02-05,88420,89684,84144,89261,273886,14630.0,7000000.0
2002-02-06,89685,90982,86703,87554,213993,14350.0,7000000.0
2002-02-07,86282,87989,82866,82857,175826,13580.0,7000000.0
2002-02-08,82852,87113,82852,84983,137814,13930.0,7000000.0
2002-02-14,84992,87563,84992,87554,165163,14350.0,7000000.0
2002-02-15,85858,86286,83290,83709,190399,13720.0,7000000.0
2002-02-18,83291,85431,81584,82425,172353,13510.0,7000000.0
2002-02-19,82440,83286,78592,79011,240270,12950.0,7000000.0
2002-02-20,76867,79006,75588,78579,198121,12880.0,7000000.0
2002-02-21,79429,80290,76026,77295,197198,12670.0,7000000.0
2002-02-22,76459,78170,75184,76021,164941,12460.0,7000000.0
2002-02-25,76453,81146,76453,79011,133314,12950.0,7000000.0
2002-02-26,78579,80290,76447,77295,199615,12670.0,7000000.0
2002-02-27,76867,79867,76867,78579,166087,12880.0,7000000.0
2002-02-28,80290,80290,76876,77295,141386,12670.0,7000000.0
2002-03-04,78169,80737,78169,79867,172000,13090.0,7000000.0
2002-03-05,80732,82015,79025,81573,232730,13370.0,7000000.0
2002-03-06,83293,89694,83293,86270,368421,14140.0,7000000.0
2002-03-07,89681,89681,83723,84131,295706,13790.0,7000000.0
2002-03-08,84130,87113,82852,87121,281631,14280.0,7000000.0
2002-03-11,89253,91378,85838,87121,410510,14280.0,7000000.0
2002-03-12,89266,92268,87559,89261,389236,14630.0,7000000.0
2002-03-13,90982,90982,85852,87554,280514,14350.0,7000000.0
2002-03-14,87141,88847,85429,88406,186131,14490.0,7000000.0
2002-03-15,87546,88824,85838,87121,256788,14280.0,7000000.0
2002-03-18,87997,90136,86707,90112,330521,14770.0,7000000.0
2002-03-19,90124,100818,89695,100794,795846,16520.0,7000000.0
2002-03-20,102073,112767,98229,112747,681365,18480.0,7000000.0
2002-03-21,123857,125997,119596,125983,1076431,20650.0,7000000.0
2002-03-22,140925,140925,140925,140930,168406,23100.0,7000000.0
2002-03-25,141381,141381,124286,124280,1280162,20370.0,7000000.0
2002-03-26,117024,134952,109763,124280,4471239,20370.0,7000000.0
2002-03-27,125994,131978,115311,115305,1179623,18900.0,7000000.0
2002-03-28,113179,118747,101655,101646,1015185,16660.0,7000000.0
2002-03-29,101642,108903,99505,103772,1032415,17010.0,7000000.0
2002-04-01,104640,108902,91378,91386,921089,14980.0,7000000.0
2002-04-02,95242,95242,87991,93103,729727,15260.0,7000000.0
2002-04-03,93122,102080,90983,96948,959947,15890.0,7000000.0
2002-04-04,94376,99501,93100,99074,547358,16240.0,7000000.0
2002-04-08,101229,101229,93535,93958,458166,15400.0,7000000.0
2002-04-09,94387,96960,91819,92670,413978,15190.0,7000000.0
2002-04-10,91834,92278,84154,86270,378019,14140.0,7000000.0
2002-04-11,88420,90977,86280,89261,294466,14630.0,7000000.0
2002-04-12,84976,89670,84976,88828,227372,14560.0,7000000.0
2002-04-15,87567,99094,87567,98655,770164,16170.0,7000000.0
2002-04-16,96103,101643,93953,98222,296937,16100.0,7000000.0
2002-04-17,101643,101643,93107,93525,277063,15330.0,7000000.0
2002-04-18,91381,95232,91381,93525,209653,15330.0,7000000.0
2002-04-19,95232,97367,91813,93525,190023,15330.0,7000000.0
2002-04-22,92254,95658,82421,84983,246185,13930.0,7000000.0
2002-04-23,80740,86713,80740,84563,131025,13860.0,7000000.0
2002-04-24,82430,86691,80719,81992,139702,13440.0,7000000.0
2002-04-25,79426,81994,72593,72598,148093,11900.0,7000000.0
