와이비엠넷(057030),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2004-06-08,7606,8519,7485,8366,1149198,93500.0,8500000.0
2004-06-09,8291,9356,8139,9355,396985,104550.0,8500000.0
2004-06-10,9812,10268,8899,9165,731382,102425.0,8500000.0
2004-06-11,9127,9812,8709,9127,252695,102000.0,8500000.0
2004-06-14,9127,9470,8595,8632,198650,96475.0,8500000.0
2004-06-15,8404,9127,7948,8898,284756,99450.0,8500000.0
2004-06-16,8861,9508,8823,9317,176606,104125.0,8500000.0
2004-06-17,9469,10344,9279,9887,338590,110500.0,8500000.0
2004-06-18,9888,10648,9507,9545,263050,106675.0,8500000.0
2004-06-21,9203,10040,9203,9887,99243,110500.0,8500000.0
2004-06-22,9888,10040,9584,9812,88508,109650.0,8500000.0
2004-06-23,9812,10116,9508,9507,135825,106250.0,8500000.0
2004-06-24,9545,9850,9355,9393,72193,104975.0,8500000.0
2004-06-25,9318,9584,8938,9355,63327,104550.0,8500000.0
2004-06-28,9204,9242,8899,9013,60141,100725.0,8500000.0
2004-06-29,9051,9317,8785,9127,57824,102000.0,8500000.0
2004-06-30,9318,9356,9014,9355,49222,104550.0,8500000.0
2004-07-01,9508,9508,8975,8975,26997,100300.0,8500000.0
2004-07-02,8785,9242,8633,9203,41529,102850.0,8500000.0
2004-07-05,9431,9926,9203,9735,195042,108800.0,8500000.0
2004-07-06,9736,9926,9508,9621,116563,107525.0,8500000.0
2004-07-07,9469,9583,9127,9241,52477,103275.0,8500000.0
2004-07-08,9242,9394,9128,9165,88058,102425.0,8500000.0
2004-07-09,9166,9356,9128,9203,43831,102850.0,8500000.0
2004-07-12,9280,9470,9127,9469,70777,105825.0,8500000.0
2004-07-13,9583,9812,9393,9545,340006,106675.0,8500000.0
2004-07-14,9545,9697,9317,9545,125826,106675.0,8500000.0
2004-07-15,9659,9812,9431,9545,202182,106675.0,8500000.0
2004-07-16,9508,9926,9470,9773,425499,109225.0,8500000.0
2004-07-19,9812,9888,9507,9583,96097,107100.0,8500000.0
